OBJECTID,DESCRIPTION,ID,MP10128A_B,MP10128A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,33308 (Fort Lauderdale),33308,685,2.53,2.53,15811250.0,19390.05511158474,1754588091004,Synapse54,1754588091004,Synapse54
2,33309 (Fort Lauderdale),33309,979,3.16,3.16,34082500.0,25278.01461278224,1754588091004,Synapse54,1754588091004,Synapse54
3,33311 (Fort Lauderdale),33311,1574,2.91,2.91,34866250.0,24090.6179851779,1754588091004,Synapse54,1754588091004,Synapse54
4,33312 (Fort Lauderdale),33312,1333,3.18,3.18,37297500.0,33579.58526348175,1754588091004,Synapse54,1754588091004,Synapse54
5,32003 (Fleming Island),32003,795,3.36,3.36,55165000.0,43146.45444871945,1754588091004,Synapse54,1754588091004,Synapse54
6,33313 (Fort Lauderdale),33313,1380,2.99,2.99,19248750.0,23025.979446093235,1754588091004,Synapse54,1754588091004,Synapse54
7,33314 (Fort Lauderdale),33314,764,3.04,3.04,28330000.0,25570.926708640945,1754588091004,Synapse54,1754588091004,Synapse54
8,33315 (Fort Lauderdale),33315,368,3.03,3.03,18063750.0,20382.60576124309,1754588091004,Synapse54,1754588091004,Synapse54
9,32008 (Branford),32008,153,3.25,3.25,522930000.0,186304.20316408772,1754588091004,Synapse54,1754588091004,Synapse54
10,33316 (Fort Lauderdale),33316,334,2.8,2.8,14876250.0,46210.54508907569,1754588091004,Synapse54,1754588091004,Synapse54
11,33317 (Fort Lauderdale),33317,876,2.95,2.95,31083750.0,25375.68008599423,1754588091004,Synapse54,1754588091004,Synapse54
12,33319 (Fort Lauderdale),33319,1224,2.81,2.81,23122500.0,21649.31311622569,1754588091004,Synapse54,1754588091004,Synapse54
13,33321 (Fort Lauderdale),33321,1373,3.09,3.09,26412500.0,22967.287971361377,1754588091004,Synapse54,1754588091004,Synapse54
14,33322 (Fort Lauderdale),33322,1058,2.99,2.99,18948750.0,25703.182489703755,1754588091004,Synapse54,1754588091004,Synapse54
15,33323 (Fort Lauderdale),33323,608,3.24,3.24,25940000.0,31044.796511582044,1754588091004,Synapse54,1754588091004,Synapse54
16,32963 (Vero Beach),32963,311,1.96,1.96,61271247.396484375,214977.10848296163,1754588091004,Synapse54,1754588091004,Synapse54
17,32009 (Bryceville),32009,83,3.16,3.16,313680000.0,95473.99688899332,1754588091004,Synapse54,1754588091004,Synapse54
18,33324 (Fort Lauderdale),33324,1342,3.2,3.2,30988768.318359375,29333.60408156667,1754588091004,Synapse54,1754588091004,Synapse54
19,33325 (Fort Lauderdale),33325,733,3.02,3.02,30413750.0,25505.647921672182,1754588091004,Synapse54,1754588091004,Synapse54
20,33326 (Fort Lauderdale),33326,782,2.86,2.86,27883750.0,22975.806458753763,1754588091004,Synapse54,1754588091004,Synapse54
21,33327 (Fort Lauderdale),33327,490,2.94,2.94,27011250.0,29284.017301700416,1754588091004,Synapse54,1754588091004,Synapse54
22,33328 (Fort Lauderdale),33328,654,2.87,2.87,29535000.0,26562.20785022335,1754588091004,Synapse54,1754588091004,Synapse54
23,33330 (Fort Lauderdale),33330,300,2.59,2.59,35945000.0,25549.60892418932,1754588091004,Synapse54,1754588091004,Synapse54
24,33331 (Fort Lauderdale),33331,500,2.69,2.69,38580000.0,25808.23908534054,1754588091004,Synapse54,1754588091004,Synapse54
25,33332 (Fort Lauderdale),33332,224,2.67,2.67,50163750.0,45943.05472753459,1754588091004,Synapse54,1754588091004,Synapse54
26,33334 (Fort Lauderdale),33334,769,3.03,3.03,16035000.0,20533.723375244903,1754588091004,Synapse54,1754588091004,Synapse54
27,33351 (Fort Lauderdale),33351,1044,3.35,3.35,19243750.0,23121.532312449646,1754588091004,Synapse54,1754588091004,Synapse54
28,33388 (Plantation),33388,0,0.0,0.0,47500.0,1476.1005788060236,1754588091004,Synapse54,1754588091004,Synapse54
29,33394 (Fort Lauderdale),33394,30,3.41,3.41,70000.0,1100.0,1754588091004,Synapse54,1754588091004,Synapse54
30,33401 (West Palm Beach),33401,893,3.04,3.04,21935000.0,23543.793792445435,1754588091004,Synapse54,1754588091004,Synapse54
31,33403 (West Palm Beach),33403,310,2.83,2.83,11611250.0,19888.84724360431,1754588091004,Synapse54,1754588091004,Synapse54
32,33404 (West Palm Beach),33404,742,2.79,2.79,25051527.779296875,52016.70492109433,1754588091004,Synapse54,1754588091004,Synapse54
33,33405 (West Palm Beach),33405,434,2.73,2.73,14128750.0,17083.65731960672,1754588091004,Synapse54,1754588091004,Synapse54
34,33406 (West Palm Beach),33406,572,2.59,2.59,29985000.0,28824.60217453845,1754588091004,Synapse54,1754588091004,Synapse54
35,33407 (West Palm Beach),33407,803,2.78,2.78,30496250.0,40856.053404062164,1754588091004,Synapse54,1754588091004,Synapse54
36,33408 (North Palm Beach),33408,404,2.3,2.3,23077500.0,73999.46675482257,1754588091004,Synapse54,1754588091004,Synapse54
37,33409 (West Palm Beach),33409,891,3.28,3.28,21225000.0,24138.530872439384,1754588091004,Synapse54,1754588091004,Synapse54
38,33410 (Palm Beach Gardens),33410,839,2.72,2.72,37071531.375,53606.44199005074,1754588091004,Synapse54,1754588091004,Synapse54
39,33411 (West Palm Beach),33411,1895,3.16,3.16,140652500.0,57885.44622828532,1754588091004,Synapse54,1754588091004,Synapse54
40,33412 (West Palm Beach),33412,417,2.68,2.68,172106250.0,72754.55800111261,1754588091004,Synapse54,1754588091004,Synapse54
41,33413 (West Palm Beach),33413,448,2.98,2.98,24718750.0,27559.965481652333,1754588091004,Synapse54,1754588091004,Synapse54
42,33414 (Wellington),33414,1421,2.99,2.99,93131250.0,46852.89255786492,1754588091004,Synapse54,1754588091004,Synapse54
43,33415 (West Palm Beach),33415,1073,2.63,2.63,23558750.0,22058.838234372153,1754588091004,Synapse54,1754588091004,Synapse54
44,33417 (West Palm Beach),33417,819,2.82,2.82,22921250.0,23874.510815704485,1754588091004,Synapse54,1754588091004,Synapse54
45,33418 (Palm Beach Gardens),33418,947,2.42,2.42,154800000.0,62435.91689682409,1754588091004,Synapse54,1754588091004,Synapse54
46,33426 (Boynton Beach),33426,722,3.3,3.3,19330000.0,25566.496715926412,1754588091004,Synapse54,1754588091004,Synapse54
47,33428 (Boca Raton),33428,1071,2.96,2.96,29092500.0,22252.033632323877,1754588091004,Synapse54,1754588091004,Synapse54
48,33430 (Belle Glade),33430,470,3.04,3.04,469963559.5234375,183832.19099486052,1754588091004,Synapse54,1754588091004,Synapse54
49,33431 (Boca Raton),33431,527,2.74,2.74,27127500.0,26797.429911993106,1754588091004,Synapse54,1754588091004,Synapse54
50,33432 (Boca Raton),33432,620,2.76,2.76,15447500.0,44387.02746869814,1754588091004,Synapse54,1754588091004,Synapse54
51,33433 (Boca Raton),33433,1092,2.75,2.75,31000000.0,23235.364964624627,1754588091004,Synapse54,1754588091004,Synapse54
52,33434 (Boca Raton),33434,476,2.48,2.48,23510000.0,21150.38818185886,1754588091004,Synapse54,1754588091004,Synapse54
53,33435 (Boynton Beach),33435,971,3.02,3.02,20740000.0,52531.523346731716,1754588091004,Synapse54,1754588091004,Synapse54
54,33436 (Boynton Beach),33436,1016,2.76,2.76,38512500.0,31920.240100970346,1754588091004,Synapse54,1754588091004,Synapse54
55,33437 (Boynton Beach),33437,859,2.5,2.5,37012500.0,25838.734493108284,1754588091004,Synapse54,1754588091004,Synapse54
56,33438 (Canal Point),33438,15,3.36,3.36,91003750.0,67809.4848555068,1754588091004,Synapse54,1754588091004,Synapse54
57,33440 (Clewiston),33440,470,3.01,3.01,1950035555.5546875,307510.0738107698,1754588091004,Synapse54,1754588091004,Synapse54
58,33441 (Deerfield Beach),33441,668,2.83,2.83,16008750.0,20136.62519790857,1754588091004,Synapse54,1754588091004,Synapse54
59,33442 (Deerfield Beach),33442,792,2.83,2.83,25168750.0,23732.786192992025,1754588091004,Synapse54,1754588091004,Synapse54
60,33444 (Delray Beach),33444,564,2.96,2.96,16837500.0,22766.292527452686,1754588091004,Synapse54,1754588091004,Synapse54
61,33445 (Delray Beach),33445,860,3.01,3.01,26000000.0,23539.8841718528,1754588091004,Synapse54,1754588091004,Synapse54
62,33446 (Delray Beach),33446,626,2.23,2.23,62832500.0,36460.96103689889,1754588091004,Synapse54,1754588091004,Synapse54
63,33449 (Lake Worth),33449,194,2.45,2.45,53980000.0,35468.432941011015,1754588091004,Synapse54,1754588091004,Synapse54
64,33455 (Hobe Sound),33455,477,2.5,2.5,211936936.69726562,178384.88412980016,1754588091004,Synapse54,1754588091004,Synapse54
65,33458 (Jupiter),33458,1237,2.79,2.79,66646060.923828125,52228.61095795951,1754588091004,Synapse54,1754588091004,Synapse54
66,33460 (Lake Worth Beach),33460,695,2.4,2.4,14898190.7890625,25033.23305819856,1754588091004,Synapse54,1754588091004,Synapse54
67,33461 (Lake Worth),33461,905,2.41,2.41,25250000.0,28076.258369691852,1754588091004,Synapse54,1754588091004,Synapse54
68,33462 (Lake Worth),33462,882,3.1,3.1,27715559.2109375,60976.298837552145,1754588091004,Synapse54,1754588091004,Synapse54
69,33463 (Lake Worth),33463,1535,3.04,3.04,35335000.0,30553.96627701183,1754588091004,Synapse54,1754588091004,Synapse54
70,33467 (Lake Worth),33467,1478,2.93,2.93,61317500.0,33906.35291105451,1754588091004,Synapse54,1754588091004,Synapse54
71,33469 (Jupiter),33469,305,2.38,2.38,36657500.0,63215.359798150464,1754588091004,Synapse54,1754588091004,Synapse54
72,33470 (Loxahatchee),33470,1013,3.37,3.37,1448760000.0,202274.41447634075,1754588091004,Synapse54,1754588091004,Synapse54
73,33471 (Moore Haven),33471,182,3.32,3.32,1682803750.0,336020.5385984435,1754588091004,Synapse54,1754588091004,Synapse54
74,33472 (Boynton Beach),33472,431,2.66,2.66,43745000.0,43307.967349053826,1754588091004,Synapse54,1754588091004,Synapse54
75,33473 (Boynton Beach),33473,267,2.54,2.54,26855000.0,32973.39058380805,1754588091004,Synapse54,1754588091004,Synapse54
76,33476 (Pahokee),33476,174,3.17,3.17,65206250.0,46198.61435573797,1754588091004,Synapse54,1754588091004,Synapse54
77,33477 (Jupiter),33477,243,1.99,1.99,19965859.9296875,75039.0755705744,1754588091004,Synapse54,1754588091004,Synapse54
78,33478 (Jupiter),33478,351,2.97,2.97,197121250.0,69869.8090032051,1754588091004,Synapse54,1754588091004,Synapse54
79,33480 (Palm Beach),33480,196,1.93,1.93,12435000.0,59683.373113150206,1754588091004,Synapse54,1754588091004,Synapse54
80,33483 (Delray Beach),33483,308,2.46,2.46,12545000.0,62550.95970231707,1754588091004,Synapse54,1754588091004,Synapse54
81,33484 (Delray Beach),33484,620,2.39,2.39,20327500.0,20507.814532918943,1754588091004,Synapse54,1754588091004,Synapse54
82,33486 (Boca Raton),33486,467,2.66,2.66,17785000.0,19709.855598794922,1754588091004,Synapse54,1754588091004,Synapse54
83,33487 (Boca Raton),33487,542,2.72,2.72,23523750.0,22785.591196029432,1754588091004,Synapse54,1754588091004,Synapse54
84,33493 (South Bay),33493,125,3.04,3.04,182738750.0,71403.41271541319,1754588091004,Synapse54,1754588091004,Synapse54
85,33496 (Boca Raton),33496,542,2.38,2.38,33811250.0,26012.339904673936,1754588091004,Synapse54,1754588091004,Synapse54
86,33498 (Boca Raton),33498,312,2.62,2.62,39127500.0,31108.73378026314,1754588091004,Synapse54,1754588091004,Synapse54
87,33510 (Brandon),33510,805,3.34,3.34,27703750.0,26239.762483096973,1754588091004,Synapse54,1754588091004,Synapse54
88,33511 (Brandon),33511,1599,3.42,3.42,53068750.0,41235.39895271919,1754588091004,Synapse54,1754588091004,Synapse54
89,33513 (Bushnell),33513,341,3.03,3.03,374723750.0,107598.33984955748,1754588091004,Synapse54,1754588091004,Synapse54
