OBJECTID,DESCRIPTION,ID,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,33308 (Fort Lauderdale),33308,3149,10.49,10.49,15811250.0,19390.05511158474,1754587948259,Synapse54,1754587948259,Synapse54
2,33309 (Fort Lauderdale),33309,8328,21.45,21.45,34082500.0,25278.01461278224,1754587948259,Synapse54,1754587948259,Synapse54
3,33311 (Fort Lauderdale),33311,17399,24.47,24.47,34866250.0,24090.6179851779,1754587948259,Synapse54,1754587948259,Synapse54
4,33312 (Fort Lauderdale),33312,10959,20.77,20.77,37297500.0,33579.58526348175,1754587948259,Synapse54,1754587948259,Synapse54
5,33313 (Fort Lauderdale),33313,14151,23.49,23.49,19248750.0,23025.979446093235,1754587948259,Synapse54,1754587948259,Synapse54
6,33314 (Fort Lauderdale),33314,8167,26.12,26.12,28330000.0,25570.926708640945,1754587948259,Synapse54,1754587948259,Synapse54
7,32003 (Fleming Island),32003,6586,22.34,22.34,55165000.0,43146.45444871945,1754587948259,Synapse54,1754587948259,Synapse54
8,33315 (Fort Lauderdale),33315,2238,15.58,15.58,18063750.0,20382.60576124309,1754587948259,Synapse54,1754587948259,Synapse54
9,32008 (Branford),32008,1093,18.94,18.94,522930000.0,186304.20316408772,1754587948259,Synapse54,1754587948259,Synapse54
10,33316 (Fort Lauderdale),33316,1722,12.91,12.91,14876250.0,46210.54508907569,1754587948259,Synapse54,1754587948259,Synapse54
11,32009 (Bryceville),32009,660,20.21,20.21,313680000.0,95473.99688899332,1754587948259,Synapse54,1754587948259,Synapse54
12,32011 (Callahan),32011,3502,21.74,21.74,556265000.0,171650.58419921156,1754587948259,Synapse54,1754587948259,Synapse54
13,32013 (Day),32013,6,8.7,8.7,125421250.0,55197.04434867525,1754587948259,Synapse54,1754587948259,Synapse54
14,32024 (Lake City),32024,4319,20.75,20.75,510122500.0,184277.73147947292,1754587948259,Synapse54,1754587948259,Synapse54
15,32025 (Lake City),32025,4788,20.77,20.77,383261250.0,139091.62815710856,1754587948259,Synapse54,1754587948259,Synapse54
16,32033 (Elkton),32033,833,17.15,17.15,267420000.0,73716.57624283149,1754587948259,Synapse54,1754587948259,Synapse54
17,32034 (Fernandina Beach),32034,6432,15.18,15.18,233356298.55664062,347509.9837097279,1754587948259,Synapse54,1754587948259,Synapse54
18,32038 (Fort White),32038,1950,18.35,18.35,360995000.0,112474.40795634776,1754587948259,Synapse54,1754587948259,Synapse54
19,32040 (Glen Saint Mary),32040,1870,22.66,22.66,494602500.0,188447.30167305854,1754587948259,Synapse54,1754587948259,Synapse54
20,32043 (Green Cove Springs),32043,8859,22.16,22.16,718230468.75,155245.99029568757,1754587948259,Synapse54,1754587948259,Synapse54
21,32044 (Hampton),32044,459,20.94,20.94,84555000.0,66890.66062744909,1754587948259,Synapse54,1754587948259,Synapse54
22,32046 (Hilliard),32046,2187,22.01,22.01,714517500.0,198482.3728130147,1754587948259,Synapse54,1754587948259,Synapse54
23,32052 (Jasper),32052,1397,18.51,18.51,1231902500.0,255649.4209108768,1754587948259,Synapse54,1754587948259,Synapse54
24,32053 (Jennings),32053,855,21.63,21.63,386407500.0,107393.87196043173,1754587948259,Synapse54,1754587948259,Synapse54
25,32054 (Lake Butler),32054,2761,21.28,21.28,755430000.0,150472.74601522883,1754587948259,Synapse54,1754587948259,Synapse54
26,32055 (Lake City),32055,3582,21.27,21.27,1376896250.0,237313.42834078602,1754587948259,Synapse54,1754587948259,Synapse54
27,32058 (Lawtey),32058,786,17.23,17.23,230955000.0,82045.84721019934,1754587948259,Synapse54,1754587948259,Synapse54
28,32059 (Lee),32059,609,22.28,22.28,412461250.0,132215.909278295,1754587948259,Synapse54,1754587948259,Synapse54
29,32060 (Live Oak),32060,4647,20.5,20.5,1377501250.0,271301.34176782134,1754587948259,Synapse54,1754587948259,Synapse54
30,32061 (Lulu),32061,86,22.99,22.99,44868750.0,53174.76578796011,1754587948259,Synapse54,1754587948259,Synapse54
31,32062 (Mc Alpin),32062,577,19.23,19.23,249885000.0,129372.06317449646,1754587948259,Synapse54,1754587948259,Synapse54
32,32063 (Macclenny),32063,3607,24.07,24.07,265378750.0,98574.70592909807,1754587948259,Synapse54,1754587948259,Synapse54
33,32064 (Live Oak),32064,1846,24.33,24.33,30410000.0,38646.434095186465,1754587948259,Synapse54,1754587948259,Synapse54
34,32065 (Orange Park),32065,11072,26.22,26.22,65606250.0,57080.76401930857,1754587948259,Synapse54,1754587948259,Synapse54
35,32066 (Mayo),32066,1297,20.24,20.24,1534735000.0,227334.19230538307,1754587948259,Synapse54,1754587948259,Synapse54
36,32068 (Middleburg),32068,14404,23.04,23.04,390277500.0,138127.69182408194,1754587948259,Synapse54,1754587948259,Synapse54
37,32071 (O Brien),32071,799,19.35,19.35,317102500.0,134074.62014474577,1754587948259,Synapse54,1754587948259,Synapse54
38,32073 (Orange Park),32073,9244,21.16,21.16,57490000.0,46305.64432710374,1754587948259,Synapse54,1754587948259,Synapse54
39,32080 (Saint Augustine),32080,3023,13.39,13.39,50928948.958984375,148271.8299791149,1754587948259,Synapse54,1754587948259,Synapse54
40,32081 (Ponte Vedra),32081,7624,23.2,23.2,126176250.0,58725.47465648841,1754587948259,Synapse54,1754587948259,Synapse54
41,32082 (Ponte Vedra Beach),32082,6393,19.67,19.67,148404350.19921875,170176.92969934983,1754587948259,Synapse54,1754587948259,Synapse54
42,32083 (Raiford),32083,462,14.4,14.4,139503750.0,63506.07878696885,1754587948259,Synapse54,1754587948259,Synapse54
43,32084 (Saint Augustine),32084,8232,19.92,19.92,131803547.31054688,123562.98574353755,1754587948259,Synapse54,1754587948259,Synapse54
44,32086 (Saint Augustine),32086,5384,15.59,15.59,229679478.42578125,134974.8523299715,1754587948259,Synapse54,1754587948259,Synapse54
