OBJECTID,DESCRIPTION,ID,MP10120A_B,MP10120A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,32003 (Fleming Island),32003,1725,7.29,7.29,55165000.0,43146.45444871945,1754587961394,Synapse54,1754587961394,Synapse54
2,32008 (Branford),32008,318,6.75,6.75,522930000.0,186304.20316408772,1754587961394,Synapse54,1754587961394,Synapse54
3,32009 (Bryceville),32009,194,7.39,7.39,313680000.0,95473.99688899332,1754587961394,Synapse54,1754587961394,Synapse54
4,32011 (Callahan),32011,961,7.56,7.56,556265000.0,171650.58419921156,1754587961394,Synapse54,1754587961394,Synapse54
5,32013 (Day),32013,4,6.06,6.06,125421250.0,55197.04434867525,1754587961394,Synapse54,1754587961394,Synapse54
6,32024 (Lake City),32024,1102,6.66,6.66,510122500.0,184277.73147947292,1754587961394,Synapse54,1754587961394,Synapse54
7,32025 (Lake City),32025,1337,7.27,7.27,383261250.0,139091.62815710856,1754587961394,Synapse54,1754587961394,Synapse54
8,32033 (Elkton),32033,211,5.32,5.32,267420000.0,73716.57624283149,1754587961394,Synapse54,1754587961394,Synapse54
9,32034 (Fernandina Beach),32034,1963,5.45,5.45,233356298.55664062,347509.9837097279,1754587961394,Synapse54,1754587961394,Synapse54
10,32038 (Fort White),32038,569,6.6,6.6,360995000.0,112474.40795634776,1754587961394,Synapse54,1754587961394,Synapse54
11,32040 (Glen Saint Mary),32040,455,7.07,7.07,494602500.0,188447.30167305854,1754587961394,Synapse54,1754587961394,Synapse54
12,32043 (Green Cove Springs),32043,2259,7.29,7.29,718230468.75,155245.99029568757,1754587961394,Synapse54,1754587961394,Synapse54
13,32044 (Hampton),32044,112,6.45,6.45,84555000.0,66890.66062744909,1754587961394,Synapse54,1754587961394,Synapse54
14,32046 (Hilliard),32046,561,7.24,7.24,714517500.0,198482.3728130147,1754587961394,Synapse54,1754587961394,Synapse54
