OBJECTID,DESCRIPTION,ID,MP10138A_B,MP10138A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,32003 (Fleming Island),32003,817,3.45,3.45,55165000.0,43146.45444871945,1754588013551,Synapse54,1754588013551,Synapse54
2,32008 (Branford),32008,81,1.72,1.72,522930000.0,186304.20316408772,1754588013551,Synapse54,1754588013551,Synapse54
3,32009 (Bryceville),32009,84,3.2,3.2,313680000.0,95473.99688899332,1754588013551,Synapse54,1754588013551,Synapse54
4,32011 (Callahan),32011,391,3.08,3.08,556265000.0,171650.58419921156,1754588013551,Synapse54,1754588013551,Synapse54
5,32013 (Day),32013,1,1.52,1.52,125421250.0,55197.04434867525,1754588013551,Synapse54,1754588013551,Synapse54
6,32024 (Lake City),32024,439,2.65,2.65,510122500.0,184277.73147947292,1754588013551,Synapse54,1754588013551,Synapse54
7,32025 (Lake City),32025,452,2.46,2.46,383261250.0,139091.62815710856,1754588013551,Synapse54,1754588013551,Synapse54
8,32033 (Elkton),32033,114,2.87,2.87,267420000.0,73716.57624283149,1754588013551,Synapse54,1754588013551,Synapse54
9,32034 (Fernandina Beach),32034,1139,3.16,3.16,233356298.55664062,347509.9837097279,1754588013551,Synapse54,1754588013551,Synapse54
10,32038 (Fort White),32038,217,2.52,2.52,360995000.0,112474.40795634776,1754588013551,Synapse54,1754588013551,Synapse54
11,32040 (Glen Saint Mary),32040,191,2.97,2.97,494602500.0,188447.30167305854,1754588013551,Synapse54,1754588013551,Synapse54
12,32043 (Green Cove Springs),32043,991,3.2,3.2,718230468.75,155245.99029568757,1754588013551,Synapse54,1754588013551,Synapse54
13,32044 (Hampton),32044,27,1.56,1.56,84555000.0,66890.66062744909,1754588013551,Synapse54,1754588013551,Synapse54
14,32046 (Hilliard),32046,239,3.08,3.08,714517500.0,198482.3728130147,1754588013551,Synapse54,1754588013551,Synapse54
15,32052 (Jasper),32052,118,1.9,1.9,1231902500.0,255649.4209108768,1754588013551,Synapse54,1754588013551,Synapse54
16,32053 (Jennings),32053,44,1.42,1.42,386407500.0,107393.87196043173,1754588013551,Synapse54,1754588013551,Synapse54
17,32054 (Lake Butler),32054,232,2.25,2.25,755430000.0,150472.74601522883,1754588013551,Synapse54,1754588013551,Synapse54
18,32055 (Lake City),32055,314,2.35,2.35,1376896250.0,237313.42834078602,1754588013551,Synapse54,1754588013551,Synapse54
19,32058 (Lawtey),32058,64,1.66,1.66,230955000.0,82045.84721019934,1754588013551,Synapse54,1754588013551,Synapse54
20,33306 (Fort Lauderdale),33306,146,4.13,4.13,2742500.0,8159.581105997408,1754588013551,Synapse54,1754588013551,Synapse54
21,32059 (Lee),32059,50,2.39,2.39,412461250.0,132215.909278295,1754588013551,Synapse54,1754588013551,Synapse54
22,32060 (Live Oak),32060,383,2.09,2.09,1377501250.0,271301.34176782134,1754588013551,Synapse54,1754588013551,Synapse54
23,32061 (Lulu),32061,6,2.04,2.04,44868750.0,53174.76578796011,1754588013551,Synapse54,1754588013551,Synapse54
24,32062 (Mc Alpin),32062,51,2.12,2.12,249885000.0,129372.06317449646,1754588013551,Synapse54,1754588013551,Synapse54
25,32063 (Macclenny),32063,319,2.79,2.79,265378750.0,98574.70592909807,1754588013551,Synapse54,1754588013551,Synapse54
26,32064 (Live Oak),32064,133,2.28,2.28,30410000.0,38646.434095186465,1754588013551,Synapse54,1754588013551,Synapse54
27,32065 (Orange Park),32065,1117,3.46,3.46,65606250.0,57080.76401930857,1754588013551,Synapse54,1754588013551,Synapse54
28,32066 (Mayo),32066,108,2.03,2.03,1534735000.0,227334.19230538307,1754588013551,Synapse54,1754588013551,Synapse54
29,32068 (Middleburg),32068,1497,3.11,3.11,390277500.0,138127.69182408194,1754588013551,Synapse54,1754588013551,Synapse54
