OBJECTID,name,address,locality,region,postcode,country,fsq_category,fsq_category_all,INDUSTRY_DESC,source,esri_pid,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,H&R Block,223 E Granada Blvd,Ormond Beach,FL,32176,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,e8c8e51494be5cec3cff39734d0afbec,"H&R Block, 223 E Granada Blvd, Ormond Beach, FL",29.292265869810393,-81.04123359092041,1754588154609,Synapse54,1754588154609,Synapse54
2,H&R Block,2619 Thonotosassa Rd,Plant City,FL,33563,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,4f157ece40b1f1d721998f8f24e39a34,"H&R Block, 2619 Thonotosassa Rd, Plant City, FL",28.024615639983953,-82.15120385596106,1754588154609,Synapse54,1754588154609,Synapse54
3,H&R Block,6915 Taft St,Hollywood,FL,33024,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,73a3772b7a367378930c4f5dbb3f5ffb,"H&R Block, 6915 Taft St, Hollywood, FL",26.025681070246957,-80.22683884698151,1754588154609,Synapse54,1754588154609,Synapse54
4,H&R Block,3980 Southside Blvd,Jacksonville,FL,32216,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,594f9ef45d7af93248e7d1546417ad63,"H&R Block, 3980 Southside Blvd, Jacksonville, FL",30.27501011478398,-81.55995593225087,1754588154609,Synapse54,1754588154609,Synapse54
5,H&R Block,4901 E Silver Springs Blvd,Ocala,FL,34470,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,7253cc81742e8c786ae5c951598b2c1e,"H&R Block, 4901 E Silver Springs Blvd, Ocala, FL",29.21111518578641,-82.06867164408581,1754588154609,Synapse54,1754588154609,Synapse54
6,H&R Block,736 N Tyndall Pkwy,Callaway,FL,32404,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,b312bfca9600194da8c6f745718ea995,"H&R Block, 736 N Tyndall Pkwy, Callaway, FL",30.162882999908177,-85.59044100007435,1754588154609,Synapse54,1754588154609,Synapse54
7,H&R Block,254 S Federal Hwy,Deerfield Beach,FL,33441,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,2a454d864fab6e694e2df4c1743d306e,"H&R Block, 254 S Federal Hwy, Deerfield Beach, FL",26.314852900078737,-80.08970769958569,1754588154609,Synapse54,1754588154609,Synapse54
8,H&R Block,1609 N Nova Rd,Holly Hill,FL,32117,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,1e69548ca587c9b86ada0088d48a6182,"H&R Block, 1609 N Nova Rd, Holly Hill, FL",29.240522645330046,-81.05763584435321,1754588154609,Synapse54,1754588154609,Synapse54
9,H&R Block,1605 E Sunrise Blvd,Fort Lauderdale,FL,33304,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,47c90a824c725805363f7e4946ac836b,"H&R Block, 1605 E Sunrise Blvd, Fort Lauderdale, FL",26.137720963144673,-80.12742378569135,1754588154609,Synapse54,1754588154609,Synapse54
10,H&R Block,4922 38th Ave N Ste A,Saint Petersburg,FL,33710,US,"63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","4d4b7105d754a06375d81259, 63be6904847c3692a84b9b3d, 63be6904847c3692a84b9b6b","Business and Professional Services, Financial Service, Legal Service",Foursquare,208dd6f65dde7181b06b2f4dfa269216,"H&R Block, 4922 38th Ave N Ste A, Saint Petersburg, FL",27.806153346286205,-82.70079293478301,1754588154609,Synapse54,1754588154609,Synapse54
