OBJECTID,DESCRIPTION,ID,MP10110A_B,MP10110A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,33306 (Fort Lauderdale),33306,745,21.09,21.09,2742500.0,8159.581105997408,1754587977575,Synapse54,1754587977575,Synapse54
2,33309 (Fort Lauderdale),33309,6434,20.77,20.77,34082500.0,25278.01461278224,1754587977575,Synapse54,1754587977575,Synapse54
3,33311 (Fort Lauderdale),33311,9522,17.61,17.61,34866250.0,24090.6179851779,1754587977575,Synapse54,1754587977575,Synapse54
4,33312 (Fort Lauderdale),33312,8794,20.98,20.98,37297500.0,33579.58526348175,1754587977575,Synapse54,1754587977575,Synapse54
5,33313 (Fort Lauderdale),33313,8478,18.36,18.36,19248750.0,23025.979446093235,1754587977575,Synapse54,1754587977575,Synapse54
6,33314 (Fort Lauderdale),33314,5306,21.09,21.09,28330000.0,25570.926708640945,1754587977575,Synapse54,1754587977575,Synapse54
7,33315 (Fort Lauderdale),33315,2629,21.62,21.62,18063750.0,20382.60576124309,1754587977575,Synapse54,1754587977575,Synapse54
8,33316 (Fort Lauderdale),33316,2551,21.37,21.37,14876250.0,46210.54508907569,1754587977575,Synapse54,1754587977575,Synapse54
9,33317 (Fort Lauderdale),33317,5869,19.75,19.75,31083750.0,25375.68008599423,1754587977575,Synapse54,1754587977575,Synapse54
10,33319 (Fort Lauderdale),33319,7564,17.34,17.34,23122500.0,21649.31311622569,1754587977575,Synapse54,1754587977575,Synapse54
11,33321 (Fort Lauderdale),33321,8081,18.2,18.2,26412500.0,22967.287971361377,1754587977575,Synapse54,1754587977575,Synapse54
12,33322 (Fort Lauderdale),33322,6218,17.58,17.58,18948750.0,25703.182489703755,1754587977575,Synapse54,1754587977575,Synapse54
13,33323 (Fort Lauderdale),33323,4130,21.99,21.99,25940000.0,31044.796511582044,1754587977575,Synapse54,1754587977575,Synapse54
14,33324 (Fort Lauderdale),33324,8519,20.29,20.29,30988768.318359375,29333.60408156667,1754587977575,Synapse54,1754587977575,Synapse54
15,33325 (Fort Lauderdale),33325,5018,20.67,20.67,30413750.0,25505.647921672182,1754587977575,Synapse54,1754587977575,Synapse54
16,33326 (Fort Lauderdale),33326,5957,21.77,21.77,27883750.0,22975.806458753763,1754587977575,Synapse54,1754587977575,Synapse54
17,33327 (Fort Lauderdale),33327,3868,23.18,23.18,27011250.0,29284.017301700416,1754587977575,Synapse54,1754587977575,Synapse54
18,33328 (Fort Lauderdale),33328,4830,21.21,21.21,29535000.0,26562.20785022335,1754587977575,Synapse54,1754587977575,Synapse54
19,33330 (Fort Lauderdale),33330,2407,20.8,20.8,35945000.0,25549.60892418932,1754587977575,Synapse54,1754587977575,Synapse54
20,33331 (Fort Lauderdale),33331,4147,22.3,22.3,38580000.0,25808.23908534054,1754587977575,Synapse54,1754587977575,Synapse54
21,33332 (Fort Lauderdale),33332,1923,22.91,22.91,50163750.0,45943.05472753459,1754587977575,Synapse54,1754587977575,Synapse54
22,33334 (Fort Lauderdale),33334,5182,20.44,20.44,16035000.0,20533.723375244903,1754587977575,Synapse54,1754587977575,Synapse54
23,33351 (Fort Lauderdale),33351,6400,20.54,20.54,19243750.0,23121.532312449646,1754587977575,Synapse54,1754587977575,Synapse54
24,33388 (Plantation),33388,0,0.0,0.0,47500.0,1476.1005788060236,1754587977575,Synapse54,1754587977575,Synapse54
25,33394 (Fort Lauderdale),33394,271,30.83,30.83,70000.0,1100.0,1754587977575,Synapse54,1754587977575,Synapse54
26,33401 (West Palm Beach),33401,5927,20.2,20.2,21935000.0,23543.793792445435,1754587977575,Synapse54,1754587977575,Synapse54
27,33403 (West Palm Beach),33403,2030,18.5,18.5,11611250.0,19888.84724360431,1754587977575,Synapse54,1754587977575,Synapse54
28,33404 (West Palm Beach),33404,4478,16.84,16.84,25051527.779296875,52016.70492109433,1754587977575,Synapse54,1754587977575,Synapse54
