OBJECTID,DESCRIPTION,ID,MP10028A_B,MP10028A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,32003 (Fleming Island),32003,1360,5.75,5.75,55165000.0,43146.45444871945,1754588027104,Synapse54,1754588027104,Synapse54
2,32008 (Branford),32008,297,6.31,6.31,522930000.0,186304.20316408772,1754588027104,Synapse54,1754588027104,Synapse54
3,32009 (Bryceville),32009,191,7.27,7.27,313680000.0,95473.99688899332,1754588027104,Synapse54,1754588027104,Synapse54
4,33306 (Fort Lauderdale),33306,183,5.18,5.18,2742500.0,8159.581105997408,1754588027104,Synapse54,1754588027104,Synapse54
5,33309 (Fort Lauderdale),33309,1859,6.0,6.0,34082500.0,25278.01461278224,1754588027104,Synapse54,1754588027104,Synapse54
6,33311 (Fort Lauderdale),33311,2972,5.5,5.5,34866250.0,24090.6179851779,1754588027104,Synapse54,1754588027104,Synapse54
7,33312 (Fort Lauderdale),33312,2445,5.83,5.83,37297500.0,33579.58526348175,1754588027104,Synapse54,1754588027104,Synapse54
8,33313 (Fort Lauderdale),33313,2562,5.55,5.55,19248750.0,23025.979446093235,1754588027104,Synapse54,1754588027104,Synapse54
9,33314 (Fort Lauderdale),33314,1626,6.46,6.46,28330000.0,25570.926708640945,1754588027104,Synapse54,1754588027104,Synapse54
10,33315 (Fort Lauderdale),33315,694,5.71,5.71,18063750.0,20382.60576124309,1754588027104,Synapse54,1754588027104,Synapse54
11,33316 (Fort Lauderdale),33316,709,5.94,5.94,14876250.0,46210.54508907569,1754588027104,Synapse54,1754588027104,Synapse54
12,33317 (Fort Lauderdale),33317,1745,5.87,5.87,31083750.0,25375.68008599423,1754588027104,Synapse54,1754588027104,Synapse54
13,32011 (Callahan),32011,918,7.22,7.22,556265000.0,171650.58419921156,1754588027104,Synapse54,1754588027104,Synapse54
14,33319 (Fort Lauderdale),33319,2566,5.88,5.88,23122500.0,21649.31311622569,1754588027104,Synapse54,1754588027104,Synapse54
15,33321 (Fort Lauderdale),33321,2625,5.91,5.91,26412500.0,22967.287971361377,1754588027104,Synapse54,1754588027104,Synapse54
16,33322 (Fort Lauderdale),33322,2015,5.7,5.7,18948750.0,25703.182489703755,1754588027104,Synapse54,1754588027104,Synapse54
17,33323 (Fort Lauderdale),33323,1174,6.25,6.25,25940000.0,31044.796511582044,1754588027104,Synapse54,1754588027104,Synapse54
18,33324 (Fort Lauderdale),33324,2552,6.08,6.08,30988768.318359375,29333.60408156667,1754588027104,Synapse54,1754588027104,Synapse54
19,33325 (Fort Lauderdale),33325,1481,6.1,6.1,30413750.0,25505.647921672182,1754588027104,Synapse54,1754588027104,Synapse54
20,33326 (Fort Lauderdale),33326,1711,6.25,6.25,27883750.0,22975.806458753763,1754588027104,Synapse54,1754588027104,Synapse54
21,33327 (Fort Lauderdale),33327,1055,6.32,6.32,27011250.0,29284.017301700416,1754588027104,Synapse54,1754588027104,Synapse54
