OBJECTID,DESCRIPTION,ID,MP10116A_B,MP10116A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,33306 (Fort Lauderdale),33306,591,16.73,16.73,2742500.0,8159.581105997408,1754588058897,Synapse54,1754588058897,Synapse54
2,33309 (Fort Lauderdale),33309,7016,22.65,22.65,34082500.0,25278.01461278224,1754588058897,Synapse54,1754588058897,Synapse54
3,33311 (Fort Lauderdale),33311,12070,22.33,22.33,34866250.0,24090.6179851779,1754588058897,Synapse54,1754588058897,Synapse54
4,33312 (Fort Lauderdale),33312,8986,21.44,21.44,37297500.0,33579.58526348175,1754588058897,Synapse54,1754588058897,Synapse54
5,33313 (Fort Lauderdale),33313,10156,21.99,21.99,19248750.0,23025.979446093235,1754588058897,Synapse54,1754588058897,Synapse54
6,33314 (Fort Lauderdale),33314,5510,21.91,21.91,28330000.0,25570.926708640945,1754588058897,Synapse54,1754588058897,Synapse54
7,33315 (Fort Lauderdale),33315,2256,18.55,18.55,18063750.0,20382.60576124309,1754588058897,Synapse54,1754588058897,Synapse54
8,33316 (Fort Lauderdale),33316,1842,15.43,15.43,14876250.0,46210.54508907569,1754588058897,Synapse54,1754588058897,Synapse54
9,33317 (Fort Lauderdale),33317,5693,19.16,19.16,31083750.0,25375.68008599423,1754588058897,Synapse54,1754588058897,Synapse54
10,33319 (Fort Lauderdale),33319,9349,21.43,21.43,23122500.0,21649.31311622569,1754588058897,Synapse54,1754588058897,Synapse54
11,33321 (Fort Lauderdale),33321,8741,19.69,19.69,26412500.0,22967.287971361377,1754588058897,Synapse54,1754588058897,Synapse54
12,33322 (Fort Lauderdale),33322,6715,18.99,18.99,18948750.0,25703.182489703755,1754588058897,Synapse54,1754588058897,Synapse54
13,33323 (Fort Lauderdale),33323,3685,19.62,19.62,25940000.0,31044.796511582044,1754588058897,Synapse54,1754588058897,Synapse54
14,33324 (Fort Lauderdale),33324,8147,19.41,19.41,30988768.318359375,29333.60408156667,1754588058897,Synapse54,1754588058897,Synapse54
