OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22106A_B,MP22106A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62231 (Carlyle),Clinton County,Illinois,86264096fffffff,5,2.54,2.54,58047499.99609375,28386.856971241083,1758493227539,Synapse54,1758493227539,Synapse54
2,62253 (Keyesport),Bond County,Illinois,862640977ffffff,3,2.34,2.34,58047499.99609375,28392.399285997897,1758493227539,Synapse54,1758493227539,Synapse54
3,62249 (Highland),Madison County,Illinois,862640987ffffff,42,2.47,2.47,58317500.0,28448.548989988485,1758493227539,Synapse54,1758493227539,Synapse54
4,62249 (Highland),Clinton County,Illinois,86264098fffffff,8,2.11,2.11,58218750.0,28431.039045424375,1758493227539,Synapse54,1758493227539,Synapse54
5,62249 (Highland),Madison County,Illinois,862640997ffffff,104,2.48,2.48,58116250.0,28403.840614594294,1758493227539,Synapse54,1758493227539,Synapse54
6,62249 (Highland),Madison County,Illinois,86264099fffffff,120,2.51,2.51,58116250.0,28403.840614594294,1758493227539,Synapse54,1758493227539,Synapse54
7,62943 (Grantsburg),Johnson County,Illinois,8626410cfffffff,4,2.3,2.3,56407499.99609375,27984.267245494222,1758493227539,Synapse54,1758493227539,Synapse54
8,62943 (Grantsburg),Johnson County,Illinois,8626410dfffffff,4,2.34,2.34,56489999.99609375,28003.11334361876,1758493227539,Synapse54,1758493227539,Synapse54
9,61437 (Gladstone),Henderson County,Illinois,862670a27ffffff,5,2.14,2.14,61728750.00390625,29273.52334826197,1758493227539,Synapse54,1758493227539,Synapse54
10,62275 (Pocahontas),Bond County,Illinois,8626409a7ffffff,10,2.2,2.2,58116250.0,28403.840614594294,1758493227539,Synapse54,1758493227539,Synapse54
11,62910 (Brookport),Pope County,Illinois,862641207ffffff,2,2.2,2.2,55923750.0,27859.47846816504,1758493227539,Synapse54,1758493227539,Synapse54
12,61437 (Gladstone),Henderson County,Illinois,862670a2fffffff,2,2.44,2.44,61728750.0,29273.72473394963,1758493227539,Synapse54,1758493227539,Synapse54
13,62910 (Brookport),Pope County,Illinois,86264120fffffff,3,2.46,2.46,55776250.0,27824.29021566158,1758493227539,Synapse54,1758493227539,Synapse54
14,62275 (Pocahontas),Bond County,Illinois,8626409afffffff,9,1.93,1.93,58047500.0,28386.856971241083,1758493227539,Synapse54,1758493227539,Synapse54
15,62910 (Brookport),Massac County,Illinois,862641217ffffff,3,2.63,2.63,55957500.0,27876.803127537594,1758493227539,Synapse54,1758493227539,Synapse54
16,62910 (Brookport),Massac County,Illinois,86264121fffffff,7,2.46,2.46,55938750.00390625,27862.47750898574,1758493227539,Synapse54,1758493227539,Synapse54
17,52601 (Burlington),Des Moines County,Iowa,862670a37ffffff,2,2.13,2.13,61747500.0,29277.26663996895,1758493227539,Synapse54,1758493227539,Synapse54
18,62249 (Highland),Madison County,Illinois,8626409b7ffffff,17,2.38,2.38,58218750.0,28431.039045424375,1758493227539,Synapse54,1758493227539,Synapse54
19,42081 (Smithland),Livingston County,Kentucky,862641227ffffff,1,1.64,1.64,55943750.0,27868.17562579575,1758493227539,Synapse54,1758493227539,Synapse54
20,61471 (Raritan),Henderson County,Illinois,862670a47ffffff,1,1.39,1.39,61263750.0,29163.77102725753,1758493227539,Synapse54,1758493227539,Synapse54
21,42081 (Smithland),Livingston County,Kentucky,86264122fffffff,1,1.89,1.89,55776250.0,27824.29021566158,1758493227539,Synapse54,1758493227539,Synapse54
22,62808 (Ashley),Washington County,Illinois,862640a07ffffff,3,1.89,1.89,57405000.00390625,28231.015249934626,1758493227539,Synapse54,1758493227539,Synapse54
23,62938 (Golconda),Pope County,Illinois,862641237ffffff,1,2.33,2.33,55943750.0,27868.17562579575,1758493227539,Synapse54,1758493227539,Synapse54
24,61471 (Raritan),Henderson County,Illinois,862670a4fffffff,2,1.98,1.98,60959999.99609375,29093.10339290015,1758493227539,Synapse54,1758493227539,Synapse54
25,42058 (Ledbetter),Livingston County,Kentucky,862641257ffffff,9,2.31,2.31,55943750.00390625,27868.17562579575,1758493227539,Synapse54,1758493227539,Synapse54
26,62831 (Du Bois),Washington County,Illinois,862640a0fffffff,6,1.99,1.99,57401250.0,28226.01941034978,1758493227539,Synapse54,1758493227539,Synapse54
27,62910 (Brookport),Massac County,Illinois,862641287ffffff,8,2.11,2.11,56092500.0,27903.118942252677,1758493227539,Synapse54,1758493227539,Synapse54
28,42086 (West Paducah),McCracken County,Kentucky,862641297ffffff,98,2.17,2.17,55938750.0,27862.47750898574,1758493227539,Synapse54,1758493227539,Synapse54
29,61480 (Stronghurst),Henderson County,Illinois,862670a57ffffff,4,2.22,2.22,61479999.99609375,29211.267968272,1758493227539,Synapse54,1758493227539,Synapse54
30,62263 (Nashville),Washington County,Illinois,862640a17ffffff,2,1.96,1.96,57602499.99609375,28276.612906269147,1758493227539,Synapse54,1758493227539,Synapse54
31,62960 (Metropolis),Massac County,Illinois,8626412a7ffffff,7,2.24,2.24,56092500.0,27903.118942252677,1758493227539,Synapse54,1758493227539,Synapse54
32,61454 (Lomax),Henderson County,Illinois,862670a5fffffff,1,2.56,2.56,61210000.0,29152.058146029645,1758493227539,Synapse54,1758493227539,Synapse54
33,62910 (Brookport),Massac County,Illinois,8626412afffffff,20,2.19,2.19,55957500.0,27876.803127537594,1758493227539,Synapse54,1758493227539,Synapse54
34,62831 (Du Bois),Washington County,Illinois,862640a1fffffff,2,2.35,2.35,57401250.00390625,28226.01941034978,1758493227539,Synapse54,1758493227539,Synapse54
35,62960 (Metropolis),Massac County,Illinois,8626412b7ffffff,31,2.64,2.64,55755000.0,27820.240556729095,1758493227539,Synapse54,1758493227539,Synapse54
36,61460 (Media),Henderson County,Illinois,862670a67ffffff,3,2.27,2.27,61479999.99609375,29211.267968272,1758493227539,Synapse54,1758493227539,Synapse54
37,62910 (Brookport),Massac County,Illinois,8626412e7ffffff,12,2.07,2.07,55755000.0,27820.240556729095,1758493227539,Synapse54,1758493227539,Synapse54
38,62808 (Ashley),Washington County,Illinois,862640a27ffffff,10,2.0,2.0,57401250.00390625,28226.01941034978,1758493227539,Synapse54,1758493227539,Synapse54
