OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22083A_B,MP22083A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62670 (New Berlin),Sangamon County,Illinois,862644ca7ffffff,8,1.32,1.32,59346249.99609375,28703.842423435308,1758493245333,Synapse54,1758493245333,Synapse54
2,62661 (Loami),Sangamon County,Illinois,862644cafffffff,9,1.1,1.1,59243750.0,28681.518563180733,1758493245333,Synapse54,1758493245333,Synapse54
3,62670 (New Berlin),Sangamon County,Illinois,862644cb7ffffff,8,1.37,1.37,59346250.0,28703.84242343531,1758493245333,Synapse54,1758493245333,Synapse54
4,62615 (Auburn),Sangamon County,Illinois,862644cc7ffffff,25,1.1,1.1,59069999.99609375,28631.905231137265,1758493245333,Synapse54,1758493245333,Synapse54
5,62692 (Waverly),Sangamon County,Illinois,862644cd7ffffff,0,0.0,0.0,59072500.0,28637.00360224485,1758493245333,Synapse54,1758493245333,Synapse54
6,62690 (Virden),Macoupin County,Illinois,862644cdfffffff,16,1.01,1.01,58851250.0,28589.323383617633,1758493245333,Synapse54,1758493245333,Synapse54
7,62629 (Chatham),Sangamon County,Illinois,862644cf7ffffff,1,1.79,1.79,59056250.00390625,28639.57729200089,1758493245333,Synapse54,1758493245333,Synapse54
8,62677 (Pleasant Plains),Sangamon County,Illinois,862644d17ffffff,4,0.65,0.65,59245000.0,28681.301214652685,1758493245333,Synapse54,1758493245333,Synapse54
9,62677 (Pleasant Plains),Sangamon County,Illinois,862644d87ffffff,1,1.03,1.03,59622500.0,28775.85273544378,1758493245333,Synapse54,1758493245333,Synapse54
10,62670 (New Berlin),Sangamon County,Illinois,862644d8fffffff,1,0.9,0.9,59346250.0,28703.622390415578,1758493245333,Synapse54,1758493245333,Synapse54
11,62677 (Pleasant Plains),Sangamon County,Illinois,862644d97ffffff,0,0.0,0.0,59346250.00390625,28703.622390415574,1758493245333,Synapse54,1758493245333,Synapse54
12,62677 (Pleasant Plains),Sangamon County,Illinois,862644d9fffffff,2,0.68,0.68,59416249.99609375,28725.816175588567,1758493245333,Synapse54,1758493245333,Synapse54
13,62677 (Pleasant Plains),Sangamon County,Illinois,862644da7ffffff,2,0.98,0.98,59243750.0,28681.518563180733,1758493245333,Synapse54,1758493245333,Synapse54
14,62711 (Springfield),Sangamon County,Illinois,862644dafffffff,4,0.66,0.66,59040000.0,28636.482783039257,1758493245333,Synapse54,1758493245333,Synapse54
15,62677 (Pleasant Plains),Sangamon County,Illinois,862644db7ffffff,10,1.31,1.31,59518749.99609375,28748.140035843146,1758493245333,Synapse54,1758493245333,Synapse54
16,62050 (Hillview),Greene County,Illinois,862646827ffffff,2,1.26,1.26,59606250.00390625,28763.57339327254,1758493245333,Synapse54,1758493245333,Synapse54
17,62050 (Hillview),Greene County,Illinois,862646837ffffff,1,0.96,0.96,59386250.0,28710.973135754874,1758493245333,Synapse54,1758493245333,Synapse54
18,62694 (Winchester),Scott County,Illinois,862646907ffffff,3,1.03,1.03,59399999.99609375,28717.77734845899,1758493245333,Synapse54,1758493245333,Synapse54
19,62082 (Roodhouse),Greene County,Illinois,86264690fffffff,1,1.11,1.11,59400000.0,28717.777348458985,1758493245333,Synapse54,1758493245333,Synapse54
20,62694 (Winchester),Scott County,Illinois,862646917ffffff,0,0.0,0.0,59606250.0,28763.57339327254,1758493245333,Synapse54,1758493245333,Synapse54
21,62050 (Hillview),Greene County,Illinois,86264691fffffff,1,1.43,1.43,59606250.0,28763.57339327254,1758493245333,Synapse54,1758493245333,Synapse54
22,62261 (Modoc),Randolph County,Illinois,862640607ffffff,0,0.0,0.0,57555000.00390625,28262.52169923816,1758493245333,Synapse54,1758493245333,Synapse54
23,62694 (Winchester),Scott County,Illinois,862646927ffffff,6,0.98,0.98,59606250.0,28763.57339327254,1758493245333,Synapse54,1758493245333,Synapse54
24,62694 (Winchester),Scott County,Illinois,86264692fffffff,1,1.15,1.15,59606250.00390625,28763.57339327254,1758493245333,Synapse54,1758493245333,Synapse54
25,61450 (La Harpe),Hancock County,Illinois,862671cb7ffffff,1,1.33,1.33,60696249.99609375,29033.06580863965,1758493245333,Synapse54,1758493245333,Synapse54
26,62694 (Winchester),Scott County,Illinois,862646937ffffff,1,0.67,0.67,59400000.00390625,28717.777348458985,1758493245333,Synapse54,1758493245333,Synapse54
27,62092 (White Hall),Greene County,Illinois,862646947ffffff,0,0.0,0.0,59329999.99609375,28696.158808551176,1758493245333,Synapse54,1758493245333,Synapse54
28,62092 (White Hall),Greene County,Illinois,862646957ffffff,18,0.93,0.93,59227500.0,28673.47973605115,1758493245333,Synapse54,1758493245333,Synapse54
29,62082 (Roodhouse),Greene County,Illinois,862646967ffffff,1,1.22,1.22,59502500.0,28740.45642095901,1758493245333,Synapse54,1758493245333,Synapse54
30,62082 (Roodhouse),Greene County,Illinois,86264696fffffff,1,1.19,1.19,59517500.0,28743.17952845296,1758493245333,Synapse54,1758493245333,Synapse54
31,62082 (Roodhouse),Greene County,Illinois,862646977ffffff,10,0.9,0.9,59708750.0,28790.565702156666,1758493245333,Synapse54,1758493245333,Synapse54
32,62361 (Pearl),Pike County,Illinois,862646987ffffff,0,0.0,0.0,59488749.99609375,28737.965444638998,1758493245333,Synapse54,1758493245333,Synapse54
33,62361 (Pearl),Pike County,Illinois,86264698fffffff,1,0.87,0.87,59488750.0,28737.965444638998,1758493245333,Synapse54,1758493245333,Synapse54
34,62363 (Pittsfield),Pike County,Illinois,862646997ffffff,0,0.0,0.0,59592500.0,28760.87664831296,1758493245333,Synapse54,1758493245333,Synapse54
35,62361 (Pearl),Pike County,Illinois,86264699fffffff,0,0.0,0.0,59592500.0,28760.87664831296,1758493245333,Synapse54,1758493245333,Synapse54
