OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22083A_B,MP22083A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53182 (Union Grove),Racine County,Wisconsin,8627599afffffff,8,0.82,0.82,68811250.00390625,30894.78288466361,1758493277867,Synapse54,1758493277867,Synapse54
2,53959 (Reedsburg),Sauk County,Wisconsin,86275e35fffffff,2,1.03,1.03,70755000.0,31331.60672174823,1758493277867,Synapse54,1758493277867,Synapse54
3,54943 (Hancock),Waushara County,Wisconsin,86275c40fffffff,2,1.03,1.03,72934999.9921875,31806.573517029345,1758493277867,Synapse54,1758493277867,Synapse54
4,54011 (Ellsworth),Pierce County,Wisconsin,86275358fffffff,2,0.61,0.61,74338750.0,32109.895930022576,1758493277867,Synapse54,1758493277867,Synapse54
5,54611 (Alma Center),Jackson County,Wisconsin,862753a5fffffff,2,0.95,0.95,73757499.9921875,31981.5880021302,1758493277867,Synapse54,1758493277867,Synapse54
6,53185 (Waterford),Racine County,Wisconsin,8627599b7ffffff,38,1.09,1.09,68853750.0,30905.571562861332,1758493277867,Synapse54,1758493277867,Synapse54
7,54921 (Bancroft),Adams County,Wisconsin,86275c417ffffff,0,0.0,0.0,73316250.00390625,31884.146418125143,1758493277867,Synapse54,1758493277867,Synapse54
8,54746 (Humbird),Clark County,Wisconsin,862753a67ffffff,1,1.3,1.3,74187500.0,32078.547433961077,1758493277867,Synapse54,1758493277867,Synapse54
9,53121 (Elkhorn),Walworth County,Wisconsin,862759c07ffffff,8,1.15,1.15,68097499.99609375,30734.770362647352,1758493277867,Synapse54,1758493277867,Synapse54
10,54022 (River Falls),Pierce County,Wisconsin,862753597ffffff,2,0.62,0.62,74324999.99609375,32107.39578206985,1758493277867,Synapse54,1758493277867,Synapse54
11,54746 (Humbird),Clark County,Wisconsin,862753a6fffffff,0,0.0,0.0,74531250.0,32149.313897255623,1758493277867,Synapse54,1758493277867,Synapse54
12,53121 (Elkhorn),Walworth County,Wisconsin,862759c0fffffff,63,1.16,1.16,68246250.00390625,30771.577017821877,1758493277867,Synapse54,1758493277867,Synapse54
13,54943 (Hancock),Adams County,Wisconsin,86275c41fffffff,1,1.22,1.22,73038750.00390625,31828.565349376426,1758493277867,Synapse54,1758493277867,Synapse54
14,54741 (Fairchild),Jackson County,Wisconsin,862753a77ffffff,2,1.16,1.16,73962500.0,32027.581248554652,1758493277867,Synapse54,1758493277867,Synapse54
15,53115 (Delavan),Walworth County,Wisconsin,862759c17ffffff,6,1.03,1.03,68072499.99609375,30729.809240849358,1758493277867,Synapse54,1758493277867,Synapse54
16,54011 (Ellsworth),Pierce County,Wisconsin,86275359fffffff,16,1.01,1.01,74570000.0,32160.640498896886,1758493277867,Synapse54,1758493277867,Synapse54
17,54758 (Osseo),Trempealeau County,Wisconsin,862753a87ffffff,4,1.22,1.22,74458750.00390625,32135.13517694386,1758493277867,Synapse54,1758493277867,Synapse54
18,53115 (Delavan),Walworth County,Wisconsin,862759c1fffffff,23,1.17,1.17,68145000.0,30747.6074004516,1758493277867,Synapse54,1758493277867,Synapse54
19,54966 (Plainfield),Waushara County,Wisconsin,86275c427ffffff,2,1.28,1.28,73293750.00390625,31885.945703071073,1758493277867,Synapse54,1758493277867,Synapse54
20,54452 (Merrill),Lincoln County,Wisconsin,86275194fffffff,4,1.29,1.29,77579999.99609375,32797.63248562065,1758493277867,Synapse54,1758493277867,Synapse54
21,54767 (Spring Valley),Pierce County,Wisconsin,8627535a7ffffff,5,1.07,1.07,74682500.0078125,32183.997937102213,1758493277867,Synapse54,1758493277867,Synapse54
22,54913 (Appleton),Outagamie County,Wisconsin,86275c84fffffff,62,0.87,0.87,73812500.0,31993.260010894992,1758493277867,Synapse54,1758493277867,Synapse54
23,53121 (Elkhorn),Walworth County,Wisconsin,862759c27ffffff,21,0.71,0.71,68550000.0,30834.363765157403,1758493277867,Synapse54,1758493277867,Synapse54
24,54452 (Merrill),Lincoln County,Wisconsin,86275195fffffff,2,1.16,1.16,77106250.0,32699.98330988488,1758493277867,Synapse54,1758493277867,Synapse54
25,54758 (Osseo),Trempealeau County,Wisconsin,862753a8fffffff,2,0.75,0.75,74034999.99609375,32043.574617556253,1758493277867,Synapse54,1758493277867,Synapse54
26,52160 (New Albin),Allamakee County,Iowa,86262da47ffffff,5,1.14,1.14,70165000.00390625,31198.200311888315,1758493277867,Synapse54,1758493277867,Synapse54
27,53121 (Elkhorn),Walworth County,Wisconsin,862759c2fffffff,30,1.01,1.01,68445000.0,30816.93795179781,1758493277867,Synapse54,1758493277867,Synapse54
28,54476 (Schofield),Marathon County,Wisconsin,862751a07ffffff,66,1.06,1.06,76229999.99609375,32513.110705708063,1758493277867,Synapse54,1758493277867,Synapse54
29,53959 (Reedsburg),Sauk County,Wisconsin,86275e367ffffff,1,0.51,0.51,71216249.99609375,31427.842588836327,1758493277867,Synapse54,1758493277867,Synapse54
30,53121 (Elkhorn),Walworth County,Wisconsin,862759c37ffffff,7,0.74,0.74,68900000.00390625,30916.531354307866,1758493277867,Synapse54,1758493277867,Synapse54
31,53147 (Lake Geneva),Walworth County,Wisconsin,862759c47ffffff,78,0.94,0.94,68097500.0,30739.075945756333,1758493277867,Synapse54,1758493277867,Synapse54
32,54455 (Mosinee),Marathon County,Wisconsin,862751a0fffffff,1,0.74,0.74,75596250.0,32377.78410470015,1758493277867,Synapse54,1758493277867,Synapse54
33,54762 (Prairie Farm),Dunn County,Wisconsin,862753da7ffffff,2,1.05,1.05,76245000.0,32517.212003139233,1758493277867,Synapse54,1758493277867,Synapse54
34,54758 (Osseo),Eau Claire County,Wisconsin,862753a97ffffff,1,0.74,0.74,74235000.0,32087.86002368061,1758493277867,Synapse54,1758493277867,Synapse54
35,54966 (Plainfield),Waushara County,Wisconsin,86275c42fffffff,2,1.3,1.3,73447499.99609375,31913.538360029994,1758493277867,Synapse54,1758493277867,Synapse54
36,54401 (Wausau),Marathon County,Wisconsin,862751a17ffffff,139,1.17,1.17,76020000.0,32468.18941801883,1758493277867,Synapse54,1758493277867,Synapse54
37,54767 (Spring Valley),Pierce County,Wisconsin,8627535afffffff,4,1.29,1.29,74447499.99609375,32135.590571025507,1758493277867,Synapse54,1758493277867,Synapse54
38,53147 (Lake Geneva),Walworth County,Wisconsin,862759c4fffffff,12,1.25,1.25,67905000.0,30696.378236555393,1758493277867,Synapse54,1758493277867,Synapse54
39,53959 (Reedsburg),Sauk County,Wisconsin,86275e36fffffff,30,0.99,0.99,70804999.99609375,31337.22408219723,1758493277867,Synapse54,1758493277867,Synapse54
40,54758 (Osseo),Trempealeau County,Wisconsin,862753a9fffffff,2,1.19,1.19,74034999.9921875,32043.574617556253,1758493277867,Synapse54,1758493277867,Synapse54
