OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22024A_B,MP22024A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53158 (Pleasant Prairie),Kenosha County,Wisconsin,862759847ffffff,1012,4.9,4.9,67983750.00390625,30711.29136125039,1758493295056,Synapse54,1758493295056,Synapse54
2,54644 (Mindoro),La Crosse County,Wisconsin,86275e427ffffff,14,5.76,5.76,72105000.00390625,31624.40041617088,1758493295056,Synapse54,1758493295056,Synapse54
3,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,3,4.92,4.92,75304999.99609375,32313.800822712084,1758493295056,Synapse54,1758493295056,Synapse54
4,53158 (Pleasant Prairie),Kenosha County,Wisconsin,86275984fffffff,590,5.29,5.29,68047499.99609375,30723.574996824278,1758493295056,Synapse54,1758493295056,Synapse54
5,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,47,5.3,5.3,75782499.99609375,32420.079018375076,1758493295056,Synapse54,1758493295056,Synapse54
6,54614 (Bangor),La Crosse County,Wisconsin,86275e42fffffff,16,5.71,5.71,71997500.00390625,31601.497475248987,1758493295056,Synapse54,1758493295056,Synapse54
7,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,19,5.88,5.88,76362500.0,32542.88954401976,1758493295056,Synapse54,1758493295056,Synapse54
8,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,63,5.21,5.21,71737500.0,31543.113704285806,1758493295056,Synapse54,1758493295056,Synapse54
9,54636 (Holmen),La Crosse County,Wisconsin,86275e437ffffff,14,5.38,5.38,72105000.0,31626.883702465064,1758493295056,Synapse54,1758493295056,Synapse54
10,54408 (Aniwa),Marathon County,Wisconsin,862751b0fffffff,21,5.93,5.93,76198750.00390625,32504.99318836548,1758493295056,Synapse54,1758493295056,Synapse54
11,54603 (La Crosse),La Crosse County,Wisconsin,86275e487ffffff,44,5.72,5.72,71683749.99609375,31532.709061725178,1758493295056,Synapse54,1758493295056,Synapse54
12,54403 (Wausau),Marathon County,Wisconsin,862751b17ffffff,21,5.77,5.77,76440000.0,32558.031993397293,1758493295056,Synapse54,1758493295056,Synapse54
13,54653 (Rockland),La Crosse County,Wisconsin,86275e447ffffff,10,5.99,5.99,71275000.0078125,31443.232471987707,1758493295056,Synapse54,1758493295056,Synapse54
14,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,774,5.6,5.6,71452499.99609375,31484.250567701674,1758493295056,Synapse54,1758493295056,Synapse54
15,54403 (Wausau),Marathon County,Wisconsin,862751b1fffffff,29,5.75,5.75,76573749.99609375,32587.778014279786,1758493295056,Synapse54,1758493295056,Synapse54
16,54650 (Onalaska),La Crosse County,Wisconsin,86275e4a7ffffff,457,4.6,4.6,71902500.0,31582.816344798804,1758493295056,Synapse54,1758493295056,Synapse54
17,54653 (Rockland),Monroe County,Wisconsin,86275e44fffffff,7,5.83,5.83,71275000.00390625,31443.232471987707,1758493295056,Synapse54,1758493295056,Synapse54
18,54403 (Wausau),Marathon County,Wisconsin,862751b27ffffff,7,5.98,5.98,76462500.00390625,32562.367902951348,1758493295056,Synapse54,1758493295056,Synapse54
19,54614 (Bangor),La Crosse County,Wisconsin,86275e457ffffff,15,5.98,5.98,71381250.0,31465.92387842132,1758493295056,Synapse54,1758493295056,Synapse54
20,54403 (Wausau),Marathon County,Wisconsin,862751b2fffffff,13,5.88,5.88,76624999.99609375,32595.6459772393,1758493295056,Synapse54,1758493295056,Synapse54
21,54623 (Coon Valley),La Crosse County,Wisconsin,86275e45fffffff,10,5.62,5.62,71381250.0,31465.92387842132,1758493295056,Synapse54,1758493295056,Synapse54
22,54403 (Wausau),Marathon County,Wisconsin,862751b37ffffff,12,5.85,5.85,76812500.0,32635.98837859234,1758493295056,Synapse54,1758493295056,Synapse54
23,54656 (Sparta),Monroe County,Wisconsin,86275e467ffffff,20,5.9,5.9,71940000.0,31587.66477675718,1758493295056,Synapse54,1758493295056,Synapse54
24,54414 (Birnamwood),Marathon County,Wisconsin,862751b47ffffff,12,5.13,5.13,75857500.00390625,32435.02015796872,1758493295056,Synapse54,1758493295056,Synapse54
25,54440 (Hatley),Marathon County,Wisconsin,862751b4fffffff,16,4.92,4.92,75857500.0,32435.02015796872,1758493295056,Synapse54,1758493295056,Synapse54
26,54650 (Onalaska),La Crosse County,Wisconsin,86275e4afffffff,712,4.85,4.85,71653750.0,31528.529459856218,1758493295056,Synapse54,1758493295056,Synapse54
27,54471 (Ringle),Marathon County,Wisconsin,862751b57ffffff,24,5.77,5.77,76230000.0078125,32513.110705708063,1758493295056,Synapse54,1758493295056,Synapse54
28,54440 (Hatley),Marathon County,Wisconsin,862751b5fffffff,44,5.37,5.37,76064999.99609375,32475.247167482987,1758493295056,Synapse54,1758493295056,Synapse54
29,54414 (Birnamwood),Marathon County,Wisconsin,862751b67ffffff,11,5.19,5.19,76198750.0,32504.99318836548,1758493295056,Synapse54,1758493295056,Synapse54
30,54414 (Birnamwood),Marathon County,Wisconsin,862751b6fffffff,44,5.01,5.01,75857499.99609375,32435.02015796872,1758493295056,Synapse54,1758493295056,Synapse54
31,54471 (Ringle),Marathon County,Wisconsin,862751b77ffffff,12,5.41,5.41,76468749.99609375,32566.015348195582,1758493295056,Synapse54,1758493295056,Synapse54
32,54401 (Wausau),Marathon County,Wisconsin,862751b87ffffff,73,5.63,5.63,76019999.99609375,32468.18941801883,1758493295056,Synapse54,1758493295056,Synapse54
