OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22024A_B,MP22024A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47265 (North Vernon),Jennings County,Indiana,86266ca97ffffff,28,4.79,4.79,57493750.0,28258.955636888186,1758493311679,Synapse54,1758493311679,Synapse54
2,47231 (Dupont),Jefferson County,Indiana,86266ca9fffffff,26,5.11,5.11,57101250.00390625,28159.583990587562,1758493311679,Synapse54,1758493311679,Synapse54
3,47023 (Holton),Ripley County,Indiana,86266caa7ffffff,1,3.03,3.03,57735000.0,28312.54979551783,1758493311679,Synapse54,1758493311679,Synapse54
4,47631 (New Harmony),Posey County,Indiana,86264526fffffff,2,7.14,7.14,56135000.0,27915.620822769335,1758493311679,Synapse54,1758493311679,Synapse54
5,62827 (Crossville),White County,Illinois,86264534fffffff,6,6.74,6.74,56454999.99609375,27997.829653857236,1758493311679,Synapse54,1758493311679,Synapse54
6,47023 (Holton),Ripley County,Indiana,86266caafffffff,0,0.0,0.0,57316250.0,28213.51252584683,1758493311679,Synapse54,1758493311679,Synapse54
7,47223 (Butlerville),Jennings County,Indiana,86266cab7ffffff,12,3.46,3.46,57702500.00390625,28305.854083619324,1758493311679,Synapse54,1758493311679,Synapse54
8,47250 (Madison),Jefferson County,Indiana,86266cac7ffffff,33,4.98,4.98,57372500.0,28225.555241653026,1758493311679,Synapse54,1758493311679,Synapse54
9,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,2,6.45,6.45,55800000.0,27833.232309338826,1758493311679,Synapse54,1758493311679,Synapse54
10,47250 (Madison),Jefferson County,Indiana,86266cacfffffff,19,5.07,5.07,56955000.0,28126.593767313178,1758493311679,Synapse54,1758493311679,Synapse54
11,47250 (Madison),Jefferson County,Indiana,86266cad7ffffff,6,3.73,3.73,57372500.0,28225.555241653026,1758493311679,Synapse54,1758493311679,Synapse54
12,47250 (Madison),Jefferson County,Indiana,86266cadfffffff,460,5.87,5.87,56955000.0,28126.593767313178,1758493311679,Synapse54,1758493311679,Synapse54
13,47224 (Canaan),Jefferson County,Indiana,86266cae7ffffff,17,5.17,5.17,56955000.0,28126.593767313178,1758493311679,Synapse54,1758493311679,Synapse54
