OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22024A_B,MP22024A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62824 (Clay City),Clay County,Illinois,862645147ffffff,4,6.06,6.06,56972500.0,28132.7212733991,1758493328571,Synapse54,1758493328571,Synapse54
2,62446 (Mount Erie),Wayne County,Illinois,86264514fffffff,1,3.45,3.45,56887499.99609375,28101.73579914002,1758493328571,Synapse54,1758493328571,Synapse54
3,62824 (Clay City),Clay County,Illinois,862645157ffffff,6,7.23,7.23,57160000.00390625,28174.629377056706,1758493328571,Synapse54,1758493328571,Synapse54
4,62824 (Clay City),Wayne County,Illinois,86264515fffffff,4,5.48,5.48,56989999.99609375,28130.65042912341,1758493328571,Synapse54,1758493328571,Synapse54
5,62868 (Noble),Richland County,Illinois,862645167ffffff,16,6.06,6.06,57008750.0,28134.308397258214,1758493328571,Synapse54,1758493328571,Synapse54
6,62868 (Noble),Richland County,Illinois,86264516fffffff,7,5.34,5.34,57056250.00390625,28145.723142203915,1758493328571,Synapse54,1758493328571,Synapse54
7,62824 (Clay City),Clay County,Illinois,862645177ffffff,32,6.79,6.79,57158749.99609375,28174.6377721873,1758493328571,Synapse54,1758493328571,Synapse54
8,62899 (Xenia),Clay County,Illinois,862645187ffffff,7,4.7,4.7,57256250.0,28196.476022808307,1758493328571,Synapse54,1758493328571,Synapse54
9,62839 (Flora),Clay County,Illinois,86264518fffffff,14,5.13,5.13,57256250.00390625,28196.476022808307,1758493328571,Synapse54,1758493328571,Synapse54
10,62943 (Grantsburg),Johnson County,Illinois,8626410dfffffff,5,2.92,2.92,56489999.99609375,28003.11334361876,1758493328571,Synapse54,1758493328571,Synapse54
11,61471 (Raritan),Henderson County,Illinois,862670a6fffffff,3,5.17,5.17,61480000.0,29211.267968272,1758493328571,Synapse54,1758493328571,Synapse54
12,62910 (Brookport),Pope County,Illinois,862641207ffffff,4,4.4,4.4,55923750.0,27859.47846816504,1758493328571,Synapse54,1758493328571,Synapse54
13,61460 (Media),Henderson County,Illinois,862670a77ffffff,40,6.61,6.61,61480000.0,29211.267968272,1758493328571,Synapse54,1758493328571,Synapse54
14,62910 (Brookport),Pope County,Illinois,86264120fffffff,5,4.1,4.1,55776250.0,27824.29021566158,1758493328571,Synapse54,1758493328571,Synapse54
15,61454 (Lomax),Henderson County,Illinois,862670ac7ffffff,25,6.7,6.7,61028749.99609375,29112.65139536243,1758493328571,Synapse54,1758493328571,Synapse54
16,62910 (Brookport),Massac County,Illinois,862641217ffffff,6,5.26,5.26,55957500.0,27876.803127537594,1758493328571,Synapse54,1758493328571,Synapse54
17,62330 (Dallas City),Hancock County,Illinois,862670acfffffff,4,7.14,7.14,61058750.0,29115.81798608429,1758493328571,Synapse54,1758493328571,Synapse54
18,62910 (Brookport),Massac County,Illinois,86264121fffffff,14,4.93,4.93,55938750.00390625,27862.47750898574,1758493328571,Synapse54,1758493328571,Synapse54
19,52658 (Wever),Lee County,Iowa,862670ad7ffffff,1,4.17,4.17,61210000.00390625,29149.978482690927,1758493328571,Synapse54,1758493328571,Synapse54
20,42081 (Smithland),Livingston County,Kentucky,862641227ffffff,2,3.28,3.28,55943750.0,27868.17562579575,1758493328571,Synapse54,1758493328571,Synapse54
21,62330 (Dallas City),Henderson County,Illinois,862670adfffffff,7,6.48,6.48,60975000.0,29091.777347564832,1758493328571,Synapse54,1758493328571,Synapse54
22,42081 (Smithland),Livingston County,Kentucky,86264122fffffff,2,3.77,3.77,55776250.0,27824.29021566158,1758493328571,Synapse54,1758493328571,Synapse54
23,61425 (Carman),Henderson County,Illinois,862670ae7ffffff,9,6.12,6.12,61345000.0,29183.056442281628,1758493328571,Synapse54,1758493328571,Synapse54
24,62938 (Golconda),Pope County,Illinois,862641237ffffff,2,4.65,4.65,55943750.0,27868.17562579575,1758493328571,Synapse54,1758493328571,Synapse54
25,61454 (Lomax),Henderson County,Illinois,862670aefffffff,7,6.73,6.73,61058750.00390625,29115.81798608429,1758493328571,Synapse54,1758493328571,Synapse54
26,42058 (Ledbetter),Livingston County,Kentucky,862641257ffffff,22,5.64,5.64,55943750.00390625,27868.17562579575,1758493328571,Synapse54,1758493328571,Synapse54
27,61425 (Carman),Henderson County,Illinois,862670af7ffffff,7,3.3,3.3,61343750.0,29182.864428330195,1758493328571,Synapse54,1758493328571,Synapse54
28,62910 (Brookport),Massac County,Illinois,862641287ffffff,12,3.16,3.16,56092500.0,27903.118942252677,1758493328571,Synapse54,1758493328571,Synapse54
29,52601 (Burlington),Des Moines County,Iowa,862670b07ffffff,17,5.99,5.99,62250000.0,29394.93833158096,1758493328571,Synapse54,1758493328571,Synapse54
30,42086 (West Paducah),McCracken County,Kentucky,862641297ffffff,237,5.24,5.24,55938750.0,27862.47750898574,1758493328571,Synapse54,1758493328571,Synapse54
31,61469 (Oquawka),Henderson County,Illinois,862670b0fffffff,52,5.95,5.95,61815000.0,29295.078015951705,1758493328571,Synapse54,1758493328571,Synapse54
32,62960 (Metropolis),Massac County,Illinois,8626412a7ffffff,15,4.81,4.81,56092500.0,27903.118942252677,1758493328571,Synapse54,1758493328571,Synapse54
33,52601 (Burlington),Des Moines County,Iowa,862670b1fffffff,2,4.76,4.76,61728749.99609375,29273.52334826197,1758493328571,Synapse54,1758493328571,Synapse54
34,62910 (Brookport),Massac County,Illinois,8626412afffffff,37,4.04,4.04,55957500.0,27876.803127537594,1758493328571,Synapse54,1758493328571,Synapse54
35,61469 (Oquawka),Henderson County,Illinois,862670b27ffffff,9,5.17,5.17,62268750.0,29398.68162328794,1758493328571,Synapse54,1758493328571,Synapse54
