OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20063A_B,MP20063A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62001 (Alhambra),Madison County,Illinois,8626446efffffff,39,10.37,10.37,58506250.0,28495.659389104243,1758493351988,Synapse54,1758493351988,Synapse54
2,62305 (Quincy),Adams County,Illinois,862673b2fffffff,14,10.69,10.69,60337499.99609375,28938.041241530176,1758493351988,Synapse54,1758493351988,Synapse54
3,62056 (Litchfield),Montgomery County,Illinois,862644707ffffff,53,8.03,8.03,58404999.99609375,28472.98305760687,1758493351988,Synapse54,1758493351988,Synapse54
4,62056 (Litchfield),Montgomery County,Illinois,86264470fffffff,10,10.75,10.75,58781250.0,28567.642840705506,1758493351988,Synapse54,1758493351988,Synapse54
5,62069 (Mount Olive),Macoupin County,Illinois,86264471fffffff,26,8.67,8.67,58390000.0,28475.444920139747,1758493351988,Synapse54,1758493351988,Synapse54
6,62056 (Litchfield),Montgomery County,Illinois,862644727ffffff,151,10.25,10.25,58781250.0,28567.87574780077,1758493351988,Synapse54,1758493351988,Synapse54
7,62056 (Litchfield),Montgomery County,Illinois,86264472fffffff,294,8.55,8.55,58608750.00390625,28523.45802551955,1758493351988,Synapse54,1758493351988,Synapse54
8,62056 (Litchfield),Macoupin County,Illinois,862644737ffffff,5,10.64,10.64,58405000.0,28472.98305760687,1758493351988,Synapse54,1758493351988,Synapse54
9,62091 (Walshville),Montgomery County,Illinois,862644747ffffff,13,10.48,10.48,58508750.0,28500.402547966376,1758493351988,Synapse54,1758493351988,Synapse54
10,62338 (Fowler),Adams County,Illinois,862673b37ffffff,48,11.01,11.01,60406250.00390625,28959.613305042094,1758493351988,Synapse54,1758493351988,Synapse54
11,62086 (Sorento),Bond County,Illinois,86264474fffffff,39,9.13,9.13,58218750.0,28431.039045424375,1758493351988,Synapse54,1758493351988,Synapse54
12,62347 (Liberty),Adams County,Illinois,862673b47ffffff,19,10.44,10.44,60543750.00390625,28991.989812650623,1758493351988,Synapse54,1758493351988,Synapse54
13,62091 (Walshville),Montgomery County,Illinois,862644757ffffff,14,10.45,10.45,58218750.0,28431.039045424375,1758493351988,Synapse54,1758493351988,Synapse54
14,62312 (Barry),Adams County,Illinois,862673b4fffffff,7,10.77,10.77,60232500.0,28915.132722347902,1758493351988,Synapse54,1758493351988,Synapse54
15,62086 (Sorento),Montgomery County,Illinois,86264475fffffff,46,8.7,8.7,58508749.99609375,28500.402547966372,1758493351988,Synapse54,1758493351988,Synapse54
16,62360 (Payson),Adams County,Illinois,862673b57ffffff,16,10.06,10.06,60150000.0,28896.084849951796,1758493351988,Synapse54,1758493351988,Synapse54
17,62049 (Hillsboro),Montgomery County,Illinois,862644767ffffff,16,9.25,9.25,58321249.99609375,28458.461276786536,1758493351988,Synapse54,1758493351988,Synapse54
18,62365 (Plainville),Adams County,Illinois,862673b5fffffff,13,10.08,10.08,60045000.0,28873.176330769522,1758493351988,Synapse54,1758493351988,Synapse54
19,62049 (Hillsboro),Montgomery County,Illinois,86264476fffffff,25,10.25,10.25,58421250.00390625,28475.96848034799,1758493351988,Synapse54,1758493351988,Synapse54
20,62049 (Hillsboro),Montgomery County,Illinois,862644777ffffff,16,10.32,10.32,58406250.0,28473.20411713629,1758493351988,Synapse54,1758493351988,Synapse54
21,62347 (Liberty),Adams County,Illinois,862673b67ffffff,16,11.43,11.43,60127500.0,28891.99249714231,1758493351988,Synapse54,1758493351988,Synapse54
22,62571 (Tower Hill),Shelby County,Illinois,862644a07ffffff,10,9.9,9.9,58424999.99609375,28481.30249955349,1758493351988,Synapse54,1758493351988,Synapse54
23,62347 (Liberty),Adams County,Illinois,862673b6fffffff,11,9.91,9.91,60232499.99609375,28915.132722347902,1758493351988,Synapse54,1758493351988,Synapse54
24,62347 (Liberty),Adams County,Illinois,862673b77ffffff,72,10.79,10.79,60232500.0,28914.901016324584,1758493351988,Synapse54,1758493351988,Synapse54
25,63471 (Taylor),Marion County,Missouri,862673b87ffffff,144,8.07,8.07,60500000.0,28980.513083330785,1758493351988,Synapse54,1758493351988,Synapse54
26,62305 (Quincy),Adams County,Illinois,862673b8fffffff,39,10.46,10.46,60337500.0,28938.041241530176,1758493351988,Synapse54,1758493351988,Synapse54
27,63471 (Taylor),Marion County,Missouri,862673b9fffffff,4,10.26,10.26,60708750.00390625,29030.582916918458,1758493351988,Synapse54,1758493351988,Synapse54
28,62301 (Quincy),Adams County,Illinois,862673ba7ffffff,1796,10.83,10.83,60525000.0,28979.997633108556,1758493351988,Synapse54,1758493351988,Synapse54
29,62265 (New Baden),Clinton County,Illinois,862640127ffffff,40,10.67,10.67,57945000.0,28358.942990582444,1758493351988,Synapse54,1758493351988,Synapse54
30,62301 (Quincy),Adams County,Illinois,862673bafffffff,1663,12.21,12.21,60500000.00390625,28980.513083330785,1758493351988,Synapse54,1758493351988,Synapse54
31,62821 (Carmi),White County,Illinois,86264524fffffff,13,10.66,10.66,56363750.00390625,27977.19726350761,1758493351988,Synapse54,1758493351988,Synapse54
32,63454 (Maywood),Lewis County,Missouri,862673bb7ffffff,3,8.33,8.33,60525000.0,28979.997633108556,1758493351988,Synapse54,1758493351988,Synapse54
33,61259 (Illinois City),Rock Island County,Illinois,862674247ffffff,20,11.43,11.43,63281250.0,29633.95188653054,1758493351988,Synapse54,1758493351988,Synapse54
34,61284 (Taylor Ridge),Rock Island County,Illinois,86267424fffffff,13,10.83,10.83,63421250.0,29669.31318513002,1758493351988,Synapse54,1758493351988,Synapse54
