OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20063A_B,MP20063A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,7,10.94,10.94,56726250.0,28069.64525783052,1758493371317,Synapse54,1758493371317,Synapse54
2,47666 (Patoka),Gibson County,Indiana,86266e69fffffff,4,10.26,10.26,56462500.0,28004.306684036736,1758493371317,Synapse54,1758493371317,Synapse54
3,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,24,10.26,10.26,56005000.00390625,27890.50745898393,1758493371317,Synapse54,1758493371317,Synapse54
4,46764 (Larwill),Whitley County,Indiana,86274b257ffffff,42,10.34,10.34,64273750.0,29865.783071157584,1758493371317,Synapse54,1758493371317,Synapse54
5,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,33,10.19,10.19,56461250.0,28004.086172333384,1758493371317,Synapse54,1758493371317,Synapse54
6,46725 (Columbia City),Whitley County,Indiana,86274b25fffffff,58,10.38,10.38,64048749.99609375,29810.946528085675,1758493371317,Synapse54,1758493371317,Synapse54
7,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,23,10.27,10.27,56096250.00390625,27910.096352341992,1758493371317,Synapse54,1758493371317,Synapse54
8,46701 (Albion),Noble County,Indiana,86274b267ffffff,79,10.49,10.49,64660000.00390625,29951.869056491672,1758493371317,Synapse54,1758493371317,Synapse54
9,47666 (Patoka),Gibson County,Indiana,86266e6f7ffffff,19,10.11,10.11,56295000.00390625,27960.624780817296,1758493371317,Synapse54,1758493371317,Synapse54
10,46725 (Columbia City),Whitley County,Indiana,86274b26fffffff,197,11.44,11.44,64220000.00390625,29852.782909799484,1758493371317,Synapse54,1758493371317,Synapse54
11,47591 (Vincennes),Knox County,Indiana,86266e707ffffff,35,10.48,10.48,56481250.0,28008.134236096463,1758493371317,Synapse54,1758493371317,Synapse54
12,46760 (Kimmell),Noble County,Indiana,86274b277ffffff,61,9.84,9.84,64660000.0,29951.869056491672,1758493371317,Synapse54,1758493371317,Synapse54
13,47557 (Monroe City),Knox County,Indiana,86266e70fffffff,56,10.28,10.28,56386250.0,27987.132919132015,1758493371317,Synapse54,1758493371317,Synapse54
14,46542 (Milford),Kosciusko County,Indiana,86274b287ffffff,19,10.56,10.56,64522500.0,29925.837101406414,1758493371317,Synapse54,1758493371317,Synapse54
15,47591 (Vincennes),Knox County,Indiana,86266e717ffffff,1115,10.64,10.64,56481250.00390625,28008.134236096463,1758493371317,Synapse54,1758493371317,Synapse54
16,46582 (Warsaw),Kosciusko County,Indiana,86274b28fffffff,315,11.25,11.25,64461250.0,29906.849454694115,1758493371317,Synapse54,1758493371317,Synapse54
17,47591 (Vincennes),Knox County,Indiana,86266e71fffffff,35,11.08,11.08,56167499.99609375,27932.181923484713,1758493371317,Synapse54,1758493371317,Synapse54
18,46542 (Milford),Kosciusko County,Indiana,86274b297ffffff,46,11.5,11.5,64742500.0,29973.259622805697,1758493371317,Synapse54,1758493371317,Synapse54
19,47591 (Vincennes),Knox County,Indiana,86266e727ffffff,28,11.2,11.2,56162499.99609375,27929.854561787084,1758493371317,Synapse54,1758493371317,Synapse54
20,47557 (Monroe City),Knox County,Indiana,86266e72fffffff,13,10.4,10.4,56386250.0,27987.13291913202,1758493371317,Synapse54,1758493371317,Synapse54
21,46538 (Leesburg),Kosciusko County,Indiana,86274b29fffffff,53,11.13,11.13,64327500.0,29879.11623346342,1758493371317,Synapse54,1758493371317,Synapse54
22,47591 (Vincennes),Knox County,Indiana,86266e737ffffff,281,11.9,11.9,56366249.99609375,27983.06021104123,1758493371317,Synapse54,1758493371317,Synapse54
23,46542 (Milford),Kosciusko County,Indiana,86274b2a7ffffff,289,11.17,11.17,64681250.00390625,29958.02042132723,1758493371317,Synapse54,1758493371317,Synapse54
24,47557 (Monroe City),Knox County,Indiana,86266e747ffffff,15,10.2,10.2,56001250.0,27888.514002756532,1758493371317,Synapse54,1758493371317,Synapse54
25,46542 (Milford),Kosciusko County,Indiana,86274b2afffffff,140,10.21,10.21,64627499.99609375,29945.010964944828,1758493371317,Synapse54,1758493371317,Synapse54
26,47567 (Petersburg),Pike County,Indiana,86266e74fffffff,190,9.31,9.31,56209999.99609375,27946.213160089665,1758493371317,Synapse54,1758493371317,Synapse54
27,46542 (Milford),Kosciusko County,Indiana,86274b2b7ffffff,42,10.4,10.4,64877500.0,30005.31004677672,1758493371317,Synapse54,1758493371317,Synapse54
28,47557 (Monroe City),Knox County,Indiana,86266e757ffffff,11,10.58,10.58,56481250.0,28008.134236096463,1758493371317,Synapse54,1758493371317,Synapse54
29,46562 (Pierceton),Kosciusko County,Indiana,86274b2c7ffffff,51,10.74,10.74,64241250.00390625,29858.92497961074,1758493371317,Synapse54,1758493371317,Synapse54
30,47567 (Petersburg),Pike County,Indiana,86266e75fffffff,83,10.2,10.2,56481250.0,28008.134236096463,1758493371317,Synapse54,1758493371317,Synapse54
31,46562 (Pierceton),Kosciusko County,Indiana,86274b2cfffffff,145,10.03,10.03,63915000.0,29778.63066931194,1758493371317,Synapse54,1758493371317,Synapse54
32,47557 (Monroe City),Knox County,Indiana,86266e767ffffff,9,10.98,10.98,56198750.0,27939.63744634411,1758493371317,Synapse54,1758493371317,Synapse54
33,46582 (Warsaw),Kosciusko County,Indiana,86274b2d7ffffff,1006,10.95,10.95,64492500.0,29912.969835998098,1758493371317,Synapse54,1758493371317,Synapse54
34,47567 (Petersburg),Pike County,Indiana,86266e76fffffff,7,6.14,6.14,56021249.99609375,27892.56206651961,1758493371317,Synapse54,1758493371317,Synapse54
35,46580 (Warsaw),Kosciusko County,Indiana,86274b2dfffffff,402,11.8,11.8,64273750.0,29865.783071157584,1758493371317,Synapse54,1758493371317,Synapse54
36,47597 (Wheatland),Knox County,Indiana,86266e777ffffff,30,10.38,10.38,56220000.00390625,27943.464998403833,1758493371317,Synapse54,1758493371317,Synapse54
37,46562 (Pierceton),Kosciusko County,Indiana,86274b2e7ffffff,190,9.55,9.55,64627499.99609375,29945.010964944824,1758493371317,Synapse54,1758493371317,Synapse54
38,47591 (Vincennes),Knox County,Indiana,86266e787ffffff,7,8.14,8.14,56461250.00390625,28004.086172333384,1758493371317,Synapse54,1758493371317,Synapse54
39,46764 (Larwill),Whitley County,Indiana,86274b2efffffff,45,9.74,9.74,64273750.00390625,29865.783071157584,1758493371317,Synapse54,1758493371317,Synapse54
40,47591 (Vincennes),Knox County,Indiana,86266e78fffffff,18,10.23,10.23,56461249.99609375,28004.08617233338,1758493371317,Synapse54,1758493371317,Synapse54
41,46538 (Leesburg),Kosciusko County,Indiana,86274b2f7ffffff,343,11.0,11.0,64077499.99609375,29818.99539939218,1758493371317,Synapse54,1758493371317,Synapse54
42,46701 (Albion),Noble County,Indiana,86274b347ffffff,161,11.39,11.39,64856250.00390625,29998.860984122304,1758493371317,Synapse54,1758493371317,Synapse54
43,62460 (Saint Francisville),Lawrence County,Illinois,86266e79fffffff,49,9.8,9.8,56462500.00390625,28004.306684036736,1758493371317,Synapse54,1758493371317,Synapse54
44,47591 (Vincennes),Knox County,Indiana,86266e7a7ffffff,183,9.11,9.11,56386250.0,27987.132919132015,1758493371317,Synapse54,1758493371317,Synapse54
45,46701 (Albion),Noble County,Indiana,86274b34fffffff,110,11.84,11.84,64856249.99609375,29998.860984122304,1758493371317,Synapse54,1758493371317,Synapse54
46,47037 (Osgood),Ripley County,Indiana,86266c84fffffff,77,10.35,10.35,58102500.0,28407.31991328232,1758493371317,Synapse54,1758493371317,Synapse54
47,46767 (Ligonier),Noble County,Indiana,86274b357ffffff,66,10.36,10.36,64660000.0,29951.869056491672,1758493371317,Synapse54,1758493371317,Synapse54
48,47591 (Vincennes),Knox County,Indiana,86266e7afffffff,86,10.46,10.46,56462500.0,28004.306684036736,1758493371317,Synapse54,1758493371317,Synapse54
49,62460 (Saint Francisville),Lawrence County,Illinois,86266e7b7ffffff,12,8.76,8.76,56461249.99609375,28004.08617233338,1758493371317,Synapse54,1758493371317,Synapse54
50,46701 (Albion),Noble County,Indiana,86274b35fffffff,73,10.3,10.3,64660000.0,29951.869056491672,1758493371317,Synapse54,1758493371317,Synapse54
51,47424 (Bloomfield),Greene County,Indiana,86266e807ffffff,21,8.43,8.43,57830000.0,28335.965247966695,1758493371317,Synapse54,1758493371317,Synapse54
52,46701 (Albion),Noble County,Indiana,86274b36fffffff,108,11.66,11.66,64991250.00390625,30031.346245757097,1758493371317,Synapse54,1758493371317,Synapse54
53,47424 (Bloomfield),Greene County,Indiana,86266e80fffffff,24,9.45,9.45,57580000.0,28277.79325160163,1758493371317,Synapse54,1758493371317,Synapse54
54,46563 (Plymouth),Marshall County,Indiana,86274b60fffffff,56,11.36,11.36,64485000.0,29913.221382380772,1758493371317,Synapse54,1758493371317,Synapse54
55,47471 (Worthington),Greene County,Indiana,86266e817ffffff,14,8.81,8.81,57580000.00390625,28277.79325160163,1758493371317,Synapse54,1758493371317,Synapse54
56,46504 (Bourbon),Marshall County,Indiana,86274b647ffffff,31,11.65,11.65,64516249.99609375,29919.916419874622,1758493371317,Synapse54,1758493371317,Synapse54
57,47424 (Bloomfield),Greene County,Indiana,86266e81fffffff,39,8.74,8.74,57830000.0,28335.965247966695,1758493371317,Synapse54,1758493371317,Synapse54
58,46524 (Etna Green),Kosciusko County,Indiana,86274b64fffffff,80,10.53,10.53,64162500.0,29840.385965706206,1758493371317,Synapse54,1758493371317,Synapse54
59,47460 (Spencer),Owen County,Indiana,86266e827ffffff,29,9.48,9.48,57830000.0,28335.965247966695,1758493371317,Synapse54,1758493371317,Synapse54
60,46504 (Bourbon),Marshall County,Indiana,86274b657ffffff,23,11.68,11.68,64470000.0078125,29907.66084132707,1758493371317,Synapse54,1758493371317,Synapse54
61,47459 (Solsberry),Greene County,Indiana,86266e82fffffff,35,10.17,10.17,57580000.0,28277.79325160163,1758493371317,Synapse54,1758493371317,Synapse54
62,46504 (Bourbon),Marshall County,Indiana,86274b65fffffff,185,12.15,12.15,64383750.0,29887.97154115848,1758493371317,Synapse54,1758493371317,Synapse54
63,47431 (Freedom),Owen County,Indiana,86266e837ffffff,22,9.4,9.4,57579999.99609375,28277.79325160163,1758493371317,Synapse54,1758493371317,Synapse54
64,46550 (Nappanee),Kosciusko County,Indiana,86274b667ffffff,87,11.82,11.82,64547500.0,29926.133051409197,1758493371317,Synapse54,1758493371317,Synapse54
65,47424 (Bloomfield),Greene County,Indiana,86266e847ffffff,108,9.58,9.58,57256249.99609375,28202.27677604957,1758493371317,Synapse54,1758493371317,Synapse54
66,46524 (Etna Green),Kosciusko County,Indiana,86274b66fffffff,52,12.18,12.18,64296250.0,29872.493898475343,1758493371317,Synapse54,1758493371317,Synapse54
67,47462 (Springville),Greene County,Indiana,86266e84fffffff,38,9.25,9.25,57438750.0,28248.774723337992,1758493371317,Synapse54,1758493371317,Synapse54
68,46307 (Crown Point),Lake County,Indiana,8626640c7ffffff,1920,12.51,12.51,64406250.00390625,29896.186740445817,1758493371317,Synapse54,1758493371317,Synapse54
69,46506 (Bremen),Marshall County,Indiana,86274b677ffffff,37,12.42,12.42,64712499.99609375,29966.40153125885,1758493371317,Synapse54,1758493371317,Synapse54
70,47424 (Bloomfield),Greene County,Indiana,86266e857ffffff,40,9.35,9.35,57425000.0,28237.33213751756,1758493371317,Synapse54,1758493371317,Synapse54
71,47424 (Bloomfield),Greene County,Indiana,86266e85fffffff,46,9.15,9.15,57425000.00390625,28237.332137517555,1758493371317,Synapse54,1758493371317,Synapse54
72,46563 (Plymouth),Marshall County,Indiana,86274b6efffffff,40,11.49,11.49,64296249.99609375,29872.493898475343,1758493371317,Synapse54,1758493371317,Synapse54
73,47459 (Solsberry),Greene County,Indiana,86266e867ffffff,86,9.48,9.48,57270000.0078125,28196.385252926895,1758493371317,Synapse54,1758493371317,Synapse54
74,62821 (Carmi),White County,Illinois,86264524fffffff,13,10.66,10.66,56532500.0,28015.598433874227,1758493371317,Synapse54,1758493371317,Synapse54
75,47403 (Bloomington),Monroe County,Indiana,86266e86fffffff,30,9.2,9.2,57619999.99609375,28289.265684037317,1758493371317,Synapse54,1758493371317,Synapse54
