OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20063A_B,MP20063A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,515,12.63,12.63,74100000.0,32057.410923822383,1758493389872,Synapse54,1758493389872,Synapse54
2,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,112,14.18,14.18,74100000.0,32057.410923822383,1758493389872,Synapse54,1758493389872,Synapse54
3,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,49,14.0,14.0,74107500.0,32061.344355937115,1758493389872,Synapse54,1758493389872,Synapse54
4,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,42,11.6,11.6,73583750.0,31948.21241793928,1758493389872,Synapse54,1758493389872,Synapse54
5,55089 (Welch),Goodhue County,Minnesota,86262c877ffffff,40,11.36,11.36,74107500.0,32061.344355937115,1758493389872,Synapse54,1758493389872,Synapse54
6,55001 (Afton),Washington County,Minnesota,86262c907ffffff,112,13.16,13.16,74501249.99609375,32148.694562754463,1758493389872,Synapse54,1758493389872,Synapse54
7,54022 (River Falls),Pierce County,Wisconsin,86262c90fffffff,89,14.13,14.13,74628749.9921875,32174.764061378875,1758493389872,Synapse54,1758493389872,Synapse54
8,54016 (Hudson),St. Croix County,Wisconsin,86262c927ffffff,424,13.48,13.48,74852500.0,32221.046062015346,1758493389872,Synapse54,1758493389872,Synapse54
9,54022 (River Falls),Pierce County,Wisconsin,86262c92fffffff,126,13.98,13.98,74661250.0,32177.363665644694,1758493389872,Synapse54,1758493389872,Synapse54
10,54011 (Ellsworth),Pierce County,Wisconsin,86262c947ffffff,55,12.94,12.94,74107500.0,32061.344355937115,1758493389872,Synapse54,1758493389872,Synapse54
11,54011 (Ellsworth),Pierce County,Wisconsin,86262c94fffffff,55,13.68,13.68,74135000.0,32063.724606775497,1758493389872,Synapse54,1758493389872,Synapse54
12,54021 (Prescott),Pierce County,Wisconsin,86262c957ffffff,67,14.08,14.08,74515000.0078125,32151.0669573642,1758493389872,Synapse54,1758493389872,Synapse54
13,54021 (Prescott),Pierce County,Wisconsin,86262c95fffffff,58,14.22,14.22,74325000.0,32107.39578206985,1758493389872,Synapse54,1758493389872,Synapse54
14,54022 (River Falls),Pierce County,Wisconsin,86262c967ffffff,54,12.77,12.77,74325000.00390625,32107.39578206985,1758493389872,Synapse54,1758493389872,Synapse54
15,54011 (Ellsworth),Pierce County,Wisconsin,86262c96fffffff,137,12.94,12.94,74325000.0,32107.39578206985,1758493389872,Synapse54,1758493389872,Synapse54
16,54022 (River Falls),Pierce County,Wisconsin,86262c977ffffff,86,13.19,13.19,74311250.0,32105.02338746011,1758493389872,Synapse54,1758493389872,Synapse54
17,53818 (Platteville),Lafayette County,Wisconsin,86275aaf7ffffff,39,10.21,10.21,68037500.00390625,30721.35718802003,1758493389872,Synapse54,1758493389872,Synapse54
18,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,25,10.12,10.12,68962500.00390625,30930.65497429147,1758493389872,Synapse54,1758493389872,Synapse54
19,53565 (Mineral Point),Iowa County,Wisconsin,86275ab0fffffff,17,10.49,10.49,68380000.0078125,30799.43000790409,1758493389872,Synapse54,1758493389872,Synapse54
20,53543 (Highland),Iowa County,Wisconsin,86275ab17ffffff,50,10.31,10.31,69065000.0,30952.885928292835,1758493389872,Synapse54,1758493389872,Synapse54
21,53553 (Linden),Iowa County,Wisconsin,86275ab1fffffff,50,10.27,10.27,68610000.0,30853.063671085874,1758493389872,Synapse54,1758493389872,Synapse54
22,54658 (Stoddard),Vernon County,Wisconsin,86262db67ffffff,24,11.37,11.37,71275000.0,31443.232471987707,1758493389872,Synapse54,1758493389872,Synapse54
23,53533 (Dodgeville),Iowa County,Wisconsin,86275ab27ffffff,15,10.2,10.2,68859999.99609375,30908.4240202901,1758493389872,Synapse54,1758493389872,Synapse54
24,53533 (Dodgeville),Iowa County,Wisconsin,86275ab2fffffff,177,12.34,12.34,68578749.99609375,30844.316648661854,1758493389872,Synapse54,1758493389872,Synapse54
25,53543 (Highland),Iowa County,Wisconsin,86275ab37ffffff,10,9.8,9.8,68610000.00390625,30853.063671085874,1758493389872,Synapse54,1758493389872,Synapse54
26,53565 (Mineral Point),Iowa County,Wisconsin,86275ab47ffffff,16,12.12,12.12,68477500.0,30822.117670837924,1758493389872,Synapse54,1758493389872,Synapse54
27,53565 (Mineral Point),Iowa County,Wisconsin,86275ab4fffffff,16,10.81,10.81,68228750.0,30770.128305730454,1758493389872,Synapse54,1758493389872,Synapse54
28,53565 (Mineral Point),Iowa County,Wisconsin,86275ab57ffffff,283,12.39,12.39,68632500.0,30860.550056061475,1758493389872,Synapse54,1758493389872,Synapse54
29,53565 (Mineral Point),Iowa County,Wisconsin,86275ab5fffffff,25,11.79,11.79,68255000.00390625,30769.712668927124,1758493389872,Synapse54,1758493389872,Synapse54
30,53533 (Dodgeville),Iowa County,Wisconsin,86275ab67ffffff,13,11.02,11.02,68860000.0,30908.4240202901,1758493389872,Synapse54,1758493389872,Synapse54
31,53565 (Mineral Point),Iowa County,Wisconsin,86275ab6fffffff,16,10.06,10.06,68476249.9921875,30822.337157220187,1758493389872,Synapse54,1758493389872,Synapse54
32,53533 (Dodgeville),Iowa County,Wisconsin,86275ab77ffffff,49,12.86,12.86,68735000.0,30882.78101006284,1758493389872,Synapse54,1758493389872,Synapse54
33,53554 (Livingston),Grant County,Wisconsin,86275ab87ffffff,13,10.32,10.32,68610000.0,30853.063671085874,1758493389872,Synapse54,1758493389872,Synapse54
34,53554 (Livingston),Grant County,Wisconsin,86275ab8fffffff,57,10.27,10.27,68392500.00390625,30804.70819017878,1758493389872,Synapse54,1758493389872,Synapse54
35,53809 (Fennimore),Grant County,Wisconsin,86275ab97ffffff,15,10.49,10.49,68392499.99609375,30804.70819017878,1758493389872,Synapse54,1758493389872,Synapse54
36,53554 (Livingston),Grant County,Wisconsin,86275ab9fffffff,10,9.9,9.9,68392500.00390625,30804.70819017878,1758493389872,Synapse54,1758493389872,Synapse54
37,53569 (Montfort),Iowa County,Wisconsin,86275aba7ffffff,65,10.24,10.24,69065000.0,30952.885928292835,1758493389872,Synapse54,1758493389872,Synapse54
38,53569 (Montfort),Iowa County,Wisconsin,86275abafffffff,10,9.9,9.9,68610000.0,30853.063671085874,1758493389872,Synapse54,1758493389872,Synapse54
39,53809 (Fennimore),Grant County,Wisconsin,86275abb7ffffff,9,10.59,10.59,69045000.00390625,30949.095444440904,1758493389872,Synapse54,1758493389872,Synapse54
40,54626 (Eastman),Crawford County,Wisconsin,86275ac0fffffff,14,10.45,10.45,69375000.0,31024.632332504127,1758493389872,Synapse54,1758493389872,Synapse54
41,52151 (Lansing),Allamakee County,Iowa,86275ac27ffffff,8,9.2,9.2,69358749.99609375,31018.49795211332,1758493389872,Synapse54,1758493389872,Synapse54
42,54626 (Eastman),Crawford County,Wisconsin,86275ac2fffffff,20,10.05,10.05,69374999.9921875,31024.632332504127,1758493389872,Synapse54,1758493389872,Synapse54
43,53826 (Wauzeka),Crawford County,Wisconsin,86275ac47ffffff,11,10.48,10.48,69213749.99609375,30985.03863914183,1758493389872,Synapse54,1758493389872,Synapse54
44,55066 (Red Wing),Goodhue County,Minnesota,86262cb27ffffff,47,11.46,11.46,73584999.99609375,31948.20098126561,1758493389872,Synapse54,1758493389872,Synapse54
