OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22055A_B,MP22055A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54968 (Princeton),Green Lake County,Wisconsin,86275c75fffffff,100,21.46,21.46,72180000.0,31643.296384993933,1758493408171,Synapse54,1758493408171,Synapse54
2,54745 (Holcombe),Chippewa County,Wisconsin,862750257ffffff,20,23.26,23.26,76442500.0,32559.73095349076,1758493408171,Synapse54,1758493408171,Synapse54
3,54747 (Independence),Trempealeau County,Wisconsin,862753317ffffff,39,25.0,25.0,73703750.0,31970.883675195695,1758493408171,Synapse54,1758493408171,Synapse54
4,54433 (Gilman),Taylor County,Wisconsin,86275025fffffff,36,25.0,25.0,76508750.0,32572.126449558833,1758493408171,Synapse54,1758493408171,Synapse54
5,54960 (Neshkoro),Green Lake County,Wisconsin,86275c767ffffff,22,24.18,24.18,72412499.99609375,31691.072500370763,1758493408171,Synapse54,1758493408171,Synapse54
6,54433 (Gilman),Taylor County,Wisconsin,86275026fffffff,20,24.69,24.69,76610000.0,32595.92095803193,1758493408171,Synapse54,1758493408171,Synapse54
7,54773 (Whitehall),Trempealeau County,Wisconsin,86275331fffffff,77,22.38,22.38,73157500.0,31855.323162318993,1758493408171,Synapse54,1758493408171,Synapse54
8,54745 (Holcombe),Chippewa County,Wisconsin,86275028fffffff,66,21.09,21.09,76627499.99609375,32600.888954781985,1758493408171,Synapse54,1758493408171,Synapse54
9,54968 (Princeton),Green Lake County,Wisconsin,86275c76fffffff,60,22.99,22.99,72180000.0,31643.296384993937,1758493408171,Synapse54,1758493408171,Synapse54
10,54745 (Holcombe),Chippewa County,Wisconsin,86275029fffffff,12,20.69,20.69,76627500.0078125,32600.888954781985,1758493408171,Synapse54,1758493408171,Synapse54
11,54758 (Osseo),Trempealeau County,Wisconsin,862753327ffffff,41,25.79,25.79,73799999.9921875,31992.2560318381,1758493408171,Synapse54,1758493408171,Synapse54
12,53510 (Belmont),Lafayette County,Wisconsin,86275aae7ffffff,218,24.06,24.06,67907500.0,30695.675377292657,1758493408171,Synapse54,1758493408171,Synapse54
13,54745 (Holcombe),Chippewa County,Wisconsin,8627502c7ffffff,26,22.22,22.22,76361249.99609375,32539.757752165795,1758493408171,Synapse54,1758493408171,Synapse54
14,53510 (Belmont),Lafayette County,Wisconsin,86275aaefffffff,30,24.59,24.59,67907500.0,30695.675377292657,1758493408171,Synapse54,1758493408171,Synapse54
15,54960 (Neshkoro),Marquette County,Wisconsin,86275c777ffffff,62,22.55,22.55,72412500.00390625,31691.072500370763,1758493408171,Synapse54,1758493408171,Synapse54
16,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,50,25.64,25.64,71274999.9921875,31443.232471987707,1758493408171,Synapse54,1758493408171,Synapse54
17,54773 (Whitehall),Trempealeau County,Wisconsin,86275332fffffff,111,24.72,24.72,73800000.0,31992.2560318381,1758493408171,Synapse54,1758493408171,Synapse54
18,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,61,24.7,24.7,68962500.00390625,30930.65497429147,1758493408171,Synapse54,1758493408171,Synapse54
19,54726 (Boyd),Chippewa County,Wisconsin,8627502cfffffff,33,24.44,24.44,76153750.0,32495.450363701148,1758493408171,Synapse54,1758493408171,Synapse54
20,53565 (Mineral Point),Iowa County,Wisconsin,86275ab0fffffff,40,24.69,24.69,68380000.0078125,30799.43000790409,1758493408171,Synapse54,1758493408171,Synapse54
21,54745 (Holcombe),Chippewa County,Wisconsin,8627502d7ffffff,258,24.43,24.43,76552500.0,32582.410877852526,1758493408171,Synapse54,1758493408171,Synapse54
22,53543 (Highland),Iowa County,Wisconsin,86275ab17ffffff,120,24.74,24.74,69065000.0,30952.885928292835,1758493408171,Synapse54,1758493408171,Synapse54
23,53964 (Westfield),Marquette County,Wisconsin,86275c787ffffff,40,20.83,20.83,72337500.0,31674.359219634527,1758493408171,Synapse54,1758493408171,Synapse54
24,54770 (Strum),Trempealeau County,Wisconsin,862753337ffffff,30,25.42,25.42,73361250.00390625,31899.50602628058,1758493408171,Synapse54,1758493408171,Synapse54
25,54732 (Cornell),Chippewa County,Wisconsin,8627502dfffffff,42,24.71,24.71,76552499.9921875,32582.410877852526,1758493408171,Synapse54,1758493408171,Synapse54
26,53964 (Westfield),Marquette County,Wisconsin,86275c78fffffff,310,23.81,23.81,72053750.00390625,31611.98754504347,1758493408171,Synapse54,1758493408171,Synapse54
27,54745 (Holcombe),Chippewa County,Wisconsin,8627502e7ffffff,33,22.3,22.3,76552500.00390625,32582.410877852526,1758493408171,Synapse54,1758493408171,Synapse54
28,54659 (Taylor),Jackson County,Wisconsin,862753347ffffff,82,21.35,21.35,73318750.0,31888.56125332607,1758493408171,Synapse54,1758493408171,Synapse54
29,54745 (Holcombe),Chippewa County,Wisconsin,8627502efffffff,21,22.34,22.34,76718750.0,32616.433838023484,1758493408171,Synapse54,1758493408171,Synapse54
30,53964 (Westfield),Marquette County,Wisconsin,86275c797ffffff,45,20.64,20.64,72337500.0,31674.359219634527,1758493408171,Synapse54,1758493408171,Synapse54
31,54745 (Holcombe),Chippewa County,Wisconsin,8627502f7ffffff,134,21.82,21.82,77092500.0,32699.395950725535,1758493408171,Synapse54,1758493408171,Synapse54
32,54659 (Taylor),Jackson County,Wisconsin,86275334fffffff,53,24.2,24.2,73192499.99609375,31859.64599081308,1758493408171,Synapse54,1758493408171,Synapse54
33,53964 (Westfield),Marquette County,Wisconsin,86275c79fffffff,90,21.38,21.38,72235000.00390625,31652.405022026833,1758493408171,Synapse54,1758493408171,Synapse54
34,54616 (Blair),Trempealeau County,Wisconsin,862753357ffffff,71,24.74,24.74,73487500.00390625,31928.421288793572,1758493408171,Synapse54,1758493408171,Synapse54
35,53964 (Westfield),Marquette County,Wisconsin,86275c7a7ffffff,31,20.95,20.95,72672499.99609375,31750.714589881816,1758493408171,Synapse54,1758493408171,Synapse54
36,54616 (Blair),Trempealeau County,Wisconsin,86275335fffffff,281,24.54,24.54,72958749.99609375,31814.20045136098,1758493408171,Synapse54,1758493408171,Synapse54
37,53964 (Westfield),Marquette County,Wisconsin,86275c7afffffff,32,21.05,21.05,72412500.0,31691.072500370763,1758493408171,Synapse54,1758493408171,Synapse54
38,54635 (Hixton),Jackson County,Wisconsin,862753367ffffff,17,25.0,25.0,73504999.99609375,31931.914373394684,1758493408171,Synapse54,1758493408171,Synapse54
39,54930 (Coloma),Waushara County,Wisconsin,86275c7b7ffffff,93,20.9,20.9,72467499.9921875,31703.970092629992,1758493408171,Synapse54,1758493408171,Synapse54
40,54659 (Taylor),Jackson County,Wisconsin,86275336fffffff,54,21.6,21.6,73318750.0,31888.561253326072,1758493408171,Synapse54,1758493408171,Synapse54
41,54961 (New London),Outagamie County,Wisconsin,86275c807ffffff,43,24.57,24.57,74440000.0,32129.44406421105,1758493408171,Synapse54,1758493408171,Synapse54
42,54773 (Whitehall),Trempealeau County,Wisconsin,862753377ffffff,40,24.69,24.69,73486250.0,31928.441835304824,1758493408171,Synapse54,1758493408171,Synapse54
43,54170 (Shiocton),Outagamie County,Wisconsin,86275c80fffffff,54,25.59,25.59,74365000.0078125,32113.25519550504,1758493408171,Synapse54,1758493408171,Synapse54
44,54747 (Independence),Trempealeau County,Wisconsin,8627533a7ffffff,12,24.0,24.0,73361249.99609375,31899.50602628058,1758493408171,Synapse54,1758493408171,Synapse54
45,54961 (New London),Waupaca County,Wisconsin,86275c817ffffff,136,25.52,25.52,74857499.9921875,32221.430713362533,1758493408171,Synapse54,1758493408171,Synapse54
46,54747 (Independence),Trempealeau County,Wisconsin,8627533afffffff,27,24.11,24.11,73530000.0,31939.366061748085,1758493408171,Synapse54,1758493408171,Synapse54
47,54961 (New London),Outagamie County,Wisconsin,86275c81fffffff,290,22.69,22.69,74621249.99609375,32170.042919527965,1758493408171,Synapse54,1758493408171,Synapse54
48,54729 (Chippewa Falls),Chippewa County,Wisconsin,862753807ffffff,323,25.53,25.53,75770000.0,32414.761224801827,1758493408171,Synapse54,1758493408171,Synapse54
49,54170 (Shiocton),Outagamie County,Wisconsin,86275c827ffffff,41,24.55,24.55,74857500.0,32221.430713362533,1758493408171,Synapse54,1758493408171,Synapse54
50,54729 (Chippewa Falls),Chippewa County,Wisconsin,86275380fffffff,765,25.25,25.25,75216249.99609375,32299.495020601997,1758493408171,Synapse54,1758493408171,Synapse54
51,54170 (Shiocton),Outagamie County,Wisconsin,86275c82fffffff,137,24.73,24.73,74756249.99609375,32200.134717747358,1758493408171,Synapse54,1758493408171,Synapse54
52,54729 (Chippewa Falls),Chippewa County,Wisconsin,862753817ffffff,214,25.69,25.69,75562500.0,32370.692580365725,1758493408171,Synapse54,1758493408171,Synapse54
53,54922 (Bear Creek),Outagamie County,Wisconsin,86275c837ffffff,147,24.75,24.75,74675000.0,32177.8569780845,1758493408171,Synapse54,1758493408171,Synapse54
54,54729 (Chippewa Falls),Chippewa County,Wisconsin,86275381fffffff,2179,21.83,21.83,75371249.99609375,32333.609646546127,1758493408171,Synapse54,1758493408171,Synapse54
55,54944 (Hortonville),Outagamie County,Wisconsin,86275c847ffffff,211,25.64,25.64,74263750.0,32091.959199889865,1758493408171,Synapse54,1758493408171,Synapse54
56,54748 (Jim Falls),Chippewa County,Wisconsin,862753827ffffff,159,25.4,25.4,75769999.99609375,32414.761224801827,1758493408171,Synapse54,1758493408171,Synapse54
57,54913 (Appleton),Outagamie County,Wisconsin,86275c84fffffff,1701,23.86,23.86,73812500.0,31993.260010894992,1758493408171,Synapse54,1758493408171,Synapse54
58,54727 (Cadott),Chippewa County,Wisconsin,86275382fffffff,88,25.29,25.29,75770000.0,32414.761224801827,1758493408171,Synapse54,1758493408171,Synapse54
59,54944 (Hortonville),Outagamie County,Wisconsin,86275c857ffffff,319,25.62,25.62,73995000.0,32034.705016132593,1758493408171,Synapse54,1758493408171,Synapse54
60,54729 (Chippewa Falls),Chippewa County,Wisconsin,862753837ffffff,93,25.55,25.55,75960000.00390625,32457.860319670122,1758493408171,Synapse54,1758493408171,Synapse54
61,54942 (Greenville),Outagamie County,Wisconsin,86275c85fffffff,943,24.54,24.54,74081249.99609375,32050.514194652267,1758493408171,Synapse54,1758493408171,Synapse54
62,54727 (Cadott),Chippewa County,Wisconsin,862753847ffffff,89,23.73,23.73,75422500.0078125,32343.583824948408,1758493408171,Synapse54,1758493408171,Synapse54
63,54106 (Black Creek),Outagamie County,Wisconsin,86275c867ffffff,207,25.37,25.37,74389999.99609375,32118.147318965868,1758493408171,Synapse54,1758493408171,Synapse54
64,54722 (Augusta),Eau Claire County,Wisconsin,86275384fffffff,53,24.42,24.42,75045000.0,32259.68795172716,1758493408171,Synapse54,1758493408171,Synapse54
65,54913 (Appleton),Outagamie County,Wisconsin,86275c86fffffff,291,25.62,25.62,74155000.0,32070.082959121657,1758493408171,Synapse54,1758493408171,Synapse54
66,54729 (Chippewa Falls),Chippewa County,Wisconsin,862753857ffffff,148,24.92,24.92,75214999.9921875,32299.515180512306,1758493408171,Synapse54,1758493408171,Synapse54
