OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22055A_B,MP22055A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47909 (Lafayette),Tippecanoe County,Indiana,862661d2fffffff,132,23.87,23.87,60933750.00390625,29083.26206076716,1758493425683,Synapse54,1758493425683,Synapse54
2,47909 (Lafayette),Tippecanoe County,Indiana,862661d37ffffff,431,24.09,24.09,61282500.00390625,29170.529051122405,1758493425683,Synapse54,1758493425683,Synapse54
3,47955 (Linden),Montgomery County,Indiana,862661d47ffffff,30,25.42,25.42,60560000.0,28995.79170828917,1758493425683,Synapse54,1758493425683,Synapse54
4,47940 (Darlington),Montgomery County,Indiana,862661d4fffffff,84,25.07,25.07,60631249.9921875,29015.887144308756,1758493425683,Synapse54,1758493425683,Synapse54
5,47955 (Linden),Montgomery County,Indiana,862661d57ffffff,49,24.87,24.87,60933750.00390625,29083.26206076716,1758493425683,Synapse54,1758493425683,Synapse54
6,47933 (Crawfordsville),Montgomery County,Indiana,862661d5fffffff,59,25.88,25.88,60590000.0,29004.43035273946,1758493425683,Synapse54,1758493425683,Synapse54
7,47930 (Clarks Hill),Tippecanoe County,Indiana,862661d67ffffff,128,24.57,24.57,60933750.0,29083.26206076716,1758493425683,Synapse54,1758493425683,Synapse54
8,46035 (Colfax),Montgomery County,Indiana,862661d6fffffff,42,25.0,25.0,60773750.0,29042.69802593955,1758493425683,Synapse54,1758493425683,Synapse54
9,46960 (Monterey),Starke County,Indiana,862665c37ffffff,133,21.88,21.88,63996250.0,29801.39858945099,1758493425683,Synapse54,1758493425683,Synapse54
10,47909 (Lafayette),Tippecanoe County,Indiana,862661d77ffffff,59,24.08,24.08,60933749.99609375,29083.26206076716,1758493425683,Synapse54,1758493425683,Synapse54
11,47368 (Parker City),Randolph County,Indiana,862a9288fffffff,352,24.29,24.29,61102500.0,29125.99485975172,1758493425683,Synapse54,1758493425683,Synapse54
12,47918 (Attica),Fountain County,Indiana,862661d87ffffff,20,24.69,24.69,60865000.00390625,29066.358025973037,1758493425683,Synapse54,1758493425683,Synapse54
13,46939 (Kewanna),Fulton County,Indiana,862665c47ffffff,136,24.2,24.2,63642499.99609375,29715.056001339948,1758493425683,Synapse54,1758493425683,Synapse54
14,47967 (New Richmond),Montgomery County,Indiana,862661d8fffffff,21,24.42,24.42,60905000.00390625,29077.129031369044,1758493425683,Synapse54,1758493425683,Synapse54
15,62821 (Carmi),White County,Illinois,86264524fffffff,30,24.59,24.59,56532500.0,28015.598433874227,1758493425683,Synapse54,1758493425683,Synapse54
16,47918 (Attica),Fountain County,Indiana,862661d97ffffff,86,24.36,24.36,61153749.9921875,29138.993547579987,1758493425683,Synapse54,1758493425683,Synapse54
17,47320 (Albany),Delaware County,Indiana,862a92897ffffff,241,23.58,23.58,61284999.99609375,29165.999390850455,1758493425683,Synapse54,1758493425683,Synapse54
18,47562 (Odon),Daviess County,Indiana,86266e14fffffff,153,24.76,24.76,56797500.0,28085.415791910324,1758493425683,Synapse54,1758493425683,Synapse54
19,46939 (Kewanna),Fulton County,Indiana,862665c4fffffff,27,24.32,24.32,63336249.99609375,29647.62342905964,1758493425683,Synapse54,1758493425683,Synapse54
20,47631 (New Harmony),Posey County,Indiana,86264526fffffff,7,25.0,25.0,56135000.0,27915.620822769335,1758493425683,Synapse54,1758493425683,Synapse54
21,47529 (Elnora),Daviess County,Indiana,86266e157ffffff,146,24.54,24.54,56951249.99609375,28126.00795861039,1758493425683,Synapse54,1758493425683,Synapse54
22,47303 (Muncie),Delaware County,Indiana,862a9289fffffff,395,23.78,23.78,61285000.0,29165.99939085046,1758493425683,Synapse54,1758493425683,Synapse54
23,62827 (Crossville),White County,Illinois,86264534fffffff,22,24.72,24.72,56454999.99609375,27997.829653857236,1758493425683,Synapse54,1758493425683,Synapse54
24,46939 (Kewanna),Pulaski County,Indiana,862665c57ffffff,25,24.27,24.27,63806249.99609375,29755.708087217663,1758493425683,Synapse54,1758493425683,Synapse54
25,47562 (Odon),Daviess County,Indiana,86266e15fffffff,89,24.65,24.65,56643750.00390625,28044.59995993566,1758493425683,Synapse54,1758493425683,Synapse54
26,47373 (Redkey),Randolph County,Indiana,862a928a7ffffff,129,22.95,22.95,61285000.00390625,29165.596776798564,1758493425683,Synapse54,1758493425683,Synapse54
27,46939 (Kewanna),Fulton County,Indiana,862665c5fffffff,27,23.89,23.89,63100000.00390625,29589.580320053326,1758493425683,Synapse54,1758493425683,Synapse54
28,47340 (Farmland),Randolph County,Indiana,862a928afffffff,67,25.28,25.28,61317500.0,29173.020179701587,1758493425683,Synapse54,1758493425683,Synapse54
29,46975 (Rochester),Fulton County,Indiana,862665c67ffffff,40,23.39,23.39,63524999.99609375,29693.244030943613,1758493425683,Synapse54,1758493425683,Synapse54
30,47320 (Albany),Delaware County,Indiana,862a928b7ffffff,494,24.14,24.14,61691250.0,29259.71405416492,1758493425683,Synapse54,1758493425683,Synapse54
31,46939 (Kewanna),Fulton County,Indiana,862665c6fffffff,22,23.91,23.91,63067500.01171875,29580.699013130856,1758493425683,Synapse54,1758493425683,Synapse54
