OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22055A_B,MP22055A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62899 (Xenia),Clay County,Illinois,862645197ffffff,30,23.62,23.62,57443749.99609375,28238.384126465917,1758493446269,Synapse54,1758493446269,Synapse54
2,62218 (Bartelso),Clinton County,Illinois,8626408c7ffffff,56,25.69,25.69,57945000.0,28358.942990582444,1758493446269,Synapse54,1758493446269,Synapse54
3,62271 (Okawville),Washington County,Illinois,8626408cfffffff,27,22.69,22.69,57845000.0,28336.501937329456,1758493446269,Synapse54,1758493446269,Synapse54
4,62899 (Xenia),Clay County,Illinois,86264519fffffff,113,24.78,24.78,57408750.0,28236.805397737397,1758493446269,Synapse54,1758493446269,Synapse54
5,62215 (Albers),Clinton County,Illinois,8626408d7ffffff,124,25.25,25.25,57945000.00390625,28358.942990582444,1758493446269,Synapse54,1758493446269,Synapse54
6,62858 (Louisville),Clay County,Illinois,8626451a7ffffff,20,23.26,23.26,57426250.00390625,28240.352942762212,1758493446269,Synapse54,1758493446269,Synapse54
7,62271 (Okawville),Washington County,Illinois,8626408dfffffff,247,21.7,21.7,57742500.0,28309.303506499375,1758493446269,Synapse54,1758493446269,Synapse54
8,62839 (Flora),Clay County,Illinois,8626451afffffff,121,24.25,24.25,57426249.99609375,28240.352942762212,1758493446269,Synapse54,1758493446269,Synapse54
9,62218 (Bartelso),Clinton County,Illinois,8626408e7ffffff,180,25.39,25.39,57845000.0,28336.50193732946,1758493446269,Synapse54,1758493446269,Synapse54
10,62899 (Xenia),Clay County,Illinois,8626451b7ffffff,18,21.95,21.95,57408750.0,28236.805397737397,1758493446269,Synapse54,1758493446269,Synapse54
11,62218 (Bartelso),Clinton County,Illinois,8626408efffffff,29,25.22,25.22,57844999.99609375,28336.50193732946,1758493446269,Synapse54,1758493446269,Synapse54
12,62821 (Carmi),White County,Illinois,862645207ffffff,16,23.88,23.88,56701250.00390625,28059.585776938122,1758493446269,Synapse54,1758493446269,Synapse54
13,62245 (Germantown),Clinton County,Illinois,8626408f7ffffff,308,24.6,24.6,57945000.0,28358.942990582444,1758493446269,Synapse54,1758493446269,Synapse54
14,62821 (Carmi),White County,Illinois,86264520fffffff,11,25.58,25.58,56333750.00390625,27966.596464839302,1758493446269,Synapse54,1758493446269,Synapse54
15,62275 (Pocahontas),Bond County,Illinois,862640907ffffff,33,24.44,24.44,58234999.99609375,28434.182512671614,1758493446269,Synapse54,1758493446269,Synapse54
16,62862 (Mill Shoals),White County,Illinois,862645217ffffff,19,24.05,24.05,56701250.0,28059.585776938122,1758493446269,Synapse54,1758493446269,Synapse54
17,62246 (Greenville),Bond County,Illinois,86264090fffffff,34,25.0,25.0,58233750.0,28434.18525367427,1758493446269,Synapse54,1758493446269,Synapse54
18,62862 (Mill Shoals),White County,Illinois,86264521fffffff,5,23.81,23.81,56501249.99609375,28010.5754127726,1758493446269,Synapse54,1758493446269,Synapse54
19,62275 (Pocahontas),Bond County,Illinois,862640917ffffff,203,24.58,24.58,58047500.0,28386.856971241083,1758493446269,Synapse54,1758493446269,Synapse54
20,62943 (Grantsburg),Johnson County,Illinois,8626410cfffffff,30,17.24,17.24,56407499.99609375,27984.267245494222,1758493446269,Synapse54,1758493446269,Synapse54
21,62275 (Pocahontas),Bond County,Illinois,86264091fffffff,35,24.48,24.48,58047500.0,28386.856971241083,1758493446269,Synapse54,1758493446269,Synapse54
22,62843 (Golden Gate),Wayne County,Illinois,862645227ffffff,3,20.0,20.0,56532499.99609375,28015.598433874227,1758493446269,Synapse54,1758493446269,Synapse54
23,62943 (Grantsburg),Johnson County,Illinois,8626410dfffffff,31,18.13,18.13,56489999.99609375,28003.11334361876,1758493446269,Synapse54,1758493446269,Synapse54
24,62246 (Greenville),Bond County,Illinois,862640927ffffff,317,20.41,20.41,58235000.0,28434.182512671618,1758493446269,Synapse54,1758493446269,Synapse54
25,62844 (Grayville),White County,Illinois,86264522fffffff,14,23.73,23.73,56701249.99609375,28059.585776938122,1758493446269,Synapse54,1758493446269,Synapse54
26,62246 (Greenville),Bond County,Illinois,86264092fffffff,27,23.28,23.28,57931250.00390625,28361.607485036435,1758493446269,Synapse54,1758493446269,Synapse54
27,62910 (Brookport),Pope County,Illinois,862641207ffffff,20,21.98,21.98,55923750.0,27859.47846816504,1758493446269,Synapse54,1758493446269,Synapse54
28,62246 (Greenville),Bond County,Illinois,862640937ffffff,56,25.11,25.11,57931250.00390625,28361.607485036435,1758493446269,Synapse54,1758493446269,Synapse54
29,62843 (Golden Gate),Wayne County,Illinois,862645237ffffff,23,22.77,22.77,56905000.00390625,28105.151848730537,1758493446269,Synapse54,1758493446269,Synapse54
30,62231 (Carlyle),Clinton County,Illinois,862640947ffffff,81,23.55,23.55,58062500.0,28389.779378958898,1758493446269,Synapse54,1758493446269,Synapse54
31,62821 (Carmi),White County,Illinois,862645247ffffff,14,23.73,23.73,56333750.00390625,27972.188187156644,1758493446269,Synapse54,1758493446269,Synapse54
32,62231 (Carlyle),Clinton County,Illinois,86264094fffffff,19,22.89,22.89,57745000.00390625,28314.060884076473,1758493446269,Synapse54,1758493446269,Synapse54
33,62910 (Brookport),Pope County,Illinois,86264120fffffff,24,19.67,19.67,55776250.0,27824.29021566158,1758493446269,Synapse54,1758493446269,Synapse54
34,62231 (Carlyle),Clinton County,Illinois,862640957ffffff,33,25.38,25.38,57761250.0,28317.20435132372,1758493446269,Synapse54,1758493446269,Synapse54
35,62231 (Carlyle),Clinton County,Illinois,86264095fffffff,91,25.63,25.63,57844999.99609375,28336.50193732946,1758493446269,Synapse54,1758493446269,Synapse54
36,62821 (Carmi),White County,Illinois,86264524fffffff,30,24.59,24.59,56363750.00390625,27977.19726350761,1758493446269,Synapse54,1758493446269,Synapse54
37,62231 (Carlyle),Clinton County,Illinois,862640967ffffff,115,22.33,22.33,57575000.0,28275.418383647342,1758493446269,Synapse54,1758493446269,Synapse54
38,62821 (Carmi),White County,Illinois,862645257ffffff,332,22.06,22.06,56501250.0,28010.575412772603,1758493446269,Synapse54,1758493446269,Synapse54
39,47631 (New Harmony),Posey County,Indiana,86264526fffffff,7,25.0,25.0,56134999.99609375,27921.19020520542,1758493446269,Synapse54,1758493446269,Synapse54
40,62910 (Brookport),Massac County,Illinois,862641217ffffff,28,24.56,24.56,55957500.0,27876.803127537594,1758493446269,Synapse54,1758493446269,Synapse54
41,61437 (Gladstone),Henderson County,Illinois,862670a2fffffff,19,23.17,23.17,61728750.0,29273.72473394963,1758493446269,Synapse54,1758493446269,Synapse54
42,62821 (Carmi),White County,Illinois,86264525fffffff,13,24.07,24.07,56718749.99609375,28063.168227651022,1758493446269,Synapse54,1758493446269,Synapse54
43,62827 (Crossville),White County,Illinois,862645277ffffff,13,24.53,24.53,56520000.0,28013.935102019932,1758493446269,Synapse54,1758493446269,Synapse54
44,62910 (Brookport),Massac County,Illinois,86264121fffffff,64,22.54,22.54,55938750.00390625,27862.47750898574,1758493446269,Synapse54,1758493446269,Synapse54
45,52601 (Burlington),Des Moines County,Iowa,862670a37ffffff,24,25.53,25.53,61747500.0,29277.26663996895,1758493446269,Synapse54,1758493446269,Synapse54
46,62827 (Crossville),White County,Illinois,862645267ffffff,155,24.45,24.45,56436250.0,27999.82498071102,1758493446269,Synapse54,1758493446269,Synapse54
47,61471 (Raritan),Henderson County,Illinois,862670a47ffffff,18,25.0,25.0,61263750.0,29163.77102725753,1758493446269,Synapse54,1758493446269,Synapse54
48,42081 (Smithland),Livingston County,Kentucky,862641227ffffff,11,18.03,18.03,55943750.0,27868.17562579575,1758493446269,Synapse54,1758493446269,Synapse54
49,61471 (Raritan),Henderson County,Illinois,862670a4fffffff,25,24.75,24.75,60959999.99609375,29093.10339290015,1758493446269,Synapse54,1758493446269,Synapse54
50,42081 (Smithland),Livingston County,Kentucky,86264122fffffff,9,16.98,16.98,55776250.0,27824.29021566158,1758493446269,Synapse54,1758493446269,Synapse54
51,61480 (Stronghurst),Henderson County,Illinois,862670a57ffffff,44,24.44,24.44,61479999.99609375,29211.267968272,1758493446269,Synapse54,1758493446269,Synapse54
52,62938 (Golconda),Pope County,Illinois,862641237ffffff,8,18.6,18.6,55943750.0,27868.17562579575,1758493446269,Synapse54,1758493446269,Synapse54
53,61454 (Lomax),Henderson County,Illinois,862670a5fffffff,10,25.64,25.64,61210000.0,29152.058146029645,1758493446269,Synapse54,1758493446269,Synapse54
54,61460 (Media),Henderson County,Illinois,862670a67ffffff,33,25.0,25.0,61479999.99609375,29211.267968272,1758493446269,Synapse54,1758493446269,Synapse54
55,42058 (Ledbetter),Livingston County,Kentucky,862641257ffffff,90,23.08,23.08,55943750.00390625,27868.17562579575,1758493446269,Synapse54,1758493446269,Synapse54
56,61471 (Raritan),Henderson County,Illinois,862670a6fffffff,14,24.14,24.14,61480000.0,29211.267968272,1758493446269,Synapse54,1758493446269,Synapse54
57,62910 (Brookport),Massac County,Illinois,862641287ffffff,67,17.63,17.63,56092500.0,27903.118942252677,1758493446269,Synapse54,1758493446269,Synapse54
58,61460 (Media),Henderson County,Illinois,862670a77ffffff,148,24.46,24.46,61480000.0,29211.267968272,1758493446269,Synapse54,1758493446269,Synapse54
59,42086 (West Paducah),McCracken County,Kentucky,862641297ffffff,975,21.56,21.56,55938750.0,27862.47750898574,1758493446269,Synapse54,1758493446269,Synapse54
60,61531 (Farmington),Fulton County,Illinois,86267528fffffff,25,25.0,25.0,61342499.99609375,29180.624733079865,1758493446269,Synapse54,1758493446269,Synapse54
61,62960 (Metropolis),Massac County,Illinois,8626412a7ffffff,72,23.08,23.08,56092500.0,27903.118942252677,1758493446269,Synapse54,1758493446269,Synapse54
62,61454 (Lomax),Henderson County,Illinois,862670ac7ffffff,91,24.4,24.4,61028749.99609375,29112.65139536243,1758493446269,Synapse54,1758493446269,Synapse54
63,62910 (Brookport),Massac County,Illinois,8626412afffffff,182,19.89,19.89,55957500.0,27876.803127537594,1758493446269,Synapse54,1758493446269,Synapse54
64,62960 (Metropolis),Massac County,Illinois,8626412b7ffffff,253,21.51,21.51,55755000.0,27820.240556729095,1758493446269,Synapse54,1758493446269,Synapse54
65,62910 (Brookport),Massac County,Illinois,8626412e7ffffff,142,24.44,24.44,55755000.0,27820.240556729095,1758493446269,Synapse54,1758493446269,Synapse54
66,62910 (Brookport),Massac County,Illinois,8626412f7ffffff,328,14.69,14.69,55754999.99609375,27820.240556729095,1758493446269,Synapse54,1758493446269,Synapse54
