OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22014A_B,MP22014A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62231 (Carlyle),Clinton County,Illinois,86264096fffffff,12,6.09,6.09,58047499.99609375,28386.856971241083,1758493467746,Synapse54,1758493467746,Synapse54
2,62253 (Keyesport),Bond County,Illinois,862640977ffffff,8,6.25,6.25,58047499.99609375,28392.399285997897,1758493467746,Synapse54,1758493467746,Synapse54
3,62249 (Highland),Madison County,Illinois,862640987ffffff,118,6.94,6.94,58317500.0,28448.548989988485,1758493467746,Synapse54,1758493467746,Synapse54
4,62249 (Highland),Clinton County,Illinois,86264098fffffff,28,7.37,7.37,58218750.0,28431.039045424375,1758493467746,Synapse54,1758493467746,Synapse54
5,62249 (Highland),Madison County,Illinois,862640997ffffff,321,7.65,7.65,58116250.0,28403.840614594294,1758493467746,Synapse54,1758493467746,Synapse54
6,62249 (Highland),Madison County,Illinois,86264099fffffff,392,8.2,8.2,58116250.0,28403.840614594294,1758493467746,Synapse54,1758493467746,Synapse54
7,62275 (Pocahontas),Bond County,Illinois,8626409a7ffffff,35,7.71,7.71,58116250.0,28403.840614594294,1758493467746,Synapse54,1758493467746,Synapse54
8,62275 (Pocahontas),Bond County,Illinois,8626409afffffff,39,8.35,8.35,58047500.0,28386.856971241083,1758493467746,Synapse54,1758493467746,Synapse54
9,62249 (Highland),Madison County,Illinois,8626409b7ffffff,48,6.73,6.73,58218750.0,28431.039045424375,1758493467746,Synapse54,1758493467746,Synapse54
10,62808 (Ashley),Washington County,Illinois,862640a07ffffff,13,8.18,8.18,57405000.00390625,28231.015249934626,1758493467746,Synapse54,1758493467746,Synapse54
11,62831 (Du Bois),Washington County,Illinois,862640a0fffffff,24,7.95,7.95,57401250.0,28226.01941034978,1758493467746,Synapse54,1758493467746,Synapse54
12,62263 (Nashville),Washington County,Illinois,862640a17ffffff,9,8.82,8.82,57602499.99609375,28276.612906269147,1758493467746,Synapse54,1758493467746,Synapse54
13,62831 (Du Bois),Washington County,Illinois,862640a1fffffff,7,8.24,8.24,57401250.00390625,28226.01941034978,1758493467746,Synapse54,1758493467746,Synapse54
14,62808 (Ashley),Washington County,Illinois,862640a27ffffff,41,8.2,8.2,57401250.00390625,28226.01941034978,1758493467746,Synapse54,1758493467746,Synapse54
15,62808 (Ashley),Washington County,Illinois,862640a2fffffff,16,8.12,8.12,57401249.99609375,28226.01941034978,1758493467746,Synapse54,1758493467746,Synapse54
16,62808 (Ashley),Washington County,Illinois,862640a37ffffff,15,7.77,7.77,57574999.99609375,28275.418383647342,1758493467746,Synapse54,1758493467746,Synapse54
17,62883 (Scheller),Jefferson County,Illinois,862640a47ffffff,17,7.69,7.69,57302499.99609375,28203.81687741885,1758493467746,Synapse54,1758493467746,Synapse54
18,62883 (Scheller),Franklin County,Illinois,862640a4fffffff,68,6.68,6.68,57302500.00390625,28203.81687741885,1758493467746,Synapse54,1758493467746,Synapse54
19,62883 (Scheller),Perry County,Illinois,862640a57ffffff,8,6.67,6.67,57302500.0,28203.81687741885,1758493467746,Synapse54,1758493467746,Synapse54
