OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22014A_B,MP22014A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46385 (Valparaiso),Porter County,Indiana,86266404fffffff,129,7.09,7.09,64239999.9921875,29855.13097286012,1758493488392,Synapse54,1758493488392,Synapse54
2,47448 (Nashville),Brown County,Indiana,86266ccd7ffffff,25,6.6,6.6,58072500.0,28393.328016584106,1758493488392,Synapse54,1758493488392,Synapse54
3,46307 (Crown Point),Lake County,Indiana,86266405fffffff,690,6.2,6.2,64666250.00390625,29954.44895502577,1758493488392,Synapse54,1758493488392,Synapse54
4,47448 (Nashville),Brown County,Indiana,86266ccdfffffff,63,8.11,8.11,57903750.00390625,28360.441694962912,1758493488392,Synapse54,1758493488392,Synapse54
5,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,235,5.37,5.37,64185000.0,29844.258457732598,1758493488392,Synapse54,1758493488392,Synapse54
6,46725 (Columbia City),Whitley County,Indiana,86274b25fffffff,47,8.41,8.41,64048749.99609375,29810.946528085675,1758493488392,Synapse54,1758493488392,Synapse54
7,46373 (Saint John),Lake County,Indiana,8626640d7ffffff,813,6.71,6.71,64184999.99609375,29844.258457732598,1758493488392,Synapse54,1758493488392,Synapse54
8,46701 (Albion),Noble County,Indiana,86274b267ffffff,56,7.44,7.44,64660000.00390625,29951.869056491672,1758493488392,Synapse54,1758493488392,Synapse54
9,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,20,8.55,8.55,56005000.00390625,27890.50745898393,1758493488392,Synapse54,1758493488392,Synapse54
10,46725 (Columbia City),Whitley County,Indiana,86274b26fffffff,136,7.9,7.9,64220000.00390625,29852.782909799484,1758493488392,Synapse54,1758493488392,Synapse54
11,46760 (Kimmell),Noble County,Indiana,86274b277ffffff,48,7.74,7.74,64660000.0,29951.869056491672,1758493488392,Synapse54,1758493488392,Synapse54
12,46303 (Cedar Lake),Lake County,Indiana,8626640dfffffff,865,6.82,6.82,64212500.0,29850.08063761158,1758493488392,Synapse54,1758493488392,Synapse54
13,46542 (Milford),Kosciusko County,Indiana,86274b287ffffff,15,8.33,8.33,64522500.0,29925.837101406414,1758493488392,Synapse54,1758493488392,Synapse54
14,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,27,8.33,8.33,56461250.0,28004.086172333384,1758493488392,Synapse54,1758493488392,Synapse54
15,46582 (Warsaw),Kosciusko County,Indiana,86274b28fffffff,163,5.82,5.82,64461250.0,29906.849454694115,1758493488392,Synapse54,1758493488392,Synapse54
16,46307 (Crown Point),Lake County,Indiana,8626640efffffff,493,6.04,6.04,64406249.99609375,29896.186740445817,1758493488392,Synapse54,1758493488392,Synapse54
17,46542 (Milford),Kosciusko County,Indiana,86274b297ffffff,28,7.0,7.0,64742500.0,29973.259622805697,1758493488392,Synapse54,1758493488392,Synapse54
18,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,19,8.48,8.48,56096250.00390625,27910.096352341992,1758493488392,Synapse54,1758493488392,Synapse54
19,46538 (Leesburg),Kosciusko County,Indiana,86274b29fffffff,25,5.25,5.25,64327500.0,29879.11623346342,1758493488392,Synapse54,1758493488392,Synapse54
20,46392 (Wheatfield),Jasper County,Indiana,862664207ffffff,105,5.51,5.51,63894999.9921875,29778.481925557542,1758493488392,Synapse54,1758493488392,Synapse54
21,46542 (Milford),Kosciusko County,Indiana,86274b2a7ffffff,221,8.54,8.54,64681250.00390625,29958.02042132723,1758493488392,Synapse54,1758493488392,Synapse54
22,47666 (Patoka),Gibson County,Indiana,86266e6f7ffffff,16,8.51,8.51,56295000.00390625,27960.624780817296,1758493488392,Synapse54,1758493488392,Synapse54
23,46542 (Milford),Kosciusko County,Indiana,86274b2afffffff,89,6.49,6.49,64627499.99609375,29945.010964944828,1758493488392,Synapse54,1758493488392,Synapse54
24,46392 (Wheatfield),Jasper County,Indiana,86266420fffffff,61,7.26,7.26,63456250.0,29679.08223842066,1758493488392,Synapse54,1758493488392,Synapse54
25,47591 (Vincennes),Knox County,Indiana,86266e707ffffff,28,8.38,8.38,56481250.0,28008.134236096463,1758493488392,Synapse54,1758493488392,Synapse54
26,46310 (Demotte),Jasper County,Indiana,862664217ffffff,312,7.37,7.37,63736250.0078125,29741.086358816698,1758493488392,Synapse54,1758493488392,Synapse54
27,47557 (Monroe City),Knox County,Indiana,86266e70fffffff,46,8.44,8.44,56386250.0,27987.132919132015,1758493488392,Synapse54,1758493488392,Synapse54
28,47978 (Rensselaer),Jasper County,Indiana,86266421fffffff,95,7.2,7.2,63600000.0,29705.852771109985,1758493488392,Synapse54,1758493488392,Synapse54
29,47591 (Vincennes),Knox County,Indiana,86266e717ffffff,795,7.59,7.59,56481250.00390625,28008.134236096463,1758493488392,Synapse54,1758493488392,Synapse54
30,46392 (Wheatfield),Jasper County,Indiana,862664227ffffff,12,6.42,6.42,63895000.00390625,29778.481925557542,1758493488392,Synapse54,1758493488392,Synapse54
31,47591 (Vincennes),Knox County,Indiana,86266e71fffffff,26,8.23,8.23,56167499.99609375,27932.181923484713,1758493488392,Synapse54,1758493488392,Synapse54
32,46392 (Wheatfield),Jasper County,Indiana,86266422fffffff,99,6.4,6.4,63957500.0,29793.014641529917,1758493488392,Synapse54,1758493488392,Synapse54
33,47591 (Vincennes),Knox County,Indiana,86266e727ffffff,20,8.0,8.0,56162499.99609375,27929.854561787084,1758493488392,Synapse54,1758493488392,Synapse54
34,46392 (Wheatfield),Jasper County,Indiana,862664237ffffff,33,5.65,5.65,63764999.99609375,29747.077284832478,1758493488392,Synapse54,1758493488392,Synapse54
35,47557 (Monroe City),Knox County,Indiana,86266e72fffffff,10,8.0,8.0,56386250.0,27987.13291913202,1758493488392,Synapse54,1758493488392,Synapse54
36,47591 (Vincennes),Knox County,Indiana,86266e737ffffff,190,8.04,8.04,56366249.99609375,27983.06021104123,1758493488392,Synapse54,1758493488392,Synapse54
37,46392 (Wheatfield),Jasper County,Indiana,862664247ffffff,16,6.2,6.2,63292500.00390625,29637.914259900805,1758493488392,Synapse54,1758493488392,Synapse54
38,47557 (Monroe City),Knox County,Indiana,86266e747ffffff,12,8.16,8.16,56001250.0,27888.514002756532,1758493488392,Synapse54,1758493488392,Synapse54
39,47957 (Medaryville),Pulaski County,Indiana,86266424fffffff,7,7.14,7.14,63292500.00390625,29637.914259900805,1758493488392,Synapse54,1758493488392,Synapse54
40,47567 (Petersburg),Pike County,Indiana,86266e74fffffff,155,7.59,7.59,56209999.99609375,27946.213160089665,1758493488392,Synapse54,1758493488392,Synapse54
41,47978 (Rensselaer),Jasper County,Indiana,862664257ffffff,32,8.0,8.0,63546249.99609375,29699.772159416396,1758493488392,Synapse54,1758493488392,Synapse54
42,47557 (Monroe City),Knox County,Indiana,86266e757ffffff,9,8.65,8.65,56481250.0,28008.134236096463,1758493488392,Synapse54,1758493488392,Synapse54
43,47567 (Petersburg),Pike County,Indiana,86266e75fffffff,65,7.99,7.99,56481250.0,28008.134236096463,1758493488392,Synapse54,1758493488392,Synapse54
44,47946 (Francesville),Jasper County,Indiana,86266425fffffff,7,5.83,5.83,63381250.00390625,29658.547645693907,1758493488392,Synapse54,1758493488392,Synapse54
45,47557 (Monroe City),Knox County,Indiana,86266e767ffffff,6,7.32,7.32,56198750.0,27939.63744634411,1758493488392,Synapse54,1758493488392,Synapse54
46,47957 (Medaryville),Pulaski County,Indiana,862664267ffffff,15,5.6,5.6,63511250.0,29685.54551152516,1758493488392,Synapse54,1758493488392,Synapse54
47,47567 (Petersburg),Pike County,Indiana,86266e76fffffff,6,5.26,5.26,56021249.99609375,27892.56206651961,1758493488392,Synapse54,1758493488392,Synapse54
48,47597 (Wheatland),Knox County,Indiana,86266e777ffffff,24,8.3,8.3,56220000.00390625,27943.464998403833,1758493488392,Synapse54,1758493488392,Synapse54
49,47957 (Medaryville),Pulaski County,Indiana,86266426fffffff,53,7.86,7.86,63292500.0,29637.914259900805,1758493488392,Synapse54,1758493488392,Synapse54
50,47591 (Vincennes),Knox County,Indiana,86266e787ffffff,4,4.65,4.65,56461250.00390625,28004.086172333384,1758493488392,Synapse54,1758493488392,Synapse54
51,46392 (Wheatfield),Jasper County,Indiana,862664277ffffff,35,8.08,8.08,63676250.00390625,29726.544743908227,1758493488392,Synapse54,1758493488392,Synapse54
52,47591 (Vincennes),Knox County,Indiana,86266e78fffffff,13,7.39,7.39,56461249.99609375,28004.08617233338,1758493488392,Synapse54,1758493488392,Synapse54
