OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22014A_B,MP22014A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54106 (Black Creek),Outagamie County,Wisconsin,86275c967ffffff,35,8.33,8.33,74781250.00390625,32205.097763134465,1758493506770,Synapse54,1758493506770,Synapse54
2,54741 (Fairchild),Eau Claire County,Wisconsin,862753a2fffffff,16,4.26,4.26,74700000.0,32188.51055187374,1758493506770,Synapse54,1758493506770,Synapse54
3,54722 (Augusta),Eau Claire County,Wisconsin,862753a37ffffff,66,4.67,4.67,74474999.99609375,32141.05461982832,1758493506770,Synapse54,1758493506770,Synapse54
4,53572 (Mount Horeb),Dane County,Wisconsin,862758707ffffff,31,6.98,6.98,68722500.0,30878.93549508376,1758493506770,Synapse54,1758493506770,Synapse54
5,54106 (Black Creek),Outagamie County,Wisconsin,86275c96fffffff,45,5.38,5.38,75153749.99609375,32283.64794250691,1758493506770,Synapse54,1758493506770,Synapse54
6,54615 (Black River Falls),Jackson County,Wisconsin,86275ecafffffff,23,8.42,8.42,72977500.0,31817.590788524973,1758493506770,Synapse54,1758493506770,Synapse54
7,54746 (Humbird),Clark County,Wisconsin,862753a47ffffff,27,8.23,8.23,74071250.0,32053.202896472554,1758493506770,Synapse54,1758493506770,Synapse54
8,54754 (Merrillan),Jackson County,Wisconsin,862753a4fffffff,42,7.94,7.94,73777500.00390625,31987.713303835266,1758493506770,Synapse54,1758493506770,Synapse54
9,54170 (Shiocton),Outagamie County,Wisconsin,86275c977ffffff,44,8.35,8.35,75127499.9921875,32278.469893671463,1758493506770,Synapse54,1758493506770,Synapse54
10,53508 (Belleville),Dane County,Wisconsin,86275870fffffff,16,7.77,7.77,68347500.00390625,30791.6106433545,1758493506770,Synapse54,1758493506770,Synapse54
11,54615 (Black River Falls),Jackson County,Wisconsin,86275ecb7ffffff,11,7.86,7.86,72977500.0,31817.590788524973,1758493506770,Synapse54,1758493506770,Synapse54
12,54929 (Clintonville),Waupaca County,Wisconsin,86275c987ffffff,10,8.26,8.26,74910000.00390625,32231.475005579538,1758493506770,Synapse54,1758493506770,Synapse54
13,54741 (Fairchild),Jackson County,Wisconsin,862753a57ffffff,9,8.74,8.74,74306250.00390625,32101.38340046572,1758493506770,Synapse54,1758493506770,Synapse54
14,53572 (Mount Horeb),Dane County,Wisconsin,86275871fffffff,17,7.8,7.8,68822500.0,30900.91498652543,1758493506770,Synapse54,1758493506770,Synapse54
15,54656 (Sparta),Monroe County,Wisconsin,86275ecc7ffffff,37,8.47,8.47,72686249.99609375,31752.265584342036,1758493506770,Synapse54,1758493506770,Synapse54
16,54611 (Alma Center),Jackson County,Wisconsin,862753a5fffffff,17,8.1,8.1,73757499.9921875,31981.5880021302,1758493506770,Synapse54,1758493506770,Synapse54
17,54922 (Bear Creek),Waupaca County,Wisconsin,86275c98fffffff,24,8.42,8.42,75093750.0078125,32269.674091067245,1758493506770,Synapse54,1758493506770,Synapse54
18,53593 (Verona),Dane County,Wisconsin,862758727ffffff,41,6.42,6.42,69050000.0078125,30948.8300894421,1758493506770,Synapse54,1758493506770,Synapse54
19,54456 (Neillsville),Clark County,Wisconsin,86275169fffffff,4,7.55,7.55,74001250.0,32035.668878636945,1758493506770,Synapse54,1758493506770,Synapse54
20,54950 (Marion),Waupaca County,Wisconsin,86275c997ffffff,16,8.51,8.51,75043750.0,32261.605338817273,1758493506770,Synapse54,1758493506770,Synapse54
21,54666 (Warrens),Jackson County,Wisconsin,86275e8b7ffffff,1,7.69,7.69,73290000.00390625,31881.41724143999,1758493506770,Synapse54,1758493506770,Synapse54
22,54746 (Humbird),Clark County,Wisconsin,862753a67ffffff,6,7.79,7.79,74187500.0,32078.547433961077,1758493506770,Synapse54,1758493506770,Synapse54
23,53946 (Markesan),Green Lake County,Wisconsin,86275c2b7ffffff,22,5.38,5.38,71923750.0,31584.50112137888,1758493506770,Synapse54,1758493506770,Synapse54
24,54456 (Neillsville),Clark County,Wisconsin,8627516a7ffffff,22,8.0,8.0,74149999.99609375,32068.419887338947,1758493506770,Synapse54,1758493506770,Synapse54
25,53963 (Waupun),Dodge County,Wisconsin,86275c2c7ffffff,17,7.87,7.87,71387500.0,31469.705368648007,1758493506770,Synapse54,1758493506770,Synapse54
26,54456 (Neillsville),Clark County,Wisconsin,8627516afffffff,188,7.97,7.97,74316250.0,32107.616541957064,1758493506770,Synapse54,1758493506770,Synapse54
27,53593 (Verona),Dane County,Wisconsin,86275808fffffff,184,4.12,4.12,69377500.0,31023.852446494217,1758493506770,Synapse54,1758493506770,Synapse54
28,53050 (Mayville),Dodge County,Wisconsin,86275d58fffffff,243,7.54,7.54,70903750.0,31363.772222949643,1758493506770,Synapse54,1758493506770,Synapse54
29,54618 (Camp Douglas),Juneau County,Wisconsin,86275e8c7ffffff,3,6.98,6.98,72450000.0,31701.965121697544,1758493506770,Synapse54,1758493506770,Synapse54
30,54456 (Neillsville),Clark County,Wisconsin,8627516b7ffffff,5,8.93,8.93,74737500.0,32193.741416834288,1758493506770,Synapse54,1758493506770,Synapse54
31,53963 (Waupun),Dodge County,Wisconsin,86275c2cfffffff,16,7.73,7.73,71208750.0,31427.83898198449,1758493506770,Synapse54,1758493506770,Synapse54
