OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,Acx Entertainment,N Bayshore Dr,Glendale,Wisconsin,WI,53217,4518,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,,,,45.0,1482000.0,Data Axle,ecca11a3bb10257a17316ac5d9e211d0,"Acx Entertainment, Glendale, Wisconsin",43.12209399999999,-87.913726,1758493540260,Synapse54,1758493540260,Synapse54
2,AMC CLASSIC Desert Star 15,Kalahari Dr,Baraboo,Wisconsin,WI,53913,9071,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,14.0,724000.0,Data Axle,d23b9745a022d8559a01210a10a8fce9,"AMC CLASSIC Desert Star 15, Baraboo, Wisconsin",43.57191799999997,-89.77575399999998,1758493540260,Synapse54,1758493540260,Synapse54
3,AMC CLASSIC Johnson Creek 12,Village Walk Ln,Johnson Creek,Wisconsin,WI,53038,9526,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,17.0,805000.0,Data Axle,40d5d6193f07d05a3551ed11612ae32b,"AMC CLASSIC Johnson Creek 12, Johnson Creek, Wisconsin",43.08120599999999,-88.766234,1758493540260,Synapse54,1758493540260,Synapse54
4,AMC CLASSIC Manitowoc 10,S 44 Th St,Manitowoc,Wisconsin,WI,54220,5803,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,18.0,794000.0,Data Axle,831bc542a476afcbf598b9c920970a35,"AMC CLASSIC Manitowoc 10, Manitowoc, Wisconsin",44.068571000000006,-87.704822,1758493540260,Synapse54,1758493540260,Synapse54
5,AMC CLASSIC Oakwood 12,Golf Rd,Eau Claire,Wisconsin,WI,54701,9043,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,35.0,1637000.0,Data Axle,8063f6913626417bb42d8b22c66d7838,"AMC CLASSIC Oakwood 12, Eau Claire, Wisconsin",44.775708999999985,-91.44162299999998,1758493540260,Synapse54,1758493540260,Synapse54
6,AMC Fitchburg 18,Mckee Rd,Fitchburg,Wisconsin,WI,53719,5108,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,,,,55.0,3312000.0,Data Axle,f91375b07f757246c8687dd94e426c51,"AMC Fitchburg 18, Fitchburg, Wisconsin",43.014258,-89.465714,1758493540260,Synapse54,1758493540260,Synapse54
7,AMC Madison 6,N Midvale Blvd,Madison,Wisconsin,WI,53705,3264,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,35.0,2349000.0,Data Axle,d72cf6306c5387aeba3eaab5cb1ab9f9,"AMC Madison 6, Madison, Wisconsin",43.07285699999998,-89.45310200000002,1758493540260,Synapse54,1758493540260,Synapse54
8,AMC Mayfair Mall 18,N Mayfair Rd,Wauwatosa,Wisconsin,WI,53226,1464,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,39.0,2141000.0,Data Axle,74885027fd82ec31fb2f7070c9eaeb5d,"AMC Mayfair Mall 18, Wauwatosa, Wisconsin",43.06426099999999,-88.04465199999999,1758493540260,Synapse54,1758493540260,Synapse54
9,AMC Partners Rice Lake Wjmc/Waqe/Fox 99.1 WKFX,21 St Ave,Rice Lake,Wisconsin,WI,54868,9502,51213101,"51213101, 51611003",783201,"783201, 483201","Theatres-Movie, Radio Stations & Broadcasting Companies",,,"American Multi-Cinema, Inc",High,Information,Branch,,,,20.0,887000.0,Data Axle,c4c3366891027cb6b0c1a9df75001aac,"AMC Partners Rice Lake Wjmc/Waqe/Fox 99.1 WKFX, Rice Lake, Wisconsin",45.50895100000001,-91.774093,1758493540260,Synapse54,1758493540260,Synapse54
10,Ashland Bay Cinema,Main St W,Ashland,Wisconsin,WI,54806,1510,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,3.0,121000.0,Data Axle,ac03d4d96396071f4beb9573d35d9ad2,"Ashland Bay Cinema, Ashland, Wisconsin",46.589213999999984,-90.88769900000001,1758493540260,Synapse54,1758493540260,Synapse54
