OBJECTID,CONAME,ADDR,CITY,STATE_NAME,STATE,ZIP,ZIP4,NAICS,NAICS_ALL,SIC,SIC_ALL,INDUSTRY_DESC,AFFILIATE,BRAND,HQNAME,LOC_CONF,NAICS_SECT,PLACETYPE,SQFOOTAGE,MIN_SQFT,MAX_SQFT,EMPNUM,SALESVOL,SOURCE,ESRI_PID,DESC_,LATITUDE,LONGITUDE,CreationDate,Creator,EditDate,Editor
1,13-24 Drive in,N State Road 13,Wabash,Indiana,IN,46992,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,Honeywell Arts & Entertainment,High,Information,Branch,5000 - 9999,5000.0,9999.0,5,184000.0,Data Axle,ee9f3ee4c5e40623450063699336c410,"13-24 Drive in, Wabash, Indiana",40.838815000000004,-85.79331199999997,1758493572227,Synapse54,1758493572227,Synapse54
2,49er Drive-In Theatre,N Calumet Ave,Valparaiso,Indiana,IN,46383,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,5,190000.0,Data Axle,6f948e46675cb3e696c67aff015fcf76,"49er Drive-In Theatre, Valparaiso, Indiana",41.53252299999999,-87.03441000000001,1758493572227,Synapse54,1758493572227,Synapse54
3,ABCinema,W Monroe St,Decatur,Indiana,IN,46733,1605,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,418000.0,Data Axle,16121b94766fe82a8ff380f3432ed2ce,"ABCinema, Decatur, Indiana",40.831648,-84.923974,1758493572227,Synapse54,1758493572227,Synapse54
4,Alamo Drafhouse Cinema,Lafayette Rd,Indianapolis,Indiana,IN,46254,2554,51213101,"51213101, 72241001, 72251117, 71131005, 72241003",783201,"783201, 581301, 581208, 651211, 581303","Theatres-Movie, Bars, Restaurants, Event Centers, Cocktail Lounges",,,Alamo Drafthouse Cinemas,High,Information,Branch,,,,50,3170000.0,Data Axle,77ea10f2ea4279f67d36521f27c9c9be,"Alamo Drafhouse Cinema, Indianapolis, Indiana",39.82716099999999,-86.23944199999998,1758493572227,Synapse54,1758493572227,Synapse54
5,AMC Castleton Square 14,E 82 Nd St,Indianapolis,Indiana,IN,46250,4586,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,42,2663000.0,Data Axle,d36629eadfa62107890cb0edbd8ed7b2,"AMC Castleton Square 14, Indianapolis, Indiana",39.908779999999986,-86.065428,1758493572227,Synapse54,1758493572227,Synapse54
6,AMC CLASSIC Bloomington 11,S College Mall Rd,Bloomington,Indiana,IN,47401,6175,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,35,1891000.0,Data Axle,956cdd825554d578eb24917f20d4dc01,"AMC CLASSIC Bloomington 11, Bloomington, Indiana",39.15142500000002,-86.495423,1758493572227,Synapse54,1758493572227,Synapse54
7,AMC CLASSIC Bloomington 12,W 3 Rd St,Bloomington,Indiana,IN,47404,5236,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,17,919000.0,Data Axle,c7f7bfcf2f3bb9ed2fe74359125a5ead,"AMC CLASSIC Bloomington 12, Bloomington, Indiana",39.161925000000004,-86.571798,1758493572227,Synapse54,1758493572227,Synapse54
8,AMC CLASSIC Columbus 12,Creekview Ct,Columbus,Indiana,IN,47201,2608,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,58,2918000.0,Data Axle,b9f5054e7e28c9aeef72bebd85308cb3,"AMC CLASSIC Columbus 12, Columbus, Indiana",39.20572399999999,-85.882229,1758493572227,Synapse54,1758493572227,Synapse54
9,AMC CLASSIC Crawfordsville 8,Dry Branch Dr,Crawfordsville,Indiana,IN,47933,3817,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,17,777000.0,Data Axle,ae782934fa45f499f6bd05ee5a8ee4d4,"AMC CLASSIC Crawfordsville 8, Crawfordsville, Indiana",40.02047199999999,-86.901237,1758493572227,Synapse54,1758493572227,Synapse54
10,AMC CLASSIC Elkhart 14,Cassopolis St,Elkhart,Indiana,IN,46514,5131,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,60,2966000.0,Data Axle,843a189a4c5b29913858cbd6ade354cf,"AMC CLASSIC Elkhart 14, Elkhart, Indiana",41.72188799999997,-85.974256,1758493572227,Synapse54,1758493572227,Synapse54
11,AMC CLASSIC Hobart 12,Southlake Mall,Merrillville,Indiana,IN,46410,6682,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,49,,Data Axle,972c107934a7cf4a9bc59b9153812da0,"AMC CLASSIC Hobart 12, Merrillville, Indiana",41.46824099999999,-87.30525899999998,1758493572227,Synapse54,1758493572227,Synapse54
12,AMC CLASSIC Jefferson Point 18,W Jefferson Blvd,Fort Wayne,Indiana,IN,46804,6818,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,60,3124000.0,Data Axle,32ea844e9339c1f0925255841ac71385,"AMC CLASSIC Jefferson Point 18, Fort Wayne, Indiana",41.073035999999995,-85.199203,1758493572227,Synapse54,1758493572227,Synapse54
13,AMC CLASSIC Kokomo 12,E Boulevard,Kokomo,Indiana,IN,46902,2479,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,39,1821000.0,Data Axle,a3c9a14a2915df31335410522a3ca1a4,"AMC CLASSIC Kokomo 12, Kokomo, Indiana",40.464712,-86.11192499999999,1758493572227,Synapse54,1758493572227,Synapse54
14,AMC CLASSIC Marion 12,N Theatre Dr,Marion,Indiana,IN,46952,1710,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,53,2197000.0,Data Axle,675470e0c28f57daf95995702df82bcd,"AMC CLASSIC Marion 12, Marion, Indiana",40.571567,-85.683049,1758493572227,Synapse54,1758493572227,Synapse54
15,AMC CLASSIC Michigan City 14,Meijer Dr,Michigan City,Indiana,IN,46360,7382,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,57,2762000.0,Data Axle,f7ef142a63651bc7ac4cc87a4ee03793,"AMC CLASSIC Michigan City 14, Michigan City, Indiana",41.67344099999998,-86.88748699999996,1758493572227,Synapse54,1758493572227,Synapse54
16,AMC CLASSIC Richmond 11,National Rd E,Richmond,Indiana,IN,47374,3735,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,38,1849000.0,Data Axle,af1dd2973a60ab3a986fbd3a6d2ac242,"AMC CLASSIC Richmond 11, Richmond, Indiana",39.829476,-84.835813,1758493572227,Synapse54,1758493572227,Synapse54
17,AMC CLASSIC Terre Haute 12,S 3 Rd Pl,Terre Haute,Indiana,IN,47802,3785,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,29,1472000.0,Data Axle,00d3ce9e35a9b2ecf1afc2c10501ff27,"AMC CLASSIC Terre Haute 12, Terre Haute, Indiana",39.427054,-87.42514300000002,1758493572227,Synapse54,1758493572227,Synapse54
18,AMC CLASSIC Vincennes 8,S Hart Street Rd,Vincennes,Indiana,IN,47591,5588,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,10000 - 19999,10000.0,19999.0,13,557000.0,Data Axle,7896370702a7c3e8a033af3658a6e91c,"AMC CLASSIC Vincennes 8, Vincennes, Indiana",38.65496199999999,-87.500615,1758493572227,Synapse54,1758493572227,Synapse54
19,AMC Evansville 16,Pearl Dr,Evansville,Indiana,IN,47712,8114,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,40,2092000.0,Data Axle,6405ec6d565737076d037a1d797d89f9,"AMC Evansville 16, Evansville, Indiana",37.972857,-87.643471,1758493572227,Synapse54,1758493572227,Synapse54
20,AMC Indianapolis 17,S Meridian St,Indianapolis,Indiana,IN,46217,3441,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,58,3677000.0,Data Axle,9230adfbdeb21f0aff0d4763e7b752e2,"AMC Indianapolis 17, Indianapolis, Indiana",39.701744,-86.15242599999999,1758493572227,Synapse54,1758493572227,Synapse54
21,AMC Muncie 12,E Princeton Ave,Muncie,Indiana,IN,47303,1242,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,59,2844000.0,Data Axle,543bc54094a4f682b77bf6b831cfa1b2,"AMC Muncie 12, Muncie, Indiana",40.225767999999995,-85.37626199999997,1758493572227,Synapse54,1758493572227,Synapse54
22,AMC Perry Crossing 18,Cinema Blvd,Plainfield,Indiana,IN,46168,5511,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",Medium,Information,Branch,100000+,100000.0,,42,2174000.0,Data Axle,2b296aecda6ae15f1c0e07f542b86c63,"AMC Perry Crossing 18, Plainfield, Indiana",39.71119699999996,-86.36004900000002,1758493572227,Synapse54,1758493572227,Synapse54
23,AMC Schererville 12,Eagle Ridge Dr,Schererville,Indiana,IN,46375,1386,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,71,4060000.0,Data Axle,0ab3d79cd02b701d0aa1b0813454f519,"AMC Schererville 12, Schererville, Indiana",41.49612899999999,-87.475461,1758493572227,Synapse54,1758493572227,Synapse54
24,AMC Schererville 16,Deer Creek Dr,Schererville,Indiana,IN,46375,1352,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,68,3888000.0,Data Axle,f1d55b02ea33bc9874328a371c2dd48c,"AMC Schererville 16, Schererville, Indiana",41.49913899999998,-87.47591500000001,1758493572227,Synapse54,1758493572227,Synapse54
25,AMC South Bend 16,W Chippewa Ave,South Bend,Indiana,IN,46614,3701,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,56,3257000.0,Data Axle,fe24ff2fbe325f22dab3629bdd373be7,"AMC South Bend 16, South Bend, Indiana",41.63509999999998,-86.25703500000002,1758493572227,Synapse54,1758493572227,Synapse54
26,AMC Traders Point 12,W 86 Th St,Indianapolis,Indiana,IN,46278,1406,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,41,2600000.0,Data Axle,784d12b9f05221cb42f4f06577fe5b94,"AMC Traders Point 12, Indianapolis, Indiana",39.914315,-86.26554400000002,1758493572227,Synapse54,1758493572227,Synapse54
27,AMC Washington Square 12,E Washington St,Indianapolis,Indiana,IN,46229,2628,51213101,51213101,783201,783201,Theatres-Movie,,,"American Multi-Cinema, Inc",High,Information,Branch,100000+,100000.0,,41,2600000.0,Data Axle,ca5e28e90b2385ffd40e73a899bceb03,"AMC Washington Square 12, Indianapolis, Indiana",39.778735000000005,-85.98363499999998,1758493572227,Synapse54,1758493572227,Synapse54
28,Auburn Garrett Drive-in Theatre,State Road 8,Garrett,Indiana,IN,46738,,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,4,127000.0,Data Axle,c971a5bb6a506126699b912e6460b837,"Auburn Garrett Drive-in Theatre, Garrett, Indiana",41.36527499999998,-85.144679,1758493572227,Synapse54,1758493572227,Synapse54
29,Bel-Air Drive-in Movie Theatre,N US Highway 421,Versailles,Indiana,IN,47042,9015,51213202,51213202,783301,783301,Drive-In Motion Picture Theaters,,,,High,Information,Independent,5000 - 9999,5000.0,9999.0,5,142000.0,Data Axle,f2a8976c41ddeb49f8f0e8f944af9cd5,"Bel-Air Drive-in Movie Theatre, Versailles, Indiana",39.07976300000001,-85.27365499999999,1758493572227,Synapse54,1758493572227,Synapse54
30,Bones Theatre,N Opportunity Dr,Columbia City,Indiana,IN,46725,1041,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,9,344000.0,Data Axle,f8d909491b682897f363f354a165f44e,"Bones Theatre, Columbia City, Indiana",41.17305499999999,-85.507288,1758493572227,Synapse54,1758493572227,Synapse54
31,Brookville Theatre,W 5th St,Brookville,Indiana,IN,47012,1402,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,2,99000.0,Data Axle,7eef78a9701f8ad2587fc41706167dad,"Brookville Theatre, Brookville, Indiana",39.41936900000001,-85.013385,1758493572227,Synapse54,1758493572227,Synapse54
32,Brownsburg 8 GDX-GQT Movies,N Green St,Brownsburg,Indiana,IN,46112,8066,51213101,51213101,783201,783201,Theatres-Movie,,,"Goodrich Theater OpCo, LLC",High,Information,Branch,20000 - 39999,20000.0,39999.0,15,673000.0,Data Axle,30f908fbcc8f7c86795aa86a6efee8e5,"Brownsburg 8 GDX-GQT Movies, Brownsburg, Indiana",39.86864999999999,-86.39032099999999,1758493572227,Synapse54,1758493572227,Synapse54
33,Centerbrook Drive-in,State Road 67 N,Martinsville,Indiana,IN,46151,8982,51213202,"51213202, 72251117",783301,"783301, 581208","Drive-In Motion Picture Theaters, Restaurants",,,,High,Information,Independent,2500 - 4999,2500.0,4999.0,4,115000.0,Data Axle,d56db1fd22934a09602da9d4469238bd,"Centerbrook Drive-in, Martinsville, Indiana",39.52450799999999,-86.39272199999999,1758493572227,Synapse54,1758493572227,Synapse54
34,Cinema 66,State Road 66,Tell City,Indiana,IN,47586,,51213101,51213101,783201,783201,Theatres-Movie,,,,Low,Information,Independent,10000 - 19999,10000.0,19999.0,6,235000.0,Data Axle,24a08bdb3370d81fadc4cb96e4dbf1a2,"Cinema 66, Tell City, Indiana",37.95078,-86.76387999999999,1758493572227,Synapse54,1758493572227,Synapse54
35,Cinemark Greenwood Corner,E Stop 13 Rd,Indianapolis,Indiana,IN,46227,0847,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,22,1268000.0,Data Axle,20db304b28fda6681e7e671490b479e0,"Cinemark Greenwood Corner, Indianapolis, Indiana",39.639556000000006,-86.12582099999999,1758493572227,Synapse54,1758493572227,Synapse54
36,Cinemark South Bend Movies 14,W Edison Rd,Mishawaka,Indiana,IN,46545,2771,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,40000 - 99999,40000.0,99999.0,16,1105000.0,Data Axle,6c090859517dba75deac97df1b9ded68,"Cinemark South Bend Movies 14, Mishawaka, Indiana",41.696805999999995,-86.194568,1758493572227,Synapse54,1758493572227,Synapse54
37,Cinemark Valparaiso,Porters Vale Blvd,Valparaiso,Indiana,IN,46383,8471,51213101,"51213101, 71394010",783201,"783201, 799935","Theatres-Movie, Halls & Auditoriums",,,"Cinemark USA, Inc",High,Information,Branch,100000+,100000.0,,37,2495000.0,Data Axle,4be8d490c450374533d3f931d2bb298e,"Cinemark Valparaiso, Valparaiso, Indiana",41.47441499999998,-87.01567199999998,1758493572227,Synapse54,1758493572227,Synapse54
38,Clyde Theater,Bluffton Rd,Fort Wayne,Indiana,IN,46809,1306,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,14,729000.0,Data Axle,fbe89c7c9dd35289602a02f0f36e8ce0,"Clyde Theater, Fort Wayne, Indiana",41.05209099999998,-85.16125099999998,1758493572227,Synapse54,1758493572227,Synapse54
39,Corydon Cinemas,Edsel Ln NW,Corydon,Indiana,IN,47112,2168,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,9,389000.0,Data Axle,b174d8258a72aaf35360ad9ad153d6a2,"Corydon Cinemas, Corydon, Indiana",38.230864000000004,-86.135111,1758493572227,Synapse54,1758493572227,Synapse54
40,Crump Theatre,3rd St,Columbus,Indiana,IN,47201,6721,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,6,302000.0,Data Axle,2af6e17b5b2a2bc8f8d3c2f38d0805f0,"Crump Theatre, Columbus, Indiana",39.200939000000005,-85.92015799999999,1758493572227,Synapse54,1758493572227,Synapse54
41,Diana Theatre,E Jefferson St,Tipton,Indiana,IN,46072,1909,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,4,191000.0,Data Axle,39262bfad5d4d938642241b2e0ccdcc9,"Diana Theatre, Tipton, Indiana",40.282021999999984,-86.039679,1758493572227,Synapse54,1758493572227,Synapse54
42,Eagles Theatre,W Market St,Wabash,Indiana,IN,46992,3052,51213101,51213101,783201,783201,Theatres-Movie,,,Honeywell Arts & Entertainment,High,Information,Branch,10000 - 19999,10000.0,19999.0,6,228000.0,Data Axle,6d7957e109208b9356184402316e6793,"Eagles Theatre, Wabash, Indiana",40.79702399999998,-85.822647,1758493572227,Synapse54,1758493572227,Synapse54
43,Eastside 10 IMAX-GQT Movies,Farabee Dr N,Lafayette,Indiana,IN,47905,5911,51213101,51213101,783201,783201,Theatres-Movie,,,"Goodrich Theater OpCo, LLC",High,Information,Branch,20000 - 39999,20000.0,39999.0,12,658000.0,Data Axle,57e3467897270700a6b56887a6958409,"Eastside 10 IMAX-GQT Movies, Lafayette, Indiana",40.42057099999999,-86.85211700000002,1758493572227,Synapse54,1758493572227,Synapse54
44,Emagine Theatres Noblesville,Norell Rd,Noblesville,Indiana,IN,46060,6602,51213101,51213101,783201,783201,Theatres-Movie,,,"Emagine Entertainment, Inc",High,Information,Branch,10000 - 19999,10000.0,19999.0,5,327000.0,Data Axle,b915d60474aa7997a8063dabcb0b7922,"Emagine Theatres Noblesville, Noblesville, Indiana",39.989891999999976,-85.93352499999997,1758493572227,Synapse54,1758493572227,Synapse54
45,Emagine Theatres Portage,American Way,Portage,Indiana,IN,46368,,51213101,51213101,783201,783201,Theatres-Movie,,,"Emagine Entertainment, Inc",Medium,Information,Branch,,,,68,3688000.0,Data Axle,95573a370cef802715cffff0bb2471c1,"Emagine Theatres Portage, Portage, Indiana",41.55222599999999,-87.16012099999999,1758493572227,Synapse54,1758493572227,Synapse54
46,Flix Brewhouse Carmel,E 116 Th St,Carmel,Indiana,IN,46032,3215,51213101,"51213101, 99999005, 72241008",783201,"783201, 999966, 581305","Theatres-Movie, Federal Government Contractors, Pubs",,,Flix Entertainment LLC,High,Information,Branch,40000 - 99999,40000.0,99999.0,17,925000.0,Data Axle,c4e6b669dc1a7266691ac5516035df6e,"Flix Brewhouse Carmel, Carmel, Indiana",39.959465,-86.116962,1758493572227,Synapse54,1758493572227,Synapse54
47,Fountain Stone Theaters,Saint Gaspar Dr,Rensselaer,Indiana,IN,47978,,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,20000 - 39999,20000.0,39999.0,18,,Data Axle,b8c8d1195bb6cd7ae2c60977535f2d5f,"Fountain Stone Theaters, Rensselaer, Indiana",40.925735999999986,-87.15170799999999,1758493572227,Synapse54,1758493572227,Synapse54
48,Fountain Stone Theatres Inc,St Gaspar Dr,Rensselaer,Indiana,IN,47978,,51213101,"51213101, 99999005",783201,"783201, 999966","Theatres-Movie, Federal Government Contractors",,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,8,397000.0,Data Axle,661adc6b9d21fe76f55825daf4930d04,"Fountain Stone Theatres Inc, Rensselaer, Indiana",40.925735999999986,-87.15170799999999,1758493572227,Synapse54,1758493572227,Synapse54
49,Fowler Theatre,E 5th St,Fowler,Indiana,IN,47944,1443,51213101,51213101,783201,783201,Theatres-Movie,,,,High,Information,Independent,10000 - 19999,10000.0,19999.0,7,245000.0,Data Axle,965348977c4dc1d767f62391ae04367b,"Fowler Theatre, Fowler, Indiana",40.617976,-87.322932,1758493572227,Synapse54,1758493572227,Synapse54
50,Georgetown Drive in Theater,State Road 64,Georgetown,Indiana,IN,47122,9055,51213202,"51213202, 71111007",783301,"783301, 792207","Drive-In Motion Picture Theaters, Theatres-Live",,,,High,Information,Independent,1500 - 2499,1500.0,2499.0,1,32000.0,Data Axle,72e592a0240bd906ce01a68a3b3b74ab,"Georgetown Drive in Theater, Georgetown, Indiana",38.29658899999997,-85.960706,1758493572227,Synapse54,1758493572227,Synapse54
