OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53523 (Cambridge),Dane County,Wisconsin,862758327ffffff,0,0.0,0.0,68820000.0,30899.444609658494,1758491864931,Synapse54,1758491864931,Synapse54
2,54757 (New Auburn),Chippewa County,Wisconsin,862750647ffffff,0,0.0,0.0,76627499.99609375,32600.888954781985,1758491864931,Synapse54,1758491864931,Synapse54
3,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,0,0.0,0.0,76308749.99609375,32529.43878406359,1758491864931,Synapse54,1758491864931,Synapse54
4,53950 (New Lisbon),Juneau County,Wisconsin,86275eb9fffffff,0,0.0,0.0,72246250.0,31657.285234512816,1758491864931,Synapse54,1758491864931,Synapse54
5,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,0,0.0,0.0,76627500.0078125,32600.888954781985,1758491864931,Synapse54,1758491864931,Synapse54
6,54767 (Spring Valley),Dunn County,Wisconsin,86275352fffffff,0,0.0,0.0,74790000.0078125,32209.814343961305,1758491864931,Synapse54,1758491864931,Synapse54
7,54757 (New Auburn),Chippewa County,Wisconsin,86275066fffffff,0,0.0,0.0,76866250.0,32649.58786487351,1758491864931,Synapse54,1758491864931,Synapse54
8,53534 (Edgerton),Dane County,Wisconsin,86275832fffffff,0,0.0,0.0,69047500.0,30947.278171270955,1758491864931,Synapse54,1758491864931,Synapse54
9,54426 (Edgar),Marathon County,Wisconsin,862751007ffffff,0,0.0,0.0,75900000.0,32446.687947220435,1758491864931,Synapse54,1758491864931,Synapse54
10,54646 (Necedah),Juneau County,Wisconsin,86275eba7ffffff,0,0.0,0.0,72500000.00390625,31707.97373225258,1758491864931,Synapse54,1758491864931,Synapse54
11,54426 (Edgar),Marathon County,Wisconsin,86275100fffffff,0,0.0,0.0,75712500.0,32404.09601267134,1758491864931,Synapse54,1758491864931,Synapse54
12,53589 (Stoughton),Dane County,Wisconsin,862758337ffffff,0,0.0,0.0,68918750.0,30921.06146701971,1758491864931,Synapse54,1758491864931,Synapse54
13,54405 (Abbotsford),Marathon County,Wisconsin,862751017ffffff,0,0.0,0.0,75928750.01171875,32450.484695054773,1758491864931,Synapse54,1758491864931,Synapse54
14,54767 (Spring Valley),St. Croix County,Wisconsin,862753537ffffff,0,0.0,0.0,75026249.98828125,32258.23293111431,1758491864931,Synapse54,1758491864931,Synapse54
15,54421 (Colby),Marathon County,Wisconsin,86275101fffffff,0,0.0,0.0,75581250.0,32374.87817390246,1758491864931,Synapse54,1758491864931,Synapse54
16,53563 (Milton),Rock County,Wisconsin,862758347ffffff,0,0.0,0.0,68242499.99609375,30768.998717057264,1758491864931,Synapse54,1758491864931,Synapse54
17,54411 (Athens),Marathon County,Wisconsin,862751027ffffff,0,0.0,0.0,76113750.0,32487.859304785983,1758491864931,Synapse54,1758491864931,Synapse54
18,54646 (Necedah),Juneau County,Wisconsin,86275ebafffffff,0,0.0,0.0,72267500.0,31659.44320528137,1758491864931,Synapse54,1758491864931,Synapse54
19,54426 (Edgar),Marathon County,Wisconsin,86275102fffffff,0,0.0,0.0,75950000.0,32452.555398548546,1758491864931,Synapse54,1758491864931,Synapse54
20,53563 (Milton),Rock County,Wisconsin,86275834fffffff,0,0.0,0.0,68721250.0,30877.83092213368,1758491864931,Synapse54,1758491864931,Synapse54
21,54411 (Athens),Marathon County,Wisconsin,862751037ffffff,0,0.0,0.0,75928749.98828125,32450.484695054773,1758491864931,Synapse54,1758491864931,Synapse54
22,53588 (Spring Green),Iowa County,Wisconsin,862758487ffffff,0,0.0,0.0,69182499.99609375,30979.588579485226,1758491864931,Synapse54,1758491864931,Synapse54
23,54740 (Elmwood),Dunn County,Wisconsin,862753547ffffff,0,0.0,0.0,74392499.99609375,32122.610413564485,1758491864931,Synapse54,1758491864931,Synapse54
24,54426 (Edgar),Marathon County,Wisconsin,862751047ffffff,0,0.0,0.0,75337499.99609375,32320.8912478665,1758491864931,Synapse54,1758491864931,Synapse54
25,54623 (Coon Valley),La Crosse County,Wisconsin,86275e45fffffff,0,0.0,0.0,71381250.0,31465.92387842132,1758491864931,Synapse54,1758491864931,Synapse54
26,54455 (Mosinee),Marathon County,Wisconsin,86275104fffffff,0,0.0,0.0,75606250.0,32381.992638907966,1758491864931,Synapse54,1758491864931,Synapse54
27,54484 (Stratford),Marathon County,Wisconsin,862751057ffffff,0,0.0,0.0,75712500.0,32404.09601267134,1758491864931,Synapse54,1758491864931,Synapse54
28,54484 (Stratford),Marathon County,Wisconsin,86275105fffffff,0,0.0,0.0,75101250.0,32269.780004779514,1758491864931,Synapse54,1758491864931,Synapse54
29,54426 (Edgar),Marathon County,Wisconsin,862751067ffffff,0,0.0,0.0,75627500.00390625,32386.042446695094,1758491864931,Synapse54,1758491864931,Synapse54
30,54426 (Edgar),Marathon County,Wisconsin,86275106fffffff,0,0.0,0.0,75628750.0,32386.252416140356,1758491864931,Synapse54,1758491864931,Synapse54
31,54426 (Edgar),Marathon County,Wisconsin,862751077ffffff,0,0.0,0.0,75712500.0,32404.09601267134,1758491864931,Synapse54,1758491864931,Synapse54
32,54421 (Colby),Clark County,Wisconsin,862751087ffffff,980,63.27,63.27,75540000.0,32368.728628718924,1758491864931,Synapse54,1758491864931,Synapse54
33,54488 (Unity),Marathon County,Wisconsin,86275108fffffff,0,0.0,0.0,75164999.99609375,32285.523863914088,1758491864931,Synapse54,1758491864931,Synapse54
34,54422 (Curtiss),Clark County,Wisconsin,862751097ffffff,0,0.0,0.0,75410000.0,32339.481756047408,1758491864931,Synapse54,1758491864931,Synapse54
