OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK2,TPOPK2_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62257 (Marissa),Washington County,Illinois,86264000fffffff,0,0.0,0.0,57945000.0,28359.658540410997,1758491880661,Synapse54,1758491880661,Synapse54
2,62320 (Camp Point),Adams County,Illinois,8626714dfffffff,0,0.0,0.0,60543750.0,28991.989812650623,1758491880661,Synapse54,1758491880661,Synapse54
3,62284 (Smithboro),Bond County,Illinois,8626442d7ffffff,0,0.0,0.0,58047500.0,28386.856971241083,1758491880661,Synapse54,1758491880661,Synapse54
4,62214 (Addieville),Washington County,Illinois,862640027ffffff,0,0.0,0.0,57842499.99609375,28336.80995049369,1758491880661,Synapse54,1758491880661,Synapse54
5,62833 (Ellery),Edwards County,Illinois,86264530fffffff,0,0.0,0.0,56603750.0078125,28037.981049730806,1758491880661,Synapse54,1758491880661,Synapse54
6,62320 (Camp Point),Adams County,Illinois,8626714e7ffffff,0,0.0,0.0,60732499.99609375,29033.71718269738,1758491880661,Synapse54,1758491880661,Synapse54
7,61412 (Alexis),Warren County,Illinois,86267546fffffff,0,0.0,0.0,62475000.00390625,29447.219796789563,1758491880661,Synapse54,1758491880661,Synapse54
8,62253 (Keyesport),Bond County,Illinois,8626442dfffffff,0,0.0,0.0,57963750.0,28367.914967334316,1758491880661,Synapse54,1758491880661,Synapse54
9,62324 (Clayton),Adams County,Illinois,8626714efffffff,0,0.0,0.0,60127500.0,28891.99249714231,1758491880661,Synapse54,1758491880661,Synapse54
10,62257 (Marissa),Washington County,Illinois,86264002fffffff,0,0.0,0.0,57930000.00390625,28362.05464691792,1758491880661,Synapse54,1758491880661,Synapse54
11,62471 (Vandalia),Fayette County,Illinois,8626442e7ffffff,0,0.0,0.0,57963750.0,28367.932674892993,1758491880661,Synapse54,1758491880661,Synapse54
12,62837 (Fairfield),Wayne County,Illinois,862645317ffffff,0,0.0,0.0,56701250.00390625,28059.585776938122,1758491880661,Synapse54,1758491880661,Synapse54
13,62868 (Noble),Richland County,Illinois,8626458e7ffffff,0,0.0,0.0,57159999.9921875,28174.629377056706,1758491880661,Synapse54,1758491880661,Synapse54
14,62320 (Camp Point),Adams County,Illinois,8626714f7ffffff,0,0.0,0.0,60543749.99609375,28991.989812650623,1758491880661,Synapse54,1758491880661,Synapse54
15,62471 (Vandalia),Fayette County,Illinois,8626442efffffff,0,0.0,0.0,57744999.99609375,28314.060884076473,1758491880661,Synapse54,1758491880661,Synapse54
16,62237 (Coulterville),Randolph County,Illinois,862640047ffffff,0,0.0,0.0,57401250.00390625,28226.01941034978,1758491880661,Synapse54,1758491880661,Synapse54
