OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPK1,TPOPK1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47967 (New Richmond),Montgomery County,Indiana,862661d8fffffff,0,0.0,0.0,60905000.00390625,29077.129031369044,1758491900577,Synapse54,1758491900577,Synapse54
2,47118 (English),Crawford County,Indiana,862668ce7ffffff,0,0.0,0.0,55357499.99609375,27729.44543672458,1758491900577,Synapse54,1758491900577,Synapse54
3,47918 (Attica),Fountain County,Indiana,862661d97ffffff,0,0.0,0.0,61153749.9921875,29138.993547579987,1758491900577,Synapse54,1758491900577,Synapse54
4,47553 (Loogootee),Martin County,Indiana,86266ea97ffffff,0,0.0,0.0,56643749.99609375,28044.599959935655,1758491900577,Synapse54,1758491900577,Synapse54
5,46037 (Fishers),Hamilton County,Indiana,862a924f7ffffff,0,0.0,0.0,60235000.0078125,28919.077887145966,1758491900577,Synapse54,1758491900577,Synapse54
6,47118 (English),Crawford County,Indiana,862668cefffffff,0,0.0,0.0,55398750.0078125,27741.359122271748,1758491900577,Synapse54,1758491900577,Synapse54
7,47553 (Loogootee),Martin County,Indiana,86266ea9fffffff,0,0.0,0.0,56434999.99609375,27997.998905600813,1758491900577,Synapse54,1758491900577,Synapse54
8,47175 (Taswell),Crawford County,Indiana,862668cf7ffffff,0,0.0,0.0,55398750.0,27741.359122271748,1758491900577,Synapse54,1758491900577,Synapse54
9,46044 (Frankton),Madison County,Indiana,862a92507ffffff,0,0.0,0.0,60767499.99609375,29045.470492666434,1758491900577,Synapse54,1758491900577,Synapse54
10,42420 (Henderson),Henderson County,Kentucky,86266a0a7ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758491900577,Synapse54,1758491900577,Synapse54
11,47522 (Crane),Martin County,Indiana,86266eaa7ffffff,0,0.0,0.0,56559999.98828125,28029.901182054382,1758491900577,Synapse54,1758491900577,Synapse54
12,42406 (Corydon),Henderson County,Kentucky,86266a0b7ffffff,0,0.0,0.0,55807499.99609375,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
13,46011 (Anderson),Madison County,Indiana,862a9250fffffff,0,0.0,0.0,60768749.99609375,29045.22867846365,1758491900577,Synapse54,1758491900577,Synapse54
14,47630 (Newburgh),Warrick County,Indiana,86266a107ffffff,257,1.29,1.29,55807500.0,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
15,47581 (Shoals),Martin County,Indiana,86266eaafffffff,0,0.0,0.0,56558749.99609375,28029.836972227848,1758491900577,Synapse54,1758491900577,Synapse54
16,42451 (Reed),Henderson County,Kentucky,86266a10fffffff,0,0.0,0.0,55658749.99609375,27800.28805936345,1758491900577,Synapse54,1758491900577,Synapse54
17,46030 (Arcadia),Hamilton County,Indiana,862a92517ffffff,0,0.0,0.0,61172500.0078125,29138.902445422595,1758491900577,Synapse54,1758491900577,Synapse54
18,47522 (Crane),Martin County,Indiana,86266eab7ffffff,0,0.0,0.0,56712500.0078125,28070.891954385857,1758491900577,Synapse54,1758491900577,Synapse54
19,46106 (Bargersville),Johnson County,Indiana,86266cdb7ffffff,0,0.0,0.0,59118749.99609375,28647.22966032144,1758491900577,Synapse54,1758491900577,Synapse54
20,47714 (Evansville),Vanderburgh County,Indiana,86266a117ffffff,2523,5.43,5.43,55807500.00390625,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
21,42451 (Reed),Henderson County,Kentucky,86266a11fffffff,0,0.0,0.0,55641250.0,27796.173895868476,1758491900577,Synapse54,1758491900577,Synapse54
22,46060 (Noblesville),Hamilton County,Indiana,862a9251fffffff,0,0.0,0.0,60721250.0078125,29032.822902260006,1758491900577,Synapse54,1758491900577,Synapse54
23,47581 (Shoals),Martin County,Indiana,86266eac7ffffff,0,0.0,0.0,56380000.0,27983.44968692078,1758491900577,Synapse54,1758491900577,Synapse54
24,47610 (Chandler),Warrick County,Indiana,86266a127ffffff,0,0.0,0.0,55807499.99609375,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
25,46044 (Frankton),Madison County,Indiana,862a92527ffffff,0,0.0,0.0,61172499.99609375,29139.140044747684,1758491900577,Synapse54,1758491900577,Synapse54
26,47469 (West Baden Springs),Orange County,Indiana,86266eacfffffff,0,0.0,0.0,56226249.99609375,27942.524553279007,1758491900577,Synapse54,1758491900577,Synapse54
27,47630 (Newburgh),Warrick County,Indiana,86266a12fffffff,0,0.0,0.0,55668750.0,27806.789679186422,1758491900577,Synapse54,1758491900577,Synapse54
28,46011 (Anderson),Madison County,Indiana,862a9252fffffff,0,0.0,0.0,60826250.0,29059.80051764188,1758491900577,Synapse54,1758491900577,Synapse54
29,47715 (Evansville),Vanderburgh County,Indiana,86266a137ffffff,0,0.0,0.0,55807500.00390625,27839.733929161797,1758491900577,Synapse54,1758491900577,Synapse54
