OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20044A_B,MP20044A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,61415 (Avon),Fulton County,Illinois,86267565fffffff,26,45.61,45.61,61302500.0,29174.783741217532,1758491918416,Synapse54,1758491918416,Synapse54
2,62265 (New Baden),Clinton County,Illinois,862640127ffffff,187,49.87,49.87,57945000.0,28358.942990582444,1758491918416,Synapse54,1758491918416,Synapse54
3,62827 (Crossville),White County,Illinois,862645267ffffff,290,45.74,45.74,56436250.0,27999.82498071102,1758491918416,Synapse54,1758491918416,Synapse54
4,62271 (Okawville),Clinton County,Illinois,86264012fffffff,98,47.8,47.8,57742500.0,28309.303506499375,1758491918416,Synapse54,1758491918416,Synapse54
5,62631 (Concord),Morgan County,Illinois,86267138fffffff,81,44.26,44.26,60175000.00390625,28904.1702849863,1758491918416,Synapse54,1758491918416,Synapse54
6,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,86,55.84,55.84,58116249.99609375,28403.34886529782,1758491918416,Synapse54,1758491918416,Synapse54
7,62827 (Crossville),White County,Illinois,862645277ffffff,24,45.28,45.28,56520000.0,28013.935102019932,1758491918416,Synapse54,1758491918416,Synapse54
8,62214 (Addieville),Washington County,Illinois,862640147ffffff,81,50.31,50.31,57945000.0,28359.658540410997,1758491918416,Synapse54,1758491918416,Synapse54
9,61544 (London Mills),Knox County,Illinois,862675667ffffff,135,44.85,44.85,61694999.99609375,29268.217423994967,1758491918416,Synapse54,1758491918416,Synapse54
10,62263 (Nashville),Washington County,Illinois,86264014fffffff,46,52.27,52.27,57742500.0,28309.303506499375,1758491918416,Synapse54,1758491918416,Synapse54
11,62611 (Arenzville),Morgan County,Illinois,862671397ffffff,35,44.3,44.3,60071250.0,28876.95863868398,1758491918416,Synapse54,1758491918416,Synapse54
12,62214 (Addieville),Washington County,Illinois,862640157ffffff,74,51.39,51.39,57758750.0,28317.872572734625,1758491918416,Synapse54,1758491918416,Synapse54
13,62887 (Springerton),Hamilton County,Illinois,862645287ffffff,42,48.84,48.84,56887500.00390625,28101.73579914002,1758491918416,Synapse54,1758491918416,Synapse54
14,62268 (Oakdale),Washington County,Illinois,86264015fffffff,57,51.82,51.82,57557500.00390625,28267.27907681526,1758491918416,Synapse54,1758491918416,Synapse54
15,61544 (London Mills),Fulton County,Illinois,86267566fffffff,51,45.13,45.13,61322499.9921875,29178.865264469357,1758491918416,Synapse54,1758491918416,Synapse54
16,62214 (Addieville),Washington County,Illinois,862640167ffffff,128,48.12,48.12,57945000.0,28359.658540410997,1758491918416,Synapse54,1758491918416,Synapse54
17,62835 (Enfield),White County,Illinois,86264528fffffff,26,46.43,46.43,56598749.99609375,28031.94898338375,1758491918416,Synapse54,1758491918416,Synapse54
18,62263 (Nashville),Washington County,Illinois,86264016fffffff,47,50.0,50.0,57944999.99609375,28359.658540410997,1758491918416,Synapse54,1758491918416,Synapse54
19,62628 (Chapin),Morgan County,Illinois,86267139fffffff,51,45.13,45.13,59708750.0,28790.565702156666,1758491918416,Synapse54,1758491918416,Synapse54
20,62271 (Okawville),Washington County,Illinois,862640177ffffff,70,48.61,48.61,57945000.0,28359.658540410997,1758491918416,Synapse54,1758491918416,Synapse54
21,62887 (Springerton),Hamilton County,Illinois,862645297ffffff,22,48.89,48.89,56598749.99609375,28031.94898338375,1758491918416,Synapse54,1758491918416,Synapse54
22,62916 (Campbell Hill),Jackson County,Illinois,862640207ffffff,64,48.12,48.12,57397500.0,28221.02357076494,1758491918416,Synapse54,1758491918416,Synapse54
23,61474 (Saint Augustine),Knox County,Illinois,862675677ffffff,30,46.88,46.88,61322500.0,29176.543209828043,1758491918416,Synapse54,1758491918416,Synapse54
24,62611 (Arenzville),Cass County,Illinois,8626713a7ffffff,183,47.16,47.16,60001250.00390625,28859.86998808678,1758491918416,Synapse54,1758491918416,Synapse54
25,62859 (Mc Leansboro),Hamilton County,Illinois,86264529fffffff,56,49.12,49.12,56870000.0,28098.3197495495,1758491918416,Synapse54,1758491918416,Synapse54
26,61473 (Roseville),Warren County,Illinois,862675687ffffff,380,45.89,45.89,61586250.0078125,29242.145274957278,1758491918416,Synapse54,1758491918416,Synapse54
27,62862 (Mill Shoals),White County,Illinois,8626452a7ffffff,59,46.09,46.09,56701249.99609375,28059.585776938122,1758491918416,Synapse54,1758491918416,Synapse54
28,62611 (Arenzville),Morgan County,Illinois,8626713afffffff,33,44.59,44.59,59400000.0,28717.777348458985,1758491918416,Synapse54,1758491918416,Synapse54
29,62086 (Sorento),Bond County,Illinois,862644677ffffff,83,45.6,45.6,58390000.00390625,28475.444920139747,1758491918416,Synapse54,1758491918416,Synapse54
30,61473 (Roseville),Warren County,Illinois,86267568fffffff,32,45.71,45.71,61488749.99609375,29219.459820980344,1758491918416,Synapse54,1758491918416,Synapse54
31,62835 (Enfield),White County,Illinois,8626452afffffff,97,45.75,45.75,56598749.99609375,28031.94898338375,1758491918416,Synapse54,1758491918416,Synapse54
