OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20044A_B,MP20044A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62821 (Carmi),White County,Illinois,86264524fffffff,59,48.36,48.36,56532500.0,28015.598433874227,1758491927268,Synapse54,1758491927268,Synapse54
2,47631 (New Harmony),Posey County,Indiana,86264526fffffff,13,46.43,46.43,56135000.0,27915.620822769335,1758491927268,Synapse54,1758491927268,Synapse54
3,62827 (Crossville),White County,Illinois,86264534fffffff,41,46.07,46.07,56454999.99609375,27997.829653857236,1758491927268,Synapse54,1758491927268,Synapse54
4,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,16,51.61,51.61,55800000.0,27833.232309338826,1758491927268,Synapse54,1758491927268,Synapse54
5,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,6,50.0,50.0,56346250.00390625,27973.61481279471,1758491927268,Synapse54,1758491927268,Synapse54
6,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,18,52.94,52.94,55967499.99609375,27877.211257272123,1758491927268,Synapse54,1758491927268,Synapse54
7,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758491927268,Synapse54,1758491927268,Synapse54
8,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,19,51.35,51.35,56152499.99609375,27919.203273482235,1758491927268,Synapse54,1758491927268,Synapse54
9,62867 (New Haven),White County,Illinois,86266a58fffffff,11,47.83,47.83,55950000.00390625,27873.628806559227,1758491927268,Synapse54,1758491927268,Synapse54
10,62821 (Carmi),White County,Illinois,86266a5afffffff,10,47.62,47.62,56363750.00390625,27977.197263507613,1758491927268,Synapse54,1758491927268,Synapse54
11,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,544,45.18,45.18,56436250.0,27999.82498071102,1758491927268,Synapse54,1758491927268,Synapse54
12,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,971,45.72,45.72,56455000.00390625,27997.829653857236,1758491927268,Synapse54,1758491927268,Synapse54
13,47142 (Mauckport),Harrison County,Indiana,862668007ffffff,54,49.09,49.09,54912499.99609375,27617.805299916694,1758491927268,Synapse54,1758491927268,Synapse54
14,40104 (Battletown),Meade County,Kentucky,862668017ffffff,119,47.04,47.04,54791250.0,27589.49242570694,1758491927268,Synapse54,1758491927268,Synapse54
15,47142 (Mauckport),Harrison County,Indiana,862668037ffffff,57,48.72,48.72,54892500.00390625,27608.00760417154,1758491927268,Synapse54,1758491927268,Synapse54
16,40171 (Union Star),Breckinridge County,Kentucky,862668097ffffff,19,45.24,45.24,55078749.99609375,27661.37078726101,1758491927268,Synapse54,1758491927268,Synapse54
17,47520 (Cannelton),Perry County,Indiana,8626680b7ffffff,67,47.18,47.18,55151250.0,27684.178036844067,1758491927268,Synapse54,1758491927268,Synapse54
18,47112 (Corydon),Harrison County,Indiana,862668117ffffff,115,44.23,44.23,55195000.00390625,27687.192302807816,1758491927268,Synapse54,1758491927268,Synapse54
19,40104 (Battletown),Meade County,Kentucky,862668187ffffff,84,41.58,41.58,55071250.00390625,27654.90489055915,1758491927268,Synapse54,1758491927268,Synapse54
20,40104 (Battletown),Meade County,Kentucky,86266818fffffff,32,44.44,44.44,55265000.00390625,27707.28239549945,1758491927268,Synapse54,1758491927268,Synapse54
21,47137 (Leavenworth),Crawford County,Indiana,862668197ffffff,39,42.86,42.86,55265000.0,27707.28239549945,1758491927268,Synapse54,1758491927268,Synapse54
22,47137 (Leavenworth),Crawford County,Indiana,86266819fffffff,76,41.76,41.76,54986250.0,27640.632286405627,1758491927268,Synapse54,1758491927268,Synapse54
23,47137 (Leavenworth),Crawford County,Indiana,8626681a7ffffff,166,43.23,43.23,55398749.99609375,27741.35912227175,1758491927268,Synapse54,1758491927268,Synapse54
24,47112 (Corydon),Harrison County,Indiana,8626681afffffff,13,41.94,41.94,55071250.0,27654.90489055915,1758491927268,Synapse54,1758491927268,Synapse54
25,47137 (Leavenworth),Crawford County,Indiana,8626681b7ffffff,133,43.89,43.89,55398749.99609375,27741.35912227175,1758491927268,Synapse54,1758491927268,Synapse54
26,47586 (Tell City),Perry County,Indiana,862668407ffffff,74,47.74,47.74,55213749.9921875,27691.57332895066,1758491927268,Synapse54,1758491927268,Synapse54
27,47586 (Tell City),Perry County,Indiana,86266840fffffff,175,49.44,49.44,55337499.9921875,27723.97973958189,1758491927268,Synapse54,1758491927268,Synapse54
28,47577 (Saint Meinrad),Perry County,Indiana,862668417ffffff,109,49.55,49.55,55212500.00390625,27691.351284339027,1758491927268,Synapse54,1758491927268,Synapse54
29,47586 (Tell City),Perry County,Indiana,86266841fffffff,79,47.88,47.88,55316250.00390625,27721.125179288098,1758491927268,Synapse54,1758491927268,Synapse54
30,47515 (Bristow),Perry County,Indiana,862668427ffffff,108,48.21,48.21,55409999.99609375,27742.49114503772,1758491927268,Synapse54,1758491927268,Synapse54
31,47586 (Tell City),Perry County,Indiana,86266842fffffff,133,47.84,47.84,55222500.00390625,27700.37239557783,1758491927268,Synapse54,1758491927268,Synapse54
32,47577 (Saint Meinrad),Perry County,Indiana,862668437ffffff,92,48.17,48.17,55502500.00390625,27763.2296458931,1758491927268,Synapse54,1758491927268,Synapse54
33,47525 (Derby),Perry County,Indiana,862668447ffffff,49,47.57,47.57,55233750.00390625,27695.687492445635,1758491927268,Synapse54,1758491927268,Synapse54
34,47574 (Rome),Perry County,Indiana,86266844fffffff,33,47.83,47.83,55233750.0,27695.687492445635,1758491927268,Synapse54,1758491927268,Synapse54
35,47586 (Tell City),Perry County,Indiana,862668457ffffff,140,51.47,51.47,55027500.0,27649.46886234566,1758491927268,Synapse54,1758491927268,Synapse54
36,47574 (Rome),Perry County,Indiana,86266845fffffff,52,48.15,48.15,54862500.0,27605.686784440702,1758491927268,Synapse54,1758491927268,Synapse54
37,47525 (Derby),Perry County,Indiana,862668467ffffff,65,47.79,47.79,54964999.99609375,27633.756986965323,1758491927268,Synapse54,1758491927268,Synapse54
38,40171 (Union Star),Breckinridge County,Kentucky,86266846fffffff,45,46.88,46.88,54862500.0078125,27605.686784440702,1758491927268,Synapse54,1758491927268,Synapse54
39,47586 (Tell City),Perry County,Indiana,862668477ffffff,184,48.42,48.42,55522500.0078125,27767.343809388076,1758491927268,Synapse54,1758491927268,Synapse54
40,47550 (Lamar),Spencer County,Indiana,862668487ffffff,158,49.53,49.53,55482500.0,27764.68521258142,1758491927268,Synapse54,1758491927268,Synapse54
41,47531 (Evanston),Spencer County,Indiana,86266848fffffff,130,47.97,47.97,55212499.99609375,27691.35128433903,1758491927268,Synapse54,1758491927268,Synapse54
42,47550 (Lamar),Spencer County,Indiana,862668497ffffff,107,49.08,49.08,55668750.0,27806.789679186422,1758491927268,Synapse54,1758491927268,Synapse54
43,47615 (Grandview),Spencer County,Indiana,86266849fffffff,134,47.86,47.86,55203750.00390625,27684.617789031203,1758491927268,Synapse54,1758491927268,Synapse54
44,47579 (Santa Claus),Spencer County,Indiana,8626684a7ffffff,151,50.17,50.17,55502500.00390625,27763.229645893105,1758491927268,Synapse54,1758491927268,Synapse54
45,47531 (Evanston),Spencer County,Indiana,8626684afffffff,125,48.64,48.64,55482499.99609375,27764.68521258142,1758491927268,Synapse54,1758491927268,Synapse54
46,47579 (Santa Claus),Spencer County,Indiana,8626684b7ffffff,1167,51.73,51.73,55668750.0,27806.789679186422,1758491927268,Synapse54,1758491927268,Synapse54
47,47586 (Tell City),Perry County,Indiana,8626684c7ffffff,2915,45.96,45.96,55027500.0,27649.46886234566,1758491927268,Synapse54,1758491927268,Synapse54
48,47520 (Cannelton),Perry County,Indiana,8626684cfffffff,1100,43.63,43.63,55316249.99609375,27721.125179288098,1758491927268,Synapse54,1758491927268,Synapse54
49,42351 (Lewisport),Hancock County,Kentucky,8626684d7ffffff,115,49.36,49.36,55121250.0,27670.335210720517,1758491927268,Synapse54,1758491927268,Synapse54
50,47586 (Tell City),Perry County,Indiana,8626684e7ffffff,229,48.01,48.01,55316250.00390625,27721.125179288098,1758491927268,Synapse54,1758491927268,Synapse54
51,47520 (Cannelton),Perry County,Indiana,8626684efffffff,360,46.63,46.63,55130000.00390625,27667.39524530938,1758491927268,Synapse54,1758491927268,Synapse54
52,47531 (Evanston),Spencer County,Indiana,8626684f7ffffff,234,48.05,48.05,55326250.0,27716.77588543213,1758491927268,Synapse54,1758491927268,Synapse54
53,47513 (Birdseye),Dubois County,Indiana,862668507ffffff,59,47.2,47.2,55482499.99609375,27764.68521258142,1758491927268,Synapse54,1758491927268,Synapse54
54,47515 (Bristow),Perry County,Indiana,86266850fffffff,52,49.06,49.06,55430000.00390625,27746.60530853269,1758491927268,Synapse54,1758491927268,Synapse54
55,47513 (Birdseye),Dubois County,Indiana,862668517ffffff,78,48.15,48.15,55677499.99609375,27814.34342546729,1758491927268,Synapse54,1758491927268,Synapse54
56,47515 (Bristow),Perry County,Indiana,86266851fffffff,60,48.0,48.0,55233750.0078125,27695.687492445635,1758491927268,Synapse54,1758491927268,Synapse54
57,47116 (Eckerty),Crawford County,Indiana,862668527ffffff,38,44.71,44.71,55471250.0,27755.948369337195,1758491927268,Synapse54,1758491927268,Synapse54
58,47118 (English),Perry County,Indiana,86266852fffffff,132,48.89,48.89,55130000.00390625,27677.539064870278,1758491927268,Synapse54,1758491927268,Synapse54
59,47513 (Birdseye),Dubois County,Indiana,862668537ffffff,294,46.37,46.37,55430000.0,27746.60530853269,1758491927268,Synapse54,1758491927268,Synapse54
60,47551 (Leopold),Perry County,Indiana,862668547ffffff,70,47.95,47.95,55151250.00390625,27682.05379745337,1758491927268,Synapse54,1758491927268,Synapse54
61,47520 (Cannelton),Perry County,Indiana,86266854fffffff,54,48.21,48.21,55048750.00390625,27653.747267462237,1758491927268,Synapse54,1758491927268,Synapse54
