OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20044A_B,MP20044A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54763 (Ridgeland),Dunn County,Wisconsin,862753d2fffffff,57,47.9,47.9,76387500.0,32548.522315781003,1758491940811,Synapse54,1758491940811,Synapse54
2,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,2187,53.64,53.64,74100000.0,32057.410923822383,1758491940811,Synapse54,1758491940811,Synapse54
3,53941 (La Valle),Sauk County,Wisconsin,86275e377ffffff,243,49.19,49.19,71397499.99609375,31470.25432250685,1758491940811,Synapse54,1758491940811,Synapse54
4,54634 (Hillsboro),Vernon County,Wisconsin,86275e387ffffff,133,47.84,47.84,70740000.0,31323.493949306983,1758491940811,Synapse54,1758491940811,Synapse54
5,54634 (Hillsboro),Vernon County,Wisconsin,86275e38fffffff,122,47.84,47.84,71102500.0,31406.984623429023,1758491940811,Synapse54,1758491940811,Synapse54
6,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,441,55.82,55.82,74100000.0,32057.410923822383,1758491940811,Synapse54,1758491940811,Synapse54
7,54634 (Hillsboro),Vernon County,Wisconsin,86275e397ffffff,121,48.02,48.02,71102500.00390625,31406.984623429023,1758491940811,Synapse54,1758491940811,Synapse54
8,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,195,55.71,55.71,74107500.0,32061.344355937115,1758491940811,Synapse54,1758491940811,Synapse54
9,54634 (Hillsboro),Vernon County,Wisconsin,86275e39fffffff,97,47.78,47.78,70740000.0,31323.493949306983,1758491940811,Synapse54,1758491940811,Synapse54
10,54634 (Hillsboro),Vernon County,Wisconsin,86275e3a7ffffff,146,46.95,46.95,71479999.99609375,31488.319538612835,1758491940811,Synapse54,1758491940811,Synapse54
11,54634 (Hillsboro),Vernon County,Wisconsin,86275e3afffffff,610,46.0,46.0,71122500.0,31410.83080665942,1758491940811,Synapse54,1758491940811,Synapse54
