OBJECTID,admin4_name,admin3_name,admin2_name,id,MP23018A_B,MP23018A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54126 (Greenleaf),Brown County,Wisconsin,8627434c7ffffff,26,8.15,8.15,74144999.99609375,32067.5034329925,1758491949730,Synapse54,1758491949730,Synapse54
2,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,4,6.56,6.56,75304999.99609375,32313.800822712084,1758491949730,Synapse54,1758491949730,Synapse54
3,54110 (Brillion),Calumet County,Wisconsin,8627434cfffffff,35,4.9,4.9,73872500.00390625,32010.034245786894,1758491949730,Synapse54,1758491949730,Synapse54
4,53818 (Platteville),Lafayette County,Wisconsin,86275aaf7ffffff,19,4.97,4.97,68037500.00390625,30721.35718802003,1758491949730,Synapse54,1758491949730,Synapse54
5,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,12,4.86,4.86,68962500.00390625,30930.65497429147,1758491949730,Synapse54,1758491949730,Synapse54
6,54130 (Kaukauna),Outagamie County,Wisconsin,8627434d7ffffff,451,7.09,7.09,74107499.99609375,32055.621321561437,1758491949730,Synapse54,1758491949730,Synapse54
7,53565 (Mineral Point),Iowa County,Wisconsin,86275ab0fffffff,8,4.94,4.94,68380000.0078125,30799.43000790409,1758491949730,Synapse54,1758491949730,Synapse54
8,54130 (Kaukauna),Calumet County,Wisconsin,8627434dfffffff,84,7.38,7.38,73691250.0,31965.94458025154,1758491949730,Synapse54,1758491949730,Synapse54
9,53543 (Highland),Iowa County,Wisconsin,86275ab17ffffff,22,4.54,4.54,69065000.0,30952.885928292835,1758491949730,Synapse54,1758491949730,Synapse54
10,54115 (De Pere),Brown County,Wisconsin,8627434e7ffffff,125,8.83,8.83,74316250.00390625,32101.05583856615,1758491949730,Synapse54,1758491949730,Synapse54
11,54126 (Greenleaf),Brown County,Wisconsin,8627434efffffff,25,8.2,8.2,74107499.99609375,32058.09860563111,1758491949730,Synapse54,1758491949730,Synapse54
12,53553 (Linden),Iowa County,Wisconsin,86275ab1fffffff,22,4.52,4.52,68610000.0,30853.063671085874,1758491949730,Synapse54,1758491949730,Synapse54
13,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,69,7.78,7.78,75782499.99609375,32420.079018375076,1758491949730,Synapse54,1758491949730,Synapse54
14,54180 (Wrightstown),Brown County,Wisconsin,8627434f7ffffff,300,8.93,8.93,74117500.0,32062.228929855257,1758491949730,Synapse54,1758491949730,Synapse54
15,54313 (Green Bay),Brown County,Wisconsin,862743507ffffff,45,9.16,9.16,75232500.0,32297.836704056674,1758491949730,Synapse54,1758491949730,Synapse54
16,53533 (Dodgeville),Iowa County,Wisconsin,86275ab27ffffff,9,6.12,6.12,68859999.99609375,30908.4240202901,1758491949730,Synapse54,1758491949730,Synapse54
17,54302 (Green Bay),Brown County,Wisconsin,86274350fffffff,1643,5.85,5.85,75107499.99609375,32271.926106431136,1758491949730,Synapse54,1758491949730,Synapse54
18,53533 (Dodgeville),Iowa County,Wisconsin,86275ab2fffffff,105,7.32,7.32,68578749.99609375,30844.316648661854,1758491949730,Synapse54,1758491949730,Synapse54
19,54313 (Green Bay),Brown County,Wisconsin,862743517ffffff,1155,8.72,8.72,75216250.0,32296.975889975613,1758491949730,Synapse54,1758491949730,Synapse54
20,54303 (Green Bay),Brown County,Wisconsin,86274351fffffff,2284,6.81,6.81,74615000.0,32167.04867856982,1758491949730,Synapse54,1758491949730,Synapse54
21,54313 (Green Bay),Brown County,Wisconsin,862743537ffffff,577,10.28,10.28,75637500.0,32389.269156408223,1758491949730,Synapse54,1758491949730,Synapse54
22,54155 (Oneida),Outagamie County,Wisconsin,862743587ffffff,16,5.61,5.61,74843750.00390625,32218.37821735572,1758491949730,Synapse54,1758491949730,Synapse54
23,54155 (Oneida),Outagamie County,Wisconsin,86274358fffffff,113,6.3,6.3,74635000.0078125,32172.943700351,1758491949730,Synapse54,1758491949730,Synapse54
24,54757 (New Auburn),Chippewa County,Wisconsin,862750647ffffff,26,6.97,6.97,76627499.99609375,32600.888954781985,1758491949730,Synapse54,1758491949730,Synapse54
25,54165 (Seymour),Outagamie County,Wisconsin,862743597ffffff,41,4.66,4.66,74498750.0,32142.50084380375,1758491949730,Synapse54,1758491949730,Synapse54
26,54165 (Seymour),Outagamie County,Wisconsin,86274359fffffff,206,7.91,7.91,74970000.00390625,32242.08905236205,1758491949730,Synapse54,1758491949730,Synapse54
27,54313 (Green Bay),Brown County,Wisconsin,8627435a7ffffff,119,8.14,8.14,75180000.0,32287.480606385783,1758491949730,Synapse54,1758491949730,Synapse54
28,54155 (Oneida),Brown County,Wisconsin,8627435afffffff,540,9.44,9.44,75206250.00390625,32292.658655221232,1758491949730,Synapse54,1758491949730,Synapse54
29,54165 (Seymour),Shawano County,Wisconsin,8627435b7ffffff,18,4.55,4.55,75180000.0,32287.480606385783,1758491949730,Synapse54,1758491949730,Synapse54
30,53014 (Chilton),Calumet County,Wisconsin,862743687ffffff,4,4.21,4.21,72997499.99609375,31814.995495631178,1758491949730,Synapse54,1758491949730,Synapse54
31,53042 (Kiel),Manitowoc County,Wisconsin,86274368fffffff,38,7.06,7.06,73125000.0,31848.848023154173,1758491949730,Synapse54,1758491949730,Synapse54
32,53014 (Chilton),Calumet County,Wisconsin,862743697ffffff,207,5.78,5.78,73358750.0,31896.67919943253,1758491949730,Synapse54,1758491949730,Synapse54
33,53061 (New Holstein),Calumet County,Wisconsin,86274369fffffff,98,5.42,5.42,72630000.00390625,31736.275208496936,1758491949730,Synapse54,1758491949730,Synapse54
34,54106 (Black Creek),Outagamie County,Wisconsin,86275c967ffffff,19,4.52,4.52,74781250.00390625,32205.097763134465,1758491949730,Synapse54,1758491949730,Synapse54
35,53014 (Chilton),Manitowoc County,Wisconsin,8627436a7ffffff,16,4.58,4.58,73386250.00390625,31902.106775926633,1758491949730,Synapse54,1758491949730,Synapse54
36,53014 (Chilton),Calumet County,Wisconsin,8627436b7ffffff,11,4.45,4.45,73358750.0,31896.679199432525,1758491949730,Synapse54,1758491949730,Synapse54
37,53042 (Kiel),Manitowoc County,Wisconsin,8627436d7ffffff,157,7.13,7.13,72667500.00390625,31746.130674606105,1758491949730,Synapse54,1758491949730,Synapse54
38,54230 (Reedsville),Manitowoc County,Wisconsin,862743787ffffff,29,4.57,4.57,73385000.00390625,31901.889320744718,1758491949730,Synapse54,1758491949730,Synapse54
39,54110 (Brillion),Calumet County,Wisconsin,862743797ffffff,174,6.09,6.09,74145000.0,32067.5034329925,1758491949730,Synapse54,1758491949730,Synapse54
40,54110 (Brillion),Calumet County,Wisconsin,86274379fffffff,19,4.57,4.57,73384999.9921875,31901.889320744718,1758491949730,Synapse54,1758491949730,Synapse54
41,54110 (Brillion),Manitowoc County,Wisconsin,8627437b7ffffff,13,5.12,5.12,73755000.00390625,31980.60960787896,1758491949730,Synapse54,1758491949730,Synapse54
42,54141 (Little Suamico),Oconto County,Wisconsin,862743c97ffffff,99,7.78,7.78,75737500.0,32410.220990827198,1758491949730,Synapse54,1758491949730,Synapse54
43,54173 (Suamico),Brown County,Wisconsin,862743c9fffffff,84,8.08,8.08,75553749.99609375,32369.13187498059,1758491949730,Synapse54,1758491949730,Synapse54
44,54101 (Abrams),Oconto County,Wisconsin,862743cb7ffffff,34,5.1,5.1,75974999.99609375,32458.211033471285,1758491949730,Synapse54,1758491949730,Synapse54
45,54153 (Oconto),Oconto County,Wisconsin,862743d97ffffff,27,5.74,5.74,76589999.99609375,32587.87499865832,1758491949730,Synapse54,1758491949730,Synapse54
46,54494 (Wisconsin Rapids),Portage County,Wisconsin,862751247ffffff,23,7.19,7.19,74284999.99609375,32097.618688453404,1758491949730,Synapse54,1758491949730,Synapse54
47,54494 (Wisconsin Rapids),Portage County,Wisconsin,86275124fffffff,24,8.0,8.0,73792500.00390625,31993.554816746997,1758491949730,Synapse54,1758491949730,Synapse54
48,54481 (Stevens Point),Portage County,Wisconsin,862751267ffffff,35,7.69,7.69,74285000.00390625,32097.618688453404,1758491949730,Synapse54,1758491949730,Synapse54
49,54467 (Plover),Portage County,Wisconsin,86275126fffffff,38,6.95,6.95,74285000.0,32097.618688453404,1758491949730,Synapse54,1758491949730,Synapse54
50,54455 (Mosinee),Marathon County,Wisconsin,86275132fffffff,65,8.09,8.09,74996250.00390625,32250.715845687177,1758491949730,Synapse54,1758491949730,Synapse54
51,54443 (Junction City),Portage County,Wisconsin,862751347ffffff,41,7.82,7.82,74936250.0,32235.94706640824,1758491949730,Synapse54,1758491949730,Synapse54
52,54481 (Stevens Point),Portage County,Wisconsin,86275134fffffff,293,5.15,5.15,74492500.0,32142.64187850021,1758491949730,Synapse54,1758491949730,Synapse54
53,54443 (Junction City),Portage County,Wisconsin,862751357ffffff,33,6.02,6.02,74706250.0,32186.63639794535,1758491949730,Synapse54,1758491949730,Synapse54
54,54481 (Stevens Point),Portage County,Wisconsin,86275135fffffff,22,8.06,8.06,74470000.0,32138.354400084136,1758491949730,Synapse54,1758491949730,Synapse54
55,54482 (Stevens Point),Portage County,Wisconsin,862751367ffffff,10,4.69,4.69,74891250.00390625,32228.82244136907,1758491949730,Synapse54,1758491949730,Synapse54
56,54482 (Stevens Point),Portage County,Wisconsin,86275136fffffff,68,6.3,6.3,74727500.0,32191.136304428044,1758491949730,Synapse54,1758491949730,Synapse54
57,54443 (Junction City),Portage County,Wisconsin,862751377ffffff,21,8.17,8.17,74891250.0,32228.82244136907,1758491949730,Synapse54,1758491949730,Synapse54
58,54452 (Merrill),Lincoln County,Wisconsin,862751847ffffff,80,6.25,6.25,76872500.0078125,32650.7589300708,1758491949730,Synapse54,1758491949730,Synapse54
59,54452 (Merrill),Marathon County,Wisconsin,86275184fffffff,41,8.54,8.54,76917500.0,32657.751044676545,1758491949730,Synapse54,1758491949730,Synapse54
60,54452 (Merrill),Lincoln County,Wisconsin,862751857ffffff,235,5.88,5.88,76739999.99609375,32621.365484131667,1758491949730,Synapse54,1758491949730,Synapse54
61,54452 (Merrill),Marathon County,Wisconsin,86275185fffffff,36,10.5,10.5,76917500.0,32657.751044676545,1758491949730,Synapse54,1758491949730,Synapse54
62,54452 (Merrill),Lincoln County,Wisconsin,862751867ffffff,19,4.66,4.66,77000000.0,32678.18782637147,1758491949730,Synapse54,1758491949730,Synapse54
63,54452 (Merrill),Lincoln County,Wisconsin,86275186fffffff,11,4.64,4.64,77001249.9921875,32678.220643800676,1758491949730,Synapse54,1758491949730,Synapse54
64,54452 (Merrill),Lincoln County,Wisconsin,862751877ffffff,322,5.98,5.98,77106250.00390625,32699.98330988488,1758491949730,Synapse54,1758491949730,Synapse54
65,54452 (Merrill),Lincoln County,Wisconsin,86275194fffffff,14,4.53,4.53,77579999.99609375,32797.63248562065,1758491949730,Synapse54,1758491949730,Synapse54
66,54452 (Merrill),Lincoln County,Wisconsin,86275195fffffff,8,4.62,4.62,77106250.0,32699.98330988488,1758491949730,Synapse54,1758491949730,Synapse54
67,54476 (Schofield),Marathon County,Wisconsin,862751a07ffffff,470,7.54,7.54,76229999.99609375,32513.110705708063,1758491949730,Synapse54,1758491949730,Synapse54
68,53941 (La Valle),Sauk County,Wisconsin,86275e377ffffff,34,6.88,6.88,71397499.99609375,31470.25432250685,1758491949730,Synapse54,1758491949730,Synapse54
69,54455 (Mosinee),Marathon County,Wisconsin,862751a0fffffff,10,7.35,7.35,75596250.0,32377.78410470015,1758491949730,Synapse54,1758491949730,Synapse54
70,54401 (Wausau),Marathon County,Wisconsin,862751a17ffffff,807,6.78,6.78,76020000.0,32468.18941801883,1758491949730,Synapse54,1758491949730,Synapse54
71,54455 (Mosinee),Marathon County,Wisconsin,862751a1fffffff,465,8.69,8.69,75677500.00390625,32398.18561405697,1758491949730,Synapse54,1758491949730,Synapse54
72,54471 (Ringle),Marathon County,Wisconsin,862751a27ffffff,52,8.35,8.35,76019999.99609375,32472.883696193796,1758491949730,Synapse54,1758491949730,Synapse54
73,54471 (Ringle),Marathon County,Wisconsin,862751a2fffffff,59,8.01,8.01,75857499.99609375,32435.02015796872,1758491949730,Synapse54,1758491949730,Synapse54
74,54403 (Wausau),Marathon County,Wisconsin,862751a37ffffff,416,8.12,8.12,76042500.0,32470.987390250597,1758491949730,Synapse54,1758491949730,Synapse54
75,54440 (Hatley),Marathon County,Wisconsin,862751a47ffffff,13,4.59,4.59,75491249.99609375,32355.890700382042,1758491949730,Synapse54,1758491949730,Synapse54
76,54499 (Wittenberg),Marathon County,Wisconsin,862751a4fffffff,9,4.43,4.43,75304999.99609375,32313.800822712084,1758491949730,Synapse54,1758491949730,Synapse54
77,54440 (Hatley),Marathon County,Wisconsin,862751a57ffffff,11,4.72,4.72,75491250.0,32355.890700382042,1758491949730,Synapse54,1758491949730,Synapse54
78,54473 (Rosholt),Marathon County,Wisconsin,862751a5fffffff,17,4.55,4.55,75723750.00390625,32405.27680130863,1758491949730,Synapse54,1758491949730,Synapse54
79,54440 (Hatley),Marathon County,Wisconsin,862751a67ffffff,17,4.7,4.7,75723750.00390625,32405.27680130863,1758491949730,Synapse54,1758491949730,Synapse54
80,54427 (Eland),Marathon County,Wisconsin,862751a6fffffff,8,4.42,4.42,75857500.0,32435.02015796872,1758491949730,Synapse54,1758491949730,Synapse54
81,54440 (Hatley),Marathon County,Wisconsin,862751a77ffffff,15,4.76,4.76,75723750.00390625,32405.27680130863,1758491949730,Synapse54,1758491949730,Synapse54
82,54455 (Mosinee),Marathon County,Wisconsin,862751a8fffffff,308,7.1,7.1,75810000.0,32421.806325328973,1758491949730,Synapse54,1758491949730,Synapse54
83,54401 (Wausau),Marathon County,Wisconsin,862751aa7ffffff,136,7.98,7.98,76020000.0,32468.18941801883,1758491949730,Synapse54,1758491949730,Synapse54
84,54455 (Mosinee),Marathon County,Wisconsin,862751aafffffff,172,7.82,7.82,75545000.00390625,32368.408819609373,1758491949730,Synapse54,1758491949730,Synapse54
85,54455 (Mosinee),Marathon County,Wisconsin,862751ac7ffffff,20,7.91,7.91,75358750.0078125,32329.673705056393,1758491949730,Synapse54,1758491949730,Synapse54
86,54455 (Mosinee),Marathon County,Wisconsin,862751acfffffff,8,6.78,6.78,75068750.0,32265.518824850868,1758491949730,Synapse54,1758491949730,Synapse54
87,54455 (Mosinee),Marathon County,Wisconsin,862751ad7ffffff,38,8.03,8.03,75226250.0,32300.101946613766,1758491949730,Synapse54,1758491949730,Synapse54
88,54455 (Mosinee),Marathon County,Wisconsin,862751adfffffff,53,7.75,7.75,75358749.99609375,32329.673705056393,1758491949730,Synapse54,1758491949730,Synapse54
89,54455 (Mosinee),Marathon County,Wisconsin,862751ae7ffffff,18,8.11,8.11,75358749.99609375,32329.673705056393,1758491949730,Synapse54,1758491949730,Synapse54
90,54401 (Wausau),Marathon County,Wisconsin,862751bb7ffffff,47,10.15,10.15,76395000.00390625,32550.97424393314,1758491949730,Synapse54,1758491949730,Synapse54
91,54631 (Gays Mills),Crawford County,Wisconsin,86275ad47ffffff,15,5.03,5.03,69592500.0,31072.284093702867,1758491949730,Synapse54,1758491949730,Synapse54
92,54629 (Fountain City),Buffalo County,Wisconsin,86262d907ffffff,8,4.44,4.44,72037500.00390625,31610.862203473636,1758491949730,Synapse54,1758491949730,Synapse54
93,54631 (Gays Mills),Crawford County,Wisconsin,86275ad4fffffff,3,4.35,4.35,69592500.0,31072.284093702867,1758491949730,Synapse54,1758491949730,Synapse54
94,53932 (Fall River),Columbia County,Wisconsin,862758807ffffff,10,4.83,4.83,70719999.99609375,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
95,54629 (Fountain City),Buffalo County,Wisconsin,86262d90fffffff,321,5.31,5.31,72393749.9921875,31687.862579181787,1758491949730,Synapse54,1758491949730,Synapse54
96,53932 (Fall River),Columbia County,Wisconsin,86275880fffffff,150,8.59,8.59,70720000.0,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
97,55959 (Minnesota City),Winona County,Minnesota,86262d917ffffff,54,7.24,7.24,72440000.00390625,31699.82106748197,1758491949730,Synapse54,1758491949730,Synapse54
98,53960 (Rio),Columbia County,Wisconsin,862758817ffffff,13,4.81,4.81,70720000.00390625,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
99,55987 (Winona),Winona County,Minnesota,86262d91fffffff,919,6.08,6.08,72393750.00390625,31687.862579181787,1758491949730,Synapse54,1758491949730,Synapse54
100,53925 (Columbus),Columbia County,Wisconsin,86275881fffffff,17,4.66,4.66,70720000.0,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
101,54612 (Arcadia),Trempealeau County,Wisconsin,86262d927ffffff,7,5.07,5.07,72393750.00390625,31687.862579181787,1758491949730,Synapse54,1758491949730,Synapse54
102,53956 (Randolph),Columbia County,Wisconsin,862758827ffffff,5,4.55,4.55,71124999.99609375,31413.052908019024,1758491949730,Synapse54,1758491949730,Synapse54
103,54629 (Fountain City),Buffalo County,Wisconsin,86262d92fffffff,12,4.58,4.58,72284999.99609375,31664.93755392794,1758491949730,Synapse54,1758491949730,Synapse54
104,53932 (Fall River),Columbia County,Wisconsin,86275882fffffff,15,6.3,6.3,70946249.9921875,31371.1865213555,1758491949730,Synapse54,1758491949730,Synapse54
105,54629 (Fountain City),Buffalo County,Wisconsin,86262d937ffffff,6,4.88,4.88,72764999.99609375,31772.11441931776,1758491949730,Synapse54,1758491949730,Synapse54
106,53923 (Cambria),Columbia County,Wisconsin,862758837ffffff,6,4.76,4.76,70950000.0,31369.18183909024,1758491949730,Synapse54,1758491949730,Synapse54
107,55987 (Winona),Winona County,Minnesota,86262d957ffffff,52,8.0,8.0,71852500.00390625,31567.901631320226,1758491949730,Synapse54,1758491949730,Synapse54
108,53916 (Beaver Dam),Dodge County,Wisconsin,862758867ffffff,14,7.22,7.22,70620000.0,31299.49650514273,1758491949730,Synapse54,1758491949730,Synapse54
109,54661 (Trempealeau),Trempealeau County,Wisconsin,86262d977ffffff,9,4.52,4.52,72161250.00390625,31639.61561964657,1758491949730,Synapse54,1758491949730,Synapse54
110,53925 (Columbus),Dodge County,Wisconsin,862758877ffffff,26,8.36,8.36,70720000.00390625,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
111,54757 (New Auburn),Barron County,Wisconsin,8627506c7ffffff,9,4.66,4.66,76482499.99609375,32569.218950478502,1758491949730,Synapse54,1758491949730,Synapse54
112,53960 (Rio),Columbia County,Wisconsin,862758887ffffff,16,8.25,8.25,70543750.00390625,31283.64103806078,1758491949730,Synapse54,1758491949730,Synapse54
113,54724 (Bloomer),Chippewa County,Wisconsin,8627506cfffffff,11,4.44,4.44,75846250.0,32433.538516466986,1758491949730,Synapse54,1758491949730,Synapse54
114,53955 (Poynette),Columbia County,Wisconsin,862758897ffffff,131,7.87,7.87,70543749.99609375,31283.64103806078,1758491949730,Synapse54,1758491949730,Synapse54
115,54728 (Chetek),Barron County,Wisconsin,8627506d7ffffff,5,4.81,4.81,76148750.0,32497.13712870903,1758491949730,Synapse54,1758491949730,Synapse54
116,53960 (Rio),Columbia County,Wisconsin,8627588a7ffffff,83,6.26,6.26,70590000.00390625,31291.01019849468,1758491949730,Synapse54,1758491949730,Synapse54
117,54757 (New Auburn),Dunn County,Wisconsin,8627506dfffffff,12,4.49,4.49,76578750.0,32589.48276599644,1758491949730,Synapse54,1758491949730,Synapse54
118,53960 (Rio),Columbia County,Wisconsin,8627588afffffff,15,5.75,5.75,70493750.0,31271.404439130343,1758491949730,Synapse54,1758491949730,Synapse54
119,54757 (New Auburn),Barron County,Wisconsin,8627506efffffff,26,4.54,4.54,76850000.0,32643.756651663643,1758491949730,Synapse54,1758491949730,Synapse54
120,53954 (Pardeeville),Columbia County,Wisconsin,8627588b7ffffff,36,5.4,5.4,70819999.9921875,31339.176352475624,1758491949730,Synapse54,1758491949730,Synapse54
121,54017 (New Richmond),St. Croix County,Wisconsin,862752207ffffff,124,10.26,10.26,75192500.0,32294.716803201183,1758491949730,Synapse54,1758491949730,Synapse54
122,53956 (Randolph),Columbia County,Wisconsin,862758907ffffff,22,4.82,4.82,71383750.0,31462.66820906785,1758491949730,Synapse54,1758491949730,Synapse54
123,54015 (Hammond),St. Croix County,Wisconsin,86275220fffffff,110,10.12,10.12,75438750.00390625,32347.75767898916,1758491949730,Synapse54,1758491949730,Synapse54
124,53956 (Randolph),Dodge County,Wisconsin,86275890fffffff,101,5.96,5.96,70950000.0,31369.18183909024,1758491949730,Synapse54,1758491949730,Synapse54
125,54017 (New Richmond),St. Croix County,Wisconsin,862752217ffffff,116,10.36,10.36,75607500.0,32384.61888672806,1758491949730,Synapse54,1758491949730,Synapse54
126,53923 (Cambria),Columbia County,Wisconsin,862758917ffffff,9,4.55,4.55,71563750.0,31504.36184833679,1758491949730,Synapse54,1758491949730,Synapse54
127,54023 (Roberts),St. Croix County,Wisconsin,86275221fffffff,150,7.65,7.65,75430000.0,32343.308884967155,1758491949730,Synapse54,1758491949730,Synapse54
128,53923 (Cambria),Columbia County,Wisconsin,86275891fffffff,36,4.55,4.55,71256250.0,31439.527134638807,1758491949730,Synapse54,1758491949730,Synapse54
129,54017 (New Richmond),St. Croix County,Wisconsin,862752227ffffff,174,7.99,7.99,75758749.99609375,32414.78330504988,1758491949730,Synapse54,1758491949730,Synapse54
130,53946 (Markesan),Green Lake County,Wisconsin,862758927ffffff,13,5.68,5.68,71362500.00390625,31464.85474839848,1758491949730,Synapse54,1758491949730,Synapse54
131,54017 (New Richmond),St. Croix County,Wisconsin,86275222fffffff,18,8.74,8.74,75645000.0,32391.2216483968,1758491949730,Synapse54,1758491949730,Synapse54
132,53933 (Fox Lake),Dodge County,Wisconsin,86275892fffffff,38,5.94,5.94,71308750.0,31449.36115005417,1758491949730,Synapse54,1758491949730,Synapse54
133,54017 (New Richmond),St. Croix County,Wisconsin,862752237ffffff,633,8.06,8.06,75758750.00390625,32414.78330504988,1758491949730,Synapse54,1758491949730,Synapse54
134,53923 (Cambria),Green Lake County,Wisconsin,862758937ffffff,12,4.67,4.67,71563749.99609375,31504.361848336794,1758491949730,Synapse54,1758491949730,Synapse54
135,54002 (Baldwin),St. Croix County,Wisconsin,862752247ffffff,231,6.83,6.83,75093750.0078125,32273.822209951722,1758491949730,Synapse54,1758491949730,Synapse54
136,53916 (Beaver Dam),Dodge County,Wisconsin,862758947ffffff,138,7.55,7.55,71208750.0,31427.83898198449,1758491949730,Synapse54,1758491949730,Synapse54
137,54028 (Woodville),St. Croix County,Wisconsin,86275224fffffff,32,8.06,8.06,75026250.0,32258.23293111431,1758491949730,Synapse54,1758491949730,Synapse54
138,53916 (Beaver Dam),Dodge County,Wisconsin,86275894fffffff,486,6.91,6.91,70847500.00390625,31349.70816383054,1758491949730,Synapse54,1758491949730,Synapse54
139,54015 (Hammond),St. Croix County,Wisconsin,862752257ffffff,150,8.17,8.17,75078750.00390625,32271.155523956797,1758491949730,Synapse54,1758491949730,Synapse54
140,53956 (Randolph),Dodge County,Wisconsin,862758957ffffff,23,8.07,8.07,70720000.0,31321.0156851093,1758491949730,Synapse54,1758491949730,Synapse54
141,54002 (Baldwin),St. Croix County,Wisconsin,86275225fffffff,23,8.04,8.04,74902499.99609375,32230.049363234946,1758491949730,Synapse54,1758491949730,Synapse54
142,53916 (Beaver Dam),Dodge County,Wisconsin,86275895fffffff,29,7.97,7.97,70668750.00390625,31307.841777167017,1758491949730,Synapse54,1758491949730,Synapse54
143,54002 (Baldwin),St. Croix County,Wisconsin,862752267ffffff,30,8.77,8.77,75453749.99609375,32350.424364984086,1758491949730,Synapse54,1758491949730,Synapse54
144,53916 (Beaver Dam),Dodge County,Wisconsin,862758967ffffff,37,8.11,8.11,71208750.0,31427.83898198449,1758491949730,Synapse54,1758491949730,Synapse54
145,54028 (Woodville),St. Croix County,Wisconsin,86275226fffffff,88,6.27,6.27,74789999.99609375,32206.69192502962,1758491949730,Synapse54,1758491949730,Synapse54
146,53916 (Beaver Dam),Dodge County,Wisconsin,86275896fffffff,525,6.67,6.67,70668749.99609375,31307.841777167017,1758491949730,Synapse54,1758491949730,Synapse54
