OBJECTID,admin4_name,admin3_name,admin2_name,id,MP23018A_B,MP23018A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46147 (Jamestown),Boone County,Indiana,862661127ffffff,9,4.79,4.79,60157500.0,28896.694763576186,1758491958167,Synapse54,1758491958167,Synapse54
2,47006 (Batesville),Ripley County,Indiana,862a934b7ffffff,152,5.11,5.11,58420000.0,28478.651694176107,1758491958167,Synapse54,1758491958167,Synapse54
3,46156 (Milroy),Rush County,Indiana,86266c937ffffff,26,4.55,4.55,58890000.0078125,28592.346491867465,1758491958167,Synapse54,1758491958167,Synapse54
4,47118 (English),Crawford County,Indiana,862668c0fffffff,26,6.28,6.28,55606250.0,27794.85856511485,1758491958167,Synapse54,1758491958167,Synapse54
5,47516 (Bruceville),Knox County,Indiana,86266e09fffffff,30,4.77,4.77,56828750.0,28094.424261080836,1758491958167,Synapse54,1758491958167,Synapse54
6,47302 (Muncie),Delaware County,Indiana,862a921afffffff,24,5.19,5.19,60558750.0,28991.97995512589,1758491958167,Synapse54,1758491958167,Synapse54
7,47272 (Saint Paul),Decatur County,Indiana,86266c987ffffff,53,4.71,4.71,58827500.0,28578.738211785254,1758491958167,Synapse54,1758491958167,Synapse54
8,47959 (Monon),Jasper County,Indiana,8626654a7ffffff,4,4.3,4.3,62501250.01171875,29451.488511796273,1758491958167,Synapse54,1758491958167,Synapse54
9,47371 (Portland),Jay County,Indiana,862a9292fffffff,11,4.74,4.74,61617500.00390625,29240.442957419233,1758491958167,Synapse54,1758491958167,Synapse54
10,47118 (English),Crawford County,Indiana,862668c1fffffff,9,6.29,6.29,55785000.0,27834.922775368916,1758491958167,Synapse54,1758491958167,Synapse54
11,47561 (Oaktown),Knox County,Indiana,86266e0a7ffffff,25,7.1,7.1,56855000.0,28100.149095464658,1758491958167,Synapse54,1758491958167,Synapse54
12,47995 (Wolcott),White County,Indiana,8626654afffffff,5,5.1,5.1,62472499.99609375,29445.394088187273,1758491958167,Synapse54,1758491958167,Synapse54
13,46147 (Jamestown),Boone County,Indiana,86266112fffffff,80,6.99,6.99,59943750.0,28849.788445925802,1758491958167,Synapse54,1758491958167,Synapse54
14,47001 (Aurora),Dearborn County,Indiana,862a934c7ffffff,60,5.92,5.92,58000000.0078125,28380.283482574494,1758491958167,Synapse54,1758491958167,Synapse54
15,46182 (Waldron),Shelby County,Indiana,86266c997ffffff,32,5.65,5.65,58827499.99609375,28578.738211785254,1758491958167,Synapse54,1758491958167,Synapse54
16,47145 (Milltown),Crawford County,Indiana,862668c47ffffff,22,6.01,6.01,55732500.0,27827.154652202924,1758491958167,Synapse54,1758491958167,Synapse54
17,47512 (Bicknell),Knox County,Indiana,86266e0afffffff,159,6.23,6.23,56770000.0,28079.44580149543,1758491958167,Synapse54,1758491958167,Synapse54
18,47977 (Remington),Jasper County,Indiana,8626654b7ffffff,7,4.83,4.83,62561249.99609375,29466.020556383002,1758491958167,Synapse54,1758491958167,Synapse54
19,47371 (Portland),Jay County,Indiana,862a92937ffffff,29,5.24,5.24,62183750.0,29379.054193702465,1758491958167,Synapse54,1758491958167,Synapse54
20,47396 (Yorktown),Delaware County,Indiana,862a921b7ffffff,76,6.21,6.21,61203750.0078125,29145.6816880862,1758491958167,Synapse54,1758491958167,Synapse54
21,46156 (Milroy),Rush County,Indiana,86266c9a7ffffff,19,7.28,7.28,58889999.9921875,28592.346491867465,1758491958167,Synapse54,1758491958167,Synapse54
22,47137 (Leavenworth),Crawford County,Indiana,862668c4fffffff,7,6.19,6.19,55221250.0,27701.22514389821,1758491958167,Synapse54,1758491958167,Synapse54
23,47561 (Oaktown),Knox County,Indiana,86266e0b7ffffff,12,5.97,5.97,57010000.0,28141.761391796263,1758491958167,Synapse54,1758491958167,Synapse54
24,47929 (Chalmers),White County,Indiana,8626654c7ffffff,5,7.69,7.69,62283750.00390625,29404.450614421985,1758491958167,Synapse54,1758491958167,Synapse54
25,47001 (Aurora),Dearborn County,Indiana,862a934cfffffff,54,7.18,7.18,57847500.0,28339.94483353011,1758491958167,Synapse54,1758491958167,Synapse54
26,47923 (Brookston),White County,Indiana,8626654cfffffff,8,7.92,7.92,62018750.0,29337.508458002576,1758491958167,Synapse54,1758491958167,Synapse54
27,47118 (English),Crawford County,Indiana,862668c57ffffff,14,6.09,6.09,55606250.0,27794.85856511485,1758491958167,Synapse54,1758491958167,Synapse54
28,47331 (Connersville),Fayette County,Indiana,862a92207ffffff,219,6.49,6.49,59238749.99609375,28679.566772075403,1758491958167,Synapse54,1758491958167,Synapse54
29,47995 (Wolcott),White County,Indiana,8626654d7ffffff,5,7.69,7.69,62147500.0,29364.39208043126,1758491958167,Synapse54,1758491958167,Synapse54
30,47118 (English),Crawford County,Indiana,862668c5fffffff,30,6.05,6.05,55398750.00390625,27741.359122271748,1758491958167,Synapse54,1758491958167,Synapse54
31,47032 (Moores Hill),Dearborn County,Indiana,862a934d7ffffff,123,5.48,5.48,57999999.99609375,28380.283482574494,1758491958167,Synapse54,1758491958167,Synapse54
32,47923 (Brookston),White County,Indiana,8626654dfffffff,4,8.16,8.16,62343749.99609375,29418.982659008718,1758491958167,Synapse54,1758491958167,Synapse54
33,47115 (Depauw),Harrison County,Indiana,862668c67ffffff,59,5.98,5.98,55607499.99609375,27794.686953051518,1758491958167,Synapse54,1758491958167,Synapse54
34,47331 (Connersville),Fayette County,Indiana,862a9220fffffff,62,7.85,7.85,59370000.00390625,28712.17494825072,1758491958167,Synapse54,1758491958167,Synapse54
35,47980 (Reynolds),White County,Indiana,8626654e7ffffff,25,5.1,5.1,62338750.00390625,29410.964752469783,1758491958167,Synapse54,1758491958167,Synapse54
36,47032 (Moores Hill),Dearborn County,Indiana,862a934dfffffff,66,7.47,7.47,58000000.0,28380.283482574494,1758491958167,Synapse54,1758491958167,Synapse54
37,47331 (Connersville),Fayette County,Indiana,862a92217ffffff,32,4.97,4.97,59337499.99609375,28699.652404866538,1758491958167,Synapse54,1758491958167,Synapse54
38,47115 (Depauw),Harrison County,Indiana,862668c6fffffff,25,5.92,5.92,55551250.0,27780.079107807032,1758491958167,Synapse54,1758491958167,Synapse54
39,47929 (Chalmers),White County,Indiana,8626654efffffff,28,5.81,5.81,62283749.99609375,29404.383328334658,1758491958167,Synapse54,1758491958167,Synapse54
40,47140 (Marengo),Crawford County,Indiana,862668c77ffffff,77,6.38,6.38,55398749.99609375,27741.359122271748,1758491958167,Synapse54,1758491958167,Synapse54
41,47022 (Guilford),Dearborn County,Indiana,862a934e7ffffff,54,7.84,7.84,58032499.99609375,28387.39252535702,1758491958167,Synapse54,1758491958167,Synapse54
42,47116 (Eckerty),Crawford County,Indiana,862668c87ffffff,32,5.93,5.93,55660000.0,27810.99577312794,1758491958167,Synapse54,1758491958167,Synapse54
43,47980 (Reynolds),White County,Indiana,8626654f7ffffff,8,6.4,6.4,62501250.0,29451.488511796277,1758491958167,Synapse54,1758491958167,Synapse54
44,47331 (Connersville),Fayette County,Indiana,862a9221fffffff,26,5.7,5.7,59206250.0,28672.583846575206,1758491958167,Synapse54,1758491958167,Synapse54
45,47116 (Eckerty),Crawford County,Indiana,862668c8fffffff,24,5.85,5.85,55605000.00390625,27787.916999092504,1758491958167,Synapse54,1758491958167,Synapse54
46,47001 (Aurora),Dearborn County,Indiana,862a934efffffff,98,7.22,7.22,58032500.0,28387.39252535702,1758491958167,Synapse54,1758491958167,Synapse54
47,47946 (Francesville),Pulaski County,Indiana,862665507ffffff,6,5.0,5.0,63070000.0,29583.357569893105,1758491958167,Synapse54,1758491958167,Synapse54
48,47441 (Linton),Greene County,Indiana,86266ec4fffffff,18,4.76,4.76,56967500.00390625,28126.822379848785,1758491958167,Synapse54,1758491958167,Synapse54
49,47521 (Celestine),Dubois County,Indiana,862668c97ffffff,22,8.15,8.15,55605000.0,27787.916999092504,1758491958167,Synapse54,1758491958167,Synapse54
50,46996 (Winamac),Pulaski County,Indiana,86266550fffffff,10,6.29,6.29,63203750.0,29617.613917913353,1758491958167,Synapse54,1758491958167,Synapse54
51,47513 (Birdseye),Dubois County,Indiana,862668c9fffffff,21,6.14,6.14,55481250.0,27764.296808458963,1758491958167,Synapse54,1758491958167,Synapse54
52,47331 (Connersville),Fayette County,Indiana,862a92227ffffff,494,5.71,5.71,59370000.00390625,28712.174948250722,1758491958167,Synapse54,1758491958167,Synapse54
53,47031 (Milan),Dearborn County,Indiana,862a934f7ffffff,49,6.15,6.15,58032500.0,28387.39252535702,1758491958167,Synapse54,1758491958167,Synapse54
54,47946 (Francesville),Pulaski County,Indiana,862665517ffffff,38,4.55,4.55,63128750.0,29597.327517822327,1758491958167,Synapse54,1758491958167,Synapse54
55,47175 (Taswell),Crawford County,Indiana,862668cafffffff,14,6.09,6.09,55605000.0,27787.916999092504,1758491958167,Synapse54,1758491958167,Synapse54
56,47946 (Francesville),Pulaski County,Indiana,86266551fffffff,8,5.63,5.63,62936250.0,29550.817828535786,1758491958167,Synapse54,1758491958167,Synapse54
57,47118 (English),Crawford County,Indiana,862668cc7ffffff,10,5.68,5.68,55398750.0,27741.35912227175,1758491958167,Synapse54,1758491958167,Synapse54
