OBJECTID,admin4_name,admin3_name,admin2_name,id,MP23018A_B,MP23018A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62550 (Moweaqua),Christian County,Illinois,862644867ffffff,104,6.46,6.46,58376249.98828125,28476.008418929698,1758491974702,Synapse54,1758491974702,Synapse54
2,62097 (Worden),Madison County,Illinois,86264468fffffff,53,7.58,7.58,58287500.00390625,28448.022688777586,1758491974702,Synapse54,1758491974702,Synapse54
3,62476 (West Salem),Edwards County,Illinois,862645a87ffffff,1,5.88,5.88,56803750.00390625,28088.96508693137,1758491974702,Synapse54,1758491974702,Synapse54
4,62868 (Noble),Richland County,Illinois,86264516fffffff,6,4.58,4.58,57056250.00390625,28145.723142203915,1758491974702,Synapse54,1758491974702,Synapse54
5,62021 (Dorsey),Madison County,Illinois,862644697ffffff,36,7.74,7.74,58867500.0,28587.199596745726,1758491974702,Synapse54,1758491974702,Synapse54
6,62824 (Clay City),Clay County,Illinois,862645177ffffff,30,6.37,6.37,57158749.99609375,28174.6377721873,1758491974702,Synapse54,1758491974702,Synapse54
7,62806 (Albion),Edwards County,Illinois,862645a8fffffff,4,4.88,4.88,56808750.0,28083.555516653818,1758491974702,Synapse54,1758491974702,Synapse54
8,62899 (Xenia),Clay County,Illinois,862645187ffffff,8,5.37,5.37,57256250.0,28196.476022808307,1758491974702,Synapse54,1758491974702,Synapse54
9,62550 (Moweaqua),Shelby County,Illinois,86264486fffffff,7,7.69,7.69,58451250.0,28492.399196160553,1758491974702,Synapse54,1758491974702,Synapse54
10,62839 (Flora),Clay County,Illinois,86264518fffffff,13,4.76,4.76,57256250.00390625,28196.476022808307,1758491974702,Synapse54,1758491974702,Synapse54
11,62025 (Edwardsville),Madison County,Illinois,86264469fffffff,238,8.7,8.7,58574999.99609375,28512.643032457454,1758491974702,Synapse54,1758491974702,Synapse54
12,61437 (Gladstone),Henderson County,Illinois,862670a27ffffff,14,5.98,5.98,61728750.00390625,29273.52334826197,1758491974702,Synapse54,1758491974702,Synapse54
13,62446 (Mount Erie),Wayne County,Illinois,862645a97ffffff,7,4.32,4.32,56790000.0,28079.89754851901,1758491974702,Synapse54,1758491974702,Synapse54
14,62910 (Brookport),Pope County,Illinois,862641207ffffff,5,5.49,5.49,55923750.0,27859.47846816504,1758491974702,Synapse54,1758491974702,Synapse54
15,61437 (Gladstone),Henderson County,Illinois,862670a2fffffff,5,6.1,6.1,61728750.0,29273.72473394963,1758491974702,Synapse54,1758491974702,Synapse54
16,62014 (Bunker Hill),Macoupin County,Illinois,8626446a7ffffff,23,6.97,6.97,58287500.0,28448.022688777586,1758491974702,Synapse54,1758491974702,Synapse54
17,62899 (Xenia),Clay County,Illinois,86264519fffffff,21,4.61,4.61,57408750.0,28236.805397737397,1758491974702,Synapse54,1758491974702,Synapse54
18,62550 (Moweaqua),Christian County,Illinois,862644877ffffff,10,7.69,7.69,58440000.00390625,28483.64339562856,1758491974702,Synapse54,1758491974702,Synapse54
19,52601 (Burlington),Des Moines County,Iowa,862670a37ffffff,7,7.45,7.45,61747500.0,29277.26663996895,1758491974702,Synapse54,1758491974702,Synapse54
20,62097 (Worden),Madison County,Illinois,8626446afffffff,32,7.82,7.82,58695000.0,28548.022688777586,1758491974702,Synapse54,1758491974702,Synapse54
21,61531 (Farmington),Fulton County,Illinois,86267528fffffff,5,5.0,5.0,61342499.99609375,29180.624733079865,1758491974702,Synapse54,1758491974702,Synapse54
22,62843 (Golden Gate),Wayne County,Illinois,862645a9fffffff,1,3.57,3.57,56803749.99609375,28088.96508693137,1758491974702,Synapse54,1758491974702,Synapse54
23,61471 (Raritan),Henderson County,Illinois,862670a47ffffff,3,4.17,4.17,61263750.0,29163.77102725753,1758491974702,Synapse54,1758491974702,Synapse54
24,62531 (Edinburg),Christian County,Illinois,862644887ffffff,62,6.14,6.14,58971250.0,28614.682482992925,1758491974702,Synapse54,1758491974702,Synapse54
25,62014 (Bunker Hill),Macoupin County,Illinois,8626446b7ffffff,108,5.91,5.91,58473750.0,28489.96670096008,1758491974702,Synapse54,1758491974702,Synapse54
26,62476 (West Salem),Edwards County,Illinois,862645aa7ffffff,7,4.52,4.52,56808749.99609375,28083.555516653818,1758491974702,Synapse54,1758491974702,Synapse54
27,62001 (Alhambra),Madison County,Illinois,8626446c7ffffff,14,4.65,4.65,58320000.0,28453.482839680015,1758491974702,Synapse54,1758491974702,Synapse54
28,62568 (Taylorville),Christian County,Illinois,86264488fffffff,18,6.21,6.21,58628749.99609375,28531.792056034672,1758491974702,Synapse54,1758491974702,Synapse54
29,62025 (Edwardsville),Madison County,Illinois,8626446d7ffffff,81,7.83,7.83,58491250.0,28497.888714395387,1758491974702,Synapse54,1758491974702,Synapse54
30,62476 (West Salem),Edwards County,Illinois,862645aafffffff,7,4.7,4.7,56605000.0,28037.989444861403,1758491974702,Synapse54,1758491974702,Synapse54
31,61455 (Macomb),McDonough County,Illinois,862671c27ffffff,9,4.86,4.86,61047500.00390625,29116.27408624307,1758491974702,Synapse54,1758491974702,Synapse54
32,62558 (Pawnee),Christian County,Illinois,862644897ffffff,8,7.55,7.55,58885000.0,28595.062331065008,1758491974702,Synapse54,1758491974702,Synapse54
33,61455 (Macomb),McDonough County,Illinois,862671c2fffffff,649,5.5,5.5,60696250.0,29028.534781220387,1758491974702,Synapse54,1758491974702,Synapse54
34,62001 (Alhambra),Madison County,Illinois,8626446dfffffff,20,8.58,8.58,58506250.0,28495.645170389278,1758491974702,Synapse54,1758491974702,Synapse54
35,62446 (Mount Erie),Wayne County,Illinois,862645ab7ffffff,1,6.25,6.25,56991249.99609375,28130.873190588976,1758491974702,Synapse54,1758491974702,Synapse54
36,62326 (Colchester),McDonough County,Illinois,862671c37ffffff,2,4.08,4.08,60696250.0,29028.534781220387,1758491974702,Synapse54,1758491974702,Synapse54
37,62517 (Bulpitt),Christian County,Illinois,86264489fffffff,97,5.73,5.73,58971250.0,28614.682482992925,1758491974702,Synapse54,1758491974702,Synapse54
38,61455 (Macomb),McDonough County,Illinois,862671c47ffffff,4,5.71,5.71,60522500.0,28988.140475302018,1758491974702,Synapse54,1758491974702,Synapse54
39,62818 (Browns),Edwards County,Illinois,862645ac7ffffff,7,4.86,4.86,56924999.99609375,28120.1982759493,1758491974702,Synapse54,1758491974702,Synapse54
40,62097 (Worden),Madison County,Illinois,8626446f7ffffff,38,5.0,5.0,58287499.99609375,28448.022688777586,1758491974702,Synapse54,1758491974702,Synapse54
41,61440 (Industry),McDonough County,Illinois,862671c4fffffff,23,6.3,6.3,60175000.0,28904.1702849863,1758491974702,Synapse54,1758491974702,Synapse54
42,62531 (Edinburg),Christian County,Illinois,8626448a7ffffff,6,6.82,6.82,58971250.0,28614.682482992925,1758491974702,Synapse54,1758491974702,Synapse54
43,61455 (Macomb),McDonough County,Illinois,862671c57ffffff,6,6.38,6.38,60174999.99609375,28904.1702849863,1758491974702,Synapse54,1758491974702,Synapse54
44,62806 (Albion),Edwards County,Illinois,862645ad7ffffff,30,5.77,5.77,56701249.99609375,28059.585776938122,1758491974702,Synapse54,1758491974702,Synapse54
45,61440 (Industry),McDonough County,Illinois,862671c5fffffff,4,6.56,6.56,60522500.00390625,28988.140475302018,1758491974702,Synapse54,1758491974702,Synapse54
46,62568 (Taylorville),Christian County,Illinois,8626448afffffff,6,6.98,6.98,58628750.0,28531.792056034672,1758491974702,Synapse54,1758491974702,Synapse54
47,62806 (Albion),Edwards County,Illinois,862645adfffffff,67,5.86,5.86,56436250.0,27994.00210179751,1758491974702,Synapse54,1758491974702,Synapse54
48,61455 (Macomb),McDonough County,Illinois,862671c67ffffff,3,5.66,5.66,60617499.99609375,29007.923358613145,1758491974702,Synapse54,1758491974702,Synapse54
49,62563 (Rochester),Sangamon County,Illinois,8626448b7ffffff,15,7.39,7.39,58971250.0,28614.68248299292,1758491974702,Synapse54,1758491974702,Synapse54
50,61411 (Adair),McDonough County,Illinois,862671c6fffffff,3,7.5,7.5,60347499.9921875,28944.705171918416,1758491974702,Synapse54,1758491974702,Synapse54
51,62806 (Albion),Edwards County,Illinois,862645af7ffffff,6,4.35,4.35,56603750.0078125,28037.981049730806,1758491974702,Synapse54,1758491974702,Synapse54
52,61455 (Macomb),McDonough County,Illinois,862671c77ffffff,74,8.96,8.96,60444999.99609375,28967.38847168102,1758491974702,Synapse54,1758491974702,Synapse54
53,62568 (Taylorville),Christian County,Illinois,8626448c7ffffff,250,5.97,5.97,58628749.99609375,28531.792056034672,1758491974702,Synapse54,1758491974702,Synapse54
54,62321 (Carthage),Hancock County,Illinois,862671c87ffffff,3,4.35,4.35,60522500.0,28988.140475302018,1758491974702,Synapse54,1758491974702,Synapse54
55,62450 (Olney),Richland County,Illinois,862645b17ffffff,14,4.75,4.75,56712500.0,28061.9591845771,1758491974702,Synapse54,1758491974702,Synapse54
56,62374 (Tennessee),Hancock County,Illinois,862671c8fffffff,2,4.35,4.35,60522500.0,28988.140475302018,1758491974702,Synapse54,1758491974702,Synapse54
