OBJECTID,admin4_name,admin3_name,admin2_name,id,X9078_X,X9078_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62265 (New Baden),Clinton County,Illinois,862640127ffffff,5550,27.61,27.61,57945000.0,28358.942990582444,1758491987175,Synapse54,1758491987175,Synapse54
2,62271 (Okawville),Clinton County,Illinois,86264012fffffff,2532,27.82,27.82,57742500.0,28309.303506499375,1758491987175,Synapse54,1758491987175,Synapse54
3,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,2805,35.06,35.06,58116249.99609375,28403.34886529782,1758491987175,Synapse54,1758491987175,Synapse54
4,62214 (Addieville),Washington County,Illinois,862640147ffffff,2924,28.67,28.67,57945000.0,28359.658540410997,1758491987175,Synapse54,1758491987175,Synapse54
5,62263 (Nashville),Washington County,Illinois,86264014fffffff,1588,31.76,31.76,57742500.0,28309.303506499375,1758491987175,Synapse54,1758491987175,Synapse54
6,62214 (Addieville),Washington County,Illinois,862640157ffffff,2260,31.83,31.83,57758750.0,28317.872572734625,1758491987175,Synapse54,1758491987175,Synapse54
7,62268 (Oakdale),Washington County,Illinois,86264015fffffff,1782,28.74,28.74,57557500.00390625,28267.27907681526,1758491987175,Synapse54,1758491987175,Synapse54
8,62214 (Addieville),Washington County,Illinois,862640167ffffff,3009,24.66,24.66,57945000.0,28359.658540410997,1758491987175,Synapse54,1758491987175,Synapse54
9,62263 (Nashville),Washington County,Illinois,86264016fffffff,1227,27.89,27.89,57944999.99609375,28359.658540410997,1758491987175,Synapse54,1758491987175,Synapse54
10,62271 (Okawville),Washington County,Illinois,862640177ffffff,2196,30.93,30.93,57945000.0,28359.658540410997,1758491987175,Synapse54,1758491987175,Synapse54
11,62916 (Campbell Hill),Jackson County,Illinois,862640207ffffff,1867,27.06,27.06,57397500.0,28221.02357076494,1758491987175,Synapse54,1758491987175,Synapse54
12,62907 (Ava),Jackson County,Illinois,86264020fffffff,3251,28.03,28.03,57198750.00390625,28176.431321666434,1758491987175,Synapse54,1758491987175,Synapse54
13,62916 (Campbell Hill),Jackson County,Illinois,862640217ffffff,5056,23.09,23.09,57401250.00390625,28226.01941034978,1758491987175,Synapse54,1758491987175,Synapse54
14,62907 (Ava),Jackson County,Illinois,86264021fffffff,9694,27.31,27.31,57169999.99609375,28174.899613219517,1758491987175,Synapse54,1758491987175,Synapse54
15,62274 (Pinckneyville),Perry County,Illinois,862640227ffffff,516,25.8,25.8,57371250.0,28225.493109138886,1758491987175,Synapse54,1758491987175,Synapse54
16,62907 (Ava),Jackson County,Illinois,86264022fffffff,545,27.25,27.25,57199999.99609375,28175.425914430416,1758491987175,Synapse54,1758491987175,Synapse54
17,62821 (Carmi),White County,Illinois,86264524fffffff,1747,24.61,24.61,56363750.00390625,27977.19726350761,1758491987175,Synapse54,1758491987175,Synapse54
18,62238 (Cutler),Perry County,Illinois,862640237ffffff,144,36.0,36.0,57371249.99609375,28225.493109138886,1758491987175,Synapse54,1758491987175,Synapse54
19,47631 (New Harmony),Posey County,Indiana,86264526fffffff,370,23.13,23.13,56134999.99609375,27921.19020520542,1758491987175,Synapse54,1758491987175,Synapse54
20,62966 (Murphysboro),Jackson County,Illinois,862640247ffffff,6060,26.93,26.93,57098749.99609375,28154.22598941854,1758491987175,Synapse54,1758491987175,Synapse54
21,62827 (Crossville),White County,Illinois,86264534fffffff,874,20.33,20.33,56351249.99609375,27970.178915552202,1758491987175,Synapse54,1758491987175,Synapse54
22,62966 (Murphysboro),Jackson County,Illinois,86264024fffffff,34345,17.98,17.98,56928749.99609375,28110.16284084789,1758491987175,Synapse54,1758491987175,Synapse54
23,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,802,38.19,38.19,56429999.99609375,27988.19279691602,1758491987175,Synapse54,1758491987175,Synapse54
24,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,440,40.0,40.0,56164999.99609375,27928.432000688917,1758491987175,Synapse54,1758491987175,Synapse54
25,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,512,39.38,39.38,56135000.0,27915.620822769335,1758491987175,Synapse54,1758491987175,Synapse54
26,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56135000.00390625,27915.620822769335,1758491987175,Synapse54,1758491987175,Synapse54
27,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,396,24.75,24.75,56135000.00390625,27915.620822769335,1758491987175,Synapse54,1758491987175,Synapse54
28,62867 (New Haven),White County,Illinois,86266a58fffffff,367,22.94,22.94,56134999.99609375,27915.620822769335,1758491987175,Synapse54,1758491987175,Synapse54
29,62821 (Carmi),White County,Illinois,86266a5afffffff,314,22.43,22.43,56532500.0,28015.598433874227,1758491987175,Synapse54,1758491987175,Synapse54
30,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,12338,19.01,19.01,56340000.00390625,27972.40576972079,1758491987175,Synapse54,1758491987175,Synapse54
31,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,18383,16.33,16.33,56340000.0,27972.40576972079,1758491987175,Synapse54,1758491987175,Synapse54
32,47631 (New Harmony),Posey County,Indiana,86266a537ffffff,682,24.36,24.36,56455000.0,27997.829653857236,1758491987175,Synapse54,1758491987175,Synapse54
33,47631 (New Harmony),Posey County,Indiana,86266ac87ffffff,4034,19.12,19.12,56070000.0,27905.06410782499,1758491987175,Synapse54,1758491987175,Synapse54
34,62827 (Crossville),White County,Illinois,86266ac97ffffff,87,43.5,43.5,56436249.99609375,27999.82498071102,1758491987175,Synapse54,1758491987175,Synapse54
35,47631 (New Harmony),Posey County,Indiana,86266ac9fffffff,6251,19.6,19.6,56267500.00390625,27955.837637647124,1758491987175,Synapse54,1758491987175,Synapse54
36,47616 (Griffin),Posey County,Indiana,86266acb7ffffff,1578,14.61,14.61,56455000.00390625,27997.829653857236,1758491987175,Synapse54,1758491987175,Synapse54
37,62863 (Mount Carmel),Wabash County,Illinois,86266ad87ffffff,311,14.81,14.81,56455000.0,27997.829653857236,1758491987175,Synapse54,1758491987175,Synapse54
38,62361 (Pearl),Pike County,Illinois,8626469a7ffffff,2354,18.68,18.68,59967500.0,28849.746992381653,1758491987175,Synapse54,1758491987175,Synapse54
39,62863 (Mount Carmel),Wabash County,Illinois,86266ad97ffffff,814,15.36,15.36,56453750.0,27997.58455251041,1758491987175,Synapse54,1758491987175,Synapse54
40,47616 (Griffin),Gibson County,Indiana,86266ad9fffffff,289,20.64,20.64,56237500.00390625,27943.4736733222,1758491987175,Synapse54,1758491987175,Synapse54
41,47665 (Owensville),Gibson County,Indiana,86266ada7ffffff,238,15.87,15.87,56358750.0,27976.233321780514,1758491987175,Synapse54,1758491987175,Synapse54
42,62863 (Mount Carmel),Wabash County,Illinois,862645a67ffffff,3415,27.76,27.76,56557500.0,28025.65791476663,1758491987175,Synapse54,1758491987175,Synapse54
43,62863 (Mount Carmel),Wabash County,Illinois,862645a6fffffff,43458,21.47,21.47,56816250.0,28090.03254683332,1758491987175,Synapse54,1758491987175,Synapse54
44,47885 (West Terre Haute),Vigo County,Indiana,862663a5fffffff,3411,20.43,20.43,58133749.99609375,28416.84109864638,1758491987175,Synapse54,1758491987175,Synapse54
45,62439 (Lawrenceville),Lawrence County,Illinois,86266e44fffffff,24129,30.16,30.16,56462500.0,28004.306684036736,1758491987175,Synapse54,1758491987175,Synapse54
46,47561 (Oaktown),Knox County,Indiana,86266e467ffffff,2381,41.05,41.05,56706250.0,28062.983138714026,1758491987175,Synapse54,1758491987175,Synapse54
47,47591 (Vincennes),Knox County,Indiana,86266e46fffffff,4611,30.95,30.95,56636250.0,28048.0148154559,1758491987175,Synapse54,1758491987175,Synapse54
48,62451 (Palestine),Crawford County,Illinois,86266e527ffffff,2299,25.83,25.83,57434999.99609375,28245.037474635494,1758491987175,Synapse54,1758491987175,Synapse54
49,47861 (Merom),Sullivan County,Indiana,86266e52fffffff,6876,23.47,23.47,57487500.0,28255.53455376411,1758491987175,Synapse54,1758491987175,Synapse54
50,47838 (Carlisle),Sullivan County,Indiana,86266e547ffffff,425,23.61,23.61,56915000.0,28115.372711081123,1758491987175,Synapse54,1758491987175,Synapse54
51,62427 (Flat Rock),Crawford County,Illinois,86266e55fffffff,1205,28.69,28.69,56706250.00390625,28062.98313871403,1758491987175,Synapse54,1758491987175,Synapse54
52,62451 (Palestine),Crawford County,Illinois,86266e577ffffff,1134,24.65,24.65,57069999.99609375,28156.798161269075,1758491987175,Synapse54,1758491987175,Synapse54
53,47524 (Decker),Knox County,Indiana,86266e687ffffff,336,33.6,33.6,56481250.0,28008.134236096463,1758491987175,Synapse54,1758491987175,Synapse54
54,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,667,25.65,25.65,56538750.00390625,28021.854952350375,1758491987175,Synapse54,1758491987175,Synapse54
55,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,4127,24.13,24.13,56712499.99609375,28061.32096213809,1758491987175,Synapse54,1758491987175,Synapse54
56,47591 (Vincennes),Knox County,Indiana,86266e787ffffff,679,14.76,14.76,56262500.0,27953.533154214605,1758491987175,Synapse54,1758491987175,Synapse54
57,62305 (Quincy),Adams County,Illinois,862673b2fffffff,1466,24.03,24.03,60337499.99609375,28938.041241530176,1758491987175,Synapse54,1758491987175,Synapse54
58,62460 (Saint Francisville),Lawrence County,Illinois,86266e79fffffff,5516,20.28,20.28,56358750.00390625,27975.129486291324,1758491987175,Synapse54,1758491987175,Synapse54
59,47591 (Vincennes),Knox County,Indiana,86266e7a7ffffff,19565,16.92,16.92,56648750.0,28046.585137808495,1758491987175,Synapse54,1758491987175,Synapse54
60,62460 (Saint Francisville),Lawrence County,Illinois,86266e7b7ffffff,1463,20.32,20.32,56461250.0,28004.086172333384,1758491987175,Synapse54,1758491987175,Synapse54
61,47849 (Fairbanks),Sullivan County,Indiana,86266ec87ffffff,1452,17.08,17.08,57671250.0,28296.72925005221,1758491987175,Synapse54,1758491987175,Synapse54
62,62478 (West York),Crawford County,Illinois,86266ec97ffffff,3140,29.9,29.9,57671250.0,28296.72925005221,1758491987175,Synapse54,1758491987175,Synapse54
63,47849 (Fairbanks),Sullivan County,Indiana,86266ec9fffffff,4226,17.11,17.11,57461250.0078125,28249.915386873738,1758491987175,Synapse54,1758491987175,Synapse54
64,47849 (Fairbanks),Sullivan County,Indiana,86266eca7ffffff,2365,23.65,23.65,57827499.9921875,28337.976570671264,1758491987175,Synapse54,1758491987175,Synapse54
65,62477 (West Union),Clark County,Illinois,86266ecb7ffffff,589,21.81,21.81,57645000.00390625,28291.85133781396,1758491987175,Synapse54,1758491987175,Synapse54
66,62477 (West Union),Clark County,Illinois,86266ed97ffffff,803,22.94,22.94,57951250.00390625,28369.60255704535,1758491987175,Synapse54,1758491987175,Synapse54
67,62477 (West Union),Clark County,Illinois,86266ed9fffffff,104,17.33,17.33,57697500.00390625,28302.34841694258,1758491987175,Synapse54,1758491987175,Synapse54
68,62441 (Marshall),Clark County,Illinois,86266edb7ffffff,1104,16.73,16.73,58275000.00390625,28443.11785328612,1758491987175,Synapse54,1758491987175,Synapse54
69,60942 (Hoopeston),Iroquois County,Illinois,862660067ffffff,738,28.38,28.38,61463749.98828125,29210.292412626157,1758491987175,Synapse54,1758491987175,Synapse54
70,47917 (Ambia),Warren County,Indiana,86266006fffffff,625,28.41,28.41,61465000.01171875,29210.528543946002,1758491987175,Synapse54,1758491987175,Synapse54
71,47993 (Williamsport),Warren County,Indiana,862660337ffffff,561,24.39,24.39,61113750.00390625,29123.027095177204,1758491987175,Synapse54,1758491987175,Synapse54
72,47928 (Cayuga),Vermillion County,Indiana,862661597ffffff,3117,19.24,19.24,59908749.99609375,28842.269969654084,1758491987175,Synapse54,1758491987175,Synapse54
73,60953 (Milford),Iroquois County,Illinois,862660147ffffff,300,21.43,21.43,62160000.00390625,29376.216690251727,1758491987175,Synapse54,1758491987175,Synapse54
