OBJECTID,admin4_name,admin3_name,admin2_name,id,X9078_X,X9078_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,45030 (Harrison),Hamilton County,Ohio,862a9355fffffff,123000,30.05,30.05,58526250.00390625,28506.775023897368,1758491996238,Synapse54,1758491996238,Synapse54
2,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,1177,32.69,32.69,56462500.0,28004.306684036736,1758491996238,Synapse54,1758491996238,Synapse54
3,45053 (Okeana),Butler County,Ohio,862a93577ffffff,28721,40.62,40.62,58616249.99609375,28521.225130279265,1758491996238,Synapse54,1758491996238,Synapse54
4,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,2428,20.23,20.23,56005000.00390625,27890.50745898393,1758491996238,Synapse54,1758491996238,Synapse54
5,47012 (Brookville),Franklin County,Indiana,862a93587ffffff,5990,26.04,26.04,58760000.00390625,28565.879341644126,1758491996238,Synapse54,1758491996238,Synapse54
6,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,4127,24.13,24.13,56461250.0,28004.086172333384,1758491996238,Synapse54,1758491996238,Synapse54
7,47012 (Brookville),Franklin County,Indiana,862a9358fffffff,7980,29.67,29.67,58606250.00390625,28526.019648407935,1758491996238,Synapse54,1758491996238,Synapse54
8,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,2794,24.95,24.95,56096250.00390625,27910.096352341992,1758491996238,Synapse54,1758491996238,Synapse54
9,47006 (Batesville),Franklin County,Indiana,862a93597ffffff,3174,27.36,27.36,58475000.0078125,28493.4240300035,1758491996238,Synapse54,1758491996238,Synapse54
10,61814 (Bismarck),Vermilion County,Illinois,862660237ffffff,1064,22.64,22.64,61025000.0,29102.253146054718,1758491996238,Synapse54,1758491996238,Synapse54
11,47666 (Patoka),Gibson County,Indiana,86266e6f7ffffff,2367,24.66,24.66,56295000.00390625,27960.624780817296,1758491996238,Synapse54,1758491996238,Synapse54
12,47932 (Covington),Fountain County,Indiana,862660247ffffff,3786,23.23,23.23,60595000.0,29008.025134738473,1758491996238,Synapse54,1758491996238,Synapse54
13,47987 (Veedersburg),Fountain County,Indiana,86266024fffffff,3653,23.88,23.88,60033750.0,28868.453351940145,1758491996238,Synapse54,1758491996238,Synapse54
14,47932 (Covington),Vermillion County,Indiana,862660257ffffff,2470,23.52,23.52,60121250.00390625,28889.046343165406,1758491996238,Synapse54,1758491996238,Synapse54
15,47932 (Covington),Vermillion County,Indiana,86266025fffffff,7385,21.28,21.28,60121250.0,28889.04634316541,1758491996238,Synapse54,1758491996238,Synapse54
16,47987 (Veedersburg),Fountain County,Indiana,862660267ffffff,1799,21.42,21.42,60810000.00390625,29055.139140396597,1758491996238,Synapse54,1758491996238,Synapse54
17,47987 (Veedersburg),Fountain County,Indiana,86266026fffffff,2992,20.08,20.08,60148749.99609375,28894.87423166152,1758491996238,Synapse54,1758491996238,Synapse54
18,47591 (Vincennes),Knox County,Indiana,86266e707ffffff,4761,28.01,28.01,56481250.0,28008.134236096463,1758491996238,Synapse54,1758491996238,Synapse54
19,47932 (Covington),Fountain County,Indiana,862660277ffffff,30028,21.71,21.71,60275000.0,28926.413075615794,1758491996238,Synapse54,1758491996238,Synapse54
20,47557 (Monroe City),Knox County,Indiana,86266e70fffffff,6576,21.21,21.21,56386250.0,27987.132919132015,1758491996238,Synapse54,1758491996238,Synapse54
21,61834 (Danville),Vermilion County,Illinois,8626602cfffffff,2619,22.38,22.38,60095000.0,28883.393302002303,1758491996238,Synapse54,1758491996238,Synapse54
22,61834 (Danville),Vermilion County,Illinois,8626602e7ffffff,3573,16.93,16.93,60683750.0,29023.600296442317,1758491996238,Synapse54,1758491996238,Synapse54
23,47974 (Perrysville),Vermillion County,Indiana,8626602efffffff,2968,23.56,23.56,60468749.9921875,28976.486290784196,1758491996238,Synapse54,1758491996238,Synapse54
24,47993 (Williamsport),Warren County,Indiana,862660307ffffff,343,22.87,22.87,61025000.00390625,29102.253146054718,1758491996238,Synapse54,1758491996238,Synapse54
25,47991 (West Lebanon),Warren County,Indiana,86266030fffffff,809,27.9,27.9,60809999.99609375,29055.139140396597,1758491996238,Synapse54,1758491996238,Synapse54
26,60963 (Rossville),Vermilion County,Illinois,862660317ffffff,883,21.02,21.02,61095000.0,29126.314598646408,1758491996238,Synapse54,1758491996238,Synapse54
27,47993 (Williamsport),Warren County,Indiana,86266031fffffff,1120,25.45,25.45,61025000.0078125,29102.253146054718,1758491996238,Synapse54,1758491996238,Synapse54
28,47993 (Williamsport),Warren County,Indiana,862660327ffffff,610,24.4,24.4,61213750.0,29148.59968934601,1758491996238,Synapse54,1758491996238,Synapse54
29,60966 (Sheldon),Iroquois County,Illinois,8626608dfffffff,361,21.24,21.24,61807500.0,29288.95137280277,1758491996238,Synapse54,1758491996238,Synapse54
30,47951 (Kentland),Newton County,Indiana,8626608e7ffffff,13268,16.32,16.32,62622500.0,29481.51976602989,1758491996238,Synapse54,1758491996238,Synapse54
31,47942 (Earl Park),Benton County,Indiana,8626608efffffff,673,21.03,21.03,62187499.9921875,29382.075017235667,1758491996238,Synapse54,1758491996238,Synapse54
32,47951 (Kentland),Newton County,Indiana,8626608f7ffffff,654,18.69,18.69,62467500.0,29444.377673479088,1758491996238,Synapse54,1758491996238,Synapse54
33,47963 (Morocco),Newton County,Indiana,862660907ffffff,575,23.96,23.96,63325000.00390625,29647.618595363758,1758491996238,Synapse54,1758491996238,Synapse54
34,47963 (Morocco),Newton County,Indiana,86266090fffffff,1464,16.64,16.64,62977500.0,29568.85229401997,1758491996238,Synapse54,1758491996238,Synapse54
35,47963 (Morocco),Newton County,Indiana,862660917ffffff,1189,16.51,16.51,63258750.0,29631.155026978784,1758491996238,Synapse54,1758491996238,Synapse54
36,47612 (Cynthiana),Posey County,Indiana,86266ac07ffffff,6287,18.88,18.88,56159999.99609375,27925.68030366174,1758491996238,Synapse54,1758491996238,Synapse54
37,47591 (Vincennes),Knox County,Indiana,86266e717ffffff,146670,25.5,25.5,56481250.00390625,28008.134236096463,1758491996238,Synapse54,1758491996238,Synapse54
38,47963 (Morocco),Newton County,Indiana,86266091fffffff,806,16.79,16.79,62786250.0,29522.057345846348,1758491996238,Synapse54,1758491996238,Synapse54
39,47943 (Fair Oaks),Newton County,Indiana,862660927ffffff,698,26.85,26.85,63607500.00390625,29709.625182888994,1758491996238,Synapse54,1758491996238,Synapse54
40,47943 (Fair Oaks),Newton County,Indiana,86266092fffffff,527,21.96,21.96,63196250.0,29616.15741943605,1758491996238,Synapse54,1758491996238,Synapse54
41,47963 (Morocco),Newton County,Indiana,862660937ffffff,360,22.5,22.5,63196250.0,29616.15741943605,1758491996238,Synapse54,1758491996238,Synapse54
42,47978 (Rensselaer),Jasper County,Indiana,862660947ffffff,3200,29.63,29.63,62942500.0,29554.599990107894,1758491996238,Synapse54,1758491996238,Synapse54
43,47977 (Remington),Jasper County,Indiana,86266094fffffff,1474,28.35,28.35,62813749.99609375,29527.749659299352,1758491996238,Synapse54,1758491996238,Synapse54
44,47922 (Brook),Newton County,Indiana,862660957ffffff,571,20.39,20.39,62942499.99609375,29554.599990107894,1758491996238,Synapse54,1758491996238,Synapse54
45,47922 (Brook),Newton County,Indiana,86266095fffffff,1043,21.73,21.73,62751250.0,29508.54847743614,1758491996238,Synapse54,1758491996238,Synapse54
46,47452 (Orleans),Lawrence County,Indiana,86266c697ffffff,3756,14.67,14.67,56561250.0,28027.785408702417,1758491996238,Synapse54,1758491996238,Synapse54
47,47978 (Rensselaer),Jasper County,Indiana,862660967ffffff,49121,22.72,22.72,63292500.0,29637.914259900805,1758491996238,Synapse54,1758491996238,Synapse54
48,47978 (Rensselaer),Jasper County,Indiana,86266096fffffff,10126,29.35,29.35,62813750.0,29527.749659299352,1758491996238,Synapse54,1758491996238,Synapse54
49,47978 (Rensselaer),Jasper County,Indiana,862660977ffffff,5100,30.72,30.72,63031250.00390625,29575.226458303627,1758491996238,Synapse54,1758491996238,Synapse54
50,60931 (Donovan),Iroquois County,Illinois,86266098fffffff,809,15.86,15.86,63041250.0,29579.18134041618,1758491996238,Synapse54,1758491996238,Synapse54
51,47963 (Morocco),Newton County,Indiana,8626609a7ffffff,1013,15.58,15.58,63168750.0,29610.465105983043,1758491996238,Synapse54,1758491996238,Synapse54
52,47963 (Morocco),Newton County,Indiana,8626609afffffff,1250,16.67,16.67,63003750.0,29569.53414485062,1758491996238,Synapse54,1758491996238,Synapse54
53,47986 (Templeton),Benton County,Indiana,862660a07ffffff,1653,20.92,20.92,61530000.00390625,29227.02632739578,1758491996238,Synapse54,1758491996238,Synapse54
54,47970 (Otterbein),Warren County,Indiana,862660a0fffffff,783,27.0,27.0,61672500.0,29253.76478109345,1758491996238,Synapse54,1758491996238,Synapse54
55,47971 (Oxford),Benton County,Indiana,862660a17ffffff,9176,17.12,17.12,61835000.0,29294.74248924559,1758491996238,Synapse54,1758491996238,Synapse54
56,46172 (Roachdale),Putnam County,Indiana,862661007ffffff,5938,36.88,36.88,59943750.0,28849.788445925806,1758491996238,Synapse54,1758491996238,Synapse54
57,46105 (Bainbridge),Putnam County,Indiana,86266100fffffff,38652,27.61,27.61,59471250.00390625,28730.6021191405,1758491996238,Synapse54,1758491996238,Synapse54
58,46172 (Roachdale),Putnam County,Indiana,862661017ffffff,3845,30.28,30.28,59530000.0,28745.06381824161,1758491996238,Synapse54,1758491996238,Synapse54
59,46135 (Greencastle),Putnam County,Indiana,86266101fffffff,9648,24.68,24.68,59443749.99609375,28724.60282610444,1758491996238,Synapse54,1758491996238,Synapse54
60,46172 (Roachdale),Putnam County,Indiana,862661027ffffff,5598,39.99,39.99,59786250.0,28809.184348212064,1758491996238,Synapse54,1758491996238,Synapse54
61,46165 (North Salem),Hendricks County,Indiana,86266102fffffff,4601,35.67,35.67,59386250.00390625,28715.44175760241,1758491996238,Synapse54,1758491996238,Synapse54
62,46172 (Roachdale),Putnam County,Indiana,862661037ffffff,10068,21.79,21.79,59943750.0,28849.788445925802,1758491996238,Synapse54,1758491996238,Synapse54
63,46121 (Coatesville),Hendricks County,Indiana,862661047ffffff,11875,31.17,31.17,59299999.9921875,28694.980765465243,1758491996238,Synapse54,1758491996238,Synapse54
64,46180 (Stilesville),Hendricks County,Indiana,86266104fffffff,6975,28.7,28.7,59414999.99609375,28721.61287823264,1758491996238,Synapse54,1758491996238,Synapse54
65,46121 (Coatesville),Putnam County,Indiana,862661057ffffff,14355,27.93,27.93,59260000.0,28683.69580149012,1758491996238,Synapse54,1758491996238,Synapse54
66,46121 (Coatesville),Hendricks County,Indiana,86266105fffffff,6979,27.16,27.16,59415000.00390625,28721.61287823264,1758491996238,Synapse54,1758491996238,Synapse54
67,46122 (Danville),Hendricks County,Indiana,862661067ffffff,12951,35.78,35.78,59542500.0,28748.3581684765,1758491996238,Synapse54,1758491996238,Synapse54
68,46118 (Clayton),Hendricks County,Indiana,86266106fffffff,17291,31.55,31.55,59017500.00390625,28622.69779416039,1758491996238,Synapse54,1758491996238,Synapse54
69,46120 (Cloverdale),Putnam County,Indiana,862661397ffffff,4389,26.28,26.28,59073749.99609375,28637.158227726493,1758491996238,Synapse54,1758491996238,Synapse54
70,46120 (Cloverdale),Putnam County,Indiana,86266139fffffff,3667,23.21,23.21,58620000.00390625,28528.71629343539,1758491996238,Synapse54,1758491996238,Synapse54
71,46180 (Stilesville),Morgan County,Indiana,8626613a7ffffff,3390,29.22,29.22,58961250.0,28616.156664108403,1758491996238,Synapse54,1758491996238,Synapse54
72,46151 (Martinsville),Morgan County,Indiana,8626613afffffff,4956,18.42,18.42,59228750.00390625,28674.837659888668,1758491996238,Synapse54,1758491996238,Synapse54
73,46121 (Coatesville),Putnam County,Indiana,8626613b7ffffff,5114,23.9,23.9,58619999.99609375,28528.71629343539,1758491996238,Synapse54,1758491996238,Synapse54
74,47862 (Montezuma),Parke County,Indiana,862661407ffffff,2425,24.25,24.25,59847499.99609375,28826.99238744513,1758491996238,Synapse54,1758491996238,Synapse54
75,47872 (Rockville),Parke County,Indiana,86266140fffffff,3081,20.27,20.27,59847500.00390625,28826.99238744513,1758491996238,Synapse54,1758491996238,Synapse54
