OBJECTID,admin4_name,admin3_name,admin2_name,id,X9078_X,X9078_X_A,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54950 (Marion),Waupaca County,Wisconsin,86275c997ffffff,2278,24.76,24.76,75043750.0,32261.605338817273,1758492005484,Synapse54,1758492005484,Synapse54
2,53503 (Arena),Iowa County,Wisconsin,86275842fffffff,13274,23.96,23.96,69206250.0,30987.04298828339,1758492005484,Synapse54,1758492005484,Synapse54
3,53959 (Reedsburg),Sauk County,Wisconsin,86275e36fffffff,42185,25.71,25.71,70804999.99609375,31337.22408219723,1758492005484,Synapse54,1758492005484,Synapse54
4,54929 (Clintonville),Waupaca County,Wisconsin,86275c99fffffff,3504,25.21,25.21,74623750.0,32171.403012661805,1758492005484,Synapse54,1758492005484,Synapse54
5,53588 (Spring Green),Sauk County,Wisconsin,862758437ffffff,3097,27.9,27.9,69736250.00390625,31101.961419471583,1758492005484,Synapse54,1758492005484,Synapse54
6,54929 (Clintonville),Waupaca County,Wisconsin,86275c9a7ffffff,41949,21.66,21.66,75329999.9921875,32317.917468771957,1758492005484,Synapse54,1758492005484,Synapse54
7,53517 (Blue Mounds),Iowa County,Wisconsin,862758447ffffff,3627,43.18,43.18,69227499.99609375,30991.487786795857,1758492005484,Synapse54,1758492005484,Synapse54
8,54929 (Clintonville),Waupaca County,Wisconsin,86275c9afffffff,8182,17.83,17.83,74623749.99609375,32168.389597682344,1758492005484,Synapse54,1758492005484,Synapse54
9,53517 (Blue Mounds),Dane County,Wisconsin,86275844fffffff,23257,41.83,41.83,68823750.00390625,30901.13447290769,1758492005484,Synapse54,1758492005484,Synapse54
10,54950 (Marion),Waupaca County,Wisconsin,86275c9b7ffffff,5802,24.38,24.38,75093749.99609375,32269.674091067245,1758492005484,Synapse54,1758492005484,Synapse54
11,53507 (Barneveld),Iowa County,Wisconsin,862758457ffffff,6025,45.3,45.3,69080000.00390625,30957.35762548386,1758492005484,Synapse54,1758492005484,Synapse54
12,54901 (Oshkosh),Winnebago County,Wisconsin,86275ca07ffffff,0,0.0,0.0,73271250.00390625,31878.301322892134,1758492005484,Synapse54,1758492005484,Synapse54
13,53507 (Barneveld),Iowa County,Wisconsin,86275845fffffff,21945,39.05,39.05,69028750.0,30944.59561480128,1758492005484,Synapse54,1758492005484,Synapse54
14,53941 (La Valle),Sauk County,Wisconsin,86275e377ffffff,6446,26.97,26.97,71397499.99609375,31470.25432250685,1758492005484,Synapse54,1758492005484,Synapse54
15,53014 (Chilton),Calumet County,Wisconsin,86275ca0fffffff,0,0.0,0.0,73116249.99609375,31841.899062738645,1758492005484,Synapse54,1758492005484,Synapse54
16,54634 (Hillsboro),Vernon County,Wisconsin,86275e387ffffff,2394,22.8,22.8,70740000.0,31323.493949306983,1758492005484,Synapse54,1758492005484,Synapse54
17,53515 (Black Earth),Dane County,Wisconsin,862758467ffffff,6354,42.08,42.08,69228750.00390625,30991.455810618423,1758492005484,Synapse54,1758492005484,Synapse54
18,54901 (Oshkosh),Winnebago County,Wisconsin,86275ca17ffffff,32507,36.12,36.12,73505000.0,31926.53305896443,1758492005484,Synapse54,1758492005484,Synapse54
19,54634 (Hillsboro),Vernon County,Wisconsin,86275e38fffffff,3140,22.75,22.75,71102500.0,31406.984623429023,1758492005484,Synapse54,1758492005484,Synapse54
20,53572 (Mount Horeb),Dane County,Wisconsin,86275846fffffff,7360,41.82,41.82,69227499.99609375,30991.487786795857,1758492005484,Synapse54,1758492005484,Synapse54
21,54634 (Hillsboro),Vernon County,Wisconsin,86275e397ffffff,2621,22.21,22.21,71102500.00390625,31406.984623429023,1758492005484,Synapse54,1758492005484,Synapse54
22,54901 (Oshkosh),Winnebago County,Wisconsin,86275ca1fffffff,11400,33.93,33.93,73116249.99609375,31841.89906273865,1758492005484,Synapse54,1758492005484,Synapse54
23,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,78515,36.08,36.08,74100000.0,32057.410923822383,1758492005484,Synapse54,1758492005484,Synapse54
24,54981 (Waupaca),Waushara County,Wisconsin,86275c18fffffff,6857,21.23,21.23,73523750.0,31930.933759861044,1758492005484,Synapse54,1758492005484,Synapse54
25,54634 (Hillsboro),Vernon County,Wisconsin,86275e39fffffff,2102,22.85,22.85,70740000.0,31323.493949306983,1758492005484,Synapse54,1758492005484,Synapse54
26,54634 (Hillsboro),Vernon County,Wisconsin,86275e3a7ffffff,3484,20.99,20.99,71479999.99609375,31488.319538612835,1758492005484,Synapse54,1758492005484,Synapse54
27,54634 (Hillsboro),Vernon County,Wisconsin,86275e3afffffff,14481,20.14,20.14,71122500.0,31410.83080665942,1758492005484,Synapse54,1758492005484,Synapse54
28,54634 (Hillsboro),Vernon County,Wisconsin,86275e3b7ffffff,2066,22.22,22.22,71565000.0,31506.813731834096,1758492005484,Synapse54,1758492005484,Synapse54
29,54669 (West Salem),La Crosse County,Wisconsin,86275e407ffffff,32046,31.08,31.08,71612500.0,31514.382372444827,1758492005484,Synapse54,1758492005484,Synapse54
30,54669 (West Salem),La Crosse County,Wisconsin,86275e40fffffff,52203,36.61,36.61,71980000.00390625,31598.152370624084,1758492005484,Synapse54,1758492005484,Synapse54
31,54636 (Holmen),La Crosse County,Wisconsin,86275e417ffffff,30895,53.54,53.54,72087500.0,31621.05531154598,1758492005484,Synapse54,1758492005484,Synapse54
32,54650 (Onalaska),La Crosse County,Wisconsin,86275e41fffffff,52382,45.0,45.0,71381250.0,31465.92387842132,1758492005484,Synapse54,1758492005484,Synapse54
33,54644 (Mindoro),La Crosse County,Wisconsin,86275e427ffffff,3048,28.49,28.49,72105000.00390625,31624.40041617088,1758492005484,Synapse54,1758492005484,Synapse54
