OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22087A_B,MP22087A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47918 (Attica),Fountain County,Indiana,862661d9fffffff,8,3.27,3.27,60676250.0,29020.18160270625,1758492026918,Synapse54,1758492026918,Synapse54
2,62821 (Carmi),White County,Illinois,86264524fffffff,3,2.46,2.46,56532500.0,28015.598433874227,1758492026918,Synapse54,1758492026918,Synapse54
3,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56135000.0,27915.620822769335,1758492026918,Synapse54,1758492026918,Synapse54
4,62827 (Crossville),White County,Illinois,86264534fffffff,2,2.25,2.25,56454999.99609375,27997.829653857236,1758492026918,Synapse54,1758492026918,Synapse54
5,47992 (Westpoint),Tippecanoe County,Indiana,862661da7ffffff,11,2.55,2.55,60992500.00390625,29097.84404649705,1758492026918,Synapse54,1758492026918,Synapse54
6,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,1,3.23,3.23,55800000.0,27833.232309338826,1758492026918,Synapse54,1758492026918,Synapse54
7,47023 (Holton),Ripley County,Indiana,86266caafffffff,0,0.0,0.0,57316250.0,28213.51252584683,1758492026918,Synapse54,1758492026918,Synapse54
8,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,0,0.0,0.0,56346250.00390625,27973.61481279471,1758492026918,Synapse54,1758492026918,Synapse54
9,47992 (Westpoint),Tippecanoe County,Indiana,862661dafffffff,3,3.37,3.37,60992500.0,29097.84404649705,1758492026918,Synapse54,1758492026918,Synapse54
10,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,1,2.94,2.94,55967499.99609375,27877.211257272123,1758492026918,Synapse54,1758492026918,Synapse54
11,47223 (Butlerville),Jennings County,Indiana,86266cab7ffffff,8,2.31,2.31,57702500.00390625,28305.854083619324,1758492026918,Synapse54,1758492026918,Synapse54
12,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758492026918,Synapse54,1758492026918,Synapse54
13,47918 (Attica),Fountain County,Indiana,862661db7ffffff,12,3.05,3.05,61241250.0,29154.39080578883,1758492026918,Synapse54,1758492026918,Synapse54
14,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,1,2.7,2.7,56152499.99609375,27919.203273482235,1758492026918,Synapse54,1758492026918,Synapse54
15,47885 (West Terre Haute),Vigo County,Indiana,862663a47ffffff,17,0.5,0.5,58285000.0,28453.21791552546,1758492026918,Synapse54,1758492026918,Synapse54
16,62867 (New Haven),White County,Illinois,86266a58fffffff,1,4.35,4.35,55950000.00390625,27873.628806559227,1758492026918,Synapse54,1758492026918,Synapse54
17,47885 (West Terre Haute),Vigo County,Indiana,862663a67ffffff,660,4.24,4.24,58616249.99609375,28530.560439134013,1758492026918,Synapse54,1758492026918,Synapse54
18,62821 (Carmi),White County,Illinois,86266a5afffffff,1,4.76,4.76,56363750.00390625,27977.197263507613,1758492026918,Synapse54,1758492026918,Synapse54
19,47842 (Clinton),Vermillion County,Indiana,862663b2fffffff,16,3.0,3.0,59137499.99609375,28655.176586979916,1758492026918,Synapse54,1758492026918,Synapse54
20,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,25,2.08,2.08,56436250.0,27999.82498071102,1758492026918,Synapse54,1758492026918,Synapse54
21,47885 (West Terre Haute),Vigo County,Indiana,862663b47ffffff,22,2.47,2.47,59049999.99609375,28634.316482451464,1758492026918,Synapse54,1758492026918,Synapse54
22,47805 (Terre Haute),Vigo County,Indiana,862663b4fffffff,177,2.18,2.18,58458750.00390625,28489.18603678171,1758492026918,Synapse54,1758492026918,Synapse54
23,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,43,2.02,2.02,56455000.00390625,27997.829653857236,1758492026918,Synapse54,1758492026918,Synapse54
24,47250 (Madison),Jefferson County,Indiana,86266cac7ffffff,20,3.02,3.02,57372500.0,28225.555241653026,1758492026918,Synapse54,1758492026918,Synapse54
25,47885 (West Terre Haute),Vigo County,Indiana,862663b5fffffff,40,3.23,3.23,58707500.0078125,28547.115964875175,1758492026918,Synapse54,1758492026918,Synapse54
26,47631 (New Harmony),Posey County,Indiana,86266a537ffffff,1,2.08,2.08,56436250.0,27994.00210179751,1758492026918,Synapse54,1758492026918,Synapse54
27,47631 (New Harmony),Posey County,Indiana,86266ac87ffffff,11,2.46,2.46,56135000.0,27915.620822769335,1758492026918,Synapse54,1758492026918,Synapse54
28,62827 (Crossville),White County,Illinois,86266ac97ffffff,0,0.0,0.0,56436250.0,27994.00210179751,1758492026918,Synapse54,1758492026918,Synapse54
29,47874 (Rosedale),Parke County,Indiana,862663b67ffffff,13,2.35,2.35,59137500.0,28655.176586979916,1758492026918,Synapse54,1758492026918,Synapse54
30,47631 (New Harmony),Posey County,Indiana,86266ac9fffffff,16,2.54,2.54,56436250.0,27994.00210179751,1758492026918,Synapse54,1758492026918,Synapse54
31,47805 (Terre Haute),Vigo County,Indiana,862663b6fffffff,115,2.79,2.79,58485000.00390625,28494.875236043616,1758492026918,Synapse54,1758492026918,Synapse54
