OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22087A_B,MP22087A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62419 (Calhoun),Richland County,Illinois,862645bafffffff,5,2.12,2.12,57112500.00390625,28161.93679568199,1758492047363,Synapse54,1758492047363,Synapse54
2,62568 (Taylorville),Christian County,Illinois,8626448f7ffffff,42,3.9,3.9,58783750.00390625,28572.97411890835,1758492047363,Synapse54,1758492047363,Synapse54
3,62985 (Simpson),Pope County,Illinois,86264100fffffff,1,2.7,2.7,56392500.0,27981.15249229343,1758492047363,Synapse54,1758492047363,Synapse54
4,62450 (Olney),Richland County,Illinois,862645bb7ffffff,7,2.68,2.68,57093749.99609375,28158.278827547187,1758492047363,Synapse54,1758492047363,Synapse54
5,62551 (Niantic),Macon County,Illinois,862644907ffffff,3,2.78,2.78,59000000.0078125,28627.909151333177,1758492047363,Synapse54,1758492047363,Synapse54
6,62231 (Carlyle),Clinton County,Illinois,86264095fffffff,8,2.25,2.25,57844999.99609375,28336.50193732946,1758492047363,Synapse54,1758492047363,Synapse54
7,62972 (Ozark),Johnson County,Illinois,862641017ffffff,5,2.07,2.07,56392500.00390625,27981.152492293433,1758492047363,Synapse54,1758492047363,Synapse54
8,62231 (Carlyle),Clinton County,Illinois,862640967ffffff,10,1.94,1.94,57575000.0,28275.418383647342,1758492047363,Synapse54,1758492047363,Synapse54
9,62443 (Mason),Effingham County,Illinois,862645c07ffffff,3,2.4,2.4,57815000.00390625,28332.772008479926,1758492047363,Synapse54,1758492047363,Synapse54
10,62513 (Blue Mound),Macon County,Illinois,86264490fffffff,3,3.33,3.33,58679999.9921875,28545.018724374924,1758492047363,Synapse54,1758492047363,Synapse54
11,61531 (Farmington),Fulton County,Illinois,86267528fffffff,3,3.0,3.0,61342499.99609375,29180.624733079865,1758492047363,Synapse54,1758492047363,Synapse54
12,62985 (Simpson),Johnson County,Illinois,86264101fffffff,3,2.07,2.07,56593750.00390625,28026.50419775087,1758492047363,Synapse54,1758492047363,Synapse54
13,61544 (London Mills),Knox County,Illinois,862675297ffffff,2,2.25,2.25,61342500.0078125,29180.624733079865,1758492047363,Synapse54,1758492047363,Synapse54
14,62539 (Illiopolis),Sangamon County,Illinois,862644917ffffff,20,2.63,2.63,58880000.0,28597.026727605094,1758492047363,Synapse54,1758492047363,Synapse54
15,62899 (Xenia),Clay County,Illinois,86264519fffffff,14,3.07,3.07,57408750.0,28236.805397737397,1758492047363,Synapse54,1758492047363,Synapse54
16,62426 (Edgewood),Clay County,Illinois,862645c0fffffff,10,2.67,2.67,57408750.0,28236.805397737397,1758492047363,Synapse54,1758492047363,Synapse54
17,62987 (Stonefort),Pope County,Illinois,862641027ffffff,7,2.23,2.23,56496249.99609375,28004.54334642554,1758492047363,Synapse54,1758492047363,Synapse54
18,62443 (Mason),Effingham County,Illinois,862645c17ffffff,1,1.59,1.59,57610000.0,28287.316359797504,1758492047363,Synapse54,1758492047363,Synapse54
19,62987 (Stonefort),Pope County,Illinois,86264102fffffff,2,2.67,2.67,56311249.99609375,27962.551330215432,1758492047363,Synapse54,1758492047363,Synapse54
20,62513 (Blue Mound),Christian County,Illinois,86264491fffffff,2,2.33,2.33,59122500.00390625,28651.183257391876,1758492047363,Synapse54,1758492047363,Synapse54
21,62838 (Farina),Fayette County,Illinois,862645c1fffffff,1,2.08,2.08,57594999.99609375,28279.11757917258,1758492047363,Synapse54,1758492047363,Synapse54
22,61432 (Fairview),Fulton County,Illinois,86267529fffffff,2,3.39,3.39,61531250.00390625,29231.439050338835,1758492047363,Synapse54,1758492047363,Synapse54
23,62526 (Decatur),Macon County,Illinois,862644927ffffff,6,2.39,2.39,59328750.0078125,28701.37639495758,1758492047363,Synapse54,1758492047363,Synapse54
24,62668 (Murrayville),Morgan County,Illinois,8626445b7ffffff,3,2.68,2.68,59415000.0,28720.500455952937,1758492047363,Synapse54,1758492047363,Synapse54
25,62922 (Creal Springs),Williamson County,Illinois,862641037ffffff,10,1.89,1.89,56377500.00390625,27972.93307327958,1758492047363,Synapse54,1758492047363,Synapse54
26,62858 (Louisville),Clay County,Illinois,8626451a7ffffff,2,2.33,2.33,57426250.00390625,28240.352942762212,1758492047363,Synapse54,1758492047363,Synapse54
27,62443 (Mason),Effingham County,Illinois,862645c27ffffff,5,2.67,2.67,57610000.0,28287.316359797504,1758492047363,Synapse54,1758492047363,Synapse54
28,62522 (Decatur),Macon County,Illinois,86264492fffffff,16,2.74,2.74,59144999.9921875,28655.868631008118,1758492047363,Synapse54,1758492047363,Synapse54
29,62928 (Eddyville),Pope County,Illinois,862641047ffffff,1,3.13,3.13,55938749.99609375,27862.47750898574,1758492047363,Synapse54,1758492047363,Synapse54
30,62443 (Mason),Effingham County,Illinois,862645c2fffffff,13,3.12,3.12,57815000.0,28332.77200847993,1758492047363,Synapse54,1758492047363,Synapse54
31,62539 (Illiopolis),Macon County,Illinois,862644937ffffff,11,2.48,2.48,59306249.9921875,28696.691021341343,1758492047363,Synapse54,1758492047363,Synapse54
32,62938 (Golconda),Pope County,Illinois,86264104fffffff,3,2.17,2.17,56142500.00390625,27918.795143747702,1758492047363,Synapse54,1758492047363,Synapse54
33,62411 (Altamont),Effingham County,Illinois,862645c37ffffff,7,2.36,2.36,57984999.99609375,28376.64892843383,1758492047363,Synapse54,1758492047363,Synapse54
34,62544 (Macon),Macon County,Illinois,862644947ffffff,29,3.02,3.02,58863750.0,28590.52648832439,1758492047363,Synapse54,1758492047363,Synapse54
35,62938 (Golconda),Pope County,Illinois,862641057ffffff,3,1.78,1.78,56327500.00390625,27960.787159957814,1758492047363,Synapse54,1758492047363,Synapse54
36,62858 (Louisville),Clay County,Illinois,862645c47ffffff,3,2.33,2.33,57408750.0,28236.805397737397,1758492047363,Synapse54,1758492047363,Synapse54
37,62544 (Macon),Macon County,Illinois,86264494fffffff,4,2.86,2.86,58839999.9921875,28587.04241846843,1758492047363,Synapse54,1758492047363,Synapse54
38,62858 (Louisville),Clay County,Illinois,862645c4fffffff,20,2.24,2.24,57256249.99609375,28196.476022808307,1758492047363,Synapse54,1758492047363,Synapse54
39,62426 (Edgewood),Clay County,Illinois,862645c57ffffff,4,2.11,2.11,57426250.0,28240.352942762212,1758492047363,Synapse54,1758492047363,Synapse54
