OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22119A_B,MP22119A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62265 (New Baden),Clinton County,Illinois,862640127ffffff,3,0.8,0.8,57945000.0,28358.942990582444,1758492062025,Synapse54,1758492062025,Synapse54
2,62271 (Okawville),Clinton County,Illinois,86264012fffffff,1,0.49,0.49,57742500.0,28309.303506499375,1758492062025,Synapse54,1758492062025,Synapse54
3,61773 (Sibley),Ford County,Illinois,8626604afffffff,1,0.45,0.45,61796250.0,29289.552552878675,1758492062025,Synapse54,1758492062025,Synapse54
4,62258 (Mascoutah),St. Clair County,Illinois,862640137ffffff,3,1.95,1.95,58116249.99609375,28403.34886529782,1758492062025,Synapse54,1758492062025,Synapse54
5,62546 (Morrisonville),Christian County,Illinois,862644027ffffff,6,0.92,0.92,58525000.00390625,28503.3879707075,1758492062025,Synapse54,1758492062025,Synapse54
6,61731 (Cropsey),Livingston County,Illinois,8626604b7ffffff,1,1.59,1.59,61765000.0,29280.23380494445,1758492062025,Synapse54,1758492062025,Synapse54
7,62075 (Nokomis),Montgomery County,Illinois,86264402fffffff,0,0.0,0.0,58492500.0,28502.86715150191,1758492062025,Synapse54,1758492062025,Synapse54
8,60936 (Gibson City),Ford County,Illinois,8626604c7ffffff,32,1.12,1.12,61228749.99609375,29154.97504886842,1758492062025,Synapse54,1758492062025,Synapse54
9,62546 (Morrisonville),Christian County,Illinois,862644037ffffff,0,0.0,0.0,58680000.0,28544.80842268175,1758492062025,Synapse54,1758492062025,Synapse54
10,60936 (Gibson City),Ford County,Illinois,8626604cfffffff,0,0.0,0.0,61225000.0078125,29153.379128810033,1758492062025,Synapse54,1758492062025,Synapse54
11,62094 (Witt),Montgomery County,Illinois,862644047ffffff,8,1.06,1.06,58524999.99609375,28503.3879707075,1758492062025,Synapse54,1758492062025,Synapse54
12,62257 (Marissa),St. Clair County,Illinois,86264011fffffff,2,1.39,1.39,58013750.0,28376.15043446773,1758492062025,Synapse54,1758492062025,Synapse54
13,62094 (Witt),Montgomery County,Illinois,86264404fffffff,1,1.54,1.54,58337500.00390625,28461.604744033782,1758492062025,Synapse54,1758492062025,Synapse54
14,62243 (Freeburg),St. Clair County,Illinois,862640187ffffff,40,1.28,1.28,58013749.9921875,28376.150434467734,1758492062025,Synapse54,1758492062025,Synapse54
15,60936 (Gibson City),Ford County,Illinois,8626604d7ffffff,0,0.0,0.0,61292499.99609375,29169.86841379856,1758492062025,Synapse54,1758492062025,Synapse54
16,62243 (Freeburg),St. Clair County,Illinois,86264018fffffff,2,1.37,1.37,58030000.0,28384.259979165814,1758492062025,Synapse54,1758492062025,Synapse54
17,62243 (Freeburg),St. Clair County,Illinois,862640197ffffff,19,1.3,1.3,58117500.00390625,28404.01982771138,1758492062025,Synapse54,1758492062025,Synapse54
