OBJECTID,admin4_name,admin3_name,admin2_name,id,TPOPL1,TPOPL1_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62821 (Carmi),White County,Illinois,86264524fffffff,0,0.0,0.0,56333848.3203125,27967.958301562816,1758491782767,Synapse54,1758491782767,Synapse54
2,47631 (New Harmony),Posey County,Indiana,86264526fffffff,0,0.0,0.0,56347800.375,27971.694915674896,1758491782767,Synapse54,1758491782767,Synapse54
3,62827 (Crossville),White County,Illinois,86264534fffffff,0,0.0,0.0,56436408.62109375,27993.98726446011,1758491782767,Synapse54,1758491782767,Synapse54
4,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,0,0.0,0.0,56156835.61328125,27923.385703543747,1758491782767,Synapse54,1758491782767,Synapse54
5,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,0,0.0,0.0,56082472.97265625,27904.864266801167,1758491782767,Synapse54,1758491782767,Synapse54
6,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,0,0.0,0.0,56170832.19140625,27927.13339191908,1758491782767,Synapse54,1758491782767,Synapse54
7,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56142760.04296875,27919.619901090526,1758491782767,Synapse54,1758491782767,Synapse54
8,47620 (Mount Vernon),Posey County,Indiana,86266a517ffffff,0,0.0,0.0,56259273.796875,27949.410039717048,1758491782767,Synapse54,1758491782767,Synapse54
9,62867 (New Haven),White County,Illinois,86266a58fffffff,0,0.0,0.0,56231247.87890625,27941.908116588504,1758491782767,Synapse54,1758491782767,Synapse54
10,62821 (Carmi),White County,Illinois,86266a5afffffff,0,0.0,0.0,56245300.96484375,27945.668276176326,1758491782767,Synapse54,1758491782767,Synapse54
11,62863 (Mount Carmel),Wabash County,Illinois,86264536fffffff,0,0.0,0.0,56450256.71875,27997.69973811395,1758491782767,Synapse54,1758491782767,Synapse54
12,62863 (Mount Carmel),Wabash County,Illinois,862645a4fffffff,0,0.0,0.0,56429832.03125,27993.731183611293,1758491782767,Synapse54,1758491782767,Synapse54
13,47631 (New Harmony),Posey County,Indiana,86266a537ffffff,0,0.0,0.0,56273166.84765625,27953.13354434409,1758491782767,Synapse54,1758491782767,Synapse54
14,47631 (New Harmony),Posey County,Indiana,86266ac87ffffff,0,0.0,0.0,56300717.953125,27960.526951650758,1758491782767,Synapse54,1758491782767,Synapse54
15,62827 (Crossville),White County,Illinois,86266ac97ffffff,0,0.0,0.0,56361669.5390625,27975.41254183121,1758491782767,Synapse54,1758491782767,Synapse54
16,47631 (New Harmony),Posey County,Indiana,86266ac9fffffff,0,0.0,0.0,56286982.421875,27956.839402691083,1758491782767,Synapse54,1758491782767,Synapse54
17,47616 (Griffin),Posey County,Indiana,86266acb7ffffff,0,0.0,0.0,56375461.1953125,27979.112531097882,1758491782767,Synapse54,1758491782767,Synapse54
18,62863 (Mount Carmel),Wabash County,Illinois,86266ad87ffffff,0,0.0,0.0,56402806.4921875,27986.458274691406,1758491782767,Synapse54,1758491782767,Synapse54
19,62863 (Mount Carmel),Wabash County,Illinois,86266ad97ffffff,0,0.0,0.0,56464024.6875,28001.393955996544,1758491782767,Synapse54,1758491782767,Synapse54
20,47616 (Griffin),Gibson County,Indiana,86266ad9fffffff,0,0.0,0.0,56389173.37890625,27982.79440224612,1758491782767,Synapse54,1758491782767,Synapse54
21,47665 (Owensville),Gibson County,Indiana,86266ada7ffffff,0,0.0,0.0,56416358.62109375,27990.103676274157,1758491782767,Synapse54,1758491782767,Synapse54
22,62863 (Mount Carmel),Wabash County,Illinois,862645a67ffffff,0,0.0,0.0,56518302.828125,28015.9903343618,1758491782767,Synapse54,1758491782767,Synapse54
23,62863 (Mount Carmel),Wabash County,Illinois,862645a6fffffff,0,0.0,0.0,56443225.15234375,27997.340419041677,1758491782767,Synapse54,1758491782767,Synapse54
24,47885 (West Terre Haute),Vigo County,Indiana,862663a5fffffff,0,0.0,0.0,58289743.89453125,28450.18224171205,1758491782767,Synapse54,1758491782767,Synapse54
25,62439 (Lawrenceville),Lawrence County,Illinois,86266e44fffffff,0,0.0,0.0,56521912.734375,28018.617040896308,1758491782767,Synapse54,1758491782767,Synapse54
26,47561 (Oaktown),Knox County,Indiana,86266e467ffffff,0,0.0,0.0,56668930.375,28055.072675768082,1758491782767,Synapse54,1758491782767,Synapse54
27,47591 (Vincennes),Knox County,Indiana,86266e46fffffff,0,0.0,0.0,56547682.61328125,28025.237362522366,1758491782767,Synapse54,1758491782767,Synapse54
28,62451 (Palestine),Crawford County,Illinois,86266e527ffffff,0,0.0,0.0,57341501.671875,28219.73059083288,1758491782767,Synapse54,1758491782767,Synapse54
29,47861 (Merom),Sullivan County,Indiana,86266e52fffffff,0,0.0,0.0,57205443.08203125,28186.486572857655,1758491782767,Synapse54,1758491782767,Synapse54
30,47838 (Carlisle),Sullivan County,Indiana,86266e547ffffff,0,0.0,0.0,56934403.10546875,28120.1482359549,1758491782767,Synapse54,1758491782767,Synapse54
31,62427 (Flat Rock),Crawford County,Illinois,86266e55fffffff,0,0.0,0.0,56803456.40625,28088.091694040326,1758491782767,Synapse54,1758491782767,Synapse54
32,62451 (Palestine),Crawford County,Illinois,86266e577ffffff,0,0.0,0.0,57069741.59765625,28153.29193776579,1758491782767,Synapse54,1758491782767,Synapse54
33,47524 (Decker),Knox County,Indiana,86266e687ffffff,0,0.0,0.0,56394637.18359375,27985.831874025647,1758491782767,Synapse54,1758491782767,Synapse54
34,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,0,0.0,0.0,56456538.7421875,28000.93163757565,1758491782767,Synapse54,1758491782767,Synapse54
35,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,0,0.0,0.0,56469773.31640625,28004.50491342336,1758491782767,Synapse54,1758491782767,Synapse54
36,47591 (Vincennes),Knox County,Indiana,86266e787ffffff,0,0.0,0.0,56496003.49609375,28011.59732880184,1758491782767,Synapse54,1758491782767,Synapse54
37,62460 (Saint Francisville),Lawrence County,Illinois,86266e79fffffff,0,0.0,0.0,56482928.4140625,28008.0601724883,1758491782767,Synapse54,1758491782767,Synapse54
38,47591 (Vincennes),Knox County,Indiana,86266e7a7ffffff,0,0.0,0.0,56508997.8984375,28015.11616772948,1758491782767,Synapse54,1758491782767,Synapse54
39,62460 (Saint Francisville),Lawrence County,Illinois,86266e7b7ffffff,0,0.0,0.0,56571305.2109375,28030.297268620532,1758491782767,Synapse54,1758491782767,Synapse54
40,47849 (Fairbanks),Sullivan County,Indiana,86266ec87ffffff,0,0.0,0.0,57611006.26953125,28285.42041497044,1758491782767,Synapse54,1758491782767,Synapse54
41,62478 (West York),Crawford County,Illinois,86266ec97ffffff,0,0.0,0.0,57614711.984375,28286.371214264618,1758491782767,Synapse54,1758491782767,Synapse54
42,47849 (Fairbanks),Sullivan County,Indiana,86266ec9fffffff,0,0.0,0.0,57477925.9296875,28253.02582675893,1758491782767,Synapse54,1758491782767,Synapse54
43,47849 (Fairbanks),Sullivan County,Indiana,86266eca7ffffff,0,0.0,0.0,57744389.3359375,28317.85281118079,1758491782767,Synapse54,1758491782767,Synapse54
44,62477 (West Union),Clark County,Illinois,86266ecb7ffffff,0,0.0,0.0,57748256.578125,28318.841620957144,1758491782767,Synapse54,1758491782767,Synapse54
45,62477 (West Union),Clark County,Illinois,86266ed97ffffff,0,0.0,0.0,58020190.14453125,28384.898315721333,1758491782767,Synapse54,1758491782767,Synapse54
46,62477 (West Union),Clark County,Illinois,86266ed9fffffff,0,0.0,0.0,57882105.1484375,28351.349908749205,1758491782767,Synapse54,1758491782767,Synapse54
47,62441 (Marshall),Clark County,Illinois,86266edb7ffffff,0,0.0,0.0,58154813.3984375,28417.521153190923,1758491782767,Synapse54,1758491782767,Synapse54
48,60942 (Hoopeston),Iroquois County,Illinois,862660067ffffff,0,0.0,0.0,61566196.52734375,29233.076791832842,1758491782767,Synapse54,1758491782767,Synapse54
