OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22119A_B,MP22119A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47960 (Monticello),White County,Indiana,862665477ffffff,52,1.04,1.04,62530000.00390625,29457.582935405277,1758492073624,Synapse54,1758492073624,Synapse54
2,47135 (Laconia),Harrison County,Indiana,862668067ffffff,1,0.99,0.99,54540000.0,27527.49313585488,1758492073624,Synapse54,1758492073624,Synapse54
3,47987 (Veedersburg),Fountain County,Indiana,86266026fffffff,3,1.02,1.02,60148749.99609375,28894.87423166152,1758492073624,Synapse54,1758492073624,Synapse54
4,47995 (Wolcott),White County,Indiana,862665487ffffff,1,1.01,1.01,62561249.99609375,29466.020556383002,1758492073624,Synapse54,1758492073624,Synapse54
5,47356 (Middletown),Henry County,Indiana,862a9219fffffff,37,1.3,1.3,60906250.0,29079.2235594309,1758492073624,Synapse54,1758492073624,Synapse54
6,40108 (Brandenburg),Meade County,Kentucky,86266806fffffff,4,1.48,1.48,54868750.0,27608.074932514737,1758492073624,Synapse54,1758492073624,Synapse54
7,47995 (Wolcott),White County,Indiana,86266548fffffff,8,0.97,0.97,62561250.0,29466.020556383002,1758492073624,Synapse54,1758492073624,Synapse54
8,47932 (Covington),Fountain County,Indiana,862660277ffffff,24,0.96,0.96,60275000.0,28926.413075615794,1758492073624,Synapse54,1758492073624,Synapse54
9,40108 (Brandenburg),Meade County,Kentucky,862668077ffffff,18,1.16,1.16,54868750.0,27605.35969880935,1758492073624,Synapse54,1758492073624,Synapse54
10,47977 (Remington),Jasper County,Indiana,862665497ffffff,3,1.26,1.26,62561250.0,29466.020556383006,1758492073624,Synapse54,1758492073624,Synapse54
11,47302 (Muncie),Delaware County,Indiana,862a921a7ffffff,18,1.17,1.17,60689999.99609375,29024.385890660313,1758492073624,Synapse54,1758492073624,Synapse54
12,46563 (Plymouth),Marshall County,Indiana,86274b6dfffffff,2,0.77,0.77,64132499.99609375,29833.926684771122,1758492073624,Synapse54,1758492073624,Synapse54
13,61834 (Danville),Vermilion County,Illinois,8626602cfffffff,2,1.0,1.0,60095000.0,28883.393302002303,1758492073624,Synapse54,1758492073624,Synapse54
14,47977 (Remington),Jasper County,Indiana,86266549fffffff,14,1.22,1.22,62561250.00390625,29466.020556383006,1758492073624,Synapse54,1758492073624,Synapse54
15,47112 (Corydon),Harrison County,Indiana,862668107ffffff,10,1.12,1.12,55375000.0078125,27734.01639305354,1758492073624,Synapse54,1758492073624,Synapse54
16,47302 (Muncie),Delaware County,Indiana,862a921afffffff,3,0.65,0.65,60558750.0,28991.97995512589,1758492073624,Synapse54,1758492073624,Synapse54
17,47959 (Monon),Jasper County,Indiana,8626654a7ffffff,1,1.08,1.08,62501250.01171875,29451.488511796273,1758492073624,Synapse54,1758492073624,Synapse54
18,47847 (Dana),Vermillion County,Indiana,862661487ffffff,5,1.13,1.13,59596250.0,28764.72522579175,1758492073624,Synapse54,1758492073624,Synapse54
19,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,0,0.0,0.0,56726250.0,28069.64525783052,1758492073624,Synapse54,1758492073624,Synapse54
20,47112 (Corydon),Harrison County,Indiana,86266810fffffff,11,0.98,0.98,55250000.0078125,27707.7590467924,1758492073624,Synapse54,1758492073624,Synapse54
21,40006 (Bedford),Trimble County,Kentucky,86266c26fffffff,2,1.01,1.01,56382500.0,27986.17001935756,1758492073624,Synapse54,1758492073624,Synapse54
22,47666 (Patoka),Gibson County,Indiana,86266e69fffffff,0,0.0,0.0,56462500.0,28004.306684036736,1758492073624,Synapse54,1758492073624,Synapse54
23,61834 (Danville),Vermilion County,Illinois,8626602e7ffffff,24,1.2,1.2,60683750.0,29023.600296442317,1758492073624,Synapse54,1758492073624,Synapse54
24,62821 (Carmi),White County,Illinois,86264524fffffff,1,0.82,0.82,56532500.0,28015.598433874227,1758492073624,Synapse54,1758492073624,Synapse54
25,47371 (Portland),Jay County,Indiana,862a9292fffffff,1,0.43,0.43,61617500.00390625,29240.442957419233,1758492073624,Synapse54,1758492073624,Synapse54
26,46161 (Morristown),Shelby County,Indiana,862a92617ffffff,12,1.14,1.14,59381250.00390625,28713.014781308717,1758492073624,Synapse54,1758492073624,Synapse54
27,47847 (Dana),Vermillion County,Indiana,86266148fffffff,1,0.95,0.95,59296250.00390625,28696.674843888308,1758492073624,Synapse54,1758492073624,Synapse54
28,47371 (Portland),Jay County,Indiana,862a92937ffffff,5,0.9,0.9,62183750.0,29379.054193702465,1758492073624,Synapse54,1758492073624,Synapse54
29,61924 (Chrisman),Edgar County,Illinois,86266149fffffff,0,0.0,0.0,59357500.0,28711.94611645131,1758492073624,Synapse54,1758492073624,Synapse54
30,47390 (Union City),Randolph County,Indiana,862a92947ffffff,1,0.61,0.61,61402499.9921875,29193.097987633722,1758492073624,Synapse54,1758492073624,Synapse54
31,47854 (Hillsdale),Vermillion County,Indiana,8626614a7ffffff,1,1.85,1.85,59820000.0,28821.16449894902,1758492073624,Synapse54,1758492073624,Synapse54
32,45390 (Union City),Darke County,Ohio,862a9294fffffff,2,0.77,0.77,61402500.00390625,29193.097987633722,1758492073624,Synapse54,1758492073624,Synapse54
33,47847 (Dana),Vermillion County,Indiana,8626614afffffff,2,1.01,1.01,59508750.0,28743.8651212633,1758492073624,Synapse54,1758492073624,Synapse54
34,47380 (Ridgeville),Jay County,Indiana,862a92957ffffff,1,0.61,0.61,61564999.99609375,29226.98746153483,1758492073624,Synapse54,1758492073624,Synapse54
35,47847 (Dana),Vermillion County,Indiana,8626614b7ffffff,2,1.75,1.75,59810000.0,28811.74065583374,1758492073624,Synapse54,1758492073624,Synapse54
36,47250 (Madison),Switzerland County,Indiana,86266ca5fffffff,2,0.6,0.6,56834999.99609375,28093.9982052701,1758492073624,Synapse54,1758492073624,Synapse54
37,47390 (Union City),Randolph County,Indiana,862a9295fffffff,1,0.49,0.49,61350000.00390625,29179.96214158496,1758492073624,Synapse54,1758492073624,Synapse54
38,47043 (Vevay),Switzerland County,Indiana,86266ca67ffffff,2,0.67,0.67,57292500.0,28205.99093311693,1758492073624,Synapse54,1758492073624,Synapse54
39,47011 (Bennington),Switzerland County,Indiana,86266ca6fffffff,3,1.23,1.23,57172500.0,28173.56483394154,1758492073624,Synapse54,1758492073624,Synapse54
40,47224 (Canaan),Switzerland County,Indiana,86266ca77ffffff,2,0.56,0.56,57292499.99609375,28205.990933116926,1758492073624,Synapse54,1758492073624,Synapse54
41,47231 (Dupont),Jennings County,Indiana,86266ca87ffffff,2,1.37,1.37,57243750.0,28193.056522580417,1758492073624,Synapse54,1758492073624,Synapse54
42,47250 (Madison),Jefferson County,Indiana,86266ca8fffffff,2,1.48,1.48,57101249.99609375,28159.58399058756,1758492073624,Synapse54,1758492073624,Synapse54
43,47265 (North Vernon),Jennings County,Indiana,86266ca97ffffff,8,1.37,1.37,57493750.0,28258.955636888186,1758492073624,Synapse54,1758492073624,Synapse54
