OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22086A_B,MP22086A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,10,5.13,5.13,71274999.9921875,31443.232471987707,1758492102413,Synapse54,1758492102413,Synapse54
2,53020 (Elkhart Lake),Sheboygan County,Wisconsin,86275dd2fffffff,26,5.25,5.25,72532499.99609375,31715.463531115172,1758492102413,Synapse54,1758492102413,Synapse54
3,53061 (New Holstein),Calumet County,Wisconsin,86275dd37ffffff,15,3.7,3.7,72603749.99609375,31731.135203113627,1758492102413,Synapse54,1758492102413,Synapse54
4,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,192,4.71,4.71,74100000.0,32057.410923822383,1758492102413,Synapse54,1758492102413,Synapse54
5,53073 (Plymouth),Sheboygan County,Wisconsin,86275dd57ffffff,55,5.09,5.09,72435000.0,31698.082043145838,1758492102413,Synapse54,1758492102413,Synapse54
6,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,53,4.38,4.38,71737500.0,31543.113704285806,1758492102413,Synapse54,1758492102413,Synapse54
7,53073 (Plymouth),Sheboygan County,Wisconsin,86275dd5fffffff,54,4.95,4.95,71765000.0078125,31553.121356747048,1758492102413,Synapse54,1758492102413,Synapse54
8,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,43,5.44,5.44,74100000.0,32057.410923822383,1758492102413,Synapse54,1758492102413,Synapse54
9,53073 (Plymouth),Sheboygan County,Wisconsin,86275dd77ffffff,106,5.13,5.13,72532500.0,31715.463531115172,1758492102413,Synapse54,1758492102413,Synapse54
10,54603 (La Crosse),La Crosse County,Wisconsin,86275e487ffffff,37,4.81,4.81,71683749.99609375,31532.709061725178,1758492102413,Synapse54,1758492102413,Synapse54
11,53049 (Malone),Fond du Lac County,Wisconsin,86275dd87ffffff,105,5.4,5.4,72211250.0,31648.640992169818,1758492102413,Synapse54,1758492102413,Synapse54
12,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,19,5.43,5.43,74107500.0,32061.344355937115,1758492102413,Synapse54,1758492102413,Synapse54
13,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275dd8fffffff,27,5.09,5.09,72397500.00390625,31685.592517553065,1758492102413,Synapse54,1758492102413,Synapse54
14,54937 (Fond du Lac),Fond du Lac County,Wisconsin,86275dd97ffffff,10,4.95,4.95,72577500.0,31727.09099635907,1758492102413,Synapse54,1758492102413,Synapse54
15,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,716,5.18,5.18,71452499.99609375,31484.250567701674,1758492102413,Synapse54,1758492102413,Synapse54
16,54935 (Fond du Lac),Fond du Lac County,Wisconsin,86275dd9fffffff,287,5.07,5.07,72211250.00390625,31648.64099216982,1758492102413,Synapse54,1758492102413,Synapse54
17,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,18,4.97,4.97,73583750.0,31948.21241793928,1758492102413,Synapse54,1758492102413,Synapse54
18,53049 (Malone),Fond du Lac County,Wisconsin,86275dda7ffffff,19,4.02,4.02,72577500.00390625,31727.09099635907,1758492102413,Synapse54,1758492102413,Synapse54
19,54650 (Onalaska),La Crosse County,Wisconsin,86275e4a7ffffff,519,5.23,5.23,71902500.0,31582.816344798804,1758492102413,Synapse54,1758492102413,Synapse54
20,53057 (Mount Calvary),Fond du Lac County,Wisconsin,86275ddafffffff,34,3.81,3.81,71933749.99609375,31586.020430924254,1758492102413,Synapse54,1758492102413,Synapse54
21,55089 (Welch),Goodhue County,Minnesota,86262c877ffffff,18,5.11,5.11,74107500.0,32061.344355937115,1758492102413,Synapse54,1758492102413,Synapse54
22,53049 (Malone),Fond du Lac County,Wisconsin,86275ddb7ffffff,12,4.44,4.44,72577500.00390625,31727.09099635907,1758492102413,Synapse54,1758492102413,Synapse54
23,54650 (Onalaska),La Crosse County,Wisconsin,86275e4afffffff,652,4.44,4.44,71653750.0,31528.529459856218,1758492102413,Synapse54,1758492102413,Synapse54
24,55001 (Afton),Washington County,Minnesota,86262c907ffffff,48,5.64,5.64,74501249.99609375,32148.694562754463,1758492102413,Synapse54,1758492102413,Synapse54
25,54650 (Onalaska),La Crosse County,Wisconsin,86275e4b7ffffff,40,5.06,5.06,71761250.0,31548.045087550454,1758492102413,Synapse54,1758492102413,Synapse54
26,54022 (River Falls),Pierce County,Wisconsin,86262c90fffffff,35,5.56,5.56,74628749.9921875,32174.764061378875,1758492102413,Synapse54,1758492102413,Synapse54
27,54601 (La Crosse),La Crosse County,Wisconsin,86275e4c7ffffff,86,5.01,5.01,71381249.99609375,31465.92387842132,1758492102413,Synapse54,1758492102413,Synapse54
28,54016 (Hudson),St. Croix County,Wisconsin,86262c927ffffff,192,6.1,6.1,74852500.0,32221.046062015346,1758492102413,Synapse54,1758492102413,Synapse54
29,54623 (Coon Valley),La Crosse County,Wisconsin,86275e4cfffffff,32,4.99,4.99,71161250.0,31418.39273807416,1758492102413,Synapse54,1758492102413,Synapse54
30,54022 (River Falls),Pierce County,Wisconsin,86262c92fffffff,51,5.66,5.66,74661250.0,32177.363665644694,1758492102413,Synapse54,1758492102413,Synapse54
31,54601 (La Crosse),La Crosse County,Wisconsin,86275e4d7ffffff,1564,4.76,4.76,71362500.0,31462.481449543506,1758492102413,Synapse54,1758492102413,Synapse54
32,54011 (Ellsworth),Pierce County,Wisconsin,86262c947ffffff,26,6.12,6.12,74107500.0,32061.344355937115,1758492102413,Synapse54,1758492102413,Synapse54
33,54011 (Ellsworth),Pierce County,Wisconsin,86262c94fffffff,22,5.47,5.47,74135000.0,32063.724606775497,1758492102413,Synapse54,1758492102413,Synapse54
34,54021 (Prescott),Pierce County,Wisconsin,86262c957ffffff,26,5.46,5.46,74515000.0078125,32151.0669573642,1758492102413,Synapse54,1758492102413,Synapse54
35,54021 (Prescott),Pierce County,Wisconsin,86262c95fffffff,22,5.39,5.39,74325000.0,32107.39578206985,1758492102413,Synapse54,1758492102413,Synapse54
36,54022 (River Falls),Pierce County,Wisconsin,86262c967ffffff,26,6.15,6.15,74325000.00390625,32107.39578206985,1758492102413,Synapse54,1758492102413,Synapse54
37,54011 (Ellsworth),Pierce County,Wisconsin,86262c96fffffff,57,5.38,5.38,74325000.0,32107.39578206985,1758492102413,Synapse54,1758492102413,Synapse54
38,54022 (River Falls),Pierce County,Wisconsin,86262c977ffffff,38,5.83,5.83,74311250.0,32105.02338746011,1758492102413,Synapse54,1758492102413,Synapse54
39,55066 (Red Wing),Goodhue County,Minnesota,86262cb27ffffff,20,4.88,4.88,73584999.99609375,31948.20098126561,1758492102413,Synapse54,1758492102413,Synapse54
40,55066 (Red Wing),Goodhue County,Minnesota,86262cb37ffffff,513,4.63,4.63,73696250.00390625,31971.897912591085,1758492102413,Synapse54,1758492102413,Synapse54
41,54629 (Fountain City),Buffalo County,Wisconsin,86262d907ffffff,7,3.89,3.89,72037500.00390625,31610.862203473636,1758492102413,Synapse54,1758492102413,Synapse54
42,54629 (Fountain City),Buffalo County,Wisconsin,86262d90fffffff,309,5.11,5.11,72393749.9921875,31687.862579181787,1758492102413,Synapse54,1758492102413,Synapse54
43,55959 (Minnesota City),Winona County,Minnesota,86262d917ffffff,34,4.56,4.56,72440000.00390625,31699.82106748197,1758492102413,Synapse54,1758492102413,Synapse54
44,55987 (Winona),Winona County,Minnesota,86262d91fffffff,733,4.85,4.85,72393750.00390625,31687.862579181787,1758492102413,Synapse54,1758492102413,Synapse54
45,53818 (Platteville),Grant County,Wisconsin,86275aa9fffffff,12,4.11,4.11,67865000.0,30686.7154466614,1758492102413,Synapse54,1758492102413,Synapse54
46,54612 (Arcadia),Trempealeau County,Wisconsin,86262d927ffffff,6,4.35,4.35,72393750.00390625,31687.862579181787,1758492102413,Synapse54,1758492102413,Synapse54
47,54629 (Fountain City),Buffalo County,Wisconsin,86262d92fffffff,10,3.82,3.82,72284999.99609375,31664.93755392794,1758492102413,Synapse54,1758492102413,Synapse54
48,54629 (Fountain City),Buffalo County,Wisconsin,86262d937ffffff,5,4.07,4.07,72764999.99609375,31772.11441931776,1758492102413,Synapse54,1758492102413,Synapse54
