OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22086A_B,MP22086A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46165 (North Salem),Hendricks County,Indiana,86266102fffffff,13,4.91,4.91,59386250.00390625,28715.44175760241,1758492124092,Synapse54,1758492124092,Synapse54
2,47265 (North Vernon),Jennings County,Indiana,86266ca97ffffff,27,4.62,4.62,57493750.0,28258.955636888186,1758492124092,Synapse54,1758492124092,Synapse54
3,47340 (Farmland),Randolph County,Indiana,862a928c7ffffff,10,3.72,3.72,61045000.0078125,29106.25386739214,1758492124092,Synapse54,1758492124092,Synapse54
4,46172 (Roachdale),Putnam County,Indiana,862661037ffffff,37,4.25,4.25,59943750.0,28849.788445925802,1758492124092,Synapse54,1758492124092,Synapse54
5,47394 (Winchester),Randolph County,Indiana,862a928cfffffff,7,4.09,4.09,60673749.99609375,29019.39488027817,1758492124092,Synapse54,1758492124092,Synapse54
6,46121 (Coatesville),Hendricks County,Indiana,862661047ffffff,28,3.57,3.57,59299999.9921875,28694.980765465243,1758492124092,Synapse54,1758492124092,Synapse54
7,47340 (Farmland),Randolph County,Indiana,862a928d7ffffff,15,3.63,3.63,61202500.00390625,29146.163968093133,1758492124092,Synapse54,1758492124092,Synapse54
8,46180 (Stilesville),Hendricks County,Indiana,86266104fffffff,23,4.55,4.55,59414999.99609375,28721.61287823264,1758492124092,Synapse54,1758492124092,Synapse54
9,47340 (Farmland),Randolph County,Indiana,862a928dfffffff,7,3.43,3.43,60698749.99609375,29026.73632622497,1758492124092,Synapse54,1758492124092,Synapse54
10,46121 (Coatesville),Putnam County,Indiana,862661057ffffff,41,4.05,4.05,59260000.0,28683.69580149012,1758492124092,Synapse54,1758492124092,Synapse54
11,47394 (Winchester),Randolph County,Indiana,862a928e7ffffff,9,3.66,3.66,61335000.0,29178.732622847325,1758492124092,Synapse54,1758492124092,Synapse54
12,46121 (Coatesville),Hendricks County,Indiana,86266105fffffff,20,3.8,3.8,59415000.00390625,28721.61287823264,1758492124092,Synapse54,1758492124092,Synapse54
13,47394 (Winchester),Randolph County,Indiana,862a928efffffff,8,4.08,4.08,60945000.0078125,29085.784896888956,1758492124092,Synapse54,1758492124092,Synapse54
14,46122 (Danville),Hendricks County,Indiana,862661067ffffff,37,4.75,4.75,59542500.0,28748.3581684765,1758492124092,Synapse54,1758492124092,Synapse54
15,47340 (Farmland),Randolph County,Indiana,862a928f7ffffff,61,4.25,4.25,61127499.9921875,29125.68667609757,1758492124092,Synapse54,1758492124092,Synapse54
16,46118 (Clayton),Hendricks County,Indiana,86266106fffffff,47,4.25,4.25,59017500.00390625,28622.69779416039,1758492124092,Synapse54,1758492124092,Synapse54
17,47371 (Portland),Jay County,Indiana,862a92907ffffff,243,4.86,4.86,61751249.9921875,29280.15671293027,1758492124092,Synapse54,1758492124092,Synapse54
18,46122 (Danville),Hendricks County,Indiana,862661077ffffff,27,4.71,4.71,59572500.0,28762.278030561683,1758492124092,Synapse54,1758492124092,Synapse54
19,47371 (Portland),Jay County,Indiana,862a9290fffffff,8,3.56,3.56,62049999.99609375,29346.550190266924,1758492124092,Synapse54,1758492124092,Synapse54
20,47371 (Portland),Jay County,Indiana,862a92917ffffff,27,4.62,4.62,61882500.0,29306.806011581408,1758492124092,Synapse54,1758492124092,Synapse54
21,46135 (Greencastle),Putnam County,Indiana,862661087ffffff,7,4.43,4.43,59716250.00390625,28792.027395879428,1758492124092,Synapse54,1758492124092,Synapse54
22,46135 (Greencastle),Putnam County,Indiana,86266108fffffff,31,4.38,4.38,59231249.9921875,28678.29433992242,1758492124092,Synapse54,1758492124092,Synapse54
23,46131 (Franklin),Johnson County,Indiana,86266cdafffffff,793,5.42,5.42,58751250.00390625,28559.751031629243,1758492124092,Synapse54,1758492124092,Synapse54
24,47371 (Portland),Jay County,Indiana,862a9291fffffff,13,3.56,3.56,61698750.01171875,29259.491464970375,1758492124092,Synapse54,1758492124092,Synapse54
25,47872 (Rockville),Parke County,Indiana,862661097ffffff,27,4.64,4.64,59357500.0,28709.270636972182,1758492124092,Synapse54,1758492124092,Synapse54
26,47371 (Portland),Jay County,Indiana,862a92927ffffff,7,3.85,3.85,62050000.0,29346.550190266924,1758492124092,Synapse54,1758492124092,Synapse54
27,46135 (Greencastle),Putnam County,Indiana,86266109fffffff,11,4.85,4.85,59388750.0078125,28718.427477769274,1758492124092,Synapse54,1758492124092,Synapse54
