OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22082A_B,MP22082A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62821 (Carmi),White County,Illinois,86264524fffffff,1,0.82,0.82,56532500.0,28015.598433874227,1758492148836,Synapse54,1758492148836,Synapse54
2,47201 (Columbus),Bartholomew County,Indiana,86266cce7ffffff,1,0.7,0.7,58328750.0,28460.69500010014,1758492148836,Synapse54,1758492148836,Synapse54
3,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,1,1.33,1.33,56462500.0,28004.306684036736,1758492148836,Synapse54,1758492148836,Synapse54
4,47631 (New Harmony),Posey County,Indiana,86264526fffffff,0,0.0,0.0,56135000.0,27915.620822769335,1758492148836,Synapse54,1758492148836,Synapse54
5,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,2,0.85,0.85,56005000.00390625,27890.50745898393,1758492148836,Synapse54,1758492148836,Synapse54
6,47201 (Columbus),Bartholomew County,Indiana,86266ccefffffff,4,0.79,0.79,58200000.00390625,28425.452373407952,1758492148836,Synapse54,1758492148836,Synapse54
7,62827 (Crossville),White County,Illinois,86264534fffffff,1,1.12,1.12,56454999.99609375,27997.829653857236,1758492148836,Synapse54,1758492148836,Synapse54
8,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,3,0.93,0.93,56461250.0,28004.086172333384,1758492148836,Synapse54,1758492148836,Synapse54
9,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,2,0.89,0.89,56096250.00390625,27910.096352341992,1758492148836,Synapse54,1758492148836,Synapse54
10,46164 (Nineveh),Brown County,Indiana,86266ccf7ffffff,9,0.84,0.84,57990000.00390625,28373.430359696882,1758492148836,Synapse54,1758492148836,Synapse54
11,47666 (Patoka),Gibson County,Indiana,86266e6f7ffffff,2,1.06,1.06,56295000.00390625,27960.624780817296,1758492148836,Synapse54,1758492148836,Synapse54
12,47620 (Mount Vernon),Posey County,Indiana,86266a417ffffff,0,0.0,0.0,55800000.0,27833.232309338826,1758492148836,Synapse54,1758492148836,Synapse54
13,47234 (Flat Rock),Shelby County,Indiana,86266cd47ffffff,2,0.85,0.85,58569999.99609375,28519.401220469732,1758492148836,Synapse54,1758492148836,Synapse54
14,47591 (Vincennes),Knox County,Indiana,86266e707ffffff,3,0.9,0.9,56481250.0,28008.134236096463,1758492148836,Synapse54,1758492148836,Synapse54
15,47620 (Mount Vernon),Posey County,Indiana,86266a41fffffff,0,0.0,0.0,56346250.00390625,27973.61481279471,1758492148836,Synapse54,1758492148836,Synapse54
16,47557 (Monroe City),Knox County,Indiana,86266e70fffffff,5,0.92,0.92,56386250.0,27987.132919132015,1758492148836,Synapse54,1758492148836,Synapse54
17,47234 (Flat Rock),Shelby County,Indiana,86266cd4fffffff,4,1.07,1.07,58543750.0,28506.517747827747,1758492148836,Synapse54,1758492148836,Synapse54
18,47591 (Vincennes),Knox County,Indiana,86266e717ffffff,92,0.88,0.88,56481250.00390625,28008.134236096463,1758492148836,Synapse54,1758492148836,Synapse54
19,47620 (Mount Vernon),Posey County,Indiana,86266a437ffffff,0,0.0,0.0,55967499.99609375,27877.211257272123,1758492148836,Synapse54,1758492148836,Synapse54
20,47591 (Vincennes),Knox County,Indiana,86266e71fffffff,3,0.95,0.95,56167499.99609375,27932.181923484713,1758492148836,Synapse54,1758492148836,Synapse54
21,46124 (Edinburgh),Shelby County,Indiana,86266cd57ffffff,7,0.91,0.91,58796249.99609375,28571.977731565865,1758492148836,Synapse54,1758492148836,Synapse54
22,47591 (Vincennes),Knox County,Indiana,86266e727ffffff,2,0.8,0.8,56162499.99609375,27929.854561787084,1758492148836,Synapse54,1758492148836,Synapse54
23,62867 (New Haven),Gallatin County,Illinois,86266a4afffffff,0,0.0,0.0,56261250.00390625,27949.791626549406,1758492148836,Synapse54,1758492148836,Synapse54
24,47557 (Monroe City),Knox County,Indiana,86266e72fffffff,1,0.8,0.8,56386250.0,27987.13291913202,1758492148836,Synapse54,1758492148836,Synapse54
25,47591 (Vincennes),Knox County,Indiana,86266e737ffffff,17,0.72,0.72,56366249.99609375,27983.06021104123,1758492148836,Synapse54,1758492148836,Synapse54
