OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22084A_B,MP22084A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54455 (Mosinee),Marathon County,Wisconsin,862751ac7ffffff,8,3.16,3.16,75358750.0078125,32329.673705056393,1758492177436,Synapse54,1758492177436,Synapse54
2,54455 (Mosinee),Marathon County,Wisconsin,862751acfffffff,4,3.39,3.39,75068750.0,32265.518824850868,1758492177436,Synapse54,1758492177436,Synapse54
3,54455 (Mosinee),Marathon County,Wisconsin,862751ad7ffffff,15,3.17,3.17,75226250.0,32300.101946613766,1758492177436,Synapse54,1758492177436,Synapse54
4,54455 (Mosinee),Marathon County,Wisconsin,862751adfffffff,21,3.07,3.07,75358749.99609375,32329.673705056393,1758492177436,Synapse54,1758492177436,Synapse54
5,54455 (Mosinee),Marathon County,Wisconsin,862751ae7ffffff,7,3.15,3.15,75358749.99609375,32329.673705056393,1758492177436,Synapse54,1758492177436,Synapse54
6,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,28,3.16,3.16,75782499.99609375,32420.079018375076,1758492177436,Synapse54,1758492177436,Synapse54
7,54757 (New Auburn),Chippewa County,Wisconsin,86275064fffffff,3,3.61,3.61,76308749.99609375,32529.43878406359,1758492177436,Synapse54,1758492177436,Synapse54
8,54757 (New Auburn),Chippewa County,Wisconsin,86275065fffffff,8,2.92,2.92,76627500.0078125,32600.888954781985,1758492177436,Synapse54,1758492177436,Synapse54
9,54757 (New Auburn),Chippewa County,Wisconsin,86275066fffffff,2,2.7,2.7,76866250.0,32649.58786487351,1758492177436,Synapse54,1758492177436,Synapse54
10,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,11,3.04,3.04,73583750.0,31948.21241793928,1758492177436,Synapse54,1758492177436,Synapse54
11,54426 (Edgar),Marathon County,Wisconsin,862751007ffffff,7,3.41,3.41,75900000.0,32446.687947220435,1758492177436,Synapse54,1758492177436,Synapse54
12,54426 (Edgar),Marathon County,Wisconsin,86275100fffffff,9,3.35,3.35,75712500.0,32404.09601267134,1758492177436,Synapse54,1758492177436,Synapse54
13,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,10,3.1,3.1,76362500.0,32542.88954401976,1758492177436,Synapse54,1758492177436,Synapse54
14,54405 (Abbotsford),Marathon County,Wisconsin,862751017ffffff,9,3.32,3.32,75928750.01171875,32450.484695054773,1758492177436,Synapse54,1758492177436,Synapse54
15,55089 (Welch),Goodhue County,Minnesota,86262c877ffffff,12,3.41,3.41,74107500.0,32061.344355937115,1758492177436,Synapse54,1758492177436,Synapse54
