OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22084A_B,MP22084A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47441 (Linton),Greene County,Indiana,86266e137ffffff,103,2.77,2.77,57525000.0,28266.205355699516,1758492190886,Synapse54,1758492190886,Synapse54
2,47562 (Odon),Daviess County,Indiana,86266e147ffffff,49,2.99,2.99,56825000.00390625,28091.16211705062,1758492190886,Synapse54,1758492190886,Synapse54
3,47562 (Odon),Daviess County,Indiana,86266e14fffffff,20,3.24,3.24,56797500.0,28085.415791910324,1758492190886,Synapse54,1758492190886,Synapse54
4,47529 (Elnora),Daviess County,Indiana,86266e157ffffff,16,2.69,2.69,56951249.99609375,28126.00795861039,1758492190886,Synapse54,1758492190886,Synapse54
5,47562 (Odon),Daviess County,Indiana,86266e15fffffff,12,3.32,3.32,56643750.00390625,28044.59995993566,1758492190886,Synapse54,1758492190886,Synapse54
6,47562 (Odon),Daviess County,Indiana,86266e167ffffff,11,3.3,3.3,57103749.99609375,28163.990956009133,1758492190886,Synapse54,1758492190886,Synapse54
7,47562 (Odon),Daviess County,Indiana,86266e16fffffff,10,3.37,3.37,56977499.99609375,28129.145114449355,1758492190886,Synapse54,1758492190886,Synapse54
8,47449 (Newberry),Greene County,Indiana,86266e177ffffff,9,3.18,3.18,57006250.00390625,28137.914433436516,1758492190886,Synapse54,1758492190886,Synapse54
9,47992 (Westpoint),Tippecanoe County,Indiana,862661da7ffffff,13,3.01,3.01,60992500.00390625,29097.84404649705,1758492190886,Synapse54,1758492190886,Synapse54
10,47838 (Carlisle),Sullivan County,Indiana,86266e187ffffff,2,2.53,2.53,57401250.0,28234.586103763817,1758492190886,Synapse54,1758492190886,Synapse54
11,47528 (Edwardsport),Knox County,Indiana,86266e18fffffff,8,2.69,2.69,56855000.0,28100.149095464658,1758492190886,Synapse54,1758492190886,Synapse54
12,47838 (Carlisle),Sullivan County,Indiana,86266e197ffffff,15,2.65,2.65,56828750.00390625,28094.42426108083,1758492190886,Synapse54,1758492190886,Synapse54
13,47561 (Oaktown),Knox County,Indiana,86266e19fffffff,2,2.3,2.3,56828750.0,28094.42426108083,1758492190886,Synapse54,1758492190886,Synapse54
14,47838 (Carlisle),Sullivan County,Indiana,86266e1a7ffffff,4,2.52,2.52,56855000.0,28100.149095464658,1758492190886,Synapse54,1758492190886,Synapse54
15,47578 (Sandborn),Greene County,Indiana,86266e1afffffff,2,2.9,2.9,56855000.0,28100.149095464658,1758492190886,Synapse54,1758492190886,Synapse54
16,47838 (Carlisle),Sullivan County,Indiana,86266e1b7ffffff,3,3.23,3.23,57401249.99609375,28234.586103763817,1758492190886,Synapse54,1758492190886,Synapse54
17,47546 (Jasper),Dubois County,Indiana,86266e207ffffff,6,3.08,3.08,55578750.00390625,27783.24599479071,1758492190886,Synapse54,1758492190886,Synapse54
18,47546 (Jasper),Dubois County,Indiana,86266e20fffffff,305,4.03,4.03,56062500.0,27906.86912296743,1758492190886,Synapse54,1758492190886,Synapse54
19,47546 (Jasper),Dubois County,Indiana,86266e217ffffff,6,3.05,3.05,55854999.9921875,27848.89414579143,1758492190886,Synapse54,1758492190886,Synapse54
20,47992 (Westpoint),Tippecanoe County,Indiana,862661dafffffff,3,3.37,3.37,60992500.0,29097.84404649705,1758492190886,Synapse54,1758492190886,Synapse54
21,47546 (Jasper),Dubois County,Indiana,86266e21fffffff,36,3.19,3.19,55855000.00390625,27848.89414579143,1758492190886,Synapse54,1758492190886,Synapse54
22,47918 (Attica),Fountain County,Indiana,862661db7ffffff,13,3.3,3.3,61241250.0,29154.39080578883,1758492190886,Synapse54,1758492190886,Synapse54
23,47553 (Loogootee),Martin County,Indiana,86266e227ffffff,6,3.23,3.23,56047500.0,27904.589584929883,1758492190886,Synapse54,1758492190886,Synapse54
24,47885 (West Terre Haute),Vigo County,Indiana,862663a47ffffff,28,0.82,0.82,58285000.0,28453.21791552546,1758492190886,Synapse54,1758492190886,Synapse54
25,47546 (Jasper),Dubois County,Indiana,86266e22fffffff,16,3.08,3.08,55962500.00390625,27883.893252103313,1758492190886,Synapse54,1758492190886,Synapse54
26,47885 (West Terre Haute),Vigo County,Indiana,862663a67ffffff,594,3.82,3.82,58616249.99609375,28530.560439134013,1758492190886,Synapse54,1758492190886,Synapse54
27,47519 (Cannelburg),Daviess County,Indiana,86266e237ffffff,4,3.67,3.67,56020000.0,27898.515823022488,1758492190886,Synapse54,1758492190886,Synapse54
28,47842 (Clinton),Vermillion County,Indiana,862663b2fffffff,17,3.18,3.18,59137499.99609375,28655.176586979916,1758492190886,Synapse54,1758492190886,Synapse54
29,47527 (Dubois),Dubois County,Indiana,86266e267ffffff,12,3.0,3.0,55481249.99609375,27764.296808458963,1758492190886,Synapse54,1758492190886,Synapse54
30,47885 (West Terre Haute),Vigo County,Indiana,862663b47ffffff,32,3.6,3.6,59049999.99609375,28634.316482451464,1758492190886,Synapse54,1758492190886,Synapse54
31,47546 (Jasper),Dubois County,Indiana,86266e277ffffff,14,3.13,3.13,55598749.99609375,27787.46804572054,1758492190886,Synapse54,1758492190886,Synapse54
32,47598 (Winslow),Pike County,Indiana,86266e287ffffff,8,2.95,2.95,56021250.0,27892.56206651961,1758492190886,Synapse54,1758492190886,Synapse54
33,47567 (Petersburg),Pike County,Indiana,86266e297ffffff,4,2.44,2.44,55855000.00390625,27848.89414579143,1758492190886,Synapse54,1758492190886,Synapse54
34,47564 (Otwell),Pike County,Indiana,86266e2a7ffffff,14,3.37,3.37,56156250.0,27927.85645744062,1758492190886,Synapse54,1758492190886,Synapse54
35,47546 (Jasper),Dubois County,Indiana,86266e2afffffff,14,2.83,2.83,55668749.99609375,27806.789679186422,1758492190886,Synapse54,1758492190886,Synapse54
36,47564 (Otwell),Pike County,Indiana,86266e2b7ffffff,8,3.1,3.1,56417500.0,27992.525695133245,1758492190886,Synapse54,1758492190886,Synapse54
37,47553 (Loogootee),Martin County,Indiana,86266e307ffffff,10,2.93,2.93,56436250.00390625,27997.823965243995,1758492190886,Synapse54,1758492190886,Synapse54
38,47553 (Loogootee),Martin County,Indiana,86266e30fffffff,7,3.32,3.32,56075000.00390625,27910.23213857767,1758492190886,Synapse54,1758492190886,Synapse54
39,47519 (Cannelburg),Daviess County,Indiana,86266e317ffffff,4,3.48,3.48,56227500.0,27945.291817714147,1758492190886,Synapse54,1758492190886,Synapse54
40,47553 (Loogootee),Daviess County,Indiana,86266e31fffffff,9,3.61,3.61,56075000.0,27910.23213857767,1758492190886,Synapse54,1758492190886,Synapse54
41,47581 (Shoals),Martin County,Indiana,86266e327ffffff,6,3.21,3.21,56474999.99609375,28009.197888085153,1758492190886,Synapse54,1758492190886,Synapse54
42,47581 (Shoals),Martin County,Indiana,86266e32fffffff,4,3.1,3.1,56075000.0,27910.23213857767,1758492190886,Synapse54,1758492190886,Synapse54
43,47553 (Loogootee),Daviess County,Indiana,86266e337ffffff,51,2.57,2.57,56436250.0,27997.823965244,1758492190886,Synapse54,1758492190886,Synapse54
44,47527 (Dubois),Dubois County,Indiana,86266e347ffffff,9,3.17,3.17,55991250.0,27889.601444440803,1758492190886,Synapse54,1758492190886,Synapse54
45,47527 (Dubois),Dubois County,Indiana,86266e34fffffff,8,3.2,3.2,55991250.0,27889.601444440803,1758492190886,Synapse54,1758492190886,Synapse54
46,47527 (Dubois),Dubois County,Indiana,86266e357ffffff,6,3.14,3.14,55895000.0,27863.598812598404,1758492190886,Synapse54,1758492190886,Synapse54
47,47527 (Dubois),Dubois County,Indiana,86266e35fffffff,20,3.24,3.24,55894999.99609375,27863.598812598404,1758492190886,Synapse54,1758492190886,Synapse54
48,47432 (French Lick),Martin County,Indiana,86266e367ffffff,7,3.07,3.07,56198750.0078125,27936.377439132462,1758492190886,Synapse54,1758492190886,Synapse54
49,47432 (French Lick),Dubois County,Indiana,86266e36fffffff,12,3.28,3.28,55991249.99609375,27889.601444440803,1758492190886,Synapse54,1758492190886,Synapse54
50,47581 (Shoals),Martin County,Indiana,86266e377ffffff,4,3.57,3.57,55991250.0,27889.601444440803,1758492190886,Synapse54,1758492190886,Synapse54
51,47558 (Montgomery),Daviess County,Indiana,86266e387ffffff,9,2.95,2.95,56227499.99609375,27951.22291090915,1758492190886,Synapse54,1758492190886,Synapse54
52,47558 (Montgomery),Daviess County,Indiana,86266e38fffffff,3,2.91,2.91,56020000.00390625,27901.363174591632,1758492190886,Synapse54,1758492190886,Synapse54
