OBJECTID,admin4_name,admin3_name,admin2_name,id,MP22084A_B,MP22084A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62899 (Xenia),Clay County,Illinois,862645197ffffff,4,3.15,3.15,57443749.99609375,28238.384126465917,1758492201805,Synapse54,1758492201805,Synapse54
2,62899 (Xenia),Clay County,Illinois,86264519fffffff,15,3.29,3.29,57408750.0,28236.805397737397,1758492201805,Synapse54,1758492201805,Synapse54
3,62858 (Louisville),Clay County,Illinois,8626451a7ffffff,2,2.33,2.33,57426250.00390625,28240.352942762212,1758492201805,Synapse54,1758492201805,Synapse54
4,62839 (Flora),Clay County,Illinois,8626451afffffff,13,2.61,2.61,57426249.99609375,28240.352942762212,1758492201805,Synapse54,1758492201805,Synapse54
5,62899 (Xenia),Clay County,Illinois,8626451b7ffffff,2,2.44,2.44,57408750.0,28236.805397737397,1758492201805,Synapse54,1758492201805,Synapse54
6,62821 (Carmi),White County,Illinois,862645207ffffff,2,2.99,2.99,56701250.00390625,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
7,62821 (Carmi),White County,Illinois,86264520fffffff,1,2.33,2.33,56333750.00390625,27966.596464839302,1758492201805,Synapse54,1758492201805,Synapse54
8,62862 (Mill Shoals),White County,Illinois,862645217ffffff,2,2.53,2.53,56701250.0,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
9,62862 (Mill Shoals),White County,Illinois,86264521fffffff,1,4.76,4.76,56501249.99609375,28010.5754127726,1758492201805,Synapse54,1758492201805,Synapse54
10,62843 (Golden Gate),Wayne County,Illinois,862645227ffffff,0,0.0,0.0,56532499.99609375,28015.598433874227,1758492201805,Synapse54,1758492201805,Synapse54
11,62844 (Grayville),White County,Illinois,86264522fffffff,1,1.69,1.69,56701249.99609375,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
12,62843 (Golden Gate),Wayne County,Illinois,862645237ffffff,3,2.97,2.97,56905000.00390625,28105.151848730537,1758492201805,Synapse54,1758492201805,Synapse54
13,62821 (Carmi),White County,Illinois,862645247ffffff,1,1.69,1.69,56333750.00390625,27972.188187156644,1758492201805,Synapse54,1758492201805,Synapse54
14,62821 (Carmi),White County,Illinois,86264524fffffff,4,3.28,3.28,56363750.00390625,27977.19726350761,1758492201805,Synapse54,1758492201805,Synapse54
15,62821 (Carmi),White County,Illinois,862645257ffffff,33,2.19,2.19,56501250.0,28010.575412772603,1758492201805,Synapse54,1758492201805,Synapse54
16,62821 (Carmi),White County,Illinois,86264525fffffff,1,1.85,1.85,56718749.99609375,28063.168227651022,1758492201805,Synapse54,1758492201805,Synapse54
17,62827 (Crossville),White County,Illinois,862645267ffffff,15,2.37,2.37,56436250.0,27999.82498071102,1758492201805,Synapse54,1758492201805,Synapse54
18,47631 (New Harmony),Posey County,Indiana,86264526fffffff,1,3.57,3.57,56134999.99609375,27921.19020520542,1758492201805,Synapse54,1758492201805,Synapse54
19,62827 (Crossville),White County,Illinois,862645277ffffff,1,1.89,1.89,56520000.0,28013.935102019932,1758492201805,Synapse54,1758492201805,Synapse54
20,62887 (Springerton),Hamilton County,Illinois,862645287ffffff,3,3.49,3.49,56887500.00390625,28101.73579914002,1758492201805,Synapse54,1758492201805,Synapse54
21,62835 (Enfield),White County,Illinois,86264528fffffff,2,3.57,3.57,56598749.99609375,28031.94898338375,1758492201805,Synapse54,1758492201805,Synapse54
22,62887 (Springerton),Hamilton County,Illinois,862645297ffffff,2,4.44,4.44,56598749.99609375,28031.94898338375,1758492201805,Synapse54,1758492201805,Synapse54
23,62859 (Mc Leansboro),Hamilton County,Illinois,86264529fffffff,4,3.51,3.51,56870000.0,28098.3197495495,1758492201805,Synapse54,1758492201805,Synapse54
24,62862 (Mill Shoals),White County,Illinois,8626452a7ffffff,3,2.34,2.34,56701249.99609375,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
25,62835 (Enfield),White County,Illinois,8626452afffffff,5,2.36,2.36,56598749.99609375,28031.94898338375,1758492201805,Synapse54,1758492201805,Synapse54
26,62828 (Dahlgren),Hamilton County,Illinois,8626452b7ffffff,1,6.25,6.25,56870000.00390625,28103.573120002016,1758492201805,Synapse54,1758492201805,Synapse54
27,62821 (Carmi),White County,Illinois,8626452c7ffffff,9,2.76,2.76,56532500.0,28015.598433874227,1758492201805,Synapse54,1758492201805,Synapse54
28,62821 (Carmi),White County,Illinois,8626452cfffffff,5,2.92,2.92,56333750.00390625,27966.596464839302,1758492201805,Synapse54,1758492201805,Synapse54
29,62835 (Enfield),White County,Illinois,8626452d7ffffff,20,2.57,2.57,56598750.00390625,28031.94898338375,1758492201805,Synapse54,1758492201805,Synapse54
30,62869 (Norris City),White County,Illinois,8626452dfffffff,6,3.08,3.08,56429999.99609375,27988.19279691602,1758492201805,Synapse54,1758492201805,Synapse54
31,62835 (Enfield),White County,Illinois,8626452e7ffffff,4,3.25,3.25,56333749.99609375,27966.596464839302,1758492201805,Synapse54,1758492201805,Synapse54
32,62821 (Carmi),White County,Illinois,8626452efffffff,91,3.15,3.15,56532500.0,28015.598433874227,1758492201805,Synapse54,1758492201805,Synapse54
33,62835 (Enfield),White County,Illinois,8626452f7ffffff,1,1.75,1.75,56502500.00390625,28010.35265130703,1758492201805,Synapse54,1758492201805,Synapse54
34,62843 (Golden Gate),Wayne County,Illinois,862645307ffffff,4,3.13,3.13,56605000.0,28037.989444861403,1758492201805,Synapse54,1758492201805,Synapse54
35,62833 (Ellery),Edwards County,Illinois,86264530fffffff,2,2.9,2.9,56603750.0078125,28037.981049730806,1758492201805,Synapse54,1758492201805,Synapse54
36,62837 (Fairfield),Wayne County,Illinois,862645317ffffff,8,3.09,3.09,56701250.00390625,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
37,62843 (Golden Gate),Wayne County,Illinois,86264531fffffff,1,2.04,2.04,56701249.99609375,28059.585776938122,1758492201805,Synapse54,1758492201805,Synapse54
38,62833 (Ellery),Edwards County,Illinois,862645327ffffff,4,3.28,3.28,56803750.0,28088.96508693137,1758492201805,Synapse54,1758492201805,Synapse54
39,62806 (Albion),Edwards County,Illinois,86264532fffffff,4,2.96,2.96,56808750.0,28083.555516653818,1758492201805,Synapse54,1758492201805,Synapse54
40,62843 (Golden Gate),Wayne County,Illinois,862645337ffffff,1,2.78,2.78,56808750.0,28083.555516653818,1758492201805,Synapse54,1758492201805,Synapse54
41,62844 (Grayville),Edwards County,Illinois,862645347ffffff,5,2.45,2.45,56501250.0,28010.5754127726,1758492201805,Synapse54,1758492201805,Synapse54
42,62827 (Crossville),White County,Illinois,86264534fffffff,2,2.25,2.25,56351249.99609375,27970.178915552202,1758492201805,Synapse54,1758492201805,Synapse54
43,62806 (Albion),Edwards County,Illinois,862645357ffffff,2,2.53,2.53,56622499.99609375,28041.808601790537,1758492201805,Synapse54,1758492201805,Synapse54
44,62827 (Crossville),White County,Illinois,86264535fffffff,1,2.04,2.04,56622500.0,28041.5718955743,1758492201805,Synapse54,1758492201805,Synapse54
45,62844 (Grayville),Edwards County,Illinois,862645367ffffff,5,2.69,2.69,56436250.0,27994.00210179751,1758492201805,Synapse54,1758492201805,Synapse54
46,62806 (Albion),Edwards County,Illinois,862645377ffffff,3,2.36,2.36,56622500.00390625,28041.808601790533,1758492201805,Synapse54,1758492201805,Synapse54
