OBJECTID,admin4_name,admin3_name,admin2_name,id,MP05009A_B,MP05009A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,61475 (Sciota),McDonough County,Illinois,862671d07ffffff,3,7.5,7.5,61047499.99609375,29116.27408624307,1758492213361,Synapse54,1758492213361,Synapse54
2,62001 (Alhambra),Madison County,Illinois,8626446efffffff,26,6.91,6.91,58506250.0,28495.659389104243,1758492213361,Synapse54,1758492213361,Synapse54
3,61438 (Good Hope),McDonough County,Illinois,862671d0fffffff,27,7.03,7.03,60948750.0,29093.559493058932,1758492213361,Synapse54,1758492213361,Synapse54
4,62056 (Litchfield),Montgomery County,Illinois,862644707ffffff,52,7.88,7.88,58404999.99609375,28472.98305760687,1758492213361,Synapse54,1758492213361,Synapse54
5,61420 (Blandinsville),McDonough County,Illinois,862671d17ffffff,2,7.69,7.69,60892499.99609375,29072.45462147932,1758492213361,Synapse54,1758492213361,Synapse54
6,62056 (Litchfield),Montgomery County,Illinois,86264470fffffff,6,6.45,6.45,58781250.0,28567.642840705506,1758492213361,Synapse54,1758492213361,Synapse54
7,61475 (Sciota),McDonough County,Illinois,862671d1fffffff,6,7.32,7.32,60696250.0,29028.53478122039,1758492213361,Synapse54,1758492213361,Synapse54
8,62069 (Mount Olive),Macoupin County,Illinois,86264471fffffff,22,7.33,7.33,58390000.0,28475.444920139747,1758492213361,Synapse54,1758492213361,Synapse54
9,61473 (Roseville),Warren County,Illinois,862671d27ffffff,6,7.06,7.06,61263749.99609375,29163.77102725753,1758492213361,Synapse54,1758492213361,Synapse54
10,62056 (Litchfield),Montgomery County,Illinois,862644727ffffff,85,5.77,5.77,58781250.0,28567.87574780077,1758492213361,Synapse54,1758492213361,Synapse54
11,61438 (Good Hope),McDonough County,Illinois,862671d2fffffff,6,7.5,7.5,61282500.0,29170.702217965718,1758492213361,Synapse54,1758492213361,Synapse54
12,62056 (Litchfield),Montgomery County,Illinois,86264472fffffff,263,7.65,7.65,58608750.00390625,28523.45802551955,1758492213361,Synapse54,1758492213361,Synapse54
13,61473 (Roseville),Warren County,Illinois,862671d37ffffff,3,6.38,6.38,61165000.00390625,29141.056434073394,1758492213361,Synapse54,1758492213361,Synapse54
14,62056 (Litchfield),Macoupin County,Illinois,862644737ffffff,4,8.51,8.51,58405000.0,28472.98305760687,1758492213361,Synapse54,1758492213361,Synapse54
15,61455 (Macomb),McDonough County,Illinois,862671d47ffffff,15,6.76,6.76,60782500.0,29050.72577912527,1758492213361,Synapse54,1758492213361,Synapse54
16,62091 (Walshville),Montgomery County,Illinois,862644747ffffff,9,7.26,7.26,58508750.0,28500.402547966376,1758492213361,Synapse54,1758492213361,Synapse54
17,61455 (Macomb),McDonough County,Illinois,862671d4fffffff,2,6.9,6.9,60520000.0,28985.24005885054,1758492213361,Synapse54,1758492213361,Synapse54
18,62086 (Sorento),Bond County,Illinois,86264474fffffff,32,7.49,7.49,58218750.0,28431.039045424375,1758492213361,Synapse54,1758492213361,Synapse54
