OBJECTID,admin4_name,admin3_name,admin2_name,id,MP05009A_B,MP05009A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62410 (Allendale),Wabash County,Illinois,86266e697ffffff,4,6.25,6.25,56726250.0,28069.64525783052,1758492235995,Synapse54,1758492235995,Synapse54
2,47666 (Patoka),Gibson County,Indiana,86266e69fffffff,3,7.69,7.69,56462500.0,28004.306684036736,1758492235995,Synapse54,1758492235995,Synapse54
3,47591 (Vincennes),Knox County,Indiana,86266e6a7ffffff,5,6.67,6.67,56462500.0,28004.306684036736,1758492235995,Synapse54,1758492235995,Synapse54
4,47042 (Versailles),Ripley County,Indiana,86266cb1fffffff,157,7.76,7.76,57837500.0,28339.894582035282,1758492235995,Synapse54,1758492235995,Synapse54
5,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,16,6.84,6.84,56005000.00390625,27890.50745898393,1758492235995,Synapse54,1758492235995,Synapse54
6,47031 (Milan),Ripley County,Indiana,86266cb27ffffff,88,7.38,7.38,58160000.0,28414.247518769123,1758492235995,Synapse54,1758492235995,Synapse54
7,62410 (Allendale),Wabash County,Illinois,86266e6b7ffffff,22,6.79,6.79,56461250.0,28004.086172333384,1758492235995,Synapse54,1758492235995,Synapse54
8,47031 (Milan),Ripley County,Indiana,86266cb2fffffff,45,7.67,7.67,57766250.00390625,28319.901380211075,1758492235995,Synapse54,1758492235995,Synapse54
9,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,369,8.44,8.44,64185000.0,29844.258457732598,1758492235995,Synapse54,1758492235995,Synapse54
10,47037 (Osgood),Ripley County,Indiana,86266cb37ffffff,39,6.81,6.81,57999999.9921875,28380.283482574494,1758492235995,Synapse54,1758492235995,Synapse54
11,47666 (Patoka),Gibson County,Indiana,86266e6e7ffffff,16,7.14,7.14,56096250.00390625,27910.096352341992,1758492235995,Synapse54,1758492235995,Synapse54
12,47018 (Dillsboro),Dearborn County,Indiana,86266cb47ffffff,30,6.8,6.8,57292500.00390625,28205.990933116926,1758492235995,Synapse54,1758492235995,Synapse54
13,46373 (Saint John),Lake County,Indiana,8626640d7ffffff,1044,8.61,8.61,64184999.99609375,29844.258457732598,1758492235995,Synapse54,1758492235995,Synapse54
14,47018 (Dillsboro),Ohio County,Indiana,86266cb4fffffff,16,7.02,7.02,57637500.00390625,28293.67307357544,1758492235995,Synapse54,1758492235995,Synapse54
