OBJECTID,admin4_name,admin3_name,admin2_name,id,MP05009A_B,MP05009A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,54455 (Mosinee),Marathon County,Wisconsin,862751aefffffff,5,8.2,8.2,75304999.99609375,32313.800822712084,1758492247558,Synapse54,1758492247558,Synapse54
2,54409 (Antigo),Langlade County,Wisconsin,86274245fffffff,28,6.88,6.88,76889999.99609375,32651.927740726274,1758492247558,Synapse54,1758492247558,Synapse54
3,53510 (Belmont),Lafayette County,Wisconsin,86275aae7ffffff,74,8.17,8.17,67907500.0,30695.675377292657,1758492247558,Synapse54,1758492247558,Synapse54
4,54021 (Prescott),Pierce County,Wisconsin,86262c827ffffff,363,8.9,8.9,74100000.0,32057.410923822383,1758492247558,Synapse54,1758492247558,Synapse54
5,53965 (Wisconsin Dells),Sauk County,Wisconsin,862758d97ffffff,44,9.09,9.09,70986250.00390625,31379.635815867758,1758492247558,Synapse54,1758492247558,Synapse54
6,54455 (Mosinee),Marathon County,Wisconsin,862751af7ffffff,76,8.57,8.57,75782499.99609375,32420.079018375076,1758492247558,Synapse54,1758492247558,Synapse54
7,53510 (Belmont),Lafayette County,Wisconsin,86275aaefffffff,8,6.56,6.56,67907500.0,30695.675377292657,1758492247558,Synapse54,1758492247558,Synapse54
8,55089 (Welch),Dakota County,Minnesota,86262c82fffffff,79,10.0,10.0,74100000.0,32057.410923822383,1758492247558,Synapse54,1758492247558,Synapse54
9,53120 (East Troy),Racine County,Wisconsin,862759997ffffff,236,8.96,8.96,68557500.0,30841.784085211824,1758492247558,Synapse54,1758492247558,Synapse54
10,54403 (Wausau),Marathon County,Wisconsin,862751b07ffffff,29,8.98,8.98,76362500.0,32542.88954401976,1758492247558,Synapse54,1758492247558,Synapse54
11,54656 (Sparta),Monroe County,Wisconsin,86275e46fffffff,18,9.23,9.23,71274999.9921875,31443.232471987707,1758492247558,Synapse54,1758492247558,Synapse54
12,54014 (Hager City),Pierce County,Wisconsin,86262c867ffffff,35,10.0,10.0,74107500.0,32061.344355937115,1758492247558,Synapse54,1758492247558,Synapse54
13,53959 (Reedsburg),Sauk County,Wisconsin,862758d9fffffff,56,9.08,9.08,71006250.0,31384.01973259336,1758492247558,Synapse54,1758492247558,Synapse54
14,54408 (Aniwa),Marathon County,Wisconsin,862751b0fffffff,32,9.04,9.04,76198750.00390625,32504.99318836548,1758492247558,Synapse54,1758492247558,Synapse54
15,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,17,6.88,6.88,68962500.00390625,30930.65497429147,1758492247558,Synapse54,1758492247558,Synapse54
16,54014 (Hager City),Pierce County,Wisconsin,86262c86fffffff,33,9.12,9.12,73583750.0,31948.21241793928,1758492247558,Synapse54,1758492247558,Synapse54
17,54418 (Bryant),Langlade County,Wisconsin,862742467ffffff,29,6.89,6.89,77101249.99609375,32698.411679008957,1758492247558,Synapse54,1758492247558,Synapse54
18,54403 (Wausau),Marathon County,Wisconsin,862751b17ffffff,33,9.07,9.07,76440000.0,32558.031993397293,1758492247558,Synapse54,1758492247558,Synapse54
