OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20109A_B,MP20109A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62236 (Columbia),Monroe County,Illinois,86264050fffffff,335,6.12,6.12,58100000.0078125,28396.986033403104,1758492274447,Synapse54,1758492274447,Synapse54
2,61427 (Cuba),Fulton County,Illinois,862671827ffffff,46,4.66,4.66,60843750.0078125,29066.386367139512,1758492274447,Synapse54,1758492274447,Synapse54
3,61281 (Sherrard),Mercer County,Illinois,862675cc7ffffff,86,6.63,6.63,63509999.99609375,29689.36147821522,1758492274447,Synapse54,1758492274447,Synapse54
4,61542 (Lewistown),Fulton County,Illinois,86267182fffffff,43,4.69,4.69,60560000.0078125,28993.237310916906,1758492274447,Synapse54,1758492274447,Synapse54
5,63125 (Saint Louis),St. Louis County,Missouri,862640517ffffff,1239,6.01,6.01,58476249.99609375,28490.381192321554,1758492274447,Synapse54,1758492274447,Synapse54
6,61427 (Cuba),Fulton County,Illinois,862671837ffffff,11,4.78,4.78,60919999.99609375,29084.801858969797,1758492274447,Synapse54,1758492274447,Synapse54
7,61262 (Lynn Center),Henry County,Illinois,862675ccfffffff,14,6.22,6.22,62902499.9921875,29546.686057004346,1758492274447,Synapse54,1758492274447,Synapse54
8,61542 (Lewistown),Fulton County,Illinois,862671847ffffff,49,4.61,4.61,60463750.00390625,28975.988688885063,1758492274447,Synapse54,1758492274447,Synapse54
9,62236 (Columbia),Monroe County,Illinois,86264051fffffff,129,6.27,6.27,58387500.0,28465.91796840474,1758492274447,Synapse54,1758492274447,Synapse54
10,62644 (Havana),Mason County,Illinois,86267184fffffff,82,4.61,4.61,60129999.9921875,28898.647746073595,1758492274447,Synapse54,1758492274447,Synapse54
11,61264 (Milan),Rock Island County,Illinois,862675cd7ffffff,24,6.4,6.4,63390000.0,29659.97788610957,1758492274447,Synapse54,1758492274447,Synapse54
12,61517 (Brimfield),Peoria County,Illinois,862675307ffffff,5,4.95,4.95,61977500.0,29330.241001280643,1758492274447,Synapse54,1758492274447,Synapse54
13,62239 (Dupo),St. Clair County,Illinois,862640527ffffff,419,5.36,5.36,58476249.9921875,28490.38119232155,1758492274447,Synapse54,1758492274447,Synapse54
14,47842 (Clinton),Vermillion County,Indiana,862663b27ffffff,33,5.07,5.07,59137500.00390625,28655.176586979916,1758492274447,Synapse54,1758492274447,Synapse54
15,61281 (Sherrard),Mercer County,Illinois,862675cdfffffff,20,6.45,6.45,63171250.00390625,29612.12418200564,1758492274447,Synapse54,1758492274447,Synapse54
16,61542 (Lewistown),Fulton County,Illinois,862671857ffffff,4,4.6,4.6,60161249.99609375,28901.155824625872,1758492274447,Synapse54,1758492274447,Synapse54
17,62260 (Millstadt),St. Clair County,Illinois,86264052fffffff,43,6.11,6.11,58303750.0,28446.196377135602,1758492274447,Synapse54,1758492274447,Synapse54
18,62644 (Havana),Fulton County,Illinois,86267185fffffff,2,6.06,6.06,60182499.99609375,28908.980759137175,1758492274447,Synapse54,1758492274447,Synapse54
19,61273 (Orion),Henry County,Illinois,862675ce7ffffff,29,6.32,6.32,63510000.00390625,29689.36147821522,1758492274447,Synapse54,1758492274447,Synapse54
20,61567 (Topeka),Mason County,Illinois,862671867ffffff,1,4.17,4.17,60463750.0,28975.988688885063,1758492274447,Synapse54,1758492274447,Synapse54
21,62240 (East Carondelet),St. Clair County,Illinois,862640537ffffff,1278,5.85,5.85,58476250.00390625,28490.38119232155,1758492274447,Synapse54,1758492274447,Synapse54
22,62644 (Havana),Mason County,Illinois,86267186fffffff,13,4.42,4.42,60463750.00390625,28975.988688885063,1758492274447,Synapse54,1758492274447,Synapse54
23,61262 (Lynn Center),Henry County,Illinois,862675cefffffff,25,6.28,6.28,63510000.0,29689.36147821522,1758492274447,Synapse54,1758492274447,Synapse54
24,61542 (Lewistown),Fulton County,Illinois,862671877ffffff,19,4.79,4.79,60678750.00390625,29023.283471306717,1758492274447,Synapse54,1758492274447,Synapse54
25,61482 (Table Grove),Fulton County,Illinois,862671887ffffff,3,4.17,4.17,60421250.0078125,28964.437693654236,1758492274447,Synapse54,1758492274447,Synapse54
26,61441 (Ipava),Fulton County,Illinois,86267188fffffff,8,4.71,4.71,60421250.0078125,28964.437693654232,1758492274447,Synapse54,1758492274447,Synapse54
27,61517 (Brimfield),Peoria County,Illinois,86267530fffffff,27,5.88,5.88,62077500.00390625,29358.152423676882,1758492274447,Synapse54,1758492274447,Synapse54
28,47885 (West Terre Haute),Vigo County,Indiana,862663b57ffffff,34,4.97,4.97,58799999.99609375,28576.628622629603,1758492274447,Synapse54,1758492274447,Synapse54
29,61529 (Elmwood),Peoria County,Illinois,862675317ffffff,4,4.71,4.71,61977500.00390625,29330.241001280643,1758492274447,Synapse54,1758492274447,Synapse54
