OBJECTID,admin4_name,admin3_name,admin2_name,id,MP20109A_B,MP20109A_B_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46792 (Warren),Huntington County,Indiana,862a966b7ffffff,14,4.53,4.53,62602500.0,29478.56672871935,1758492285067,Synapse54,1758492285067,Synapse54
2,47348 (Hartford City),Blackford County,Indiana,862a966c7ffffff,10,4.98,4.98,62066250.0,29351.70269722621,1758492285067,Synapse54,1758492285067,Synapse54
3,47348 (Hartford City),Blackford County,Indiana,862a966cfffffff,12,4.56,4.56,61882499.99609375,29306.806011581408,1758492285067,Synapse54,1758492285067,Synapse54
4,47348 (Hartford City),Blackford County,Indiana,862a966d7ffffff,12,4.9,4.9,61901250.00390625,29312.125207548776,1758492285067,Synapse54,1758492285067,Synapse54
5,46725 (Columbia City),Whitley County,Indiana,86274b24fffffff,72,6.06,6.06,64440000.0,29904.881372756154,1758492285067,Synapse54,1758492285067,Synapse54
6,47640 (Hazleton),Gibson County,Indiana,86266e6afffffff,12,5.13,5.13,56005000.00390625,27890.50745898393,1758492285067,Synapse54,1758492285067,Synapse54
7,46764 (Larwill),Whitley County,Indiana,86274b257ffffff,20,4.93,4.93,64273750.0,29865.783071157584,1758492285067,Synapse54,1758492285067,Synapse54
8,47201 (Columbus),Bartholomew County,Indiana,86266ccefffffff,30,5.93,5.93,58200000.00390625,28425.452373407952,1758492285067,Synapse54,1758492285067,Synapse54
9,46725 (Columbia City),Whitley County,Indiana,86274b25fffffff,28,5.01,5.01,64048749.99609375,29810.946528085675,1758492285067,Synapse54,1758492285067,Synapse54
10,46307 (Crown Point),Lake County,Indiana,8626640cfffffff,275,6.29,6.29,64185000.0,29844.258457732598,1758492285067,Synapse54,1758492285067,Synapse54
11,46701 (Albion),Noble County,Indiana,86274b267ffffff,43,5.71,5.71,64660000.00390625,29951.869056491672,1758492285067,Synapse54,1758492285067,Synapse54
12,46164 (Nineveh),Brown County,Indiana,86266ccf7ffffff,66,6.19,6.19,57990000.00390625,28373.430359696882,1758492285067,Synapse54,1758492285067,Synapse54
13,46725 (Columbia City),Whitley County,Indiana,86274b26fffffff,110,6.39,6.39,64220000.00390625,29852.782909799484,1758492285067,Synapse54,1758492285067,Synapse54
14,46373 (Saint John),Lake County,Indiana,8626640d7ffffff,782,6.45,6.45,64184999.99609375,29844.258457732598,1758492285067,Synapse54,1758492285067,Synapse54
15,46760 (Kimmell),Noble County,Indiana,86274b277ffffff,30,4.84,4.84,64660000.0,29951.869056491672,1758492285067,Synapse54,1758492285067,Synapse54
16,47234 (Flat Rock),Shelby County,Indiana,86266cd47ffffff,12,5.08,5.08,58569999.99609375,28519.401220469732,1758492285067,Synapse54,1758492285067,Synapse54
17,46542 (Milford),Kosciusko County,Indiana,86274b287ffffff,9,5.0,5.0,64522500.0,29925.837101406414,1758492285067,Synapse54,1758492285067,Synapse54
