OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,60917 (Buckingham),Kankakee County,Illinois,862660db7ffffff,17,9.83,9.83,63145000.0,29605.700940160295,1758492298951,Synapse54,1758492298951,Synapse54
2,62082 (Roodhouse),Greene County,Illinois,862646967ffffff,13,12.26,12.26,59502500.0,28740.45642095901,1758492298951,Synapse54,1758492298951,Synapse54
3,61754 (Mc Lean),McLean County,Illinois,862662007ffffff,7,10.0,10.0,60601250.0,29008.773881211488,1758492298951,Synapse54,1758492298951,Synapse54
4,62082 (Roodhouse),Greene County,Illinois,86264696fffffff,13,12.04,12.04,59517500.0,28743.17952845296,1758492298951,Synapse54,1758492298951,Synapse54
5,61754 (Mc Lean),McLean County,Illinois,86266200fffffff,7,9.09,9.09,60601249.9921875,29008.773881211488,1758492298951,Synapse54,1758492298951,Synapse54
6,62082 (Roodhouse),Greene County,Illinois,862646977ffffff,155,10.79,10.79,59708750.0,28790.565702156666,1758492298951,Synapse54,1758492298951,Synapse54
7,61754 (Mc Lean),McLean County,Illinois,862662017ffffff,7,9.59,9.59,60695000.0078125,29030.608927731355,1758492298951,Synapse54,1758492298951,Synapse54
8,62361 (Pearl),Pike County,Illinois,862646987ffffff,6,8.82,8.82,59488749.99609375,28737.965444638998,1758492298951,Synapse54,1758492298951,Synapse54
9,61754 (Mc Lean),McLean County,Illinois,86266201fffffff,75,9.89,9.89,60601250.0,29008.77388121149,1758492298951,Synapse54,1758492298951,Synapse54
10,61772 (Shirley),McLean County,Illinois,862662027ffffff,20,9.8,9.8,60881249.99609375,29070.788558092554,1758492298951,Synapse54,1758492298951,Synapse54
11,62361 (Pearl),Pike County,Illinois,86264698fffffff,14,9.72,9.72,59488750.0,28737.965444638998,1758492298951,Synapse54,1758492298951,Synapse54
12,61772 (Shirley),McLean County,Illinois,86266202fffffff,5,10.42,10.42,61003750.0,29101.375978727236,1758492298951,Synapse54,1758492298951,Synapse54
13,62363 (Pittsfield),Pike County,Illinois,862646997ffffff,6,10.0,10.0,59592500.0,28760.87664831296,1758492298951,Synapse54,1758492298951,Synapse54
14,62361 (Pearl),Pike County,Illinois,86264699fffffff,5,10.2,10.2,59592500.0,28760.87664831296,1758492298951,Synapse54,1758492298951,Synapse54
15,61774 (Stanford),McLean County,Illinois,862662037ffffff,9,9.57,9.57,60601250.0,29008.773881211488,1758492298951,Synapse54,1758492298951,Synapse54
16,62312 (Barry),Pike County,Illinois,862646d07ffffff,4,8.33,8.33,60045000.0,28873.176330769522,1758492298951,Synapse54,1758492298951,Synapse54
17,61777 (Wapella),De Witt County,Illinois,862662047ffffff,23,8.58,8.58,60287500.0,28934.321628569385,1758492298951,Synapse54,1758492298951,Synapse54
18,62821 (Carmi),White County,Illinois,86264524fffffff,13,8.44,8.44,56363750.00390625,27977.19726350761,1758492298951,Synapse54,1758492298951,Synapse54
19,61727 (Clinton),De Witt County,Illinois,86266204fffffff,45,8.69,8.69,60368749.9921875,28949.748684312257,1758492298951,Synapse54,1758492298951,Synapse54
20,62370 (Rockport),Pike County,Illinois,862646d0fffffff,23,10.0,10.0,60071250.0,28872.658196055614,1758492298951,Synapse54,1758492298951,Synapse54
21,61778 (Waynesville),De Witt County,Illinois,862662057ffffff,11,8.09,8.09,60531250.0,28990.13956376064,1758492298951,Synapse54,1758492298951,Synapse54
22,61727 (Clinton),De Witt County,Illinois,86266205fffffff,5,9.43,9.43,60102500.0078125,28888.700124452873,1758492298951,Synapse54,1758492298951,Synapse54
23,62356 (New Canton),Pike County,Illinois,862646d17ffffff,4,10.26,10.26,60045000.0,28873.176330769522,1758492298951,Synapse54,1758492298951,Synapse54
24,47631 (New Harmony),Posey County,Indiana,86264526fffffff,4,10.81,10.81,56134999.99609375,27921.19020520542,1758492298951,Synapse54,1758492298951,Synapse54
25,61745 (Heyworth),McLean County,Illinois,862662067ffffff,40,10.13,10.13,60625000.0,29012.165014698072,1758492298951,Synapse54,1758492298951,Synapse54
26,62370 (Rockport),Pike County,Illinois,862646d1fffffff,8,9.52,9.52,59870000.0,28828.579921065975,1758492298951,Synapse54,1758492298951,Synapse54
27,61777 (Wapella),De Witt County,Illinois,86266206fffffff,16,7.62,7.62,60344999.99609375,28944.7509479003,1758492298951,Synapse54,1758492298951,Synapse54
28,62312 (Barry),Pike County,Illinois,862646d27ffffff,6,9.23,9.23,59953750.0,28847.393402947084,1758492298951,Synapse54,1758492298951,Synapse54
29,61745 (Heyworth),McLean County,Illinois,862662077ffffff,15,9.62,9.62,60437500.0078125,28966.543510581563,1758492298951,Synapse54,1758492298951,Synapse54
30,62363 (Pittsfield),Pike County,Illinois,862646d2fffffff,16,9.25,9.25,59766250.0,28805.668717392015,1758492298951,Synapse54,1758492298951,Synapse54
31,61723 (Atlanta),Logan County,Illinois,862662087ffffff,13,9.42,9.42,60695000.0,29025.39994223221,1758492298951,Synapse54,1758492298951,Synapse54
32,62312 (Barry),Pike County,Illinois,862646d37ffffff,9,9.28,9.28,60071250.0,28872.658196055614,1758492298951,Synapse54,1758492298951,Synapse54
33,61723 (Atlanta),Logan County,Illinois,86266208fffffff,11,6.63,6.63,60479999.99609375,28978.143976738203,1758492298951,Synapse54,1758492298951,Synapse54
34,62366 (Pleasant Hill),Pike County,Illinois,862646d47ffffff,12,11.32,11.32,59766250.0,28805.668717392015,1758492298951,Synapse54,1758492298951,Synapse54
35,61734 (Delavan),Tazewell County,Illinois,862662097ffffff,9,10.59,10.59,60457500.00390625,28973.53928974797,1758492298951,Synapse54,1758492298951,Synapse54
36,62366 (Pleasant Hill),Pike County,Illinois,862646d57ffffff,10,9.8,9.8,59766249.99609375,28805.668717392015,1758492298951,Synapse54,1758492298951,Synapse54
37,62366 (Pleasant Hill),Pike County,Illinois,862646d5fffffff,130,13.47,13.47,59592500.00390625,28761.06962319679,1758492298951,Synapse54,1758492298951,Synapse54
38,62643 (Hartsburg),Logan County,Illinois,86266209fffffff,9,8.18,8.18,60457500.0078125,28973.53928974797,1758492298951,Synapse54,1758492298951,Synapse54
39,62363 (Pittsfield),Pike County,Illinois,862646d67ffffff,10,9.01,9.01,60071250.0,28872.658196055614,1758492298951,Synapse54,1758492298951,Synapse54
40,61721 (Armington),Tazewell County,Illinois,8626620a7ffffff,44,12.36,12.36,60578749.9921875,29004.16919422125,1758492298951,Synapse54,1758492298951,Synapse54
41,62355 (Nebo),Pike County,Illinois,862646d6fffffff,12,11.76,11.76,59677499.99609375,28780.974409944076,1758492298951,Synapse54,1758492298951,Synapse54
42,61723 (Atlanta),Logan County,Illinois,8626620afffffff,7,8.86,8.86,60479999.99609375,28978.143976738203,1758492298951,Synapse54,1758492298951,Synapse54
43,62366 (Pleasant Hill),Pike County,Illinois,862646d77ffffff,12,9.38,9.38,59592500.0,28761.06962319679,1758492298951,Synapse54,1758492298951,Synapse54
44,63353 (Louisiana),Pike County,Missouri,862646d87ffffff,8,10.96,10.96,60150000.0,28896.084849951796,1758492298951,Synapse54,1758492298951,Synapse54
45,61721 (Armington),Tazewell County,Illinois,8626620b7ffffff,14,12.73,12.73,60901250.0,29083.18372717567,1758492298951,Synapse54,1758492298951,Synapse54
46,61723 (Atlanta),Logan County,Illinois,8626620c7ffffff,8,9.3,9.3,60223750.0,28914.35110947842,1758492298951,Synapse54,1758492298951,Synapse54
47,62356 (New Canton),Pike County,Illinois,862646da7ffffff,1,12.5,12.5,59942500.0,28846.389074054474,1758492298951,Synapse54,1758492298951,Synapse54
48,62512 (Beason),Logan County,Illinois,8626620cfffffff,19,8.92,8.92,60014999.9921875,28864.08152005904,1758492298951,Synapse54,1758492298951,Synapse54
49,62370 (Rockport),Pike County,Illinois,862646dafffffff,2,9.09,9.09,60045000.0,28873.176330769522,1758492298951,Synapse54,1758492298951,Synapse54
50,62656 (Lincoln),Logan County,Illinois,8626620d7ffffff,13,7.1,7.1,60479999.99609375,28978.143976738203,1758492298951,Synapse54,1758492298951,Synapse54
51,63459 (New London),Ralls County,Missouri,862646db7ffffff,9,10.47,10.47,60045000.0,28873.176330769522,1758492298951,Synapse54,1758492298951,Synapse54
52,62656 (Lincoln),Logan County,Illinois,8626620dfffffff,6,10.0,10.0,60265000.0078125,28925.68506685245,1758492298951,Synapse54,1758492298951,Synapse54
53,61546 (Manito),Mason County,Illinois,862662417ffffff,128,10.36,10.36,60722499.99609375,29035.64582934531,1758492298951,Synapse54,1758492298951,Synapse54
54,62086 (Sorento),Montgomery County,Illinois,86264475fffffff,47,7.38,7.38,58508749.99609375,28500.402547966372,1758492298951,Synapse54,1758492298951,Synapse54
55,61567 (Topeka),Mason County,Illinois,862662487ffffff,13,7.51,7.51,60603750.00390625,29005.646272531165,1758492298951,Synapse54,1758492298951,Synapse54
56,62363 (Pittsfield),Pike County,Illinois,8626469b7ffffff,15,10.07,10.07,59503750.00390625,28740.688552132946,1758492298951,Synapse54,1758492298951,Synapse54
57,61532 (Forest City),Mason County,Illinois,86266248fffffff,7,10.61,10.61,60224999.99609375,28915.41861785277,1758492298951,Synapse54,1758492298951,Synapse54
58,62644 (Havana),Mason County,Illinois,862662497ffffff,9,5.73,5.73,60367499.99609375,28953.534900448678,1758492298951,Synapse54,1758492298951,Synapse54
59,62274 (Pinckneyville),Perry County,Illinois,862640227ffffff,4,8.0,8.0,57371250.0,28225.493109138886,1758492298951,Synapse54,1758492298951,Synapse54
60,61567 (Topeka),Mason County,Illinois,86266249fffffff,7,5.88,5.88,60367499.99609375,28953.534900448678,1758492298951,Synapse54,1758492298951,Synapse54
