OBJECTID,admin4_name,admin3_name,admin2_name,id,GENALPHACY,GENALPHACY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47264 (Norman),Lawrence County,Indiana,86266c4e7ffffff,18,10.59,10.59,57313750.0,28214.407992107328,1758492309873,Synapse54,1758492309873,Synapse54
2,47424 (Bloomfield),Greene County,Indiana,86266eba7ffffff,61,9.2,9.2,57102500.00390625,28164.055165835664,1758492309873,Synapse54,1758492309873,Synapse54
3,47805 (Terre Haute),Vigo County,Indiana,86266179fffffff,95,8.63,8.63,59049999.99609375,28634.316482451464,1758492309873,Synapse54,1758492309873,Synapse54
4,47362 (New Castle),Henry County,Indiana,862a92017ffffff,85,9.27,9.27,60427500.0,28959.57401959147,1758492309873,Synapse54,1758492309873,Synapse54
5,47436 (Heltonville),Lawrence County,Indiana,86266c4efffffff,22,9.36,9.36,57231249.99609375,28194.182562374517,1758492309873,Synapse54,1758492309873,Synapse54
6,47522 (Crane),Martin County,Indiana,86266ebafffffff,4,11.11,11.11,57102499.99609375,28161.158121433204,1758492309873,Synapse54,1758492309873,Synapse54
7,47874 (Rosedale),Parke County,Indiana,8626617a7ffffff,28,9.24,9.24,59105000.0,28645.7787247476,1758492309873,Synapse54,1758492309873,Synapse54
8,47362 (New Castle),Henry County,Indiana,862a9201fffffff,372,8.75,8.75,60401249.99609375,28952.12817572575,1758492309873,Synapse54,1758492309873,Synapse54
9,47436 (Heltonville),Lawrence County,Indiana,86266c4f7ffffff,44,9.82,9.82,57523749.9921875,28261.18089059673,1758492309873,Synapse54,1758492309873,Synapse54
10,47424 (Bloomfield),Greene County,Indiana,86266ebb7ffffff,23,9.2,9.2,56977499.9921875,28129.145114449355,1758492309873,Synapse54,1758492309873,Synapse54
11,47837 (Carbon),Clay County,Indiana,8626617afffffff,84,9.82,9.82,58920000.0,28599.412978578144,1758492309873,Synapse54,1758492309873,Synapse54
12,47362 (New Castle),Henry County,Indiana,862a92027ffffff,47,8.69,8.69,60690000.0,29024.385890660313,1758492309873,Synapse54,1758492309873,Synapse54
13,47448 (Nashville),Brown County,Indiana,86266c507ffffff,100,5.36,5.36,58072500.00390625,28393.328016584106,1758492309873,Synapse54,1758492309873,Synapse54
14,47879 (Shelburn),Sullivan County,Indiana,86266ec07ffffff,176,9.95,9.95,57611250.0,28287.160540138197,1758492309873,Synapse54,1758492309873,Synapse54
15,47874 (Rosedale),Parke County,Indiana,8626617b7ffffff,17,8.85,8.85,58920000.00390625,28599.412978578144,1758492309873,Synapse54,1758492309873,Synapse54
