OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,60941 (Herscher),Kankakee County,Illinois,862660dafffffff,20,22.73,22.73,63052499.99609375,29584.394647970894,1758492338036,Synapse54,1758492338036,Synapse54
2,62677 (Pleasant Plains),Sangamon County,Illinois,862644d17ffffff,143,19.04,19.04,59245000.0,28681.301214652685,1758492338036,Synapse54,1758492338036,Synapse54
3,62448 (Newton),Jasper County,Illinois,86264580fffffff,16,19.28,19.28,57281250.0,28206.032660072815,1758492338036,Synapse54,1758492338036,Synapse54
4,62086 (Sorento),Montgomery County,Illinois,86264462fffffff,21,21.0,21.0,58725000.0,28548.543507983173,1758492338036,Synapse54,1758492338036,Synapse54
5,62355 (Nebo),Pike County,Illinois,862646d6fffffff,22,21.57,21.57,59677499.99609375,28780.974409944076,1758492338036,Synapse54,1758492338036,Synapse54
6,62677 (Pleasant Plains),Sangamon County,Illinois,862644d87ffffff,22,18.03,18.03,59622500.0,28775.85273544378,1758492338036,Synapse54,1758492338036,Synapse54
7,62977 (Raleigh),Saline County,Illinois,86264181fffffff,135,19.82,19.82,56496250.00390625,28004.54334642554,1758492338036,Synapse54,1758492338036,Synapse54
8,62086 (Sorento),Bond County,Illinois,862644647ffffff,55,18.15,18.15,58421250.0,28475.96848034799,1758492338036,Synapse54,1758492338036,Synapse54
9,60917 (Buckingham),Kankakee County,Illinois,862660db7ffffff,39,22.54,22.54,63145000.0,29605.700940160295,1758492338036,Synapse54,1758492338036,Synapse54
10,62670 (New Berlin),Sangamon County,Illinois,862644d8fffffff,25,17.99,17.99,59346250.0,28703.622390415578,1758492338036,Synapse54,1758492338036,Synapse54
11,62448 (Newton),Jasper County,Illinois,862645817ffffff,13,21.31,21.31,57262500.0,28202.266170611078,1758492338036,Synapse54,1758492338036,Synapse54
12,62275 (Pocahontas),Bond County,Illinois,86264464fffffff,112,19.86,19.86,58116249.99609375,28403.840614594294,1758492338036,Synapse54,1758492338036,Synapse54
13,61754 (Mc Lean),McLean County,Illinois,862662007ffffff,13,18.57,18.57,60601250.0,29008.773881211488,1758492338036,Synapse54,1758492338036,Synapse54
14,62677 (Pleasant Plains),Sangamon County,Illinois,862644d97ffffff,12,19.35,19.35,59346250.00390625,28703.622390415574,1758492338036,Synapse54,1758492338036,Synapse54
15,62001 (Alhambra),Madison County,Illinois,862644657ffffff,26,22.41,22.41,58218749.99609375,28431.039045424375,1758492338036,Synapse54,1758492338036,Synapse54
16,62817 (Broughton),Hamilton County,Illinois,862641827ffffff,38,17.51,17.51,56598750.00390625,28031.94898338375,1758492338036,Synapse54,1758492338036,Synapse54
17,61546 (Manito),Tazewell County,Illinois,862662587ffffff,105,18.1,18.1,60983749.99609375,29098.534377510718,1758492338036,Synapse54,1758492338036,Synapse54
18,62448 (Newton),Jasper County,Illinois,86264581fffffff,43,21.72,21.72,57262500.00390625,28202.266170611078,1758492338036,Synapse54,1758492338036,Synapse54
19,62366 (Pleasant Hill),Pike County,Illinois,862646d77ffffff,28,21.88,21.88,59592500.0,28761.06962319679,1758492338036,Synapse54,1758492338036,Synapse54
20,62677 (Pleasant Plains),Sangamon County,Illinois,862644d9fffffff,64,17.3,17.3,59416249.99609375,28725.816175588567,1758492338036,Synapse54,1758492338036,Synapse54
21,62275 (Pocahontas),Madison County,Illinois,86264465fffffff,32,23.02,23.02,58218750.0,28431.039045424375,1758492338036,Synapse54,1758492338036,Synapse54
22,62930 (Eldorado),Saline County,Illinois,86264182fffffff,13,18.31,18.31,56400000.0,27981.560622027962,1758492338036,Synapse54,1758492338036,Synapse54
23,62677 (Pleasant Plains),Sangamon County,Illinois,862644da7ffffff,54,21.01,21.01,59243750.0,28681.518563180733,1758492338036,Synapse54,1758492338036,Synapse54
24,62448 (Newton),Jasper County,Illinois,862645827ffffff,496,19.6,19.6,57281250.0,28206.032660072815,1758492338036,Synapse54,1758492338036,Synapse54
25,62817 (Broughton),Hamilton County,Illinois,862641837ffffff,21,23.08,23.08,56598749.99609375,28031.94898338375,1758492338036,Synapse54,1758492338036,Synapse54
26,62246 (Greenville),Bond County,Illinois,862644667ffffff,39,18.57,18.57,58218750.00390625,28431.262845956455,1758492338036,Synapse54,1758492338036,Synapse54
27,62448 (Newton),Jasper County,Illinois,86264582fffffff,28,19.86,19.86,57281250.00390625,28206.032660072815,1758492338036,Synapse54,1758492338036,Synapse54
28,61546 (Manito),Tazewell County,Illinois,86266258fffffff,125,19.47,19.47,61004999.9921875,29102.802185443034,1758492338036,Synapse54,1758492338036,Synapse54
29,62934 (Equality),Gallatin County,Illinois,862641847ffffff,13,22.41,22.41,56327500.00390625,27960.787159957814,1758492338036,Synapse54,1758492338036,Synapse54
30,62711 (Springfield),Sangamon County,Illinois,862644dafffffff,158,20.82,20.82,59040000.0,28636.482783039257,1758492338036,Synapse54,1758492338036,Synapse54
31,62448 (Newton),Jasper County,Illinois,862645837ffffff,51,21.79,21.79,57450000.00390625,28244.174274268687,1758492338036,Synapse54,1758492338036,Synapse54
32,62246 (Greenville),Bond County,Illinois,86264466fffffff,41,18.47,18.47,58218749.99609375,28431.26284595645,1758492338036,Synapse54,1758492338036,Synapse54
33,61754 (Mc Lean),McLean County,Illinois,86266200fffffff,15,19.48,19.48,60601249.9921875,29008.773881211488,1758492338036,Synapse54,1758492338036,Synapse54
34,61754 (Mc Lean),McLean County,Illinois,862662017ffffff,14,19.18,19.18,60695000.0078125,29030.608927731355,1758492338036,Synapse54,1758492338036,Synapse54
35,62954 (Junction),Gallatin County,Illinois,86264184fffffff,27,18.75,18.75,56430000.0,27988.19279691602,1758492338036,Synapse54,1758492338036,Synapse54
36,62425 (Dundas),Richland County,Illinois,862645847ffffff,40,18.43,18.43,56912500.0,28111.62887891004,1758492338036,Synapse54,1758492338036,Synapse54
37,61754 (Mc Lean),McLean County,Illinois,86266201fffffff,142,18.73,18.73,60601250.0,29008.77388121149,1758492338036,Synapse54,1758492338036,Synapse54
38,61772 (Shirley),McLean County,Illinois,862662027ffffff,38,18.63,18.63,60881249.99609375,29070.788558092554,1758492338036,Synapse54,1758492338036,Synapse54
39,62930 (Eldorado),Saline County,Illinois,862641857ffffff,79,17.75,17.75,56231249.99609375,27937.573278964068,1758492338036,Synapse54,1758492338036,Synapse54
40,62450 (Olney),Richland County,Illinois,86264584fffffff,199,18.77,18.77,57075000.0,28160.35806695347,1758492338036,Synapse54,1758492338036,Synapse54
41,61772 (Shirley),McLean County,Illinois,86266202fffffff,9,18.75,18.75,61003750.0,29101.375978727236,1758492338036,Synapse54,1758492338036,Synapse54
42,62265 (New Baden),Clinton County,Illinois,862640127ffffff,107,21.88,21.88,57945000.0,28358.942990582444,1758492338036,Synapse54,1758492338036,Synapse54
43,62934 (Equality),Saline County,Illinois,86264185fffffff,112,18.89,18.89,56429999.99609375,27988.19279691602,1758492338036,Synapse54,1758492338036,Synapse54
44,62355 (Nebo),Calhoun County,Illinois,862646c6fffffff,4,17.39,17.39,59490000.0,28733.884339428834,1758492338036,Synapse54,1758492338036,Synapse54
45,62425 (Dundas),Richland County,Illinois,862645857ffffff,45,19.91,19.91,56976250.00390625,28127.642985914044,1758492338036,Synapse54,1758492338036,Synapse54
46,61774 (Stanford),McLean County,Illinois,862662037ffffff,18,19.15,19.15,60601250.0,29008.773881211488,1758492338036,Synapse54,1758492338036,Synapse54
47,61777 (Wapella),De Witt County,Illinois,862662047ffffff,48,17.91,17.91,60287500.0,28934.321628569385,1758492338036,Synapse54,1758492338036,Synapse54
48,62979 (Ridgway),Gallatin County,Illinois,862641867ffffff,19,24.05,24.05,56412499.9921875,27989.965362304232,1758492338036,Synapse54,1758492338036,Synapse54
49,62450 (Olney),Richland County,Illinois,86264585fffffff,654,19.47,19.47,57262500.0,28202.266170611078,1758492338036,Synapse54,1758492338036,Synapse54
50,61727 (Clinton),De Witt County,Illinois,86266204fffffff,96,18.53,18.53,60368749.9921875,28949.748684312257,1758492338036,Synapse54,1758492338036,Synapse54
51,61778 (Waynesville),De Witt County,Illinois,862662057ffffff,27,19.85,19.85,60531250.0,28990.13956376064,1758492338036,Synapse54,1758492338036,Synapse54
52,62954 (Junction),Gallatin County,Illinois,86264186fffffff,136,22.97,22.97,56135000.0,27915.620822769335,1758492338036,Synapse54,1758492338036,Synapse54
53,62475 (West Liberty),Jasper County,Illinois,862645867ffffff,21,18.26,18.26,56912500.0,28111.62887891004,1758492338036,Synapse54,1758492338036,Synapse54
54,61727 (Clinton),De Witt County,Illinois,86266205fffffff,10,18.87,18.87,60102500.0078125,28888.700124452873,1758492338036,Synapse54,1758492338036,Synapse54
55,62930 (Eldorado),Gallatin County,Illinois,862641877ffffff,24,19.05,19.05,56413750.00390625,27990.188123769807,1758492338036,Synapse54,1758492338036,Synapse54
56,61745 (Heyworth),McLean County,Illinois,862662067ffffff,92,23.29,23.29,60625000.0,29012.165014698072,1758492338036,Synapse54,1758492338036,Synapse54
57,62450 (Olney),Richland County,Illinois,86264586fffffff,22,19.64,19.64,56912500.0,28111.62887891004,1758492338036,Synapse54,1758492338036,Synapse54
58,61777 (Wapella),De Witt County,Illinois,86266206fffffff,38,18.1,18.1,60344999.99609375,28944.7509479003,1758492338036,Synapse54,1758492338036,Synapse54
59,62935 (Galatia),Saline County,Illinois,862641887ffffff,50,23.7,23.7,56480000.00390625,28001.3500583006,1758492338036,Synapse54,1758492338036,Synapse54
60,61745 (Heyworth),McLean County,Illinois,862662077ffffff,32,20.51,20.51,60437500.0078125,28966.543510581563,1758492338036,Synapse54,1758492338036,Synapse54
61,62475 (West Liberty),Jasper County,Illinois,862645877ffffff,72,19.3,19.3,57062499.99609375,28151.95825383913,1758492338036,Synapse54,1758492338036,Synapse54
62,61723 (Atlanta),Logan County,Illinois,862662087ffffff,37,26.81,26.81,60695000.0,29025.39994223221,1758492338036,Synapse54,1758492338036,Synapse54
63,61723 (Atlanta),Logan County,Illinois,86266208fffffff,57,34.34,34.34,60479999.99609375,28978.143976738203,1758492338036,Synapse54,1758492338036,Synapse54
64,62946 (Harrisburg),Saline County,Illinois,86264188fffffff,98,22.63,22.63,56592500.00390625,28026.495802620273,1758492338036,Synapse54,1758492338036,Synapse54
65,62858 (Louisville),Clay County,Illinois,862645887ffffff,19,21.35,21.35,57262499.99609375,28202.266170611078,1758492338036,Synapse54,1758492338036,Synapse54
66,61734 (Delavan),Tazewell County,Illinois,862662097ffffff,18,21.18,21.18,60457500.00390625,28973.53928974797,1758492338036,Synapse54,1758492338036,Synapse54
67,62890 (Thompsonville),Williamson County,Illinois,862641897ffffff,42,20.49,20.49,56577500.0,28023.310909625925,1758492338036,Synapse54,1758492338036,Synapse54
68,62643 (Hartsburg),Logan County,Illinois,86266209fffffff,28,25.45,25.45,60457500.0078125,28973.53928974797,1758492338036,Synapse54,1758492338036,Synapse54
69,62434 (Ingraham),Clay County,Illinois,86264588fffffff,45,21.13,21.13,57257500.00390625,28196.234104264022,1758492338036,Synapse54,1758492338036,Synapse54
70,61721 (Armington),Tazewell County,Illinois,8626620a7ffffff,70,19.66,19.66,60578749.9921875,29004.16919422125,1758492338036,Synapse54,1758492338036,Synapse54
71,61723 (Atlanta),Logan County,Illinois,8626620afffffff,20,25.32,25.32,60479999.99609375,28978.143976738203,1758492338036,Synapse54,1758492338036,Synapse54
72,62935 (Galatia),Saline County,Illinois,86264189fffffff,75,21.87,21.87,56680000.0,28050.71654658413,1758492338036,Synapse54,1758492338036,Synapse54
73,62858 (Louisville),Clay County,Illinois,862645897ffffff,27,20.77,20.77,57443750.0,28238.384126465917,1758492338036,Synapse54,1758492338036,Synapse54
74,61721 (Armington),Tazewell County,Illinois,8626620b7ffffff,22,20.0,20.0,60901250.0,29083.18372717567,1758492338036,Synapse54,1758492338036,Synapse54
75,62935 (Galatia),Saline County,Illinois,8626418a7ffffff,45,23.32,23.32,56767499.9921875,28075.93632644764,1758492338036,Synapse54,1758492338036,Synapse54
76,61723 (Atlanta),Logan County,Illinois,8626620c7ffffff,16,18.6,18.6,60223750.0,28914.35110947842,1758492338036,Synapse54,1758492338036,Synapse54
77,62858 (Louisville),Clay County,Illinois,86264589fffffff,18,20.69,20.69,57257500.00390625,28196.234104264022,1758492338036,Synapse54,1758492338036,Synapse54
78,62512 (Beason),Logan County,Illinois,8626620cfffffff,40,18.78,18.78,60014999.9921875,28864.08152005904,1758492338036,Synapse54,1758492338036,Synapse54
79,62935 (Galatia),Saline County,Illinois,8626418afffffff,229,22.79,22.79,56496249.99609375,28004.543346425544,1758492338036,Synapse54,1758492338036,Synapse54
80,62656 (Lincoln),Logan County,Illinois,8626620d7ffffff,57,31.15,31.15,60479999.99609375,28978.143976738203,1758492338036,Synapse54,1758492338036,Synapse54
