OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,41095 (Warsaw),Gallatin County,Kentucky,862a936e7ffffff,167,22.18,22.18,57048749.99609375,28147.819529906967,1758492351220,Synapse54,1758492351220,Synapse54
2,47967 (New Richmond),Montgomery County,Indiana,862661d8fffffff,25,22.32,22.32,60905000.00390625,29077.129031369044,1758492351220,Synapse54,1758492351220,Synapse54
3,47038 (Patriot),Switzerland County,Indiana,862a936f7ffffff,52,20.97,20.97,57277500.00390625,28201.423390092667,1758492351220,Synapse54,1758492351220,Synapse54
4,47918 (Attica),Fountain County,Indiana,862661d97ffffff,89,20.46,20.46,61153749.9921875,29138.993547579987,1758492351220,Synapse54,1758492351220,Synapse54
5,47118 (English),Perry County,Indiana,86266852fffffff,74,21.76,21.76,55130000.00390625,27677.539064870278,1758492351220,Synapse54,1758492351220,Synapse54
6,47001 (Aurora),Ohio County,Indiana,862a93787ffffff,213,18.55,18.55,57637500.0,28293.67307357544,1758492351220,Synapse54,1758492351220,Synapse54
7,47918 (Attica),Fountain County,Indiana,862661d9fffffff,67,21.41,21.41,60676250.0,29020.18160270625,1758492351220,Synapse54,1758492351220,Synapse54
8,46052 (Lebanon),Boone County,Indiana,86266180fffffff,101,19.35,19.35,60531250.00390625,28987.99797647625,1758492351220,Synapse54,1758492351220,Synapse54
9,47223 (Butlerville),Jennings County,Indiana,86266cb97ffffff,116,22.79,22.79,57887500.0,28352.763178672885,1758492351220,Synapse54,1758492351220,Synapse54
10,47040 (Rising Sun),Ohio County,Indiana,862a9378fffffff,631,19.34,19.34,57670000.00390625,28300.969882668316,1758492351220,Synapse54,1758492351220,Synapse54
11,47992 (Westpoint),Tippecanoe County,Indiana,862661da7ffffff,114,20.8,20.8,60992500.00390625,29097.84404649705,1758492351220,Synapse54,1758492351220,Synapse54
12,46052 (Lebanon),Boone County,Indiana,862661817ffffff,106,20.38,20.38,60802499.9921875,29048.83105533766,1758492351220,Synapse54,1758492351220,Synapse54
13,47001 (Aurora),Dearborn County,Indiana,862a93797ffffff,224,18.14,18.14,57638750.0,28293.51108595737,1758492351220,Synapse54,1758492351220,Synapse54
14,47223 (Butlerville),Jennings County,Indiana,86266cb9fffffff,36,24.16,24.16,57525000.0,28260.41097257797,1758492351220,Synapse54,1758492351220,Synapse54
15,47992 (Westpoint),Tippecanoe County,Indiana,862661dafffffff,28,23.53,23.53,60992500.0,29097.84404649705,1758492351220,Synapse54,1758492351220,Synapse54
16,46052 (Lebanon),Boone County,Indiana,86266181fffffff,3636,21.81,21.81,60502499.99609375,28981.690602013176,1758492351220,Synapse54,1758492351220,Synapse54
