OBJECTID,admin4_name,admin3_name,admin2_name,id,GENZ_CY,GENZ_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53964 (Westfield),Marquette County,Wisconsin,86275c6a7ffffff,40,17.7,17.7,72154999.99609375,31633.72700432269,1758492366373,Synapse54,1758492366373,Synapse54
2,54636 (Holmen),La Crosse County,Wisconsin,86275e58fffffff,207,21.95,21.95,72087500.0,31621.05531154598,1758492366373,Synapse54,1758492366373,Synapse54
3,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758ad7ffffff,79,15.52,15.52,68948750.0,30929.678856878054,1758492366373,Synapse54,1758492366373,Synapse54
4,54630 (Galesville),Trempealeau County,Wisconsin,86275e597ffffff,158,19.63,19.63,72087500.0,31621.05531154598,1758492366373,Synapse54,1758492366373,Synapse54
5,53949 (Montello),Marquette County,Wisconsin,86275c6afffffff,106,14.36,14.36,71821249.9921875,31563.60277024869,1758492366373,Synapse54,1758492366373,Synapse54
6,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758adfffffff,29,14.72,14.72,68820000.0,30899.444609658494,1758492366373,Synapse54,1758492366373,Synapse54
7,54636 (Holmen),La Crosse County,Wisconsin,86275e59fffffff,1107,24.3,24.3,71886250.00390625,31576.776419391437,1758492366373,Synapse54,1758492366373,Synapse54
8,54627 (Ettrick),Trempealeau County,Wisconsin,86275e5a7ffffff,29,17.68,17.68,72212500.0,31649.787783389325,1758492366373,Synapse54,1758492366373,Synapse54
9,53952 (Oxford),Adams County,Wisconsin,86275c6b7ffffff,40,15.63,15.63,72133750.00390625,31629.197250437297,1758492366373,Synapse54,1758492366373,Synapse54
10,53549 (Jefferson),Jefferson County,Wisconsin,862758ae7ffffff,285,23.38,23.38,69047500.0,30947.278171270955,1758492366373,Synapse54,1758492366373,Synapse54
11,54636 (Holmen),La Crosse County,Wisconsin,86275e5afffffff,99,20.16,20.16,72212500.0,31649.787783389325,1758492366373,Synapse54,1758492366373,Synapse54
12,54630 (Galesville),Trempealeau County,Wisconsin,86275e5b7ffffff,70,16.75,16.75,72505000.0,31715.942236945088,1758492366373,Synapse54,1758492366373,Synapse54
13,53930 (Endeavor),Marquette County,Wisconsin,86275c6c7ffffff,113,22.07,22.07,71279999.99609375,31445.054203417454,1758492366373,Synapse54,1758492366373,Synapse54
14,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758aefffffff,2591,20.75,20.75,69095000.0,30955.747526061983,1758492366373,Synapse54,1758492366373,Synapse54
15,54665 (Viroqua),Vernon County,Wisconsin,86275e607ffffff,124,21.99,21.99,70680000.0,31311.462371509217,1758492366373,Synapse54,1758492366373,Synapse54
16,53901 (Portage),Columbia County,Wisconsin,86275c6cfffffff,54,19.57,19.57,71308750.0,31453.71325746008,1758492366373,Synapse54,1758492366373,Synapse54
17,54665 (Viroqua),Vernon County,Wisconsin,86275e60fffffff,56,21.88,21.88,70431250.00390625,31256.280822225614,1758492366373,Synapse54,1758492366373,Synapse54
18,53538 (Fort Atkinson),Jefferson County,Wisconsin,862758af7ffffff,128,15.82,15.82,69172499.99609375,30979.989872088925,1758492366373,Synapse54,1758492366373,Synapse54
19,53930 (Endeavor),Marquette County,Wisconsin,86275c6d7ffffff,43,20.28,20.28,71595000.00390625,31514.125785494565,1758492366373,Synapse54,1758492366373,Synapse54
20,53098 (Watertown),Dodge County,Wisconsin,862758b07ffffff,204,18.87,18.87,69904999.9921875,31138.85227227682,1758492366373,Synapse54,1758492366373,Synapse54
21,53901 (Portage),Columbia County,Wisconsin,86275c6dfffffff,46,14.51,14.51,71077500.0,31398.414286284402,1758492366373,Synapse54,1758492366373,Synapse54
22,53094 (Watertown),Jefferson County,Wisconsin,862758b0fffffff,2167,22.91,22.91,69936250.00390625,31147.963534484606,1758492366373,Synapse54,1758492366373,Synapse54
23,53949 (Montello),Marquette County,Wisconsin,86275c6e7ffffff,66,20.89,20.89,71641250.0,31523.26423999493,1758492366373,Synapse54,1758492366373,Synapse54
24,53098 (Watertown),Dodge County,Wisconsin,862758b17ffffff,51,18.48,18.48,70137500.00390625,31193.39287785273,1758492366373,Synapse54,1758492366373,Synapse54
25,53949 (Montello),Marquette County,Wisconsin,86275c6efffffff,95,23.34,23.34,71641250.0,31523.26423999493,1758492366373,Synapse54,1758492366373,Synapse54
26,53094 (Watertown),Jefferson County,Wisconsin,862758b1fffffff,57,17.81,17.81,69707500.00390625,31099.98260166592,1758492366373,Synapse54,1758492366373,Synapse54
27,53949 (Montello),Marquette County,Wisconsin,86275c6f7ffffff,162,20.12,20.12,71822500.0,31563.638178127494,1758492366373,Synapse54,1758492366373,Synapse54
28,53098 (Watertown),Dodge County,Wisconsin,862758b27ffffff,47,18.08,18.08,70083750.0078125,31177.60811927672,1758492366373,Synapse54,1758492366373,Synapse54
29,54960 (Neshkoro),Marquette County,Wisconsin,86275c707ffffff,27,13.71,13.71,72412500.0078125,31691.072500370763,1758492366373,Synapse54,1758492366373,Synapse54
30,53098 (Watertown),Dodge County,Wisconsin,862758b2fffffff,2952,23.14,23.14,70137500.0,31193.392877852733,1758492366373,Synapse54,1758492366373,Synapse54
31,54960 (Neshkoro),Marquette County,Wisconsin,86275c70fffffff,29,13.94,13.94,72412500.0,31691.072500370763,1758492366373,Synapse54,1758492366373,Synapse54
32,53579 (Reeseville),Dodge County,Wisconsin,862758b37ffffff,56,20.29,20.29,70367500.0,31241.153943472676,1758492366373,Synapse54,1758492366373,Synapse54
33,54982 (Wautoma),Marquette County,Wisconsin,86275c717ffffff,48,17.39,17.39,72774999.99609375,31768.888527548293,1758492366373,Synapse54,1758492366373,Synapse54
34,53094 (Watertown),Jefferson County,Wisconsin,862758b47ffffff,132,21.22,21.22,69986250.00390625,31156.349628950502,1758492366373,Synapse54,1758492366373,Synapse54
35,53949 (Montello),Marquette County,Wisconsin,86275c71fffffff,22,13.66,13.66,72382500.0,31683.02908011404,1758492366373,Synapse54,1758492366373,Synapse54
36,53178 (Sullivan),Jefferson County,Wisconsin,862758b4fffffff,171,17.13,17.13,69757499.98828125,31108.368696131816,1758492366373,Synapse54,1758492366373,Synapse54
37,54960 (Neshkoro),Waushara County,Wisconsin,86275c727ffffff,80,13.14,13.14,72928750.00390625,31803.106555274942,1758492366373,Synapse54,1758492366373,Synapse54
38,53094 (Watertown),Jefferson County,Wisconsin,862758b57ffffff,94,17.18,17.18,69757499.9921875,31108.368696131816,1758492366373,Synapse54,1758492366373,Synapse54
39,54960 (Neshkoro),Marquette County,Wisconsin,86275c72fffffff,127,13.82,13.82,72412500.0,31691.072500370763,1758492366373,Synapse54,1758492366373,Synapse54
40,53137 (Helenville),Jefferson County,Wisconsin,862758b5fffffff,103,17.55,17.55,69531250.00390625,31058.057680920945,1758492366373,Synapse54,1758492366373,Synapse54
41,54665 (Viroqua),Vernon County,Wisconsin,86275e617ffffff,862,18.41,18.41,70450000.0,31263.182945152774,1758492366373,Synapse54,1758492366373,Synapse54
42,53036 (Ixonia),Jefferson County,Wisconsin,862758b67ffffff,640,23.24,23.24,69837500.0,31126.667298901226,1758492366373,Synapse54,1758492366373,Synapse54
43,54982 (Wautoma),Waushara County,Wisconsin,86275c737ffffff,47,17.03,17.03,72570000.00390625,31728.757489851818,1758492366373,Synapse54,1758492366373,Synapse54
44,53066 (Oconomowoc),Jefferson County,Wisconsin,862758b6fffffff,1373,22.12,22.12,69757500.0,31108.368696131816,1758492366373,Synapse54,1758492366373,Synapse54
45,54968 (Princeton),Green Lake County,Wisconsin,86275c747ffffff,328,17.51,17.51,72180000.00390625,31643.296384993937,1758492366373,Synapse54,1758492366373,Synapse54
46,54665 (Viroqua),Vernon County,Wisconsin,86275e61fffffff,199,20.14,20.14,70556250.00390625,31285.40420498482,1758492366373,Synapse54,1758492366373,Synapse54
47,53094 (Watertown),Jefferson County,Wisconsin,862758b77ffffff,448,20.18,20.18,69806249.99609375,31117.55603669344,1758492366373,Synapse54,1758492366373,Synapse54
48,54968 (Princeton),Green Lake County,Wisconsin,86275c74fffffff,69,14.35,14.35,71998749.99609375,31601.562707803143,1758492366373,Synapse54,1758492366373,Synapse54
49,54667 (Westby),Vernon County,Wisconsin,86275e627ffffff,72,22.57,22.57,70680000.0,31311.462371509217,1758492366373,Synapse54,1758492366373,Synapse54
50,53594 (Waterloo),Jefferson County,Wisconsin,862758b87ffffff,887,22.31,22.31,69904999.9921875,31137.821524200444,1758492366373,Synapse54,1758492366373,Synapse54
51,54968 (Princeton),Marquette County,Wisconsin,86275c757ffffff,25,14.12,14.12,72180000.0,31643.296384993937,1758492366373,Synapse54,1758492366373,Synapse54
52,53594 (Waterloo),Jefferson County,Wisconsin,862758b8fffffff,87,19.82,19.82,69881250.0078125,31134.143851005683,1758492366373,Synapse54,1758492366373,Synapse54
53,54968 (Princeton),Green Lake County,Wisconsin,86275c75fffffff,73,13.52,13.52,72180000.0,31643.296384993933,1758492366373,Synapse54,1758492366373,Synapse54
54,53559 (Marshall),Dane County,Wisconsin,862758b97ffffff,701,22.29,22.29,70082500.00390625,31179.57319437381,1758492366373,Synapse54,1758492366373,Synapse54
55,54960 (Neshkoro),Green Lake County,Wisconsin,86275c767ffffff,19,17.76,17.76,72412499.99609375,31691.072500370763,1758492366373,Synapse54,1758492366373,Synapse54
56,53559 (Marshall),Dane County,Wisconsin,862758b9fffffff,358,21.37,21.37,69652499.99609375,31086.483539964836,1758492366373,Synapse54,1758492366373,Synapse54
57,54968 (Princeton),Green Lake County,Wisconsin,86275c76fffffff,50,16.45,16.45,72180000.0,31643.296384993937,1758492366373,Synapse54,1758492366373,Synapse54
58,53594 (Waterloo),Dodge County,Wisconsin,862758ba7ffffff,59,18.1,18.1,70082499.9921875,31179.57319437381,1758492366373,Synapse54,1758492366373,Synapse54
59,54960 (Neshkoro),Marquette County,Wisconsin,86275c777ffffff,51,15.99,15.99,72412500.00390625,31691.072500370763,1758492366373,Synapse54,1758492366373,Synapse54
60,53594 (Waterloo),Jefferson County,Wisconsin,862758bafffffff,69,19.22,19.22,70082500.0,31179.573194373806,1758492366373,Synapse54,1758492366373,Synapse54
61,53964 (Westfield),Marquette County,Wisconsin,86275c787ffffff,43,17.55,17.55,72337500.0,31674.359219634527,1758492366373,Synapse54,1758492366373,Synapse54
62,53594 (Waterloo),Dane County,Wisconsin,862758bb7ffffff,54,19.71,19.71,69881250.0078125,31134.14385100568,1758492366373,Synapse54,1758492366373,Synapse54
63,53964 (Westfield),Marquette County,Wisconsin,86275c78fffffff,358,21.15,21.15,72053750.00390625,31611.98754504347,1758492366373,Synapse54,1758492366373,Synapse54
64,53555 (Lodi),Columbia County,Wisconsin,862758c4fffffff,117,21.63,21.63,70236250.00390625,31211.53288087835,1758492366373,Synapse54,1758492366373,Synapse54
65,53964 (Westfield),Marquette County,Wisconsin,86275c797ffffff,47,17.03,17.03,72337500.0,31674.359219634527,1758492366373,Synapse54,1758492366373,Synapse54
66,53555 (Lodi),Columbia County,Wisconsin,862758c5fffffff,746,20.68,20.68,70236249.99609375,31211.53288087835,1758492366373,Synapse54,1758492366373,Synapse54
67,53964 (Westfield),Marquette County,Wisconsin,86275c79fffffff,98,18.85,18.85,72235000.00390625,31652.405022026833,1758492366373,Synapse54,1758492366373,Synapse54
