OBJECTID,admin4_name,admin3_name,admin2_name,id,MILLENN_CY,MILLENN_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,46992 (Wabash),Wabash County,Indiana,862665b57ffffff,80,16.46,16.46,62493750.0,29451.581067338346,1758492393705,Synapse54,1758492393705,Synapse54
2,46940 (La Fontaine),Huntington County,Indiana,862665b5fffffff,49,19.22,19.22,62602499.99609375,29478.56672871935,1758492393705,Synapse54,1758492393705,Synapse54
3,46750 (Huntington),Huntington County,Indiana,862665b67ffffff,58,19.4,19.4,62936250.00390625,29552.227747392397,1758492393705,Synapse54,1758492393705,Synapse54
4,46792 (Warren),Huntington County,Indiana,862665b6fffffff,54,16.22,16.22,62634999.99609375,29485.467045665726,1758492393705,Synapse54,1758492393705,Synapse54
5,46750 (Huntington),Huntington County,Indiana,862665b77ffffff,35,19.44,19.44,62686250.00390625,29498.261179061872,1758492393705,Synapse54,1758492393705,Synapse54
6,46992 (Wabash),Wabash County,Indiana,862665b87ffffff,54,17.94,17.94,62926250.00390625,29552.215354095555,1758492393705,Synapse54,1758492393705,Synapse54
7,46112 (Brownsburg),Hendricks County,Indiana,862661b9fffffff,4168,22.45,22.45,59730000.0,28795.136466312913,1758492393705,Synapse54,1758492393705,Synapse54
8,46992 (Wabash),Wabash County,Indiana,862665b8fffffff,120,18.38,18.38,62708750.0,29500.00243663729,1758492393705,Synapse54,1758492393705,Synapse54
9,46278 (Indianapolis),Marion County,Indiana,862661ba7ffffff,1096,19.1,19.1,59857500.0,28827.054250019373,1758492393705,Synapse54,1758492393705,Synapse54
10,46970 (Peru),Miami County,Indiana,862665b97ffffff,67,18.41,18.41,62987500.0,29566.683937147056,1758492393705,Synapse54,1758492393705,Synapse54
11,46254 (Indianapolis),Marion County,Indiana,862661bafffffff,10982,27.76,27.76,59730000.00390625,28792.86326254365,1758492393705,Synapse54,1758492393705,Synapse54
12,46970 (Peru),Miami County,Indiana,862665b9fffffff,75,16.82,16.82,62708749.9921875,29500.00243663729,1758492393705,Synapse54,1758492393705,Synapse54
13,46112 (Brownsburg),Hendricks County,Indiana,862661bb7ffffff,1129,19.73,19.73,60130000.0,28894.051459290073,1758492393705,Synapse54,1758492393705,Synapse54
14,46992 (Wabash),Wabash County,Indiana,862665ba7ffffff,88,19.86,19.86,63150000.00390625,29605.727594301985,1758492393705,Synapse54,1758492393705,Synapse54
15,47933 (Crawfordsville),Montgomery County,Indiana,862661c07ffffff,50,22.52,22.52,60905000.0,29077.129031369044,1758492393705,Synapse54,1758492393705,Synapse54
16,47933 (Crawfordsville),Montgomery County,Indiana,862661c0fffffff,95,23.4,23.4,60243750.00390625,28917.16336238421,1758492393705,Synapse54,1758492393705,Synapse54
17,46992 (Wabash),Wabash County,Indiana,862665bafffffff,1726,21.29,21.29,63149999.99609375,29605.727594301985,1758492393705,Synapse54,1758492393705,Synapse54
18,47994 (Wingate),Montgomery County,Indiana,862661c17ffffff,103,20.85,20.85,60462500.0,28972.828547965353,1758492393705,Synapse54,1758492393705,Synapse54
19,47990 (Waynetown),Montgomery County,Indiana,862661c1fffffff,52,21.94,21.94,60562500.0,28998.53637242412,1758492393705,Synapse54,1758492393705,Synapse54
20,47967 (New Richmond),Montgomery County,Indiana,862661c27ffffff,212,23.37,23.37,60905000.0,29077.129031369044,1758492393705,Synapse54,1758492393705,Synapse54
21,47933 (Crawfordsville),Montgomery County,Indiana,862661c2fffffff,68,24.11,24.11,60243749.99609375,28917.16336238421,1758492393705,Synapse54,1758492393705,Synapse54
22,47967 (New Richmond),Montgomery County,Indiana,862661c37ffffff,104,22.03,22.03,60650000.0,29019.244020314913,1758492393705,Synapse54,1758492393705,Synapse54
23,46926 (Denver),Miami County,Indiana,862665bb7ffffff,69,19.6,19.6,62957500.0,29558.523246195808,1758492393705,Synapse54,1758492393705,Synapse54
24,47933 (Crawfordsville),Montgomery County,Indiana,862661c47ffffff,955,20.6,20.6,60243750.0,28917.16336238421,1758492393705,Synapse54,1758492393705,Synapse54
25,47933 (Crawfordsville),Montgomery County,Indiana,862661c4fffffff,142,22.94,22.94,60157499.99609375,28896.694763576186,1758492393705,Synapse54,1758492393705,Synapse54
26,47933 (Crawfordsville),Montgomery County,Indiana,862661c57ffffff,2706,21.05,21.05,60375000.00390625,28952.120900074562,1758492393705,Synapse54,1758492393705,Synapse54
27,47933 (Crawfordsville),Montgomery County,Indiana,862661c5fffffff,526,20.69,20.69,60157499.99609375,28896.694763576186,1758492393705,Synapse54,1758492393705,Synapse54
28,47933 (Crawfordsville),Montgomery County,Indiana,862661c67ffffff,245,21.18,21.18,60371250.00390625,28949.08875276153,1758492393705,Synapse54,1758492393705,Synapse54
29,47933 (Crawfordsville),Montgomery County,Indiana,862661c6fffffff,40,21.16,21.16,60371250.00390625,28949.088752761527,1758492393705,Synapse54,1758492393705,Synapse54
