OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,62458 (Saint Elmo),Fayette County,Illinois,862645d8fffffff,179,18.88,18.88,57797500.0,28329.389774144587,1758492426650,Synapse54,1758492426650,Synapse54
2,62563 (Rochester),Sangamon County,Illinois,8626448b7ffffff,55,21.24,21.24,58971250.0,28614.68248299292,1758492426650,Synapse54,1758492426650,Synapse54
3,62418 (Brownstown),Fayette County,Illinois,862645d97ffffff,48,20.87,20.87,57863749.99609375,28344.841203192394,1758492426650,Synapse54,1758492426650,Synapse54
4,62626 (Carlinville),Macoupin County,Illinois,86264445fffffff,20,21.05,21.05,59039999.99609375,28631.38441193168,1758492426650,Synapse54,1758492426650,Synapse54
5,62626 (Carlinville),Macoupin County,Illinois,862644467ffffff,43,17.62,17.62,59039999.99609375,28631.38441193168,1758492426650,Synapse54,1758492426650,Synapse54
6,62568 (Taylorville),Christian County,Illinois,8626448c7ffffff,1066,21.78,21.78,58628749.99609375,28531.792056034672,1758492426650,Synapse54,1758492426650,Synapse54
7,62458 (Saint Elmo),Fayette County,Illinois,862645d9fffffff,54,19.01,19.01,57693750.00390625,28300.96428323849,1758492426650,Synapse54,1758492426650,Synapse54
8,62555 (Owaneco),Christian County,Illinois,8626448cfffffff,74,27.41,27.41,58425000.00390625,28481.30249955349,1758492426650,Synapse54,1758492426650,Synapse54
9,62414 (Beecher City),Fayette County,Illinois,862645da7ffffff,52,21.76,21.76,57985000.0,28376.05941118215,1758492426650,Synapse54,1758492426650,Synapse54
10,62672 (Nilwood),Macoupin County,Illinois,86264446fffffff,18,16.22,16.22,58781250.0,28567.6428407055,1758492426650,Synapse54,1758492426650,Synapse54
11,62568 (Taylorville),Christian County,Illinois,8626448d7ffffff,1462,19.2,19.2,58766250.00390625,28564.428574609665,1758492426650,Synapse54,1758492426650,Synapse54
12,62411 (Altamont),Effingham County,Illinois,862645dafffffff,313,18.28,18.28,57782500.0,28326.356910810646,1758492426650,Synapse54,1758492426650,Synapse54
13,62626 (Carlinville),Macoupin County,Illinois,862644477ffffff,35,18.23,18.23,58680000.0,28544.80842268175,1758492426650,Synapse54,1758492426650,Synapse54
14,62086 (Sorento),Bond County,Illinois,862644677ffffff,44,19.73,19.73,58390000.00390625,28475.444920139747,1758492426650,Synapse54,1758492426650,Synapse54
15,62568 (Taylorville),Christian County,Illinois,8626448dfffffff,90,19.82,19.82,58732500.0,28559.211546394177,1758492426650,Synapse54,1758492426650,Synapse54
16,62001 (Alhambra),Madison County,Illinois,8626446cfffffff,97,22.1,22.1,58506250.0,28495.659389104236,1758492426650,Synapse54,1758492426650,Synapse54
17,62414 (Beecher City),Fayette County,Illinois,862645db7ffffff,32,21.77,21.77,57985000.0,28376.05941118215,1758492426650,Synapse54,1758492426650,Synapse54
18,62001 (Alhambra),Madison County,Illinois,8626446e7ffffff,129,20.71,20.71,58287500.00390625,28448.022688777586,1758492426650,Synapse54,1758492426650,Synapse54
19,62044 (Greenfield),Greene County,Illinois,862644487ffffff,49,19.52,19.52,59040000.00390625,28631.38441193168,1758492426650,Synapse54,1758492426650,Synapse54
20,62265 (New Baden),Clinton County,Illinois,862640127ffffff,104,21.27,21.27,57945000.0,28358.942990582444,1758492426650,Synapse54,1758492426650,Synapse54
21,62056 (Litchfield),Montgomery County,Illinois,862644707ffffff,168,20.27,20.27,58404999.99609375,28472.98305760687,1758492426650,Synapse54,1758492426650,Synapse54
22,62568 (Taylorville),Christian County,Illinois,8626448e7ffffff,54,19.15,19.15,58594999.99609375,28525.814719486723,1758492426650,Synapse54,1758492426650,Synapse54
23,61272 (New Boston),Mercer County,Illinois,862670967ffffff,7,21.88,21.88,62926249.99609375,29553.278224163063,1758492426650,Synapse54,1758492426650,Synapse54
24,62271 (Okawville),Clinton County,Illinois,86264012fffffff,53,20.38,20.38,57742500.0,28309.303506499375,1758492426650,Synapse54,1758492426650,Synapse54
25,62338 (Fowler),Adams County,Illinois,862673b37ffffff,122,22.39,22.39,60406250.00390625,28959.613305042094,1758492426650,Synapse54,1758492426650,Synapse54
26,62347 (Liberty),Adams County,Illinois,862673b47ffffff,49,20.16,20.16,60543750.00390625,28991.989812650623,1758492426650,Synapse54,1758492426650,Synapse54
27,47631 (New Harmony),Posey County,Indiana,86264526fffffff,7,18.92,18.92,56134999.99609375,27921.19020520542,1758492426650,Synapse54,1758492426650,Synapse54
28,62056 (Litchfield),Montgomery County,Illinois,86264470fffffff,22,18.33,18.33,58781250.0,28567.642840705506,1758492426650,Synapse54,1758492426650,Synapse54
29,62312 (Barry),Adams County,Illinois,862673b4fffffff,17,19.54,19.54,60232500.0,28915.132722347902,1758492426650,Synapse54,1758492426650,Synapse54
30,62827 (Crossville),White County,Illinois,86264534fffffff,22,19.64,19.64,56351249.99609375,27970.178915552202,1758492426650,Synapse54,1758492426650,Synapse54
31,62069 (Mount Olive),Macoupin County,Illinois,86264471fffffff,75,20.89,20.89,58390000.0,28475.444920139747,1758492426650,Synapse54,1758492426650,Synapse54
