OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47987 (Veedersburg),Fountain County,Indiana,862661cb7ffffff,28,18.67,18.67,60748749.99609375,29040.33253830565,1758492439424,Synapse54,1758492439424,Synapse54
2,47990 (Waynetown),Montgomery County,Indiana,862661cc7ffffff,52,19.19,19.19,60462500.0,28972.828547965353,1758492439424,Synapse54,1758492439424,Synapse54
3,47933 (Crawfordsville),Montgomery County,Indiana,862661ccfffffff,174,22.31,22.31,60001250.00390625,28864.257328643547,1758492439424,Synapse54,1758492439424,Synapse54
4,47949 (Hillsboro),Fountain County,Indiana,862661cd7ffffff,37,21.76,21.76,60187500.0,28905.8842861403,1758492439424,Synapse54,1758492439424,Synapse54
5,47990 (Waynetown),Montgomery County,Indiana,862661cdfffffff,46,21.3,21.3,59874999.99609375,28832.5037658604,1758492439424,Synapse54,1758492439424,Synapse54
6,47933 (Crawfordsville),Montgomery County,Indiana,862661ce7ffffff,108,20.45,20.45,60501249.99609375,28984.28533953465,1758492439424,Synapse54,1758492439424,Synapse54
7,47933 (Crawfordsville),Montgomery County,Indiana,862661cefffffff,330,21.25,21.25,60030000.00390625,28870.25704473383,1758492439424,Synapse54,1758492439424,Synapse54
8,47990 (Waynetown),Montgomery County,Indiana,862661cf7ffffff,231,19.4,19.4,60462500.0,28972.828547965353,1758492439424,Synapse54,1758492439424,Synapse54
9,47909 (Lafayette),Tippecanoe County,Indiana,862661d07ffffff,76,19.74,19.74,61282500.00390625,29170.529051122405,1758492439424,Synapse54,1758492439424,Synapse54
10,47981 (Romney),Tippecanoe County,Indiana,862661d0fffffff,141,20.83,20.83,60933749.99609375,29083.26206076716,1758492439424,Synapse54,1758492439424,Synapse54
11,47909 (Lafayette),Tippecanoe County,Indiana,862661d17ffffff,93,21.23,21.23,60992500.0,29097.844046497055,1758492439424,Synapse54,1758492439424,Synapse54
12,47981 (Romney),Tippecanoe County,Indiana,862661d1fffffff,26,20.47,20.47,60992499.99609375,29097.844046497055,1758492439424,Synapse54,1758492439424,Synapse54
13,47909 (Lafayette),Tippecanoe County,Indiana,862661d27ffffff,2781,20.02,20.02,61207499.99609375,29144.958052155176,1758492439424,Synapse54,1758492439424,Synapse54
14,47909 (Lafayette),Tippecanoe County,Indiana,862661d2fffffff,160,21.77,21.77,60933750.00390625,29083.26206076716,1758492439424,Synapse54,1758492439424,Synapse54
15,62821 (Carmi),White County,Illinois,86264524fffffff,30,19.48,19.48,56532500.0,28015.598433874227,1758492439424,Synapse54,1758492439424,Synapse54
16,47631 (New Harmony),Posey County,Indiana,86264526fffffff,7,18.92,18.92,56135000.0,27915.620822769335,1758492439424,Synapse54,1758492439424,Synapse54
17,62827 (Crossville),White County,Illinois,86264534fffffff,22,19.64,19.64,56454999.99609375,27997.829653857236,1758492439424,Synapse54,1758492439424,Synapse54
18,46567 (Syracuse),Kosciusko County,Indiana,86274b217ffffff,686,19.53,19.53,64773750.00390625,29979.983070586673,1758492439424,Synapse54,1758492439424,Synapse54
19,47170 (Scottsburg),Washington County,Indiana,86266c74fffffff,130,21.63,21.63,56816250.0,28093.534102774287,1758492439424,Synapse54,1758492439424,Synapse54
20,46555 (North Webster),Kosciusko County,Indiana,86274b21fffffff,353,19.04,19.04,64578750.00390625,29932.75538639727,1758492439424,Synapse54,1758492439424,Synapse54
21,46539 (Mentone),Kosciusko County,Indiana,862665837ffffff,80,20.05,20.05,63693750.00390625,29732.909414058096,1758492439424,Synapse54,1758492439424,Synapse54
22,46732 (Cromwell),Noble County,Indiana,86274b22fffffff,165,20.63,20.63,64660000.0,29951.869056491672,1758492439424,Synapse54,1758492439424,Synapse54
23,47170 (Scottsburg),Washington County,Indiana,86266c757ffffff,18,23.68,23.68,56898750.00390625,28113.67983400992,1758492439424,Synapse54,1758492439424,Synapse54
24,46725 (Columbia City),Noble County,Indiana,86274b247ffffff,381,20.73,20.73,64220000.0,29852.782909799484,1758492439424,Synapse54,1758492439424,Synapse54
25,46974 (Roann),Wabash County,Indiana,862665847ffffff,209,21.15,21.15,63258750.0,29632.406317239263,1758492439424,Synapse54,1758492439424,Synapse54
26,46725 (Columbia City),Whitley County,Indiana,86274b24fffffff,303,20.16,20.16,64440000.0,29904.881372756154,1758492439424,Synapse54,1758492439424,Synapse54
27,47170 (Scottsburg),Washington County,Indiana,86266c75fffffff,55,23.61,23.61,56633750.00390625,28046.7683843084,1758492439424,Synapse54,1758492439424,Synapse54
