OBJECTID,admin4_name,admin3_name,admin2_name,id,GENX_CY,GENX_CY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53506 (Avoca),Iowa County,Wisconsin,8627584b7ffffff,94,19.46,19.46,69442500.0,31040.39559876385,1758492455545,Synapse54,1758492455545,Synapse54
2,54722 (Augusta),Eau Claire County,Wisconsin,862753a37ffffff,284,14.37,14.37,74474999.99609375,32141.05461982832,1758492455545,Synapse54,1758492455545,Synapse54
3,53533 (Dodgeville),Iowa County,Wisconsin,8627584c7ffffff,44,19.91,19.91,69182500.0,30979.588579485226,1758492455545,Synapse54,1758492455545,Synapse54
4,54746 (Humbird),Clark County,Wisconsin,862753a47ffffff,73,16.94,16.94,74071250.0,32053.202896472554,1758492455545,Synapse54,1758492455545,Synapse54
5,53533 (Dodgeville),Iowa County,Wisconsin,8627584cfffffff,39,20.63,20.63,68902500.0,30914.91025200175,1758492455545,Synapse54,1758492455545,Synapse54
6,54754 (Merrillan),Jackson County,Wisconsin,862753a4fffffff,130,19.43,19.43,73777500.00390625,31987.713303835266,1758492455545,Synapse54,1758492455545,Synapse54
7,53533 (Dodgeville),Iowa County,Wisconsin,8627584d7ffffff,8,21.62,21.62,68735000.0,30882.78101006284,1758492455545,Synapse54,1758492455545,Synapse54
8,54741 (Fairchild),Jackson County,Wisconsin,862753a57ffffff,27,19.57,19.57,74306250.00390625,32101.38340046572,1758492455545,Synapse54,1758492455545,Synapse54
9,53533 (Dodgeville),Iowa County,Wisconsin,8627584dfffffff,688,18.69,18.69,68776250.0,30889.235265597057,1758492455545,Synapse54,1758492455545,Synapse54
10,54611 (Alma Center),Jackson County,Wisconsin,862753a5fffffff,53,19.78,19.78,73757499.9921875,31981.5880021302,1758492455545,Synapse54,1758492455545,Synapse54
11,53582 (Ridgeway),Iowa County,Wisconsin,8627584e7ffffff,33,20.0,20.0,68881249.9921875,30912.658494930918,1758492455545,Synapse54,1758492455545,Synapse54
12,54746 (Humbird),Clark County,Wisconsin,862753a67ffffff,17,16.83,16.83,74187500.0,32078.547433961077,1758492455545,Synapse54,1758492455545,Synapse54
13,53582 (Ridgeway),Iowa County,Wisconsin,8627584efffffff,184,20.7,20.7,68902500.0,30914.91025200175,1758492455545,Synapse54,1758492455545,Synapse54
14,54746 (Humbird),Clark County,Wisconsin,862753a6fffffff,6,15.79,15.79,74531250.0,32149.313897255623,1758492455545,Synapse54,1758492455545,Synapse54
15,53533 (Dodgeville),Iowa County,Wisconsin,8627584f7ffffff,27,20.61,20.61,69181250.0,30979.55660330779,1758492455545,Synapse54,1758492455545,Synapse54
16,54741 (Fairchild),Jackson County,Wisconsin,862753a77ffffff,41,17.23,17.23,73962500.0,32027.581248554652,1758492455545,Synapse54,1758492455545,Synapse54
17,53577 (Plain),Sauk County,Wisconsin,862758507ffffff,49,20.33,20.33,70373750.00390625,31244.235149327957,1758492455545,Synapse54,1758492455545,Synapse54
18,54758 (Osseo),Trempealeau County,Wisconsin,862753a87ffffff,79,18.72,18.72,74458750.00390625,32135.13517694386,1758492455545,Synapse54,1758492455545,Synapse54
19,53583 (Sauk City),Sauk County,Wisconsin,86275850fffffff,66,21.09,21.09,69915000.0,31144.440769131128,1758492455545,Synapse54,1758492455545,Synapse54
20,54758 (Osseo),Trempealeau County,Wisconsin,862753a8fffffff,69,20.0,20.0,74034999.99609375,32043.574617556253,1758492455545,Synapse54,1758492455545,Synapse54
21,53577 (Plain),Sauk County,Wisconsin,862758517ffffff,42,20.1,20.1,70373750.0,31244.235149327957,1758492455545,Synapse54,1758492455545,Synapse54
22,54758 (Osseo),Eau Claire County,Wisconsin,862753a97ffffff,38,21.97,21.97,74235000.0,32087.86002368061,1758492455545,Synapse54,1758492455545,Synapse54
23,53588 (Spring Green),Sauk County,Wisconsin,86275851fffffff,32,20.92,20.92,69736250.0,31101.961419471583,1758492455545,Synapse54,1758492455545,Synapse54
24,54758 (Osseo),Trempealeau County,Wisconsin,862753a9fffffff,43,19.72,19.72,74034999.9921875,32043.574617556253,1758492455545,Synapse54,1758492455545,Synapse54
25,53951 (North Freedom),Sauk County,Wisconsin,862758527ffffff,48,20.25,20.25,70115000.0,31189.25428208933,1758492455545,Synapse54,1758492455545,Synapse54
26,54758 (Osseo),Eau Claire County,Wisconsin,862753aa7ffffff,39,22.54,22.54,74474999.9921875,32141.05461982832,1758492455545,Synapse54,1758492455545,Synapse54
27,53578 (Prairie du Sac),Sauk County,Wisconsin,86275852fffffff,85,20.09,20.09,70113750.00390625,31183.936806272835,1758492455545,Synapse54,1758492455545,Synapse54
28,54758 (Osseo),Trempealeau County,Wisconsin,862753aafffffff,383,18.6,18.6,74035000.0078125,32043.574617556253,1758492455545,Synapse54,1758492455545,Synapse54
29,53951 (North Freedom),Sauk County,Wisconsin,862758537ffffff,35,20.23,20.23,69915000.0,31144.440769131124,1758492455545,Synapse54,1758492455545,Synapse54
30,54758 (Osseo),Eau Claire County,Wisconsin,862753ab7ffffff,76,22.82,22.82,74458750.00390625,32135.135176943862,1758492455545,Synapse54,1758492455545,Synapse54
31,53560 (Mazomanie),Dane County,Wisconsin,862758547ffffff,422,22.16,22.16,69656250.0,31084.176140277126,1758492455545,Synapse54,1758492455545,Synapse54
32,54758 (Osseo),Jackson County,Wisconsin,862753ac7ffffff,48,21.15,21.15,73943750.0,32024.07827134341,1758492455545,Synapse54,1758492455545,Synapse54
33,53515 (Black Earth),Dane County,Wisconsin,86275854fffffff,349,18.17,18.17,69656249.99609375,31084.176140277126,1758492455545,Synapse54,1758492455545,Synapse54
34,54635 (Hixton),Jackson County,Wisconsin,862753acfffffff,52,21.31,21.31,73739999.99609375,31980.125316509228,1758492455545,Synapse54,1758492455545,Synapse54
35,53583 (Sauk City),Sauk County,Wisconsin,862758557ffffff,43,22.28,22.28,69757500.0,31106.049535529703,1758492455545,Synapse54,1758492455545,Synapse54
36,54758 (Osseo),Trempealeau County,Wisconsin,862753ad7ffffff,57,20.88,20.88,73926249.99609375,32020.78465674832,1758492455545,Synapse54,1758492455545,Synapse54
37,53560 (Mazomanie),Dane County,Wisconsin,86275855fffffff,145,20.0,20.0,69757499.99609375,31106.049535529703,1758492455545,Synapse54,1758492455545,Synapse54
