OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,53813 (Lancaster),Grant County,Wisconsin,86275aab7ffffff,56,24.56,24.56,68215000.0078125,30761.844341115844,1758492472594,Synapse54,1758492472594,Synapse54
2,53510 (Belmont),Lafayette County,Wisconsin,86275aac7ffffff,28,18.79,18.79,67762499.99609375,30662.025664911213,1758492472594,Synapse54,1758492472594,Synapse54
3,53807 (Cuba City),Lafayette County,Wisconsin,86275aacfffffff,42,21.65,21.65,67410000.00390625,30578.674662752463,1758492472594,Synapse54,1758492472594,Synapse54
4,53818 (Platteville),Grant County,Wisconsin,86275aad7ffffff,48,20.78,20.78,67586250.0,30621.51086191102,1758492472594,Synapse54,1758492472594,Synapse54
5,53807 (Cuba City),Lafayette County,Wisconsin,86275aadfffffff,37,20.22,20.22,67762500.00390625,30662.025664911213,1758492472594,Synapse54,1758492472594,Synapse54
6,53510 (Belmont),Lafayette County,Wisconsin,86275aae7ffffff,249,20.68,20.68,67907500.0,30695.675377292657,1758492472594,Synapse54,1758492472594,Synapse54
7,53510 (Belmont),Lafayette County,Wisconsin,86275aaefffffff,35,21.08,21.08,67907500.0,30695.675377292657,1758492472594,Synapse54,1758492472594,Synapse54
8,53533 (Dodgeville),Iowa County,Wisconsin,86275ab07ffffff,78,25.41,25.41,68962500.00390625,30930.65497429147,1758492472594,Synapse54,1758492472594,Synapse54
9,54614 (Bangor),La Crosse County,Wisconsin,86275e477ffffff,286,18.15,18.15,71737500.0,31543.113704285806,1758492472594,Synapse54,1758492472594,Synapse54
10,54403 (Wausau),Marathon County,Wisconsin,862751b1fffffff,167,26.09,26.09,76573749.99609375,32587.778014279786,1758492472594,Synapse54,1758492472594,Synapse54
11,53565 (Mineral Point),Iowa County,Wisconsin,86275ab0fffffff,52,25.74,25.74,68380000.0078125,30799.43000790409,1758492472594,Synapse54,1758492472594,Synapse54
12,54603 (La Crosse),La Crosse County,Wisconsin,86275e487ffffff,289,31.69,31.69,71683749.99609375,31532.709061725178,1758492472594,Synapse54,1758492472594,Synapse54
13,54403 (Wausau),Marathon County,Wisconsin,862751b27ffffff,37,24.18,24.18,76462500.00390625,32562.367902951348,1758492472594,Synapse54,1758492472594,Synapse54
14,53543 (Highland),Iowa County,Wisconsin,86275ab17ffffff,152,25.08,25.08,69065000.0,30952.885928292835,1758492472594,Synapse54,1758492472594,Synapse54
15,54603 (La Crosse),La Crosse County,Wisconsin,86275e48fffffff,3482,20.56,20.56,71452499.99609375,31484.250567701674,1758492472594,Synapse54,1758492472594,Synapse54
16,54403 (Wausau),Marathon County,Wisconsin,862751b2fffffff,70,24.31,24.31,76624999.99609375,32595.6459772393,1758492472594,Synapse54,1758492472594,Synapse54
17,53553 (Linden),Iowa County,Wisconsin,86275ab1fffffff,153,25.16,25.16,68610000.0,30853.063671085874,1758492472594,Synapse54,1758492472594,Synapse54
18,54650 (Onalaska),La Crosse County,Wisconsin,86275e4a7ffffff,2458,18.89,18.89,71902500.0,31582.816344798804,1758492472594,Synapse54,1758492472594,Synapse54
19,54403 (Wausau),Marathon County,Wisconsin,862751b37ffffff,71,27.95,27.95,76812500.0,32635.98837859234,1758492472594,Synapse54,1758492472594,Synapse54
20,53533 (Dodgeville),Iowa County,Wisconsin,86275ab27ffffff,55,31.07,31.07,68859999.99609375,30908.4240202901,1758492472594,Synapse54,1758492472594,Synapse54
21,54650 (Onalaska),La Crosse County,Wisconsin,86275e4afffffff,3794,20.36,20.36,71653750.0,31528.529459856218,1758492472594,Synapse54,1758492472594,Synapse54
22,54414 (Birnamwood),Marathon County,Wisconsin,862751b47ffffff,67,22.26,22.26,75857500.00390625,32435.02015796872,1758492472594,Synapse54,1758492472594,Synapse54
