OBJECTID,admin4_name,admin3_name,admin2_name,id,BABYBOOMCY,BABYBOOMCY_P,thematic_value,Shape__Area,Shape__Length,CreationDate,Creator,EditDate,Editor
1,47561 (Oaktown),Knox County,Indiana,86266e0a7ffffff,112,24.94,24.94,56855000.0,28100.149095464658,1758492487369,Synapse54,1758492487369,Synapse54
2,47512 (Bicknell),Knox County,Indiana,86266e0afffffff,703,21.14,21.14,56770000.0,28079.44580149543,1758492487369,Synapse54,1758492487369,Synapse54
3,47561 (Oaktown),Knox County,Indiana,86266e0b7ffffff,62,24.22,24.22,57010000.0,28141.761391796263,1758492487369,Synapse54,1758492487369,Synapse54
4,47501 (Washington),Daviess County,Indiana,86266e0c7ffffff,36,24.16,24.16,56616250.0,28038.629969520764,1758492487369,Synapse54,1758492487369,Synapse54
5,47501 (Washington),Daviess County,Indiana,86266e0cfffffff,999,17.24,17.24,56285000.0,27960.203815549256,1758492487369,Synapse54,1758492487369,Synapse54
6,47597 (Wheatland),Knox County,Indiana,86266e0d7ffffff,32,19.16,19.16,56343750.00390625,27975.459975530346,1758492487369,Synapse54,1758492487369,Synapse54
7,47597 (Wheatland),Knox County,Indiana,86266e0dfffffff,106,20.27,20.27,56115000.0,27920.59130286829,1758492487369,Synapse54,1758492487369,Synapse54
8,47501 (Washington),Daviess County,Indiana,86266e0e7ffffff,41,23.16,23.16,56561249.99609375,28032.844747160583,1758492487369,Synapse54,1758492487369,Synapse54
9,47501 (Washington),Daviess County,Indiana,86266e0efffffff,1357,20.29,20.29,56407500.0,27992.099130860173,1758492487369,Synapse54,1758492487369,Synapse54
10,47512 (Bicknell),Knox County,Indiana,86266e0f7ffffff,4,20.0,20.0,56190000.0,27934.092835229807,1758492487369,Synapse54,1758492487369,Synapse54
11,47443 (Lyons),Greene County,Indiana,86266e107ffffff,43,24.43,24.43,57215000.0,28184.79735702478,1758492487369,Synapse54,1758492487369,Synapse54
12,47443 (Lyons),Greene County,Indiana,86266e10fffffff,11,23.4,23.4,57063749.99609375,28152.86218919904,1758492487369,Synapse54,1758492487369,Synapse54
13,47441 (Linton),Greene County,Indiana,86266e117ffffff,37,27.82,27.82,57525000.0,28266.205355699516,1758492487369,Synapse54,1758492487369,Synapse54
14,47578 (Sandborn),Greene County,Indiana,86266e11fffffff,70,25.93,25.93,56797500.0,28085.415791910324,1758492487369,Synapse54,1758492487369,Synapse54
